open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.99,38.11,37.75,37.81,296591
2016-01-05 09:30:00,37.69,37.88,37.57,37.85,142804
2016-01-06 09:30:00,37.23,37.36,37.06,37.28,206869
2016-01-07 09:30:00,37.14,37.15,36.63,36.63,303472
2016-01-08 09:30:00,36.29,36.74,36.29,36.69,217542
2016-01-11 09:30:00,35.82,36.0,35.53,35.55,201832
2016-01-12 09:30:00,35.56,35.7,35.35,35.54,181524
2016-01-13 09:30:00,35.49,35.6,35.29,35.45,231693
2016-01-14 09:30:00,34.18,34.49,33.86,33.87,138201
2016-01-15 09:30:00,33.93,34.28,33.82,34.26,552117
2016-01-19 09:30:00,34.83,34.94,34.56,34.72,295978
2016-01-20 09:30:00,33.94,34.14,33.74,33.8,145799
2016-01-21 09:30:00,34.56,34.68,34.06,34.24,159295
2016-01-22 09:30:00,35.08,35.13,34.77,35.11,181976
2016-01-25 09:30:00,34.61,35.14,34.61,35.06,138836
2016-01-26 09:30:00,35.06,35.08,34.57,34.67,107407
2016-01-27 09:30:00,34.6,34.78,34.56,34.59,78946
2016-01-28 09:30:00,34.49,34.49,33.83,33.94,330915
2016-01-29 09:30:00,33.72,34.06,33.6,33.94,110636
2016-02-01 09:30:00,34.58,34.96,34.5,34.87,183364
2016-02-02 09:30:00,34.4,34.55,34.28,34.39,147058
2016-02-03 09:30:00,34.49,34.57,34.11,34.14,141316
2016-02-04 09:30:00,34.38,34.68,34.21,34.56,205255
2016-02-05 09:30:00,34.48,34.52,33.89,33.94,633359
2016-02-08 09:30:00,32.95,33.11,32.51,32.58,232396
2016-02-09 09:30:00,31.66,32.88,31.6,32.54,261636
2016-02-10 09:30:00,32.97,33.86,32.88,33.86,292417
2016-02-11 09:30:00,32.48,32.95,32.39,32.65,242298
2016-02-12 09:30:00,33.16,33.37,32.95,32.98,243039
2016-02-16 09:30:00,33.98,34.3,33.8,33.8,255264
2016-02-17 09:30:00,32.59,34.51,32.15,34.43,940909
2016-02-18 09:30:00,34.91,35.13,34.7,34.79,346437
2016-02-19 09:30:00,34.22,34.45,34.1,34.38,281367
2016-02-22 09:30:00,35.05,35.34,35.0,35.23,167009
2016-02-23 09:30:00,34.83,35.13,34.73,35.0,63385
2016-02-24 09:30:00,33.91,34.08,33.89,33.95,125600
2016-02-25 09:30:00,34.81,34.89,34.49,34.55,94936
2016-02-26 09:30:00,34.93,35.09,34.75,34.91,74649
2016-02-29 09:30:00,34.78,34.86,34.63,34.78,84118
2016-03-01 09:30:00,34.82,35.08,34.8,34.98,312616
2016-03-02 09:30:00,35.62,36.19,35.54,35.94,440419
2016-03-03 09:30:00,36.01,36.12,35.89,35.89,54132
2016-03-04 09:30:00,36.22,36.37,36.14,36.22,57140
2016-03-07 09:30:00,36.13,36.52,36.05,36.32,104602
2016-03-08 09:30:00,36.06,36.21,35.75,35.81,140366
2016-03-09 09:30:00,35.45,35.53,35.23,35.37,92360
2016-03-10 09:30:00,35.32,35.6,35.1,35.6,103712
2016-03-11 09:30:00,35.56,35.79,35.46,35.75,160686
2016-03-14 09:30:00,36.07,36.23,35.54,35.9,84407
2016-03-15 09:30:00,35.71,35.82,35.57,35.62,85951
2016-03-16 09:30:00,35.25,35.64,35.18,35.5,121713
2016-03-17 09:30:00,36.14,36.37,36.0,36.02,150648
2016-03-18 09:30:00,36.39,36.64,36.34,36.61,668151
2016-03-21 09:30:00,37.08,37.14,36.98,37.05,133868
2016-03-22 09:30:00,36.61,36.78,36.5,36.61,160954
2016-03-23 09:30:00,36.92,37.0,36.8,36.99,148949
2016-03-24 09:30:00,36.24,36.37,35.99,36.36,96103
2016-03-28 09:30:00,36.59,36.78,36.4,36.46,72070
2016-03-29 09:30:00,36.41,36.56,36.19,36.46,87689
2016-03-30 09:30:00,37.35,37.55,37.34,37.41,89142
2016-03-31 09:30:00,37.02,37.07,36.86,37.03,121989
2016-04-01 09:30:00,36.71,37.03,36.65,36.89,98940
2016-04-04 09:30:00,37.42,37.58,37.29,37.58,326486
2016-04-05 09:30:00,36.87,37.02,36.67,36.87,164722
2016-04-06 09:30:00,36.46,36.66,36.35,36.59,99449
2016-04-07 09:30:00,37.02,37.21,36.84,37.06,140232
