open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.16,23.4,23.02,23.18,43345812
2016-01-05 09:30:00,23.87,23.89,23.49,23.5,24955004
2016-01-06 09:30:00,22.69,22.99,22.62,22.89,45950652
2016-01-07 09:30:00,22.26,22.48,22.06,22.34,57057788
2016-01-08 09:30:00,22.24,22.37,22.05,22.36,56969640
2016-01-11 09:30:00,22.34,22.36,21.97,22.11,32055680
2016-01-12 09:30:00,22.69,22.72,22.53,22.65,40473540
2016-01-13 09:30:00,22.64,22.75,22.54,22.67,34410856
2016-01-14 09:30:00,22.11,22.12,21.61,21.66,39796320
2016-01-15 09:30:00,21.71,22.0,21.64,21.89,59280308
2016-01-19 09:30:00,22.21,22.26,22.04,22.09,28873088
2016-01-20 09:30:00,21.46,21.55,21.31,21.33,38311392
2016-01-21 09:30:00,21.9,21.94,21.43,21.48,28052112
2016-01-22 09:30:00,22.23,22.53,22.2,22.53,38317580
2016-01-25 09:30:00,22.91,22.91,22.6,22.78,34835748
2016-01-26 09:30:00,22.55,22.58,22.13,22.23,34423048
2016-01-27 09:30:00,21.67,21.81,21.36,21.51,103828500
2016-01-28 09:30:00,21.17,21.29,21.04,21.13,42543796
2016-01-29 09:30:00,21.33,21.61,21.29,21.58,35171964
2016-02-01 09:30:00,21.77,21.79,21.63,21.68,24945936
2016-02-02 09:30:00,21.53,21.67,21.45,21.51,21461312
2016-02-03 09:30:00,21.44,21.58,21.41,21.48,17999348
2016-02-04 09:30:00,21.75,21.87,21.6,21.76,18851436
2016-02-05 09:30:00,21.9,21.99,21.73,21.8,20868136
2016-02-08 09:30:00,21.13,21.48,21.11,21.46,34417056
2016-02-09 09:30:00,21.39,21.64,21.34,21.51,26559852
2016-02-10 09:30:00,21.76,21.83,21.64,21.82,19697984
2016-02-11 09:30:00,21.27,21.49,21.23,21.37,27333924
2016-02-12 09:30:00,21.37,21.44,21.15,21.16,22945460
2016-02-16 09:30:00,21.55,21.66,21.47,21.6,27419416
2016-02-17 09:30:00,21.93,22.05,21.82,21.97,29036932
2016-02-18 09:30:00,22.43,22.44,22.15,22.15,21654828
2016-02-19 09:30:00,21.78,21.91,21.74,21.8,32467544
2016-02-22 09:30:00,21.85,21.95,21.76,21.91,23173556
2016-02-23 09:30:00,21.87,21.9,21.81,21.82,13701444
2016-02-24 09:30:00,21.32,21.44,21.22,21.22,24765264
2016-02-25 09:30:00,21.79,21.84,21.61,21.68,18438444
2016-02-26 09:30:00,22.05,22.16,22.04,22.12,19160332
2016-02-29 09:30:00,21.97,22.17,21.95,22.14,17877832
2016-03-01 09:30:00,22.17,22.25,22.1,22.23,20952968
2016-03-02 09:30:00,22.81,22.89,22.7,22.73,21523280
2016-03-03 09:30:00,22.82,23.04,22.79,22.98,18872264
2016-03-04 09:30:00,23.23,23.23,23.0,23.1,26441484
2016-03-07 09:30:00,23.23,23.33,23.15,23.15,24173860
2016-03-08 09:30:00,22.87,22.94,22.78,22.89,18354052
2016-03-09 09:30:00,22.99,23.05,22.75,22.84,20525724
2016-03-10 09:30:00,23.01,23.2,22.97,23.19,19404868
2016-03-11 09:30:00,23.2,23.2,23.04,23.11,16446432
2016-03-14 09:30:00,23.12,23.29,23.09,23.2,14856732
2016-03-15 09:30:00,23.59,23.77,23.56,23.71,34807400
2016-03-16 09:30:00,23.71,23.88,23.71,23.87,18187856
2016-03-17 09:30:00,23.94,23.96,23.82,23.86,22809176
2016-03-18 09:30:00,24.13,24.16,23.92,23.94,86399400
2016-03-21 09:30:00,24.01,24.26,24.01,24.23,17826892
2016-03-22 09:30:00,23.88,24.24,23.87,24.2,22895264
2016-03-23 09:30:00,24.16,24.23,24.1,24.11,15508016
2016-03-24 09:30:00,23.93,24.11,23.92,23.97,16150516
2016-03-28 09:30:00,24.05,24.09,23.87,23.95,14495120
2016-03-29 09:30:00,23.8,24.05,23.8,24.04,15238644
2016-03-30 09:30:00,24.65,25.0,24.64,24.95,46018924
2016-03-31 09:30:00,24.9,24.94,24.75,24.77,15878340
2016-04-01 09:30:00,24.67,24.75,24.55,24.66,17351984
2016-04-04 09:30:00,25.06,25.35,25.02,25.35,27161120
2016-04-05 09:30:00,24.88,25.06,24.83,24.9,19045664
2016-04-06 09:30:00,25.01,25.07,24.88,24.93,17879104
2016-04-07 09:30:00,24.95,25.02,24.86,24.94,20309368
2016-04-08 09:30:00,24.72,24.86,24.66,24.83,16672408
2016-04-11 09:30:00,24.72,25.06,24.69,25.04,22782540
2016-04-12 09:30:00,24.82,24.96,24.76,24.76,18631088
2016-04-13 09:30:00,25.13,25.38,25.13,25.3,22127828
2016-04-14 09:30:00,25.34,25.45,25.27,25.31,18554336
2016-04-15 09:30:00,25.42,25.48,25.33,25.36,29897784
2016-04-18 09:30:00,24.71,24.72,24.46,24.49,35644420
2016-04-19 09:30:00,24.48,24.5,24.18,24.33,23623444
2016-04-20 09:30:00,24.2,24.33,24.06,24.32,22484320
2016-04-21 09:30:00,24.26,24.26,23.94,24.04,29338504
2016-04-22 09:30:00,23.83,24.14,23.82,24.14,21416948
2016-04-25 09:30:00,23.8,23.97,23.78,23.83,16928092
2016-04-26 09:30:00,23.58,23.89,23.57,23.82,27273376
2016-04-27 09:30:00,21.78,22.4,21.71,21.93,128904760
2016-04-28 09:30:00,22.14,22.19,21.92,22.06,38796948
2016-04-29 09:30:00,21.33,21.49,21.24,21.28,48515064
2016-05-02 09:30:00,21.32,21.35,21.0,21.01,33185180
2016-05-03 09:30:00,21.37,21.44,21.27,21.33,39839428
2016-05-04 09:30:00,21.6,21.76,21.55,21.59,30167072
2016-05-05 09:30:00,21.46,21.47,21.23,21.26,22867572
2016-05-06 09:30:00,21.31,21.33,21.19,21.24,18545996
2016-05-09 09:30:00,21.23,21.34,21.14,21.29,23721232
2016-05-10 09:30:00,21.31,21.32,21.06,21.1,24555972
2016-05-11 09:30:00,21.34,21.34,21.15,21.24,18365276
2016-05-12 09:30:00,21.18,21.18,20.74,20.76,45825372
2016-05-13 09:30:00,20.55,20.85,20.55,20.69,40800432
2016-05-16 09:30:00,21.1,21.22,20.92,21.16,46701692
2016-05-17 09:30:00,21.58,21.62,21.33,21.42,43218216
2016-05-18 09:30:00,21.5,21.61,21.43,21.54,28661628
2016-05-19 09:30:00,21.6,21.6,21.38,21.39,23801808
2016-05-20 09:30:00,21.62,21.71,21.58,21.69,31547704
2016-05-23 09:30:00,21.89,22.12,21.84,22.07,34737896
2016-05-24 09:30:00,22.2,22.23,22.11,22.2,28596824
2016-05-25 09:30:00,22.52,22.53,22.4,22.51,24196356
2016-05-26 09:30:00,22.76,22.81,22.52,22.61,34693016
2016-05-27 09:30:00,22.7,22.84,22.66,22.84,30842604
2016-05-31 09:30:00,22.74,22.92,22.72,22.87,24746260
2016-06-01 09:30:00,22.6,22.71,22.55,22.6,19522872
