open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,38.26,38.43,38.05,38.14,991901
2016-01-05 09:30:00,38.22,38.32,38.01,38.2,497354
2016-01-06 09:30:00,37.16,37.3,37.02,37.24,768374
2016-01-07 09:30:00,37.25,37.4,37.13,37.33,837093
2016-01-08 09:30:00,37.95,38.1,37.68,37.78,878325
2016-01-11 09:30:00,36.81,36.89,36.03,36.06,796807
2016-01-12 09:30:00,35.83,36.23,35.52,36.05,816413
2016-01-13 09:30:00,36.4,36.4,36.14,36.2,624551
2016-01-14 09:30:00,34.2,34.55,33.91,33.94,1180477
2016-01-15 09:30:00,35.32,37.34,35.32,36.82,4059464
2016-01-19 09:30:00,38.35,38.47,37.53,37.89,2045283
2016-01-20 09:30:00,36.12,36.5,36.0,36.22,1346620
2016-01-21 09:30:00,38.18,38.49,37.93,38.14,1465389
2016-01-22 09:30:00,39.38,39.45,39.16,39.35,1347656
2016-01-25 09:30:00,39.34,39.37,38.77,39.07,742820
2016-01-26 09:30:00,39.39,39.5,38.12,38.16,1349900
2016-01-27 09:30:00,38.89,39.2,38.46,38.46,685877
2016-01-28 09:30:00,38.14,38.47,37.06,37.13,894062
2016-01-29 09:30:00,35.6,36.64,35.6,36.14,2397395
2016-02-01 09:30:00,36.09,36.22,35.4,35.41,1258465
2016-02-02 09:30:00,35.74,36.15,35.53,36.15,1045685
2016-02-03 09:30:00,36.34,37.38,36.31,36.86,2151782
2016-02-04 09:30:00,37.81,37.96,37.19,37.49,797728
2016-02-05 09:30:00,37.48,37.54,36.16,36.2,1724922
2016-02-08 09:30:00,35.04,35.54,34.94,35.3,824597
2016-02-09 09:30:00,34.86,35.76,34.69,35.58,874354
2016-02-10 09:30:00,36.06,36.13,35.48,36.06,689953
2016-02-11 09:30:00,34.85,35.4,34.82,35.22,709370
2016-02-12 09:30:00,35.28,35.3,34.62,34.72,475842
2016-02-16 09:30:00,35.61,35.9,35.34,35.76,1066847
2016-02-17 09:30:00,36.21,36.25,35.55,35.81,1046121
2016-02-18 09:30:00,37.0,37.0,36.52,36.75,803714
2016-02-19 09:30:00,36.32,36.65,36.11,36.15,1748767
2016-02-22 09:30:00,36.43,36.5,35.81,36.19,1103042
2016-02-23 09:30:00,37.12,37.52,36.96,37.38,1324146
2016-02-24 09:30:00,36.42,36.7,36.05,36.32,708518
2016-02-25 09:30:00,36.76,37.18,36.34,36.6,832005
2016-02-26 09:30:00,37.49,37.84,37.46,37.46,626317
2016-02-29 09:30:00,37.23,37.32,36.9,36.9,383852
2016-03-01 09:30:00,36.5,36.67,36.14,36.32,758477
2016-03-02 09:30:00,37.43,37.57,37.32,37.44,441600
2016-03-03 09:30:00,37.1,37.25,36.75,37.16,609100
2016-03-04 09:30:00,37.32,37.38,36.85,36.98,395966
2016-03-07 09:30:00,37.18,37.2,36.54,36.6,893672
2016-03-08 09:30:00,37.44,37.5,37.26,37.44,385329
2016-03-09 09:30:00,36.99,37.22,36.68,37.02,690789
2016-03-10 09:30:00,37.69,38.22,37.63,38.15,675611
2016-03-11 09:30:00,37.58,38.12,37.55,38.08,536439
2016-03-14 09:30:00,38.43,38.47,38.2,38.22,291746
2016-03-15 09:30:00,37.75,37.94,37.29,37.42,610970
2016-03-16 09:30:00,37.04,37.18,36.82,37.12,491704
2016-03-17 09:30:00,37.62,37.62,36.96,36.98,562856
2016-03-18 09:30:00,37.04,37.05,36.59,36.73,3093873
2016-03-21 09:30:00,37.66,37.83,37.56,37.75,545434
2016-03-22 09:30:00,37.15,37.7,37.15,37.65,591497
2016-03-23 09:30:00,38.09,38.32,37.98,38.01,474017
2016-03-24 09:30:00,37.41,37.48,37.19,37.36,428854
2016-03-28 09:30:00,37.55,37.76,37.42,37.64,347798
2016-03-29 09:30:00,37.38,37.4,36.8,36.88,497589
2016-03-30 09:30:00,38.21,38.34,38.08,38.18,420695
2016-03-31 09:30:00,38.0,38.22,37.88,38.08,279973
2016-04-01 09:30:00,37.7,38.0,37.56,37.94,393960
2016-04-04 09:30:00,38.41,38.93,38.31,38.85,579854
2016-04-05 09:30:00,39.01,39.62,38.87,39.59,787708
2016-04-06 09:30:00,39.0,39.5,39.0,39.38,498017
2016-04-07 09:30:00,39.6,39.92,39.54,39.68,574061
