open_date,open,high,low,close,volume_base
2020-12-11 09:30:00,146.55,151.5,144.52,147.83,7134696
2020-12-14 09:30:00,135.0,135.3,125.5,127.0,4921422
2020-12-15 09:30:00,126.69,127.6,121.5,121.91,2674819
2020-12-16 09:30:00,125.91,134.39,124.91,133.0014,3380316
2020-12-17 09:30:00,143.0,147.79,142.67,146.2974,2731211
2020-12-18 09:30:00,150.4497,159.0,150.3,156.1544,3149662
2020-12-21 09:30:00,155.31,156.35,145.5,147.1208,2428787
2020-12-22 09:30:00,170.0,174.97,165.1,166.54,2570135
2020-12-23 09:30:00,162.93,168.25,155.5,158.495,1629352
2020-12-24 09:30:00,159.16,160.8,156.2,159.5,661315
2020-12-28 09:30:00,158.6,163.64,157.64,161.175,1155490
2020-12-29 09:30:00,150.45,151.6511,143.12,147.0165,1473581
2020-12-30 09:30:00,151.34,152.813,147.5,149.31,582332
2020-12-31 09:30:00,146.9,147.0,144.51,146.45,504992
2021-01-04 09:30:00,150.85,151.005,145.23,145.63,843909
2021-01-05 09:30:00,138.28,140.88,137.25,139.72,1326083
2021-01-06 09:30:00,145.75,145.92,142.52,145.4063,749614
2021-01-07 09:30:00,146.37,149.67,145.2614,146.54,816573
2021-01-08 09:30:00,153.45,155.54,151.26,152.77,785717
2021-01-11 09:30:00,147.99,147.99,144.02,146.94,840361
2021-01-12 09:30:00,148.08,148.45,143.61,145.8118,627442
2021-01-13 09:30:00,160.81,173.6611,159.35,170.16,2069483
2021-01-14 09:30:00,175.54,182.4999,174.9754,179.059,2053030
2021-01-15 09:30:00,184.58,185.995,170.92,173.05,1855227
2021-01-19 09:30:00,173.0,174.4865,166.6001,168.445,844804
2021-01-20 09:30:00,176.03,176.35,170.04,170.405,856715
2021-01-21 09:30:00,164.97,165.49,155.33,157.23,1738511
2021-01-22 09:30:00,178.09,185.3066,176.09,179.2396,2020240
2021-01-25 09:30:00,186.02,189.35,182.46,186.795,1374474
2021-01-26 09:30:00,180.0,183.89,177.3,180.865,819021
2021-01-27 09:30:00,187.64,198.5,185.5,197.5703,1589971
2021-01-28 09:30:00,203.0,211.0,200.1,206.985,667129
2021-01-29 09:30:00,190.71,191.0,182.5,184.85,880106
2021-02-01 09:30:00,188.21,188.82,179.74,181.73,622854
2021-02-02 09:30:00,183.22,186.4794,183.0,184.81,540206
2021-02-03 09:30:00,181.98,189.21,180.0,188.5,915486
2021-02-04 09:30:00,187.07,192.67,187.02,188.8,735244
2021-02-05 09:30:00,197.0,197.25,190.2501,190.9419,605937
2021-02-08 09:30:00,199.66,199.99,191.5001,196.5075,793592
2021-02-09 09:30:00,199.98,209.22,199.2033,206.7,863630
2021-02-10 09:30:00,205.48,213.7596,205.25,213.189,1165210
2021-02-11 09:30:00,213.5,219.49,207.0,219.2222,770182
2021-02-12 09:30:00,214.2,214.9,209.0,211.0,774933
2021-02-16 09:30:00,215.99,217.75,213.7544,215.54,699318
2021-02-17 09:30:00,208.49,208.765,203.05,204.64,655262
2021-02-18 09:30:00,199.01,199.78,196.1,198.3499,498761
2021-02-19 09:30:00,203.95,205.55,201.6101,204.1,420861
2021-02-22 09:30:00,200.7,205.0,199.1497,202.44,675360
2021-02-23 09:30:00,189.0,189.21,175.0,184.376,1644145
2021-02-24 09:30:00,190.69,197.96,189.0,197.725,955963
