open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.4,36.49,35.78,35.8,1090349
2016-01-05 09:30:00,35.58,35.78,35.51,35.74,570289
2016-01-06 09:30:00,35.04,35.19,34.96,35.11,651064
2016-01-07 09:30:00,34.54,34.8,34.39,34.79,964172
2016-01-08 09:30:00,34.67,34.71,34.43,34.47,493180
2016-01-11 09:30:00,33.77,33.88,33.47,33.49,527509
2016-01-12 09:30:00,33.95,34.33,33.86,34.2,689300
2016-01-13 09:30:00,34.58,34.76,34.41,34.56,341318
2016-01-14 09:30:00,33.8,33.8,33.47,33.51,478932
2016-01-15 09:30:00,33.22,34.08,33.14,33.76,2106109
2016-01-19 09:30:00,34.26,34.41,34.01,34.2,734225
2016-01-20 09:30:00,33.12,33.42,33.06,33.21,1213879
2016-01-21 09:30:00,33.48,33.5,32.77,32.84,775310
2016-01-22 09:30:00,33.51,33.51,33.14,33.32,887817
2016-01-25 09:30:00,33.34,33.47,33.21,33.35,550181
2016-01-26 09:30:00,33.31,33.33,33.05,33.14,532069
2016-01-27 09:30:00,33.31,33.43,33.26,33.4,524139
2016-01-28 09:30:00,32.1,32.1,30.9,30.9,3330794
2016-01-29 09:30:00,30.59,31.2,30.58,31.14,1519898
2016-02-01 09:30:00,30.15,31.24,30.15,30.89,2558908
2016-02-02 09:30:00,31.68,32.15,31.67,32.13,1225655
2016-02-03 09:30:00,31.91,32.02,31.52,31.54,774764
2016-02-04 09:30:00,31.5,31.59,31.32,31.48,498036
2016-02-05 09:30:00,31.88,31.97,31.49,31.54,634197
2016-02-08 09:30:00,30.97,31.14,30.72,30.78,632472
2016-02-09 09:30:00,30.82,31.34,30.75,31.31,733188
2016-02-10 09:30:00,31.33,31.68,31.24,31.66,1062065
2016-02-11 09:30:00,30.38,30.72,30.37,30.61,719875
2016-02-12 09:30:00,30.56,30.63,30.39,30.41,471769
2016-02-16 09:30:00,30.95,31.42,30.95,31.39,691234
2016-02-17 09:30:00,31.98,32.07,31.88,32.01,860296
2016-02-18 09:30:00,31.96,32.36,31.9,32.34,1253252
2016-02-19 09:30:00,31.97,32.0,31.8,31.92,893153
2016-02-22 09:30:00,32.51,32.68,32.3,32.64,513028
2016-02-23 09:30:00,32.44,32.56,32.36,32.49,741421
2016-02-24 09:30:00,31.83,31.85,31.68,31.78,599320
2016-02-25 09:30:00,32.7,33.04,32.64,32.67,548092
2016-02-26 09:30:00,32.91,33.21,32.9,33.1,893624
2016-02-29 09:30:00,32.8,33.01,32.76,32.92,400459
2016-03-01 09:30:00,32.44,32.6,32.34,32.5,1151155
2016-03-02 09:30:00,32.8,32.99,32.79,32.9,430502
2016-03-03 09:30:00,32.15,32.3,31.76,32.04,3036021
2016-03-04 09:30:00,32.39,32.71,32.35,32.66,785718
2016-03-07 09:30:00,32.51,32.77,32.45,32.6,577546
2016-03-08 09:30:00,32.47,32.68,32.41,32.59,619910
2016-03-09 09:30:00,32.73,32.78,32.59,32.64,367294
2016-03-10 09:30:00,32.86,33.17,32.82,33.07,704289
2016-03-11 09:30:00,32.72,32.94,32.66,32.79,1282298
2016-03-14 09:30:00,33.61,33.72,33.34,33.34,405649
2016-03-15 09:30:00,33.48,33.63,33.18,33.23,592468
2016-03-16 09:30:00,33.46,33.58,33.31,33.41,493569
2016-03-17 09:30:00,33.51,33.55,33.17,33.17,269192
2016-03-18 09:30:00,33.64,33.67,33.46,33.66,2742562
2016-03-21 09:30:00,33.83,33.97,33.81,33.92,240312
2016-03-22 09:30:00,33.76,33.84,33.63,33.77,415804
2016-03-23 09:30:00,34.05,34.46,34.05,34.26,506567
2016-03-24 09:30:00,33.88,33.94,33.65,33.91,418431
2016-03-28 09:30:00,33.99,34.18,33.99,34.06,219148
2016-03-29 09:30:00,33.97,34.18,33.94,34.13,532687
2016-03-30 09:30:00,34.59,34.96,34.59,34.78,394077
2016-03-31 09:30:00,34.72,34.81,34.61,34.8,375148
2016-04-01 09:30:00,34.48,34.8,34.48,34.66,498382
2016-04-04 09:30:00,35.3,35.3,35.15,35.26,332396
2016-04-05 09:30:00,35.04,35.22,34.94,35.22,363740
2016-04-06 09:30:00,35.0,35.4,35.0,35.38,419826
2016-04-07 09:30:00,35.58,35.77,35.54,35.61,443390
2016-04-08 09:30:00,35.67,35.79,35.52,35.57,413596
2016-04-11 09:30:00,35.41,35.62,35.41,35.52,313167
2016-04-12 09:30:00,35.32,35.56,35.32,35.45,764562
2016-04-13 09:30:00,35.95,35.95,35.8,35.91,383536
2016-04-14 09:30:00,36.38,36.48,36.3,36.34,311383
2016-04-15 09:30:00,36.51,36.52,36.36,36.4,784624
2016-04-18 09:30:00,36.21,36.49,36.21,36.43,449758
2016-04-19 09:30:00,36.9,36.91,36.65,36.74,991168
