open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,87.92,87.95,86.86,87.23,287515
2016-01-05 09:30:00,87.21,87.67,87.12,87.25,172548
2016-01-06 09:30:00,86.35,87.2,86.14,87.2,285674
2016-01-07 09:30:00,85.46,86.26,85.46,85.93,578811
2016-01-08 09:30:00,85.23,85.5,84.97,85.32,208169
2016-01-11 09:30:00,84.39,84.82,84.28,84.36,244096
2016-01-12 09:30:00,85.64,86.09,85.55,85.56,357593
2016-01-13 09:30:00,86.89,87.18,86.59,86.95,180431
2016-01-14 09:30:00,84.92,85.87,84.74,85.44,603007
2016-01-15 09:30:00,84.61,86.28,84.56,85.75,833915
2016-01-19 09:30:00,85.81,86.61,85.49,86.46,319015
2016-01-20 09:30:00,84.86,85.84,84.86,85.14,368746
2016-01-21 09:30:00,84.86,84.91,83.96,84.32,396534
2016-01-22 09:30:00,85.5,86.02,85.3,85.89,291927
2016-01-25 09:30:00,87.57,87.72,86.74,87.67,364268
2016-01-26 09:30:00,87.21,87.91,86.92,87.87,400473
2016-01-27 09:30:00,87.97,88.51,87.88,88.47,364867
2016-01-28 09:30:00,88.11,88.32,87.83,88.17,277423
2016-01-29 09:30:00,88.56,89.75,88.45,89.67,373575
2016-02-01 09:30:00,89.74,90.78,89.73,90.66,591434
2016-02-02 09:30:00,90.19,90.49,89.48,89.56,408578
2016-02-03 09:30:00,89.36,89.69,88.55,88.58,423378
2016-02-04 09:30:00,87.58,87.73,86.86,87.22,406213
2016-02-05 09:30:00,87.48,87.89,86.53,86.59,336070
2016-02-08 09:30:00,82.81,82.81,80.81,81.45,1048831
2016-02-09 09:30:00,80.55,81.46,79.84,80.98,718166
2016-02-10 09:30:00,80.91,82.03,80.88,81.19,688138
2016-02-11 09:30:00,79.29,80.32,79.04,80.06,467552
2016-02-12 09:30:00,80.81,81.08,80.53,80.61,223479
2016-02-16 09:30:00,82.46,82.86,81.8,81.99,419578
2016-02-17 09:30:00,83.74,84.06,83.73,83.93,412008
2016-02-18 09:30:00,85.35,86.64,85.28,85.5,484921
2016-02-19 09:30:00,84.23,84.68,84.02,84.44,456647
2016-02-22 09:30:00,85.81,86.18,85.63,85.71,221740
2016-02-23 09:30:00,85.97,86.26,85.76,85.93,203359
2016-02-24 09:30:00,84.52,84.76,84.26,84.44,224460
2016-02-25 09:30:00,85.64,86.11,85.26,85.47,204115
2016-02-26 09:30:00,86.82,87.36,86.72,87.22,268028
2016-02-29 09:30:00,86.26,86.71,86.01,86.25,109514
2016-03-01 09:30:00,86.86,87.05,86.53,87.0,253720
2016-03-02 09:30:00,88.63,88.66,87.94,87.97,170749
2016-03-03 09:30:00,87.78,87.85,87.25,87.31,217868
2016-03-04 09:30:00,88.32,88.44,87.88,88.17,203301
2016-03-07 09:30:00,87.77,87.87,87.49,87.55,149883
2016-03-08 09:30:00,87.29,87.57,86.84,87.51,191608
2016-03-09 09:30:00,88.19,88.5,87.92,88.44,390469
2016-03-10 09:30:00,88.8,89.45,88.5,89.38,176642
2016-03-11 09:30:00,89.52,89.88,89.24,89.65,225703
2016-03-14 09:30:00,90.05,90.5,89.94,90.07,221889
2016-03-15 09:30:00,90.87,91.09,90.3,90.87,241792
2016-03-16 09:30:00,91.73,91.98,91.09,91.5,241491
2016-03-17 09:30:00,92.18,92.52,91.97,92.01,209830
2016-03-18 09:30:00,93.05,93.16,92.09,92.14,799540
2016-03-21 09:30:00,91.96,92.27,91.79,92.03,324307
2016-03-22 09:30:00,92.29,92.31,91.92,92.17,273673
2016-03-23 09:30:00,92.13,92.69,92.0,92.47,243592
2016-03-24 09:30:00,93.21,96.97,93.11,95.83,1258776
2016-03-28 09:30:00,98.04,98.86,97.97,98.76,546324
2016-03-29 09:30:00,97.2,98.23,97.2,98.09,646274
2016-03-30 09:30:00,98.87,99.26,98.65,98.85,715493
2016-03-31 09:30:00,98.54,99.29,98.54,98.96,192392
2016-04-01 09:30:00,98.32,98.86,98.27,98.86,238485
