open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,44.65,44.76,44.15,44.54,282629
2016-01-05 09:30:00,45.05,45.14,44.74,44.79,217364
2016-01-06 09:30:00,43.69,44.07,43.1,43.72,397431
2016-01-07 09:30:00,41.53,41.78,41.18,41.69,658196
2016-01-08 09:30:00,41.77,42.44,41.55,42.3,443744
2016-01-11 09:30:00,42.02,42.52,41.91,42.32,518378
2016-01-12 09:30:00,42.39,42.99,42.39,42.72,398644
2016-01-13 09:30:00,42.58,43.09,42.4,42.99,189537
2016-01-14 09:30:00,41.64,41.96,41.13,41.17,198275
2016-01-15 09:30:00,39.84,40.22,38.89,39.63,1527932
2016-01-19 09:30:00,41.43,41.97,41.35,41.49,338252
2016-01-20 09:30:00,40.62,40.95,40.39,40.62,493684
2016-01-21 09:30:00,42.4,42.44,41.32,41.53,405161
2016-01-22 09:30:00,42.39,42.61,42.25,42.32,162518
2016-01-25 09:30:00,42.2,42.25,41.79,41.93,163574
2016-01-26 09:30:00,42.26,42.47,41.9,41.98,207443
2016-01-27 09:30:00,42.01,42.38,41.89,42.16,327273
2016-01-28 09:30:00,42.53,42.78,42.36,42.5,462178
2016-01-29 09:30:00,42.86,43.32,42.25,43.18,360685
2016-02-01 09:30:00,43.94,44.16,43.6,43.88,231747
2016-02-02 09:30:00,42.84,43.35,42.53,42.68,242061
2016-02-03 09:30:00,42.76,42.78,42.4,42.6,296735
2016-02-04 09:30:00,42.16,42.7,41.89,42.24,182619
2016-02-05 09:30:00,42.31,42.65,41.92,41.95,168001
2016-02-08 09:30:00,40.54,40.73,40.34,40.54,242032
2016-02-09 09:30:00,40.2,40.89,40.02,40.72,560047
2016-02-10 09:30:00,40.92,41.12,40.58,40.89,166990
2016-02-11 09:30:00,39.83,40.22,39.65,40.11,180117
2016-02-12 09:30:00,40.85,40.98,40.08,40.11,175673
2016-02-16 09:30:00,40.99,41.7,40.99,41.43,420605
2016-02-17 09:30:00,42.08,44.44,42.08,43.61,898426
2016-02-18 09:30:00,43.64,44.15,43.04,43.4,210960
2016-02-19 09:30:00,42.71,43.14,42.64,42.68,367062
2016-02-22 09:30:00,43.74,43.74,43.34,43.55,122509
2016-02-23 09:30:00,43.18,43.41,42.72,43.25,174962
2016-02-24 09:30:00,41.99,42.26,41.68,41.69,177452
2016-02-25 09:30:00,43.5,44.03,42.89,42.96,198220
2016-02-26 09:30:00,44.23,44.5,43.98,43.99,193170
2016-02-29 09:30:00,44.36,44.77,44.31,44.36,152825
2016-03-01 09:30:00,44.77,44.79,43.99,44.47,242297
2016-03-02 09:30:00,45.41,46.23,45.31,46.04,356151
2016-03-03 09:30:00,46.15,46.29,45.62,45.68,214998
2016-03-04 09:30:00,46.2,46.21,45.73,45.73,268551
2016-03-07 09:30:00,45.78,46.41,45.78,46.21,222513
2016-03-08 09:30:00,46.46,46.65,46.28,46.34,240006
2016-03-09 09:30:00,46.23,46.4,45.97,45.97,114063
2016-03-10 09:30:00,45.92,46.26,45.76,46.23,182243
2016-03-11 09:30:00,46.33,46.49,45.64,46.38,162892
2016-03-14 09:30:00,46.12,46.28,46.09,46.23,98973
2016-03-15 09:30:00,45.92,46.47,45.78,46.09,335722
2016-03-16 09:30:00,46.24,46.71,46.2,46.6,169829
2016-03-17 09:30:00,46.89,47.3,46.89,47.24,180947
2016-03-18 09:30:00,47.98,48.33,47.91,48.22,1312046
2016-03-21 09:30:00,48.76,48.87,48.5,48.64,344301
2016-03-22 09:30:00,48.7,48.81,48.12,48.6,216118
2016-03-23 09:30:00,48.61,48.61,48.39,48.48,155017
2016-03-24 09:30:00,48.17,48.31,47.87,48.06,102441
2016-03-28 09:30:00,48.65,48.65,48.25,48.31,134513
2016-03-29 09:30:00,48.17,48.44,48.04,48.42,101089
2016-03-30 09:30:00,48.96,49.32,48.51,49.05,196509
2016-03-31 09:30:00,48.89,49.16,48.7,48.83,101214
2016-04-01 09:30:00,48.7,48.89,48.59,48.75,118407
2016-04-04 09:30:00,48.94,48.94,48.7,48.77,102816
2016-04-05 09:30:00,48.49,48.7,48.37,48.58,233776
2016-04-06 09:30:00,48.39,48.44,47.99,48.18,148417
2016-04-07 09:30:00,48.79,49.02,48.36,48.42,99068
2016-04-08 09:30:00,48.71,48.97,48.71,48.83,155464
2016-04-11 09:30:00,49.04,49.35,48.98,49.35,109280
2016-04-12 09:30:00,48.74,48.95,48.36,48.46,111107
2016-04-13 09:30:00,49.11,49.34,48.8,49.26,170200
2016-04-14 09:30:00,49.19,49.27,48.7,48.8,266937
2016-04-15 09:30:00,49.29,49.29,48.94,49.05,398085
2016-04-18 09:30:00,48.7,48.79,48.55,48.75,128273
2016-04-19 09:30:00,48.64,48.78,48.45,48.47,113420
2016-04-20 09:30:00,48.56,48.95,48.5,48.88,209051
2016-04-21 09:30:00,49.0,49.07,48.7,48.75,232337
2016-04-22 09:30:00,48.89,49.27,48.75,49.24,134166
2016-04-25 09:30:00,48.51,48.87,47.92,48.87,101683
