open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,40.96,41.19,40.8,41.02,494865
2016-01-05 09:30:00,41.26,41.32,40.6,40.66,396078
2016-01-06 09:30:00,41.39,41.7,41.24,41.7,276904
2016-01-07 09:30:00,41.42,41.75,41.37,41.75,279989
2016-01-08 09:30:00,41.33,41.64,41.2,41.48,183264
2016-01-11 09:30:00,41.36,41.66,41.24,41.61,123387
2016-01-12 09:30:00,41.72,41.77,40.7,40.79,511520
2016-01-13 09:30:00,41.25,41.46,41.2,41.25,283373
2016-01-14 09:30:00,41.29,41.75,41.14,41.73,375077
2016-01-15 09:30:00,41.34,41.86,41.31,41.56,571633
2016-01-19 09:30:00,41.8,42.14,41.58,41.81,366808
2016-01-20 09:30:00,41.89,42.12,41.67,41.73,197040
2016-01-21 09:30:00,40.65,41.36,40.59,40.8,414899
2016-01-22 09:30:00,41.41,41.43,40.91,41.03,401627
2016-01-25 09:30:00,41.47,41.48,41.09,41.36,293402
2016-01-26 09:30:00,41.09,41.6,40.99,41.57,303151
2016-01-27 09:30:00,41.22,41.38,40.99,41.38,171261
2016-01-28 09:30:00,40.46,41.32,40.2,41.16,479061
2016-01-29 09:30:00,42.48,42.82,42.48,42.67,379344
2016-02-01 09:30:00,43.21,43.61,43.08,43.45,485470
2016-02-02 09:30:00,43.72,43.89,43.57,43.76,281090
2016-02-03 09:30:00,44.12,44.56,44.05,44.5,250884
2016-02-04 09:30:00,44.73,44.87,44.37,44.56,218797
2016-02-05 09:30:00,44.04,44.1,43.6,44.05,352744
2016-02-08 09:30:00,44.48,45.06,44.2,44.22,405390
2016-02-09 09:30:00,44.6,44.98,44.29,44.53,406046
2016-02-10 09:30:00,44.4,44.7,44.06,44.11,233876
2016-02-11 09:30:00,44.69,45.03,44.31,44.34,330655
2016-02-12 09:30:00,44.21,44.21,43.46,43.94,313069
2016-02-16 09:30:00,43.54,43.57,43.24,43.54,296141
2016-02-17 09:30:00,43.68,43.76,43.12,43.26,538795
2016-02-18 09:30:00,43.54,43.94,43.54,43.94,187945
2016-02-19 09:30:00,44.62,44.64,44.02,44.29,332653
2016-02-22 09:30:00,44.32,44.64,44.21,44.64,165155
2016-02-23 09:30:00,44.65,44.79,44.39,44.61,150686
2016-02-24 09:30:00,44.87,45.24,44.66,45.13,218094
2016-02-25 09:30:00,45.15,45.45,45.04,45.41,154914
2016-02-26 09:30:00,45.23,45.58,44.99,45.0,289420
2016-02-29 09:30:00,43.94,44.19,43.91,44.17,210949
2016-03-01 09:30:00,44.33,44.51,44.23,44.43,149578
2016-03-02 09:30:00,43.96,44.14,42.99,43.28,402362
2016-03-03 09:30:00,44.16,44.21,43.57,43.6,231344
2016-03-04 09:30:00,43.93,44.01,43.61,43.7,291125
2016-03-07 09:30:00,44.61,44.91,44.44,44.89,211347
2016-03-08 09:30:00,45.2,45.29,44.96,45.22,131216
2016-03-09 09:30:00,45.51,45.96,45.42,45.89,254511
2016-03-10 09:30:00,45.96,46.06,45.76,46.0,190617
2016-03-11 09:30:00,46.14,46.23,45.95,45.98,143441
2016-03-14 09:30:00,45.66,45.96,45.58,45.82,132494
2016-03-15 09:30:00,45.9,46.09,45.65,45.98,132576
2016-03-16 09:30:00,45.98,45.98,45.56,45.7,136684
2016-03-17 09:30:00,46.6,46.6,46.35,46.48,243179
2016-03-18 09:30:00,46.92,46.94,46.4,46.67,1851123
2016-03-21 09:30:00,46.02,46.14,45.76,46.02,206187
2016-03-22 09:30:00,46.47,46.58,46.15,46.39,268992
2016-03-23 09:30:00,46.2,46.34,46.03,46.16,213305
2016-03-24 09:30:00,46.47,46.74,46.29,46.59,214513
2016-03-28 09:30:00,46.74,47.0,46.59,46.66,426466
2016-03-29 09:30:00,46.56,46.76,46.47,46.6,464702
2016-03-30 09:30:00,47.23,47.44,46.96,47.22,301380
2016-03-31 09:30:00,47.18,47.34,47.1,47.21,175706
2016-04-01 09:30:00,47.24,47.69,47.24,47.51,171079
2016-04-04 09:30:00,47.94,48.02,47.55,47.69,142481
2016-04-05 09:30:00,47.54,47.62,46.95,47.05,296409
2016-04-06 09:30:00,46.69,46.79,46.47,46.57,259606
2016-04-07 09:30:00,46.78,47.13,46.75,47.05,102950
2016-04-08 09:30:00,47.08,47.21,46.99,47.11,145663
2016-04-11 09:30:00,47.21,47.51,47.18,47.19,185419
2016-04-12 09:30:00,46.99,47.16,46.9,47.1,128809
2016-04-13 09:30:00,47.46,47.46,47.0,47.05,186959
2016-04-14 09:30:00,46.89,47.16,46.85,46.95,76912
