open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.36,23.51,23.25,23.4,574586
2016-01-05 09:30:00,23.7,23.7,23.46,23.5,404900
2016-01-06 09:30:00,23.18,23.27,23.12,23.24,485516
2016-01-07 09:30:00,22.7,22.98,22.69,22.91,365278
2016-01-08 09:30:00,22.92,22.97,22.73,22.83,337480
2016-01-11 09:30:00,22.66,22.76,22.56,22.58,337172
2016-01-12 09:30:00,22.93,22.98,22.83,22.95,370088
2016-01-13 09:30:00,23.17,23.26,23.09,23.19,657260
2016-01-14 09:30:00,22.66,22.76,22.49,22.52,474034
2016-01-15 09:30:00,22.26,22.51,22.21,22.45,1162074
2016-01-19 09:30:00,22.68,22.76,22.49,22.59,485452
2016-01-20 09:30:00,22.06,22.22,21.98,22.11,509352
2016-01-21 09:30:00,22.15,22.27,22.0,22.07,373264
2016-01-22 09:30:00,22.54,22.68,22.47,22.67,479348
2016-01-25 09:30:00,22.75,22.9,22.68,22.79,462126
2016-01-26 09:30:00,22.66,22.8,22.63,22.72,193574
2016-01-27 09:30:00,22.82,22.97,22.79,22.89,191568
2016-01-28 09:30:00,23.01,23.07,22.89,23.04,284838
2016-01-29 09:30:00,23.04,23.09,22.47,22.65,2015294
2016-02-01 09:30:00,22.8,22.87,22.63,22.71,920472
2016-02-02 09:30:00,22.54,23.2,22.15,23.18,1830410
2016-02-03 09:30:00,23.21,23.38,22.5,22.54,709090
2016-02-04 09:30:00,22.71,22.86,22.67,22.72,375120
2016-02-05 09:30:00,23.04,23.19,22.91,23.08,362516
2016-02-08 09:30:00,22.82,22.92,22.74,22.8,493090
2016-02-09 09:30:00,22.85,22.95,22.72,22.82,712992
2016-02-10 09:30:00,23.17,23.36,23.17,23.27,399078
2016-02-11 09:30:00,22.26,22.66,22.26,22.55,703996
2016-02-12 09:30:00,22.63,22.7,22.52,22.57,470238
2016-02-16 09:30:00,23.26,23.3,22.96,23.08,466108
2016-02-17 09:30:00,23.52,23.64,23.5,23.55,405492
2016-02-18 09:30:00,23.72,23.77,23.62,23.69,271392
2016-02-19 09:30:00,23.61,23.7,23.48,23.52,668358
2016-02-22 09:30:00,23.94,24.04,23.91,23.93,388242
2016-02-23 09:30:00,23.88,23.92,23.76,23.86,307414
2016-02-24 09:30:00,23.51,23.53,23.41,23.45,376014
2016-02-25 09:30:00,23.91,24.02,23.68,23.87,254300
2016-02-26 09:30:00,24.25,24.32,24.12,24.12,327964
2016-02-29 09:30:00,24.09,24.1,23.88,23.99,284636
2016-03-01 09:30:00,23.99,24.12,23.99,24.08,437018
2016-03-02 09:30:00,24.43,24.51,24.34,24.36,421548
2016-03-03 09:30:00,24.52,24.57,24.38,24.4,424868
2016-03-04 09:30:00,24.51,24.57,24.34,24.37,349026
2016-03-07 09:30:00,24.28,24.39,24.24,24.32,236212
2016-03-08 09:30:00,24.06,24.13,23.84,23.84,441636
2016-03-09 09:30:00,24.19,24.2,23.88,24.2,295096
2016-03-10 09:30:00,24.23,24.39,24.19,24.38,399290
2016-03-11 09:30:00,24.46,24.7,24.4,24.68,539848
2016-03-14 09:30:00,24.76,24.85,24.66,24.76,361290
2016-03-15 09:30:00,24.51,24.58,24.44,24.52,314026
2016-03-16 09:30:00,24.6,24.76,24.52,24.73,191398
2016-03-17 09:30:00,24.95,25.0,24.76,24.98,324662
2016-03-18 09:30:00,25.49,25.6,25.39,25.54,1745384
2016-03-21 09:30:00,25.32,25.47,25.28,25.45,169382
2016-03-22 09:30:00,25.25,25.36,25.16,25.36,385110
2016-03-23 09:30:00,25.41,25.43,25.3,25.41,285650
2016-03-24 09:30:00,25.2,25.2,25.02,25.06,323242
2016-03-28 09:30:00,25.14,25.29,25.14,25.25,263418
2016-03-29 09:30:00,25.19,25.25,25.08,25.24,189406
2016-03-30 09:30:00,25.42,25.54,25.38,25.45,296390
2016-03-31 09:30:00,25.49,25.61,25.45,25.45,216722
2016-04-01 09:30:00,25.22,25.3,25.15,25.27,392454
2016-04-04 09:30:00,25.68,25.68,25.56,25.65,202150
2016-04-05 09:30:00,25.31,25.56,25.31,25.42,466366
2016-04-06 09:30:00,25.51,25.59,25.41,25.45,295106
2016-04-07 09:30:00,25.29,25.47,25.26,25.42,271356
2016-04-08 09:30:00,25.41,25.59,25.4,25.57,293268
2016-04-11 09:30:00,25.63,25.83,25.62,25.77,287182
2016-04-12 09:30:00,25.73,25.85,25.7,25.79,254058
2016-04-13 09:30:00,26.4,26.55,26.39,26.47,618676
2016-04-14 09:30:00,26.74,26.93,26.7,26.7,767298
2016-04-15 09:30:00,26.79,26.85,26.74,26.79,608786
2016-04-18 09:30:00,26.71,26.74,26.59,26.7,365858
2016-04-19 09:30:00,26.92,27.05,26.89,27.04,454262
2016-04-20 09:30:00,27.13,27.22,27.08,27.16,808224
2016-04-21 09:30:00,27.0,27.18,27.0,27.16,533630
2016-04-22 09:30:00,27.03,27.25,27.0,27.24,387538
2016-04-25 09:30:00,27.19,27.22,26.97,27.06,295216
2016-04-26 09:30:00,27.24,27.5,27.21,27.47,455064
2016-04-27 09:30:00,27.18,27.76,27.15,27.66,957246
2016-04-28 09:30:00,27.64,27.79,27.56,27.76,563092
2016-04-29 09:30:00,27.55,27.71,27.44,27.48,280962
2016-05-02 09:30:00,27.5,27.74,27.36,27.58,480526
2016-05-03 09:30:00,27.53,27.53,27.33,27.45,377038
2016-05-04 09:30:00,27.47,27.53,27.29,27.48,289194
2016-05-05 09:30:00,27.42,27.6,27.39,27.6,256052
2016-05-06 09:30:00,27.39,27.52,27.33,27.4,190588
2016-05-09 09:30:00,27.48,27.62,27.46,27.6,296324
2016-05-10 09:30:00,27.41,27.71,27.32,27.64,490512
2016-05-11 09:30:00,27.52,27.73,27.44,27.65,217240
2016-05-12 09:30:00,27.71,27.8,27.65,27.7,311126
2016-05-13 09:30:00,27.67,27.9,27.54,27.68,365084
2016-05-16 09:30:00,27.61,27.82,27.57,27.64,478840
2016-05-17 09:30:00,27.8,27.85,27.67,27.73,435294
2016-05-18 09:30:00,27.55,27.77,27.49,27.69,331430
2016-05-19 09:30:00,27.72,27.77,27.59,27.59,685832
2016-05-20 09:30:00,27.66,27.71,27.56,27.68,1028530
2016-05-23 09:30:00,27.6,27.63,27.47,27.49,269210
2016-05-24 09:30:00,27.71,27.98,27.7,27.96,606976
2016-05-25 09:30:00,28.06,28.22,28.06,28.2,413300
2016-05-26 09:30:00,28.1,28.15,27.92,27.92,267454
2016-05-27 09:30:00,27.89,27.98,27.86,27.96,166272
2016-05-31 09:30:00,28.05,28.13,28.02,28.08,256868
2016-06-01 09:30:00,27.81,27.86,27.69,27.71,447282
2016-06-02 09:30:00,27.88,27.91,27.78,27.81,268342
2016-06-03 09:30:00,27.84,27.87,27.67,27.7,282842
2016-06-06 09:30:00,27.93,28.11,27.74,28.05,203302
2016-06-07 09:30:00,28.0,28.09,27.91,28.0,148796
2016-06-08 09:30:00,27.88,28.04,27.82,28.02,176412
2016-06-09 09:30:00,28.01,28.07,27.91,27.93,272180
2016-06-10 09:30:00,27.71,27.86,27.71,27.82,187306
2016-06-13 09:30:00,27.7,27.77,27.59,27.75,238444
2016-06-14 09:30:00,27.5,27.62,27.46,27.59,217056
2016-06-15 09:30:00,27.59,27.62,27.5,27.5,256110
2016-06-16 09:30:00,27.24,27.33,27.15,27.15,320528
2016-06-17 09:30:00,27.7,27.82,27.69,27.82,644152
2016-06-20 09:30:00,28.09,28.27,28.06,28.15,522490
2016-06-21 09:30:00,28.21,28.27,28.16,28.2,301828
2016-06-22 09:30:00,28.47,28.59,28.41,28.52,280558
2016-06-23 09:30:00,28.83,28.98,28.73,28.75,449854
2016-06-24 09:30:00,27.66,28.23,27.61,28.2,987530
2016-06-27 09:30:00,27.57,27.62,27.35,27.36,539452
2016-06-28 09:30:00,27.51,27.54,27.38,27.47,459536
2016-06-29 09:30:00,27.88,28.02,27.82,27.84,284868
2016-06-30 09:30:00,28.27,28.38,28.19,28.36,172298
2016-07-01 09:30:00,29.07,29.29,29.0,29.22,406024
2016-07-05 09:30:00,28.97,29.0,28.84,28.91,362928
2016-07-06 09:30:00,28.7,28.85,28.7,28.85,387998
2016-07-07 09:30:00,29.06,29.06,28.81,28.97,610572
2016-07-08 09:30:00,29.1,29.17,28.96,28.97,363222
2016-07-11 09:30:00,29.2,29.42,29.2,29.34,349466
2016-07-12 09:30:00,29.41,29.61,29.4,29.55,425110
2016-07-13 09:30:00,29.54,29.61,29.45,29.52,266900
2016-07-14 09:30:00,29.72,29.85,29.7,29.78,369092
2016-07-15 09:30:00,29.77,29.86,29.57,29.68,896814
2016-07-18 09:30:00,29.55,29.62,29.55,29.56,179408
2016-07-19 09:30:00,29.42,29.61,29.36,29.6,286282
2016-07-20 09:30:00,29.66,29.68,29.52,29.59,421762
2016-07-21 09:30:00,29.6,29.65,29.54,29.55,109962
2016-07-22 09:30:00,29.59,29.59,29.47,29.51,202908
2016-07-25 09:30:00,29.64,29.64,29.54,29.59,216044
2016-07-26 09:30:00,29.58,29.68,29.52,29.64,536958
2016-07-27 09:30:00,29.64,29.78,29.64,29.7,306978
2016-07-28 09:30:00,29.45,29.54,29.33,29.53,209044
2016-07-29 09:30:00,28.94,29.75,28.64,29.24,1052326
2016-08-01 09:30:00,28.96,29.09,28.73,28.95,898494
2016-08-02 09:30:00,28.85,28.91,28.75,28.82,220816
2016-08-03 09:30:00,28.91,28.98,28.81,28.85,605506
2016-08-04 09:30:00,28.93,29.02,28.8,28.9,329182
2016-08-05 09:30:00,29.16,29.44,29.08,29.44,463198
2016-08-08 09:30:00,29.44,29.54,29.39,29.41,322096
2016-08-09 09:30:00,29.4,29.48,29.35,29.43,314884
2016-08-10 09:30:00,29.42,29.46,29.37,29.43,694274
2016-08-11 09:30:00,29.48,29.69,29.47,29.63,500428
2016-08-12 09:30:00,29.35,29.46,29.24,29.34,296794
2016-08-15 09:30:00,29.36,29.46,29.36,29.4,240170
2016-08-16 09:30:00,29.25,29.26,29.07,29.1,213800
2016-08-17 09:30:00,29.16,29.2,29.1,29.12,251858
2016-08-18 09:30:00,29.3,29.3,29.13,29.14,235684
2016-08-19 09:30:00,29.01,29.04,28.86,28.91,629742
2016-08-22 09:30:00,29.26,29.36,29.21,29.25,228500
2016-08-23 09:30:00,29.44,29.56,29.44,29.54,205852
2016-08-24 09:30:00,29.44,29.49,29.39,29.42,140052
2016-08-25 09:30:00,29.37,29.51,29.37,29.44,242556
2016-08-26 09:30:00,29.54,29.69,29.54,29.65,374666
2016-08-29 09:30:00,29.54,29.75,29.53,29.71,200404
2016-08-30 09:30:00,29.88,29.98,29.88,29.96,198730
2016-08-31 09:30:00,30.07,30.17,30.07,30.13,179098
2016-09-01 09:30:00,30.08,30.11,29.92,29.96,271404
2016-09-02 09:30:00,30.0,30.11,29.96,30.04,143430
2016-09-06 09:30:00,29.95,29.95,29.81,29.9,188028
2016-09-07 09:30:00,29.75,29.87,29.67,29.84,199970
2016-09-08 09:30:00,29.78,29.79,29.65,29.72,180436
2016-09-09 09:30:00,29.49,29.55,29.39,29.52,353552
2016-09-12 09:30:00,29.22,29.24,29.05,29.16,379028
2016-09-13 09:30:00,29.42,29.46,29.32,29.33,299868
2016-09-14 09:30:00,29.11,29.16,29.02,29.07,160988
2016-09-15 09:30:00,29.09,29.25,29.08,29.21,192514
2016-09-16 09:30:00,29.18,29.18,28.93,29.09,1412822
2016-09-19 09:30:00,29.03,29.24,29.0,29.23,274590
2016-09-20 09:30:00,29.38,29.53,29.29,29.34,266396
2016-09-21 09:30:00,29.53,29.67,29.53,29.66,240164
2016-09-22 09:30:00,29.84,29.95,29.82,29.85,282748
2016-09-23 09:30:00,29.71,29.77,29.6,29.7,301100
2016-09-26 09:30:00,29.28,29.32,29.2,29.22,251038
2016-09-27 09:30:00,29.11,29.16,28.96,29.16,169830
2016-09-28 09:30:00,29.34,29.43,29.29,29.33,112930
2016-09-29 09:30:00,29.33,29.35,29.26,29.31,116430
2016-09-30 09:30:00,29.1,29.21,28.98,29.08,140526
2016-10-03 09:30:00,29.01,29.07,28.88,29.03,174590
2016-10-04 09:30:00,29.04,29.09,28.96,29.0,420312
2016-10-05 09:30:00,29.05,29.15,29.03,29.08,242640
2016-10-06 09:30:00,29.18,29.23,29.03,29.06,183336
2016-10-07 09:30:00,29.03,29.17,28.96,28.97,191410
2016-10-10 09:30:00,29.01,29.17,29.01,29.13,181466
2016-10-11 09:30:00,28.99,29.01,28.88,28.89,136124
2016-10-12 09:30:00,28.76,28.9,28.76,28.9,251146
2016-10-13 09:30:00,28.81,28.86,28.47,28.5,224168
2016-10-14 09:30:00,28.81,29.04,28.8,29.0,209840
2016-10-17 09:30:00,28.75,28.75,28.66,28.68,172382
2016-10-18 09:30:00,28.8,28.84,28.69,28.7,169388
2016-10-19 09:30:00,28.56,28.61,28.52,28.59,622698
2016-10-20 09:30:00,28.48,28.54,28.45,28.54,211920
2016-10-21 09:30:00,28.01,28.02,27.81,27.96,734254
2016-10-24 09:30:00,28.24,28.35,28.2,28.33,186294
2016-10-25 09:30:00,28.32,28.35,28.16,28.16,294398
2016-10-26 09:30:00,28.04,28.25,28.04,28.18,136460
2016-10-27 09:30:00,28.41,28.44,28.23,28.32,184846
2016-10-28 09:30:00,28.54,28.73,28.27,28.73,451502
2016-10-31 09:30:00,27.89,27.97,27.86,27.89,233772
2016-11-01 09:30:00,27.97,28.03,27.83,27.83,236698
2016-11-02 09:30:00,27.7,27.83,27.64,27.83,204316
2016-11-03 09:30:00,27.83,27.94,27.77,27.9,323924
2016-11-04 09:30:00,27.94,27.97,27.69,27.72,199462
2016-11-07 09:30:00,28.13,28.2,28.09,28.13,359310
2016-11-08 09:30:00,28.18,28.21,28.08,28.2,170124
2016-11-09 09:30:00,28.53,28.67,28.29,28.63,583772
2016-11-10 09:30:00,29.25,29.75,29.05,29.72,915508
2016-11-11 09:30:00,29.5,29.69,29.38,29.68,418320
2016-11-14 09:30:00,29.63,29.87,29.56,29.73,411262
2016-11-15 09:30:00,29.36,29.36,29.16,29.19,377602
2016-11-16 09:30:00,29.37,29.47,29.34,29.37,218812
2016-11-17 09:30:00,29.24,29.59,29.19,29.5,164054
2016-11-18 09:30:00,29.48,29.63,29.39,29.62,442134
2016-11-21 09:30:00,29.54,29.68,29.5,29.52,249256
2016-11-22 09:30:00,29.24,29.25,29.13,29.18,321636
2016-11-23 09:30:00,29.07,29.29,28.99,29.09,336122
2016-11-25 09:30:00,29.18,29.3,29.14,29.26,153430
2016-11-28 09:30:00,29.05,29.15,29.0,29.08,249482
2016-11-29 09:30:00,28.97,29.07,28.95,28.99,119964
2016-11-30 09:30:00,29.23,29.31,29.09,29.09,240452
2016-12-01 09:30:00,29.14,29.17,28.79,28.85,473352
2016-12-02 09:30:00,28.52,28.62,27.92,28.2,824178
2016-12-05 09:30:00,27.96,28.04,27.84,28.02,390734
2016-12-06 09:30:00,28.01,28.01,27.76,27.82,468656
2016-12-07 09:30:00,27.93,28.12,27.87,28.12,280260
2016-12-08 09:30:00,28.42,28.55,28.38,28.45,464042
2016-12-09 09:30:00,28.02,28.03,27.5,27.67,1234978
2016-12-12 09:30:00,28.09,28.19,27.91,28.18,554942
2016-12-13 09:30:00,28.24,28.44,28.24,28.4,331708
2016-12-14 09:30:00,28.39,28.71,28.37,28.57,400990
2016-12-15 09:30:00,28.42,28.6,28.35,28.6,451004
2016-12-16 09:30:00,28.27,28.29,28.12,28.16,1718998
2016-12-19 09:30:00,28.2,28.29,28.05,28.05,252078
2016-12-20 09:30:00,28.46,28.64,28.45,28.57,207682
2016-12-21 09:30:00,28.46,28.66,28.46,28.62,318772
2016-12-22 09:30:00,28.58,28.6,28.44,28.46,213960
2016-12-23 09:30:00,28.67,28.68,28.58,28.62,163144
2016-12-27 09:30:00,28.58,28.68,28.53,28.63,128336
2016-12-28 09:30:00,28.61,28.62,28.49,28.55,221826
2016-12-29 09:30:00,28.46,28.57,28.44,28.55,162136
2016-12-30 09:30:00,28.54,28.57,28.46,28.51,162774
2017-01-03 09:30:00,28.55,28.65,28.24,28.33,509566
2017-01-04 09:30:00,28.52,28.69,28.44,28.61,313398
2017-01-05 09:30:00,28.63,28.75,28.54,28.71,354502
2017-01-06 09:30:00,28.6,28.66,28.43,28.56,215344
2017-01-09 09:30:00,28.47,28.58,28.38,28.56,241108
2017-01-10 09:30:00,28.32,28.42,28.22,28.42,262586
2017-01-11 09:30:00,28.32,28.41,28.22,28.39,338568
2017-01-12 09:30:00,28.33,28.34,28.15,28.18,401916
2017-01-13 09:30:00,28.42,28.59,28.35,28.57,378620
2017-01-17 09:30:00,28.16,28.39,28.15,28.39,317488
2017-01-18 09:30:00,28.55,28.56,28.27,28.33,600378
2017-01-19 09:30:00,28.54,28.62,28.52,28.53,245198
2017-01-20 09:30:00,28.49,28.58,28.42,28.51,1000766
2017-01-23 09:30:00,28.48,28.53,28.33,28.35,243134
2017-01-24 09:30:00,28.38,28.48,28.25,28.48,301906
2017-01-25 09:30:00,28.56,28.75,28.51,28.55,705920
2017-01-26 09:30:00,28.74,28.8,28.67,28.8,286016
2017-01-27 09:30:00,28.68,28.74,28.59,28.61,294866
2017-01-30 09:30:00,28.62,28.62,28.46,28.57,366030
2017-01-31 09:30:00,28.64,28.83,28.54,28.62,328000
2017-02-01 09:30:00,28.11,28.5,28.08,28.09,1189398
2017-02-02 09:30:00,27.2,27.53,27.09,27.49,685018
2017-02-03 09:30:00,28.07,28.08,27.78,27.94,401696
2017-02-06 09:30:00,27.87,28.13,27.77,28.08,409952
2017-02-07 09:30:00,28.2,28.22,28.05,28.08,432146
2017-02-08 09:30:00,28.09,28.23,28.03,28.2,354668
2017-02-09 09:30:00,28.46,28.54,28.32,28.51,230228
2017-02-10 09:30:00,28.51,28.56,28.48,28.51,286042
2017-02-13 09:30:00,28.61,28.73,28.61,28.7,467624
2017-02-14 09:30:00,29.04,29.19,29.01,29.14,526488
2017-02-15 09:30:00,29.05,29.19,28.98,29.05,374912
2017-02-16 09:30:00,28.98,29.19,28.95,29.14,220804
2017-02-17 09:30:00,29.07,29.1,28.88,28.88,765972
2017-02-21 09:30:00,29.15,29.36,29.15,29.22,406230
2017-02-22 09:30:00,29.13,29.3,29.09,29.29,444418
2017-02-23 09:30:00,29.18,29.34,29.18,29.34,281896
2017-02-24 09:30:00,29.2,29.34,29.15,29.31,382110
2017-02-27 09:30:00,29.5,29.67,29.41,29.67,754382
2017-02-28 09:30:00,29.57,29.69,29.57,29.63,321432
2017-03-01 09:30:00,29.93,29.99,29.84,29.96,587626
2017-03-02 09:30:00,29.87,29.9,29.72,29.78,243754
2017-03-03 09:30:00,29.62,29.73,29.6,29.61,130784
2017-03-06 09:30:00,29.52,29.66,29.44,29.64,251806
2017-03-07 09:30:00,29.58,29.61,29.44,29.48,157502
2017-03-08 09:30:00,29.66,29.75,29.56,29.6,593710
2017-03-09 09:30:00,29.65,29.7,29.54,29.55,399450
2017-03-10 09:30:00,29.66,29.81,29.59,29.71,188808
2017-03-13 09:30:00,29.54,29.62,29.45,29.52,222282
2017-03-14 09:30:00,29.48,29.51,29.42,29.46,156716
2017-03-15 09:30:00,29.45,29.5,29.41,29.42,227350
2017-03-16 09:30:00,29.64,29.83,29.61,29.77,407874
2017-03-17 09:30:00,29.72,29.74,29.61,29.62,750600
2017-03-20 09:30:00,29.65,29.65,29.51,29.61,185642
2017-03-21 09:30:00,29.69,29.76,29.55,29.57,214660
2017-03-22 09:30:00,29.18,29.36,28.95,29.23,385206
2017-03-23 09:30:00,29.34,29.42,29.26,29.41,122222
2017-03-24 09:30:00,29.53,29.59,29.47,29.56,214336
2017-03-27 09:30:00,29.19,29.41,29.13,29.4,329618
2017-03-28 09:30:00,29.39,29.52,29.38,29.45,358326
2017-03-29 09:30:00,29.51,29.56,29.4,29.56,429506
2017-03-30 09:30:00,29.28,29.46,29.28,29.46,200152
2017-03-31 09:30:00,29.57,29.69,29.57,29.65,185232
2017-04-03 09:30:00,29.82,29.9,29.71,29.73,427032
2017-04-04 09:30:00,29.74,29.81,29.67,29.75,195368
2017-04-05 09:30:00,29.82,29.91,29.81,29.87,438726
2017-04-06 09:30:00,29.76,29.9,29.6,29.9,507688
2017-04-07 09:30:00,29.78,29.97,29.78,29.84,228442
2017-04-10 09:30:00,29.9,30.01,29.89,30.0,1266942
2017-04-11 09:30:00,30.04,30.13,29.99,30.09,225976
2017-04-12 09:30:00,29.99,30.19,29.99,30.16,361006
2017-04-13 09:30:00,29.98,30.09,29.92,30.03,216498
2017-04-17 09:30:00,29.98,30.13,29.97,30.01,199450
2017-04-18 09:30:00,30.18,30.4,30.15,30.36,481216
2017-04-19 09:30:00,30.4,30.48,30.35,30.37,747508
2017-04-20 09:30:00,30.31,30.31,30.1,30.11,314228
2017-04-21 09:30:00,30.4,30.52,30.31,30.52,384896
2017-04-24 09:30:00,30.73,30.77,30.64,30.76,411026
2017-04-25 09:30:00,30.75,30.83,30.68,30.75,541158
2017-04-26 09:30:00,30.68,30.76,30.56,30.75,442246
2017-04-27 09:30:00,30.74,30.8,30.67,30.69,231348
2017-04-28 09:30:00,30.84,31.51,30.74,31.27,798916
2017-05-01 09:30:00,30.76,30.83,30.58,30.69,226560
2017-05-02 09:30:00,30.5,30.68,30.5,30.6,189218
2017-05-03 09:30:00,30.7,30.71,30.55,30.69,196042
2017-05-04 09:30:00,30.76,30.88,30.6,30.63,188006
2017-05-05 09:30:00,30.54,30.56,30.41,30.44,95760
2017-05-08 09:30:00,30.51,30.53,30.38,30.44,170412
2017-05-09 09:30:00,30.47,30.55,30.34,30.35,227062
2017-05-10 09:30:00,30.22,30.46,30.21,30.46,319530
2017-05-11 09:30:00,30.37,30.38,30.25,30.27,284950
2017-05-12 09:30:00,30.19,30.3,30.13,30.26,203600
2017-05-15 09:30:00,30.17,30.28,30.15,30.19,183112
2017-05-16 09:30:00,30.24,30.28,30.16,30.22,132624
2017-05-17 09:30:00,29.91,30.14,29.84,30.0,286988
2017-05-18 09:30:00,30.17,30.21,30.09,30.2,287378
2017-05-19 09:30:00,30.24,30.28,30.15,30.19,828812
2017-05-22 09:30:00,30.44,30.58,30.4,30.54,360666
2017-05-23 09:30:00,30.49,30.55,30.45,30.55,271784
2017-05-24 09:30:00,30.58,30.62,30.51,30.52,118236
2017-05-25 09:30:00,30.45,30.53,30.43,30.48,150750
2017-05-26 09:30:00,30.75,30.78,30.69,30.77,171492
2017-05-30 09:30:00,30.8,31.04,30.75,31.01,411442
2017-05-31 09:30:00,30.98,30.98,30.87,30.93,349544
2017-06-01 09:30:00,31.15,31.18,31.02,31.08,277280
2017-06-02 09:30:00,31.25,31.33,31.17,31.21,291802
2017-06-05 09:30:00,31.29,31.31,31.19,31.31,153864
2017-06-06 09:30:00,31.11,31.16,31.03,31.13,171116
2017-06-07 09:30:00,30.88,30.89,30.73,30.89,152824
2017-06-08 09:30:00,30.96,31.07,30.91,30.99,316164
2017-06-09 09:30:00,31.08,31.26,31.05,31.23,228606
2017-06-12 09:30:00,32.1,32.2,31.91,31.93,448378
2017-06-13 09:30:00,32.02,32.08,31.97,32.06,225092
2017-06-14 09:30:00,31.89,32.21,31.89,32.16,258698
2017-06-15 09:30:00,32.03,32.13,31.99,32.11,245068
2017-06-16 09:30:00,32.13,32.15,32.02,32.03,675620
2017-06-19 09:30:00,32.43,32.7,32.37,32.69,397320
2017-06-20 09:30:00,32.59,32.73,32.57,32.59,160210
2017-06-21 09:30:00,32.47,32.53,32.34,32.42,172028
2017-06-22 09:30:00,32.16,32.16,32.02,32.1,147886
2017-06-23 09:30:00,31.96,32.11,31.96,32.03,171276
2017-06-26 09:30:00,32.1,32.18,32.03,32.18,122270
2017-06-27 09:30:00,32.04,32.17,32.03,32.1,127628
2017-06-28 09:30:00,32.28,32.51,32.27,32.48,136694
2017-06-29 09:30:00,32.5,32.58,32.16,32.19,280448
2017-06-30 09:30:00,32.12,32.25,31.99,32.02,190632
2017-07-03 09:30:00,32.2,32.38,32.11,32.37,199652
2017-07-05 09:30:00,32.33,32.45,32.27,32.35,180144
2017-07-06 09:30:00,32.26,32.32,32.06,32.06,157358
2017-07-07 09:30:00,32.05,32.1,32.0,32.05,172212
2017-07-10 09:30:00,32.08,32.19,32.08,32.14,156718
2017-07-11 09:30:00,32.07,32.09,31.97,32.06,167154
2017-07-12 09:30:00,31.97,32.11,31.92,32.08,147132
2017-07-13 09:30:00,32.01,32.13,31.99,32.1,93338
2017-07-14 09:30:00,31.99,32.07,31.83,32.05,105772
2017-07-17 09:30:00,32.06,32.08,31.93,31.97,145162
2017-07-18 09:30:00,31.9,32.01,31.83,31.99,121700
2017-07-19 09:30:00,32.15,32.17,32.01,32.11,230100
2017-07-20 09:30:00,32.04,32.28,31.95,32.24,311210
2017-07-21 09:30:00,31.97,32.07,31.97,31.99,328898
2017-07-24 09:30:00,31.98,32.04,31.95,32.0,101382
2017-07-25 09:30:00,32.23,32.31,32.15,32.21,255570
2017-07-26 09:30:00,32.15,32.24,32.13,32.17,241236
2017-07-27 09:30:00,31.89,31.9,31.59,31.69,303692
2017-07-28 09:30:00,31.94,32.91,31.94,32.6,883990
2017-07-31 09:30:00,32.81,32.86,32.67,32.73,247682
2017-08-01 09:30:00,32.96,33.1,32.82,33.08,251218
2017-08-02 09:30:00,33.25,33.36,33.22,33.24,143832
2017-08-03 09:30:00,33.43,33.47,33.34,33.43,190152
2017-08-04 09:30:00,33.51,33.53,33.37,33.37,152534
2017-08-07 09:30:00,33.45,33.62,33.36,33.5,177306
2017-08-08 09:30:00,33.43,33.52,33.4,33.51,106416
2017-08-09 09:30:00,33.48,33.54,33.28,33.54,330576
2017-08-10 09:30:00,33.5,33.62,33.47,33.54,296754
2017-08-11 09:30:00,33.26,33.49,33.26,33.41,327070
2017-08-14 09:30:00,33.39,33.56,33.32,33.56,388892
2017-08-15 09:30:00,33.6,33.76,33.54,33.54,199538
2017-08-16 09:30:00,33.6,33.68,33.58,33.68,134212
2017-08-17 09:30:00,33.29,33.39,33.25,33.31,112168
2017-08-18 09:30:00,32.86,32.9,32.74,32.84,314200
2017-08-21 09:30:00,32.95,33.03,32.82,32.83,214378
2017-08-22 09:30:00,33.12,33.15,33.06,33.13,155770
