open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,47.49,47.92,47.42,47.68,927403
2016-01-05 09:30:00,47.42,47.81,47.36,47.56,383869
2016-01-06 09:30:00,46.96,47.04,46.82,47.03,881153
2016-01-07 09:30:00,45.93,46.49,45.9,46.38,838507
2016-01-08 09:30:00,46.15,46.3,45.95,46.05,846114
2016-01-11 09:30:00,45.43,45.51,44.99,45.1,756529
2016-01-12 09:30:00,45.67,45.82,45.51,45.65,818882
2016-01-13 09:30:00,46.48,46.57,46.2,46.49,1656097
2016-01-14 09:30:00,44.56,44.7,44.31,44.37,817021
2016-01-15 09:30:00,43.5,44.19,43.4,43.97,1797497
2016-01-19 09:30:00,44.36,44.59,44.26,44.41,817016
2016-01-20 09:30:00,42.77,43.2,42.68,42.84,2026375
2016-01-21 09:30:00,43.28,43.57,43.2,43.42,1061488
2016-01-22 09:30:00,44.18,44.41,43.86,43.93,972679
2016-01-25 09:30:00,44.08,44.31,43.85,43.9,775751
2016-01-26 09:30:00,44.12,44.45,44.02,44.18,2370025
2016-01-27 09:30:00,43.56,43.73,43.3,43.43,1598978
2016-01-28 09:30:00,43.17,43.35,43.02,43.08,1157447
2016-01-29 09:30:00,43.21,43.49,43.07,43.47,800372
2016-02-01 09:30:00,43.8,43.94,43.46,43.72,1378226
2016-02-02 09:30:00,43.54,43.72,43.43,43.64,1311900
2016-02-03 09:30:00,43.46,43.46,42.34,42.45,2001286
2016-02-04 09:30:00,42.37,42.76,42.31,42.57,838384
2016-02-05 09:30:00,42.32,42.38,42.04,42.15,1357308
2016-02-08 09:30:00,41.2,41.28,40.86,41.01,1915992
2016-02-09 09:30:00,40.34,40.97,40.26,40.87,1210689
2016-02-10 09:30:00,41.38,41.86,41.31,41.74,1112579
2016-02-11 09:30:00,40.04,40.16,39.85,40.06,1775597
2016-02-12 09:30:00,40.61,41.61,40.28,41.5,3200586
2016-02-16 09:30:00,41.59,41.97,41.17,41.18,1093274
2016-02-17 09:30:00,41.31,41.39,41.0,41.26,1360793
2016-02-18 09:30:00,40.77,41.02,40.58,40.66,1433562
2016-02-19 09:30:00,40.73,40.75,40.44,40.44,1376203
2016-02-22 09:30:00,40.79,41.01,40.78,40.95,638364
2016-02-23 09:30:00,40.81,40.83,40.48,40.59,645347
2016-02-24 09:30:00,39.56,39.77,39.55,39.61,1160859
2016-02-25 09:30:00,39.86,40.02,39.6,39.64,655186
2016-02-26 09:30:00,40.71,40.73,40.43,40.44,840775
2016-02-29 09:30:00,40.1,40.12,39.41,39.44,955115
2016-03-01 09:30:00,39.74,39.77,39.54,39.57,899798
2016-03-02 09:30:00,40.69,40.78,40.44,40.5,675802
2016-03-03 09:30:00,40.72,40.91,40.55,40.73,827694
2016-03-04 09:30:00,41.15,41.31,40.8,40.84,1008189
2016-03-07 09:30:00,40.72,40.92,40.4,40.69,877060
2016-03-08 09:30:00,40.9,41.12,40.69,40.78,567812
2016-03-09 09:30:00,40.99,41.02,40.73,40.77,623572
2016-03-10 09:30:00,40.55,41.03,40.48,41.0,832493
2016-03-11 09:30:00,41.06,41.3,40.99,41.29,554271
2016-03-14 09:30:00,41.61,41.76,41.5,41.64,440025
