open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,64.96,65.34,64.26,65.02,67096
2016-01-05 09:30:00,64.61,65.9,64.61,65.47,43083
2016-01-06 09:30:00,64.89,65.12,64.76,65.01,44366
2016-01-07 09:30:00,63.55,64.62,63.53,64.51,42727
2016-01-08 09:30:00,63.95,64.26,63.57,64.21,37167
2016-01-11 09:30:00,63.53,63.62,63.2,63.2,52733
2016-01-12 09:30:00,63.99,64.05,63.78,63.97,64479
2016-01-13 09:30:00,64.65,65.0,64.34,64.89,69828
2016-01-14 09:30:00,64.65,65.03,64.12,64.17,154522
2016-01-15 09:30:00,63.95,64.43,63.76,64.13,94410
2016-01-19 09:30:00,65.11,65.51,64.73,65.25,131329
2016-01-20 09:30:00,63.98,64.29,63.24,64.18,87730
2016-01-21 09:30:00,63.16,63.76,63.08,63.38,30023
2016-01-22 09:30:00,64.25,64.92,64.15,64.87,57173
2016-01-25 09:30:00,65.35,65.99,64.74,65.12,42939
2016-01-26 09:30:00,64.71,65.57,64.38,65.57,64909
2016-01-27 09:30:00,65.11,65.41,64.91,65.23,21494
2016-01-28 09:30:00,65.33,65.66,65.19,65.41,24904
2016-01-29 09:30:00,65.62,66.13,65.62,66.13,23126
2016-02-01 09:30:00,66.53,66.82,66.33,66.76,34106
2016-02-02 09:30:00,65.68,65.91,65.45,65.75,25909
2016-02-03 09:30:00,65.8,65.8,65.42,65.63,39588
2016-02-04 09:30:00,65.08,65.47,65.07,65.38,46790
2016-02-05 09:30:00,64.87,65.43,64.36,65.09,25817
2016-02-08 09:30:00,63.64,63.64,62.71,62.83,78125
2016-02-09 09:30:00,61.75,62.83,61.64,62.68,55586
2016-02-10 09:30:00,59.78,59.9,56.15,57.79,499550
2016-02-11 09:30:00,53.47,54.77,53.17,54.57,214298
2016-02-12 09:30:00,55.54,56.02,55.0,55.19,58249
2016-02-16 09:30:00,55.42,55.7,54.8,54.91,83379
2016-02-17 09:30:00,55.99,56.77,54.95,56.5,80527
2016-02-18 09:30:00,56.88,56.95,56.27,56.6,47816
2016-02-19 09:30:00,56.31,56.78,56.07,56.58,65185
2016-02-22 09:30:00,58.42,58.56,57.97,58.09,70367
2016-02-23 09:30:00,57.82,58.42,57.62,58.39,101813
2016-02-24 09:30:00,57.22,57.73,57.21,57.36,49107
2016-02-25 09:30:00,58.13,58.67,57.76,58.44,41147
2016-02-26 09:30:00,60.17,60.82,60.02,60.43,50560
2016-02-29 09:30:00,60.08,60.35,59.9,60.11,26351
2016-03-01 09:30:00,59.65,59.9,59.37,59.47,40539
2016-03-02 09:30:00,60.46,61.3,60.46,61.18,79134
2016-03-03 09:30:00,60.96,60.96,60.46,60.46,46765
2016-03-04 09:30:00,61.58,61.98,61.3,61.36,37773
2016-03-07 09:30:00,61.1,61.4,59.98,59.98,86013
2016-03-08 09:30:00,60.19,61.59,60.19,61.22,99056
2016-03-09 09:30:00,62.41,62.93,62.33,62.53,120139
2016-03-10 09:30:00,63.67,64.13,63.57,63.74,55768
2016-03-11 09:30:00,64.3,64.39,63.85,63.88,42525
2016-03-14 09:30:00,63.97,64.59,63.67,64.34,65938
2016-03-15 09:30:00,63.9,64.3,63.58,64.21,53732
2016-03-16 09:30:00,65.07,65.24,64.69,64.77,78028
2016-03-17 09:30:00,64.45,64.78,64.06,64.72,83839
2016-03-18 09:30:00,65.21,65.28,64.51,64.83,149861
2016-03-21 09:30:00,64.64,65.35,64.64,64.92,43826
2016-03-22 09:30:00,64.33,64.75,64.33,64.63,25250
2016-03-23 09:30:00,65.21,65.33,64.93,65.08,33988
2016-03-24 09:30:00,64.35,64.55,63.88,63.91,50684
2016-03-28 09:30:00,64.1,64.5,63.93,64.29,27503
2016-03-29 09:30:00,64.34,64.42,64.08,64.15,14324
2016-03-30 09:30:00,64.13,65.16,64.13,64.83,77035
2016-03-31 09:30:00,64.84,65.04,64.52,64.52,50423
