open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.12,34.19,33.78,33.81,115828
2016-01-05 09:30:00,34.05,34.16,33.92,33.93,85077
2016-01-06 09:30:00,33.68,33.71,33.49,33.59,54681
2016-01-07 09:30:00,32.78,32.9,32.65,32.81,98088
2016-01-08 09:30:00,32.78,32.99,32.56,32.71,72167
2016-01-11 09:30:00,32.39,32.44,31.92,31.94,127785
2016-01-12 09:30:00,31.98,32.02,31.85,31.9,113357
2016-01-13 09:30:00,32.24,32.32,32.15,32.19,64095
2016-01-14 09:30:00,31.31,31.4,31.1,31.12,64186
2016-01-15 09:30:00,31.21,31.5,31.16,31.48,112781
2016-01-19 09:30:00,32.08,32.09,31.8,32.05,73707
2016-01-20 09:30:00,30.87,31.06,30.83,30.97,124897
2016-01-21 09:30:00,31.16,31.35,31.01,31.14,39578
2016-01-22 09:30:00,31.51,31.81,31.44,31.81,74649
2016-01-25 09:30:00,31.74,31.75,31.41,31.49,32615
2016-01-26 09:30:00,31.35,31.66,31.25,31.46,46256
2016-01-27 09:30:00,31.42,31.55,31.34,31.37,41697
2016-01-28 09:30:00,31.51,31.72,31.26,31.33,115166
2016-01-29 09:30:00,30.85,31.21,30.61,31.17,208732
2016-02-01 09:30:00,31.72,31.72,31.41,31.54,71645
2016-02-02 09:30:00,31.64,31.69,31.41,31.58,47763
2016-02-03 09:30:00,31.92,32.62,31.55,32.34,236408
2016-02-04 09:30:00,32.41,32.82,32.34,32.6,73260
2016-02-05 09:30:00,32.51,32.73,32.33,32.5,104343
2016-02-08 09:30:00,32.03,32.22,32.0,32.06,72757
2016-02-09 09:30:00,31.97,32.24,31.89,32.18,50716
2016-02-10 09:30:00,32.03,32.15,31.93,32.06,62232
2016-02-11 09:30:00,31.49,31.71,31.41,31.69,74286
2016-02-12 09:30:00,32.37,32.37,32.06,32.26,54818
2016-02-16 09:30:00,32.92,33.03,32.71,32.83,119934
2016-02-17 09:30:00,33.16,33.24,33.0,33.16,51097
2016-02-18 09:30:00,33.24,33.24,33.09,33.16,43630
2016-02-19 09:30:00,33.29,33.46,33.19,33.32,55766
2016-02-22 09:30:00,33.51,33.67,33.51,33.58,54551
2016-02-23 09:30:00,33.59,33.73,33.53,33.61,39508
2016-02-24 09:30:00,33.1,33.13,32.92,32.99,79364
2016-02-25 09:30:00,33.52,33.63,33.49,33.62,36492
2016-02-26 09:30:00,33.92,34.01,33.83,34.0,19012
2016-02-29 09:30:00,33.75,33.84,33.51,33.51,51335
2016-03-01 09:30:00,33.92,33.97,33.76,33.83,34731
2016-03-02 09:30:00,34.16,34.33,34.07,34.11,53775
2016-03-03 09:30:00,34.32,34.42,34.22,34.24,30479
2016-03-04 09:30:00,34.67,34.79,34.47,34.57,42680
2016-03-07 09:30:00,34.82,34.82,34.6,34.66,39557
2016-03-08 09:30:00,34.91,35.0,34.71,34.72,19770
2016-03-09 09:30:00,34.93,35.05,34.75,35.04,59787
2016-03-10 09:30:00,35.21,35.36,35.14,35.32,32158
2016-03-11 09:30:00,35.76,35.97,35.72,35.95,115984
2016-03-14 09:30:00,36.23,36.31,35.81,36.2,44004
2016-03-15 09:30:00,36.05,36.12,35.92,36.11,32942
2016-03-16 09:30:00,36.18,36.56,36.08,36.51,33288
2016-03-17 09:30:00,36.61,36.89,36.61,36.8,21812
2016-03-18 09:30:00,37.11,37.43,37.11,37.4,503594
2016-03-21 09:30:00,37.5,37.71,37.37,37.67,78362
2016-03-22 09:30:00,37.47,37.59,37.35,37.42,47226
2016-03-23 09:30:00,37.56,37.64,37.4,37.53,43779
2016-03-24 09:30:00,37.37,37.44,37.24,37.27,34921
2016-03-28 09:30:00,37.54,37.61,37.4,37.54,24734
2016-03-29 09:30:00,37.44,37.51,37.31,37.42,133609
2016-03-30 09:30:00,37.91,37.99,37.79,37.85,36337
2016-03-31 09:30:00,37.78,38.08,37.78,37.97,58466
2016-04-01 09:30:00,37.76,37.8,37.55,37.71,39762
2016-04-04 09:30:00,37.99,38.13,37.95,38.09,30155
2016-04-05 09:30:00,37.59,37.7,37.47,37.53,34025
2016-04-06 09:30:00,37.33,37.38,37.16,37.3,26976
2016-04-07 09:30:00,37.25,37.34,36.98,37.23,43668
2016-04-08 09:30:00,37.36,37.43,37.19,37.42,18660
2016-04-11 09:30:00,37.14,37.55,36.87,37.53,73646
2016-04-12 09:30:00,37.42,37.57,37.15,37.51,20848
2016-04-13 09:30:00,37.67,37.89,37.61,37.77,29083
2016-04-14 09:30:00,38.12,38.22,38.01,38.04,31759
2016-04-15 09:30:00,38.12,38.3,38.05,38.26,41390
2016-04-18 09:30:00,38.21,38.35,38.13,38.34,26843
2016-04-19 09:30:00,38.6,38.89,38.54,38.89,64854
2016-04-20 09:30:00,38.7,38.8,38.52,38.58,21073
2016-04-21 09:30:00,38.53,38.55,38.32,38.45,41092
2016-04-22 09:30:00,38.1,38.52,38.08,38.52,28725
2016-04-25 09:30:00,38.35,38.4,38.17,38.18,28999
2016-04-26 09:30:00,38.34,38.5,38.26,38.49,54705
2016-04-27 09:30:00,38.5,38.74,38.38,38.54,30653
2016-04-28 09:30:00,38.24,38.32,37.94,38.17,25516
2016-04-29 09:30:00,38.94,39.51,38.63,39.22,177451
2016-05-02 09:30:00,39.4,39.79,39.35,39.65,200837
2016-05-03 09:30:00,39.61,39.81,39.5,39.68,43676
2016-05-04 09:30:00,39.34,39.78,39.34,39.76,62124
2016-05-05 09:30:00,40.27,40.43,40.18,40.33,59461
2016-05-06 09:30:00,39.95,40.12,39.89,39.9,32660
2016-05-09 09:30:00,39.87,40.14,39.87,40.14,80576
2016-05-10 09:30:00,40.23,40.39,39.96,40.38,47348
2016-05-11 09:30:00,40.55,40.71,40.43,40.52,31058
2016-05-12 09:30:00,40.38,40.48,40.29,40.33,31473
2016-05-13 09:30:00,40.35,40.44,40.25,40.25,28963
2016-05-16 09:30:00,40.18,40.43,40.12,40.33,45915
2016-05-17 09:30:00,40.36,40.48,40.27,40.44,50556
2016-05-18 09:30:00,40.1,40.42,40.1,40.42,52123
2016-05-19 09:30:00,40.3,40.66,40.29,40.29,68076
2016-05-20 09:30:00,40.64,40.95,40.64,40.79,101089
2016-05-23 09:30:00,40.6,40.76,40.49,40.54,37035
2016-05-24 09:30:00,40.85,41.13,40.48,41.05,32445
2016-05-25 09:30:00,41.15,41.2,40.85,41.0,466428
2016-05-26 09:30:00,41.09,41.11,40.8,40.8,109073
2016-05-27 09:30:00,40.86,41.14,40.84,40.94,105204
2016-05-31 09:30:00,41.31,41.35,41.09,41.14,203446
2016-06-01 09:30:00,41.19,41.19,40.53,40.94,120202
2016-06-02 09:30:00,41.11,41.21,40.91,41.19,35098
2016-06-03 09:30:00,41.19,41.22,40.76,40.83,156728
2016-06-06 09:30:00,41.12,41.42,40.98,41.32,83442
2016-06-07 09:30:00,41.21,41.21,41.02,41.05,56005
2016-06-08 09:30:00,41.09,41.36,40.96,41.33,54633
2016-06-09 09:30:00,41.11,41.23,40.95,41.15,37986
2016-06-10 09:30:00,41.24,41.33,41.0,41.26,48282
2016-06-13 09:30:00,41.2,41.41,41.06,41.3,54060
2016-06-14 09:30:00,40.67,40.72,40.4,40.5,93346
