open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,51.8,51.8,50.91,51.32,384576
2016-01-05 09:30:00,52.38,52.64,52.22,52.48,101527
2016-01-06 09:30:00,50.97,51.76,50.71,51.1559,282314
2016-01-07 09:30:00,49.14,50.7,48.85,49.88,804880
2016-01-08 09:30:00,48.56,48.91,48.32,48.78,377675
2016-01-11 09:30:00,48.27,48.87,46.65,46.69,446706
2016-01-12 09:30:00,46.01,48.19,46.01,47.36,1018306
2016-01-13 09:30:00,47.14,47.67,46.61,47.56,306128
2016-01-14 09:30:00,45.98,46.37,45.16,45.28,141967
2016-01-15 09:30:00,45.33,45.91,45.0,45.33,334177
2016-01-19 09:30:00,44.82,44.9,43.75,43.95,252357
2016-01-20 09:30:00,44.79,44.88,44.08,44.17,287282
2016-01-21 09:30:00,46.33,46.77,45.95,46.45,361267
2016-01-22 09:30:00,46.97,47.83,46.97,47.78,161911
2016-01-25 09:30:00,46.8,46.9,46.4,46.45,148281
2016-01-26 09:30:00,45.86,45.98,45.26,45.4,145476
2016-01-27 09:30:00,45.7,46.44,45.7,45.84,264061
2016-01-28 09:30:00,44.85,45.21,44.06,44.33,391013
2016-01-29 09:30:00,43.79,44.68,43.53,44.68,305434
2016-02-01 09:30:00,45.5,45.54,44.61,44.98,224466
2016-02-02 09:30:00,44.96,44.96,43.81,44.0,234711
2016-02-03 09:30:00,43.25,43.7,43.0,43.46,256326
2016-02-04 09:30:00,44.42,44.76,43.87,44.3,263124
2016-02-05 09:30:00,44.15,44.19,43.34,43.5,280634
2016-02-08 09:30:00,42.51,43.0,41.64,41.85,509295
2016-02-09 09:30:00,40.59,41.17,39.83,40.89,471291
2016-02-10 09:30:00,46.99,48.55,44.68,47.87,3117791
2016-02-11 09:30:00,47.13,48.34,46.5,48.06,580592
2016-02-12 09:30:00,49.57,49.8,49.28,49.42,424606
2016-02-16 09:30:00,51.27,51.5,50.67,50.72,276568
2016-02-17 09:30:00,53.18,54.0,52.92,53.77,504264
2016-02-18 09:30:00,54.83,54.83,53.16,53.4,278122
2016-02-19 09:30:00,52.79,52.98,52.25,52.28,593607
2016-02-22 09:30:00,53.63,55.27,53.39,55.2,407030
2016-02-23 09:30:00,54.07,54.76,53.89,54.235,383485
2016-02-24 09:30:00,53.59,53.75,53.015,53.233,210241
2016-02-25 09:30:00,54.92,54.98,54.15,54.7,320010
2016-02-26 09:30:00,55.35,55.55,54.75,54.88,614881
2016-02-29 09:30:00,55.29,55.54,55.02,55.485,114412
2016-03-01 09:30:00,54.37,54.92,54.06,54.35,354076
