open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.01,48.1,47.43,47.67,103795
2016-01-05 09:30:00,48.79,49.0,48.44,48.45,52340
2016-01-06 09:30:00,47.38,47.38,46.52,46.79,82348
2016-01-07 09:30:00,44.77,45.15,44.1,44.1,191942
2016-01-08 09:30:00,44.06,44.61,43.67,43.9,66976
2016-01-11 09:30:00,43.0,43.26,41.94,42.03,85834
2016-01-12 09:30:00,42.61,42.95,42.38,42.68,46605
2016-01-13 09:30:00,43.34,44.4,43.14,44.3,198988
2016-01-14 09:30:00,41.95,42.12,40.95,41.0,34696
2016-01-15 09:30:00,41.61,41.66,40.87,41.04,129073
2016-01-19 09:30:00,42.34,42.79,41.91,42.79,129072
2016-01-20 09:30:00,41.6,41.62,40.59,40.69,78950
2016-01-21 09:30:00,41.91,42.19,41.41,41.68,117995
2016-01-22 09:30:00,44.24,45.21,44.24,44.78,161045
2016-01-25 09:30:00,44.62,44.76,43.78,44.29,109510
2016-01-26 09:30:00,43.99,44.97,43.74,44.72,75428
2016-01-27 09:30:00,45.02,45.34,44.6,44.84,83130
2016-01-28 09:30:00,45.11,45.87,45.11,45.37,67215
2016-01-29 09:30:00,45.23,45.51,44.67,45.17,169375
2016-02-01 09:30:00,45.3,45.3,44.52,45.02,229542
2016-02-02 09:30:00,45.56,46.05,45.56,45.76,108927
2016-02-03 09:30:00,45.99,46.38,45.31,45.31,165860
2016-02-04 09:30:00,46.85,47.34,46.56,46.84,103009
2016-02-05 09:30:00,45.16,45.92,44.3,45.78,86457
2016-02-08 09:30:00,44.46,44.46,43.58,43.84,245601
2016-02-09 09:30:00,42.11,43.02,41.99,42.82,230189
2016-02-10 09:30:00,44.19,44.29,43.28,43.9,122190
2016-02-11 09:30:00,42.6,44.07,42.29,43.87,98607
2016-02-12 09:30:00,44.26,44.47,43.7,44.08,40180
2016-02-16 09:30:00,45.58,45.96,44.71,44.95,225998
2016-02-17 09:30:00,46.24,47.14,46.22,46.73,175407
2016-02-18 09:30:00,45.19,48.55,44.5,48.29,662796
2016-02-19 09:30:00,47.53,47.6,46.59,46.83,109520
2016-02-22 09:30:00,47.9,48.46,47.78,47.85,150886
2016-02-23 09:30:00,47.57,48.55,47.26,48.26,94764
2016-02-24 09:30:00,45.39,45.39,44.58,44.7,75907
2016-02-25 09:30:00,46.81,47.48,46.52,46.96,56154
2016-02-26 09:30:00,48.86,49.26,48.52,49.1,44286
2016-02-29 09:30:00,49.43,49.93,49.0,49.83,83320
2016-03-01 09:30:00,49.9,50.24,49.78,50.1,109830
2016-03-02 09:30:00,50.88,51.9,50.74,51.47,97356
2016-03-03 09:30:00,50.2,50.56,49.41,49.49,100011
2016-03-04 09:30:00,50.24,50.82,50.09,50.55,59950
2016-03-07 09:30:00,51.55,52.38,50.89,51.07,150818
2016-03-08 09:30:00,50.94,51.38,50.79,50.86,46592
2016-03-09 09:30:00,51.35,51.73,51.18,51.73,113620
2016-03-10 09:30:00,52.31,52.65,51.96,52.65,86624
2016-03-11 09:30:00,52.22,53.03,51.92,52.73,58558
2016-03-14 09:30:00,53.0,53.51,52.51,52.65,198302
2016-03-15 09:30:00,52.09,52.15,51.65,51.77,62289
2016-03-16 09:30:00,51.88,53.04,51.88,52.93,94175
2016-03-17 09:30:00,53.96,54.34,53.63,53.8,67439
2016-03-18 09:30:00,54.74,55.08,53.97,53.99,232666
2016-03-21 09:30:00,53.88,54.34,53.82,54.2,52920
2016-03-22 09:30:00,53.85,54.32,53.71,54.22,74332
2016-03-23 09:30:00,54.38,54.56,53.87,54.45,63010
2016-03-24 09:30:00,53.26,53.58,52.97,53.58,35265
2016-03-28 09:30:00,54.41,54.56,54.13,54.34,49056
2016-03-29 09:30:00,54.5,54.59,53.99,54.53,24844
2016-03-30 09:30:00,55.56,55.98,55.37,55.97,73250
2016-03-31 09:30:00,56.07,56.47,55.92,56.0,55456
2016-04-01 09:30:00,55.69,56.62,55.65,56.23,224309
2016-04-04 09:30:00,57.39,57.85,57.27,57.55,88949
2016-04-05 09:30:00,56.72,56.86,56.23,56.82,126303
2016-04-06 09:30:00,56.56,56.85,55.99,56.09,55296
2016-04-07 09:30:00,57.85,58.75,57.48,58.09,186609
2016-04-08 09:30:00,57.62,57.69,57.14,57.26,181009
2016-04-11 09:30:00,57.17,57.54,57.09,57.4,27009
2016-04-12 09:30:00,57.57,57.8,57.44,57.55,21804
2016-04-13 09:30:00,57.92,58.22,57.33,57.55,172678
2016-04-14 09:30:00,57.27,57.64,56.96,57.32,102108
2016-04-15 09:30:00,57.71,57.8,57.42,57.6,187947
2016-04-18 09:30:00,56.96,57.22,56.84,57.09,52433
2016-04-19 09:30:00,57.8,57.8,57.25,57.54,84849
2016-04-20 09:30:00,57.26,57.54,56.62,57.32,60910
2016-04-21 09:30:00,57.63,57.93,57.62,57.74,67334
2016-04-22 09:30:00,57.64,58.2,57.64,58.18,159617
2016-04-25 09:30:00,58.26,58.69,58.18,58.45,67312
2016-04-26 09:30:00,58.79,59.52,58.62,59.41,124242
2016-04-27 09:30:00,59.4,60.28,59.11,60.05,57524
2016-04-28 09:30:00,59.23,59.25,58.43,59.04,52442
2016-04-29 09:30:00,58.33,58.33,57.76,57.77,67101
2016-05-02 09:30:00,58.3,59.03,58.09,59.02,49042
2016-05-03 09:30:00,59.3,59.63,58.66,59.47,101456
2016-05-04 09:30:00,58.8,59.24,58.65,59.21,26716
2016-05-05 09:30:00,58.62,59.67,58.62,59.61,89642
2016-05-06 09:30:00,58.79,59.56,58.52,59.09,46237
2016-05-09 09:30:00,60.02,61.64,59.45,59.99,254511
2016-05-10 09:30:00,59.15,59.51,58.92,58.96,80007
2016-05-11 09:30:00,62.18,65.49,62.03,65.22,1091763
2016-05-12 09:30:00,66.34,67.09,66.29,66.46,353744
2016-05-13 09:30:00,66.35,66.59,66.0,66.16,108373
2016-05-16 09:30:00,67.41,68.42,67.37,68.03,199836
2016-05-17 09:30:00,68.31,68.7,67.95,68.69,89922
2016-05-18 09:30:00,66.56,67.56,66.51,67.51,213503
2016-05-19 09:30:00,66.41,67.3,66.41,66.55,59120
2016-05-20 09:30:00,67.36,67.88,66.82,67.81,89899
2016-05-23 09:30:00,66.74,67.37,66.59,67.03,79773
2016-05-24 09:30:00,67.49,67.59,67.2,67.47,99935
2016-05-25 09:30:00,67.5,67.77,67.06,67.56,74935
2016-05-26 09:30:00,69.58,69.99,68.6,68.8,49697
2016-05-27 09:30:00,69.35,69.91,69.17,69.91,74308
2016-05-31 09:30:00,69.86,70.29,69.64,69.67,86480
2016-06-01 09:30:00,68.91,69.0,68.06,68.45,159123
2016-06-02 09:30:00,69.46,69.94,69.45,69.77,34533
2016-06-03 09:30:00,70.22,70.36,69.8,70.18,43458
2016-06-06 09:30:00,70.65,71.97,70.31,71.95,135870
2016-06-07 09:30:00,71.79,71.81,71.02,71.15,99500
2016-06-08 09:30:00,71.41,72.3,71.32,71.98,53796
2016-06-09 09:30:00,70.07,71.12,70.07,70.6,52004
2016-06-10 09:30:00,70.59,70.59,69.57,70.01,93613
2016-06-13 09:30:00,69.93,70.3,68.94,69.26,77418
2016-06-14 09:30:00,68.74,68.86,68.02,68.35,105063
2016-06-15 09:30:00,69.25,69.64,69.11,69.26,147403
2016-06-16 09:30:00,69.89,70.1,69.62,69.77,83722
2016-06-17 09:30:00,73.27,74.9,72.45,73.38,1136396
