open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,64.99,65.0,64.08,64.76,75661
2016-01-05 09:30:00,64.64,67.0,64.64,66.1,101013
2016-01-06 09:30:00,64.11,64.9,64.03,64.84,43455
2016-01-07 09:30:00,63.53,64.31,63.03,64.24,80450
2016-01-08 09:30:00,64.38,66.1,63.94,66.0,176002
2016-01-11 09:30:00,64.78,64.95,63.22,63.36,31909
2016-01-12 09:30:00,61.0,61.98,60.91,61.96,47368
2016-01-13 09:30:00,61.89,62.025,61.47,61.73,17582
2016-01-14 09:30:00,59.31,60.39,58.33,58.35,35103
2016-01-15 09:30:00,58.7,59.217,58.53,58.82,21585
2016-01-19 09:30:00,60.27,60.76,59.87,60.445,39966
2016-01-20 09:30:00,59.16,59.16,58.09,59.0,127413
2016-01-21 09:30:00,60.46,60.5,59.88,60.24,30009
2016-01-22 09:30:00,61.18,61.405,60.46,61.25,35450
2016-01-25 09:30:00,60.81,61.33,60.44,60.54,15065
2016-01-26 09:30:00,60.47,60.79,59.94,60.54,23178
2016-01-27 09:30:00,62.4,62.66,61.92,61.95,21439
2016-01-28 09:30:00,61.58,62.2,60.61,60.82,119339
2016-01-29 09:30:00,64.5,69.36,62.885,67.17,695991
2016-02-01 09:30:00,66.92,66.92,65.58,66.36,60585
2016-02-02 09:30:00,65.67,67.01,65.57,66.67,114707
2016-02-03 09:30:00,67.76,68.0,66.79,67.305,45209
2016-02-04 09:30:00,67.01,67.73,66.59,66.94,21200
2016-02-05 09:30:00,67.1,67.34,66.28,66.37,40144
2016-02-08 09:30:00,65.0,65.0,62.54,62.56,91481
2016-02-09 09:30:00,58.22,59.33,58.045,59.05,95178
2016-02-10 09:30:00,59.21,60.15,58.69,60.025,189821
2016-02-11 09:30:00,59.21,59.635,59.03,59.635,37069
2016-02-12 09:30:00,59.74,59.95,58.4911,58.68,40071
2016-02-16 09:30:00,59.61,60.12,58.955,59.93,82410
2016-02-17 09:30:00,62.07,62.5,61.06,62.5,43587
2016-02-18 09:30:00,63.62,63.83,62.58,63.08,32152
2016-02-19 09:30:00,62.35,62.53,61.44,62.47,24217
2016-02-22 09:30:00,63.77,64.66,63.72,64.27,88478
2016-02-23 09:30:00,63.42,64.5,63.42,63.995,74216
2016-02-24 09:30:00,62.24,62.44,61.86,62.02,66305
2016-02-25 09:30:00,63.5,64.33,63.275,64.0,40805
2016-02-26 09:30:00,64.2,64.96,64.16,64.86,43346
2016-02-29 09:30:00,65.32,65.62,65.08,65.38,69338
2016-03-01 09:30:00,66.26,66.655,65.77,66.14,51998
2016-03-02 09:30:00,67.98,68.245,66.715,67.595,64883
2016-03-03 09:30:00,68.59,68.81,67.765,68.75,46821
2016-03-04 09:30:00,69.48,69.8375,68.48,69.3552,66329
