open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,49.08,49.16,48.65,49.0,279464
2016-01-05 09:30:00,48.96,49.15,48.84,48.97,321265
2016-01-06 09:30:00,48.23,48.42,48.05,48.29,267746
2016-01-07 09:30:00,47.41,48.09,47.38,47.96,433821
2016-01-08 09:30:00,47.4,47.49,47.06,47.39,251859
2016-01-11 09:30:00,47.11,47.26,46.77,46.84,189801
2016-01-12 09:30:00,47.09,47.26,46.98,47.0,286240
2016-01-13 09:30:00,47.34,47.75,47.34,47.73,434073
2016-01-14 09:30:00,46.76,47.01,46.73,46.8,231122
2016-01-15 09:30:00,45.17,46.34,45.17,46.22,265116
2016-01-19 09:30:00,47.58,47.84,47.28,47.76,373743
2016-01-20 09:30:00,46.59,46.68,46.26,46.41,282582
2016-01-21 09:30:00,46.92,47.16,46.61,46.76,364353
2016-01-22 09:30:00,47.49,47.56,47.26,47.28,227786
2016-01-25 09:30:00,47.01,47.13,46.69,46.71,215117
2016-01-26 09:30:00,46.83,47.01,46.66,46.95,232230
2016-01-27 09:30:00,46.94,47.08,46.78,46.94,131518
2016-01-28 09:30:00,47.54,47.56,47.27,47.51,159029
2016-01-29 09:30:00,48.11,48.27,47.91,48.16,220209
2016-02-01 09:30:00,48.48,48.56,48.22,48.47,128331
2016-02-02 09:30:00,48.38,48.67,48.28,48.65,300082
2016-02-03 09:30:00,48.6,48.6,47.85,47.91,275349
2016-02-04 09:30:00,48.75,50.14,48.75,49.75,1047216
2016-02-05 09:30:00,50.05,50.75,50.05,50.69,459406
2016-02-08 09:30:00,50.68,50.99,50.46,50.48,296859
2016-02-09 09:30:00,50.63,51.0,50.63,50.91,265042
2016-02-10 09:30:00,51.0,51.27,50.9,51.21,291757
2016-02-11 09:30:00,49.85,50.31,49.74,50.2,204130
2016-02-12 09:30:00,50.8,51.18,50.67,51.06,230272
2016-02-16 09:30:00,51.97,52.0,51.57,51.66,430528
2016-02-17 09:30:00,52.15,52.46,52.15,52.36,435259
2016-02-18 09:30:00,52.33,52.4,51.98,52.14,322121
2016-02-19 09:30:00,51.5,51.72,51.43,51.71,448277
2016-02-22 09:30:00,52.0,52.08,51.91,51.94,237642
2016-02-23 09:30:00,51.84,51.84,51.48,51.53,184777
2016-02-24 09:30:00,51.07,51.07,50.79,50.91,208578
2016-02-25 09:30:00,51.79,51.95,51.59,51.84,188164
2016-02-26 09:30:00,52.29,52.42,52.24,52.25,128374
2016-02-29 09:30:00,51.95,52.09,51.65,51.82,120268
2016-03-01 09:30:00,51.74,51.74,51.52,51.57,142046
2016-03-02 09:30:00,52.45,52.59,52.38,52.52,153206
2016-03-03 09:30:00,52.96,53.05,52.67,52.89,250650
2016-03-04 09:30:00,52.91,53.07,52.58,52.63,108082
2016-03-07 09:30:00,52.51,52.82,52.46,52.62,101337
2016-03-08 09:30:00,52.47,52.62,52.3,52.42,136982
2016-03-09 09:30:00,52.5,52.6,52.39,52.56,139854
2016-03-10 09:30:00,52.33,52.65,52.29,52.6,248638
2016-03-11 09:30:00,52.62,52.86,52.43,52.84,239031
2016-03-14 09:30:00,52.82,53.0,52.56,52.63,165409
2016-03-15 09:30:00,52.31,52.54,52.16,52.52,160582
2016-03-16 09:30:00,53.25,53.69,53.05,53.68,198460
2016-03-17 09:30:00,53.74,54.26,53.53,54.11,226297
2016-03-18 09:30:00,54.61,54.84,54.51,54.83,741144
2016-03-21 09:30:00,54.23,54.42,54.18,54.3,71327
2016-03-22 09:30:00,54.21,54.26,54.02,54.21,182484
2016-03-23 09:30:00,54.21,54.24,53.9,54.09,128601
2016-03-24 09:30:00,53.86,53.87,53.52,53.62,113607
2016-03-28 09:30:00,53.75,53.96,53.65,53.91,135249
2016-03-29 09:30:00,54.14,54.19,53.91,54.15,73162
2016-03-30 09:30:00,54.5,54.91,54.41,54.74,228969
2016-03-31 09:30:00,54.9,55.03,54.73,54.94,139231
2016-04-01 09:30:00,54.48,54.62,54.3,54.59,75777
2016-04-04 09:30:00,55.22,55.29,55.05,55.24,65737
2016-04-05 09:30:00,54.55,54.62,54.27,54.38,182052
2016-04-06 09:30:00,54.01,54.16,53.88,54.16,162241
2016-04-07 09:30:00,53.87,54.13,53.74,54.06,122421
2016-04-08 09:30:00,54.14,54.65,54.03,54.64,161363
2016-04-11 09:30:00,54.15,54.68,54.15,54.55,162728
2016-04-12 09:30:00,54.12,54.34,54.08,54.32,117705
2016-04-13 09:30:00,54.73,55.01,54.6,54.65,132283
2016-04-14 09:30:00,54.6,54.67,54.15,54.17,207600
2016-04-15 09:30:00,54.0,54.18,53.68,54.07,504544
2016-04-18 09:30:00,53.87,54.02,53.72,53.95,94906
2016-04-19 09:30:00,54.75,54.98,54.61,54.98,114947
2016-04-20 09:30:00,54.7,54.85,54.3,54.31,101301
2016-04-21 09:30:00,52.99,53.83,52.99,53.79,652832
2016-04-22 09:30:00,53.02,53.38,52.95,53.33,203916
2016-04-25 09:30:00,53.27,53.27,52.8,52.94,93661
2016-04-26 09:30:00,53.31,53.49,53.26,53.44,112969
2016-04-27 09:30:00,53.36,53.44,53.1,53.15,169536
2016-04-28 09:30:00,52.68,52.87,52.56,52.76,94311
2016-04-29 09:30:00,52.5,52.61,52.15,52.26,141473
2016-05-02 09:30:00,53.05,53.14,52.72,52.72,129511
2016-05-03 09:30:00,52.5,52.68,52.4,52.63,139292
