open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,58.3,58.3,56.99,57.15,82810
2016-01-05 09:30:00,58.02,58.76,57.6,58.29,22153
2016-01-06 09:30:00,57.17,57.35,56.87,57.25,15961
2016-01-07 09:30:00,55.38,55.97,55.13,55.78,42293
2016-01-08 09:30:00,55.08,55.45,54.84,55.21,31435
2016-01-11 09:30:00,53.93,54.31,53.71,53.9,40965
2016-01-12 09:30:00,53.77,54.3,53.77,53.89,37680
2016-01-13 09:30:00,54.39,54.53,53.73,53.89,37134
2016-01-14 09:30:00,53.73,54.76,53.05,53.13,110049
2016-01-15 09:30:00,52.38,54.29,50.91,52.75,195601
2016-01-19 09:30:00,53.96,54.1,52.77,53.3,112037
2016-01-20 09:30:00,51.71,52.0,50.33,50.44,153420
2016-01-21 09:30:00,51.61,51.91,50.1,50.21,95731
2016-01-22 09:30:00,52.25,53.03,52.23,53.03,61357
2016-01-25 09:30:00,53.63,53.96,53.27,53.7,68684
2016-01-26 09:30:00,53.05,53.33,52.81,53.09,39472
2016-01-27 09:30:00,53.62,54.14,53.43,54.03,55174
2016-01-28 09:30:00,53.97,54.07,53.44,53.54,25272
2016-01-29 09:30:00,53.49,53.89,53.17,53.78,32029
2016-02-01 09:30:00,53.91,54.58,53.6,53.82,68557
2016-02-02 09:30:00,53.87,53.87,52.68,52.68,69615
2016-02-03 09:30:00,53.36,53.42,52.63,52.72,62909
2016-02-04 09:30:00,53.3,53.82,53.21,53.81,28686
2016-02-05 09:30:00,53.76,54.23,52.83,52.87,63099
2016-02-08 09:30:00,49.76,50.21,48.81,48.89,289563
2016-02-09 09:30:00,47.92,49.21,47.79,48.9,131353
2016-02-10 09:30:00,49.25,50.35,48.89,50.21,77550
2016-02-11 09:30:00,50.49,52.47,48.93,52.39,280978
2016-02-12 09:30:00,52.2,52.9,51.81,52.11,171429
2016-02-16 09:30:00,52.46,52.72,51.11,51.75,151630
2016-02-17 09:30:00,52.92,53.51,52.74,53.01,36788
2016-02-18 09:30:00,53.09,53.37,52.61,53.08,57025
2016-02-19 09:30:00,52.09,52.67,52.09,52.35,63977
2016-02-22 09:30:00,53.42,53.95,53.06,53.85,43544
2016-02-23 09:30:00,54.63,55.71,54.39,55.4,67140
2016-02-24 09:30:00,54.32,54.92,53.92,54.92,34492
2016-02-25 09:30:00,54.45,56.78,54.45,56.3,59595
2016-02-26 09:30:00,57.51,57.96,57.19,57.19,55664
2016-02-29 09:30:00,57.43,57.52,57.06,57.14,27508
2016-03-01 09:30:00,57.13,57.66,56.9,57.27,88879
2016-03-02 09:30:00,58.04,58.39,57.68,57.9,29079
2016-03-03 09:30:00,58.02,58.21,57.75,57.94,62096
2016-03-04 09:30:00,58.25,58.4,57.76,57.89,44081
2016-03-07 09:30:00,57.14,57.47,56.96,57.01,36731
2016-03-08 09:30:00,56.68,56.68,56.1,56.28,204984
2016-03-09 09:30:00,56.99,56.99,56.49,56.83,21922
2016-03-10 09:30:00,57.1,57.59,56.99,57.51,55811
2016-03-11 09:30:00,57.31,57.41,56.92,57.26,20105
2016-03-14 09:30:00,56.92,57.35,56.92,57.03,25357
2016-03-15 09:30:00,57.31,57.61,57.19,57.52,17476
2016-03-16 09:30:00,57.02,57.27,57.01,57.18,15188
2016-03-17 09:30:00,57.28,57.92,56.85,57.52,27793
2016-03-18 09:30:00,58.21,58.42,58.06,58.41,120355
2016-03-21 09:30:00,57.85,58.28,57.59,57.8,37209
2016-03-22 09:30:00,57.76,58.0,57.57,57.88,21662
2016-03-23 09:30:00,57.68,57.68,57.27,57.33,20202
2016-03-24 09:30:00,56.92,57.06,56.7,56.79,27190
2016-03-28 09:30:00,57.01,57.19,56.67,56.75,28769
2016-03-29 09:30:00,57.08,57.28,56.68,56.97,59279
2016-03-30 09:30:00,57.45,57.46,56.93,56.93,32678
2016-03-31 09:30:00,57.43,57.57,57.13,57.29,24293
2016-04-01 09:30:00,57.14,57.35,56.79,57.31,80422
2016-04-04 09:30:00,58.85,59.15,58.85,59.08,46109
2016-04-05 09:30:00,58.11,58.34,57.68,58.34,28803
2016-04-06 09:30:00,58.39,59.24,58.23,59.14,97289
2016-04-07 09:30:00,59.41,59.41,58.96,59.14,17437
2016-04-08 09:30:00,57.71,58.2,57.71,58.2,15227
2016-04-11 09:30:00,58.11,58.27,57.57,57.66,80300
2016-04-12 09:30:00,57.11,57.61,57.11,57.45,16842
2016-04-13 09:30:00,57.29,57.36,57.03,57.16,40477
2016-04-14 09:30:00,57.81,57.86,57.38,57.53,23038
2016-04-15 09:30:00,57.24,57.34,57.0,57.18,42615
2016-04-18 09:30:00,57.17,57.37,57.16,57.35,3546
2016-04-19 09:30:00,57.93,58.15,57.61,57.94,22556
2016-04-20 09:30:00,57.61,57.81,57.24,57.33,19652
2016-04-21 09:30:00,57.57,57.82,57.51,57.82,17575
2016-04-22 09:30:00,57.01,57.29,57.0,57.09,12957
2016-04-25 09:30:00,57.89,58.02,57.55,57.74,26973
2016-04-26 09:30:00,58.51,58.69,58.41,58.62,20403
2016-04-27 09:30:00,59.28,59.72,58.94,59.59,47884
2016-04-28 09:30:00,57.57,59.17,57.31,58.81,269408
2016-04-29 09:30:00,58.72,58.93,58.38,58.43,67790
2016-05-02 09:30:00,58.96,59.15,58.82,59.14,56274
2016-05-03 09:30:00,59.68,59.81,59.06,59.12,35679
2016-05-04 09:30:00,58.85,59.06,58.51,58.57,43885
2016-05-05 09:30:00,58.96,59.22,58.59,58.59,27917
2016-05-06 09:30:00,58.85,59.16,58.33,58.89,41549
2016-05-09 09:30:00,59.4,59.84,59.4,59.56,22389
2016-05-10 09:30:00,59.94,60.14,59.65,60.13,15955
2016-05-11 09:30:00,60.26,60.31,59.91,60.19,31789
2016-05-12 09:30:00,59.68,59.8,59.51,59.68,11483
2016-05-13 09:30:00,59.42,60.04,59.09,59.94,36834
2016-05-16 09:30:00,59.49,59.87,59.13,59.74,14262
2016-05-17 09:30:00,59.8,60.19,59.39,59.91,35259
2016-05-18 09:30:00,60.07,60.37,59.61,60.27,41353
2016-05-19 09:30:00,59.93,60.49,59.84,60.13,44046
2016-05-20 09:30:00,60.91,61.23,60.7,61.17,50060
2016-05-23 09:30:00,60.67,60.67,60.17,60.25,26942
2016-05-24 09:30:00,60.67,61.13,60.38,61.08,76608
