open_date,open,high,low,close,volume_base
2019-06-11 09:30:00,8.338,8.405,8.308,8.342,1594513
2019-06-12 09:30:00,8.398,8.462,8.338,8.462,2431515
2019-06-13 09:30:00,8.353,8.398,8.255,8.338,609453
2019-06-14 09:30:00,8.255,8.285,8.18,8.248,1590562
2019-06-17 09:30:00,8.083,8.128,8.03,8.128,738953
2019-06-18 09:30:00,8.053,8.09,7.996,8.053,279861
2019-06-19 09:30:00,8.068,8.075,8.03,8.071,233092
2019-06-20 09:30:00,8.045,8.21,8.038,8.21,165420
2019-06-21 09:30:00,8.21,8.3,8.139,8.248,2527202
2019-06-24 09:30:00,8.293,8.315,8.176,8.18,647202
2019-06-25 09:30:00,8.42,8.477,8.368,8.458,516440
2019-06-26 09:30:00,8.555,8.555,8.525,8.537,175161
2019-06-27 09:30:00,8.683,8.705,8.623,8.634,121832
2019-06-28 09:30:00,8.563,8.57,8.533,8.54,206544
2019-07-01 09:30:00,8.54,8.555,8.48,8.555,362495
2019-07-02 09:30:00,8.608,8.623,8.593,8.608,138235
2019-07-03 09:30:00,8.826,8.826,8.781,8.803,300322
2019-07-05 09:30:00,8.69,8.743,8.668,8.724,135226
2019-07-08 09:30:00,8.615,8.638,8.518,8.548,242911
2019-07-09 09:30:00,8.465,8.465,8.42,8.462,353590
2019-07-10 09:30:00,8.278,8.338,8.248,8.289,146427
2019-07-11 09:30:00,8.21,8.218,8.158,8.199,80584
2019-07-12 09:30:00,8.33,8.349,8.293,8.315,504086
2019-07-15 09:30:00,8.255,8.263,8.18,8.263,96369
2019-07-16 09:30:00,8.323,8.323,8.233,8.255,411714
2019-07-17 09:30:00,8.203,8.338,8.173,8.315,424249
2019-07-18 09:30:00,8.383,8.398,8.188,8.188,224541
2019-07-19 09:30:00,8.503,8.518,8.435,8.507,390294
2019-07-22 09:30:00,8.308,8.308,8.188,8.199,319144
2019-07-23 09:30:00,8.105,8.165,8.083,8.135,244151
2019-07-24 09:30:00,8.135,8.18,8.083,8.128,162228
2019-07-25 09:30:00,8.075,8.218,8.075,8.21,242108
2019-07-26 09:30:00,8.203,8.203,8.128,8.146,132060
2019-07-29 09:30:00,8.225,8.225,8.158,8.165,73122
2019-07-30 09:30:00,8.098,8.116,8.06,8.094,125744
2019-07-31 09:30:00,7.993,8.045,7.974,8.034,157572
2019-08-01 09:30:00,7.963,8.026,7.925,7.929,648683
2019-08-02 09:30:00,7.94,8.015,7.925,7.974,261844
2019-08-05 09:30:00,7.895,7.959,7.865,7.891,260521
2019-08-06 09:30:00,7.73,7.767,7.662,7.696,468757
2019-08-07 09:30:00,7.625,7.737,7.602,7.625,251107
2019-08-08 09:30:00,7.812,7.917,7.812,7.91,144263
2019-08-09 09:30:00,7.963,7.994,7.809,7.816,194230
2019-08-12 09:30:00,7.76,7.812,7.685,7.696,186042
2019-08-13 09:30:00,7.632,7.846,7.617,7.816,195844
2019-08-14 09:30:00,7.737,7.737,7.606,7.64,329189
2019-08-15 09:30:00,7.392,7.422,7.291,7.347,260671
2019-08-16 09:30:00,7.355,7.355,7.283,7.336,444594
2019-08-19 09:30:00,7.497,7.715,7.49,7.67,382804
2019-08-20 09:30:00,7.52,7.572,7.452,7.497,185522
2019-08-21 09:30:00,7.392,7.46,7.19,7.317,833303
2019-08-22 09:30:00,7.242,7.287,7.084,7.107,447767
2019-08-23 09:30:00,7.167,7.235,7.129,7.205,292248
2019-08-26 09:30:00,7.137,7.205,7.107,7.193,129102
2019-08-27 09:30:00,7.317,7.441,7.317,7.396,373113
2019-08-28 09:30:00,7.325,7.377,7.205,7.22,403474
2019-08-29 09:30:00,7.295,7.34,7.283,7.31,144199
2019-08-30 09:30:00,7.362,7.385,7.325,7.347,87146
2019-09-03 09:30:00,7.37,7.392,7.242,7.31,335673
2019-09-04 09:30:00,7.317,7.347,7.235,7.253,223955
2019-09-05 09:30:00,7.377,7.418,7.362,7.385,209463
2019-09-06 09:30:00,7.332,7.392,7.332,7.377,175309
2019-09-09 09:30:00,7.4,7.4,7.325,7.358,541089
2019-09-10 09:30:00,7.344,7.488,7.298,7.461,538877
2019-09-11 09:30:00,7.564,7.64,7.556,7.594,464571
2019-09-12 09:30:00,7.632,7.632,7.533,7.533,476630
2019-09-13 09:30:00,7.701,7.814,7.678,7.814,495096
2019-09-16 09:30:00,7.609,7.67,7.336,7.355,590206
2019-09-17 09:30:00,7.366,7.404,7.351,7.359,335024
2019-09-18 09:30:00,7.442,7.518,7.435,7.518,369446
2019-09-19 09:30:00,7.45,7.473,7.401,7.469,327993
2019-09-20 09:30:00,7.412,7.416,7.328,7.328,2111500
2019-09-23 09:30:00,7.253,7.374,7.253,7.351,111284
2019-09-24 09:30:00,7.366,7.389,7.29,7.351,152007
2019-09-25 09:30:00,7.321,7.336,7.294,7.294,66124
2019-09-26 09:30:00,7.359,7.374,7.26,7.271,162087
2019-09-27 09:30:00,7.336,7.382,7.313,7.328,230432
2019-09-30 09:30:00,7.359,7.382,7.321,7.344,394388
2019-10-01 09:30:00,7.404,7.465,7.328,7.427,252208
2019-10-02 09:30:00,7.192,7.222,7.139,7.146,257476
2019-10-03 09:30:00,7.108,7.154,7.078,7.112,264379
2019-10-04 09:30:00,7.253,7.26,7.207,7.236,312352
2019-10-07 09:30:00,7.169,7.169,7.131,7.139,322562
2019-10-08 09:30:00,7.047,7.07,7.032,7.055,264275
2019-10-09 09:30:00,7.047,7.131,6.994,7.108,269381
2019-10-10 09:30:00,7.078,7.135,7.078,7.127,162358
