open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,2.77,2.82,2.72,2.765,3086260
2016-01-05 09:30:00,2.77,2.8,2.735,2.7715,1453209
2016-01-06 09:30:00,2.66,2.69,2.62,2.65,1797109
2016-01-07 09:30:00,2.43,2.48,2.39,2.43,2564459
2016-01-08 09:30:00,2.36,2.425,2.35,2.379,2506939
2016-01-11 09:30:00,2.16,2.18,2.12,2.15,1571674
2016-01-12 09:30:00,2.39,2.41,2.36,2.37,2766434
2016-01-13 09:30:00,2.4,2.45,2.4,2.41,1006855
2016-01-14 09:30:00,2.29,2.3,2.21,2.23,1067197
2016-01-15 09:30:00,2.1,2.13,1.99,2.08,6074592
2016-01-19 09:30:00,2.08,2.11,2.02,2.045,2952207
2016-01-20 09:30:00,1.81,1.95,1.8,1.925,5410389
2016-01-21 09:30:00,1.84,1.87,1.81,1.869,2759361
2016-01-22 09:30:00,2.11,2.17,1.98,2.04,4547485
2016-01-25 09:30:00,2.01,2.14,2.01,2.138,2400182
2016-01-26 09:30:00,2.14,2.15,2.05,2.06,1738785
2016-01-27 09:30:00,2.09,2.13,2.07,2.115,1288799
2016-01-28 09:30:00,2.16,2.17,2.1,2.1204,984638
2016-01-29 09:30:00,2.09,2.15,2.07,2.12,748148
2016-02-01 09:30:00,2.17,2.19,2.14,2.15,1521523
2016-02-02 09:30:00,2.11,2.14,2.06,2.06,1424289
2016-02-03 09:30:00,2.04,2.06,2.01,2.01,1333518
2016-02-04 09:30:00,2.05,2.09,2.03,2.09,958496
2016-02-05 09:30:00,2.05,2.075,2.04,2.06,572674
2016-02-08 09:30:00,1.97,1.98,1.91,1.938,1975002
2016-02-09 09:30:00,1.89,1.95,1.85,1.92,1752225
2016-02-10 09:30:00,1.92,1.98,1.86,1.895,1532942
2016-02-11 09:30:00,1.82,1.87,1.81,1.86,1177555
2016-02-12 09:30:00,1.89,1.91,1.85,1.85,1728985
2016-02-16 09:30:00,1.86,1.9,1.85,1.855,2043501
2016-02-17 09:30:00,1.85,1.9,1.85,1.88,1992129
2016-02-18 09:30:00,1.93,1.96,1.91,1.96,2755646
2016-02-19 09:30:00,1.93,1.93,1.86,1.86,1558715
2016-02-22 09:30:00,1.95,1.97,1.925,1.955,1877347
2016-02-23 09:30:00,2.03,2.06,2.0,2.06,1518668
2016-02-24 09:30:00,1.97,1.99,1.93,1.94,1386147
2016-02-25 09:30:00,2.02,2.04,1.99,2.0,1135000
2016-02-26 09:30:00,2.04,2.07,2.03,2.065,1748339
2016-02-29 09:30:00,2.06,2.1,2.05,2.09,825668
2016-03-01 09:30:00,2.16,2.18,2.13,2.14,1722262
2016-03-02 09:30:00,2.2,2.24,2.18,2.24,1232172
2016-03-03 09:30:00,2.32,2.48,2.295,2.465,4263553
2016-03-04 09:30:00,2.42,2.49,2.34,2.385,3629684
2016-03-07 09:30:00,2.36,2.43,2.36,2.43,1447450
2016-03-08 09:30:00,2.44,2.46,2.4,2.4099,1379101
2016-03-09 09:30:00,2.32,2.35,2.25,2.2799,1864625
2016-03-10 09:30:00,2.29,2.31,2.25,2.2999,1237693
2016-03-11 09:30:00,2.29,2.34,2.29,2.31,1053992
2016-03-14 09:30:00,2.53,2.63,2.51,2.605,4128067
2016-03-15 09:30:00,2.67,2.69,2.51,2.515,4693628
2016-03-16 09:30:00,2.5,2.55,2.49,2.5065,1822832
2016-03-17 09:30:00,2.77,2.78,2.72,2.7601,5645112
2016-03-18 09:30:00,2.8,2.87,2.77,2.825,5354067
2016-03-21 09:30:00,2.9,2.9,2.82,2.845,2126347
2016-03-22 09:30:00,2.73,2.78,2.71,2.775,1894124
2016-03-23 09:30:00,2.8,2.825,2.773,2.7842,1159151
2016-03-24 09:30:00,2.69,2.7,2.62,2.68,1902320
2016-03-28 09:30:00,2.81,2.82,2.73,2.76,1220163
2016-03-29 09:30:00,2.73,2.79,2.7,2.785,1581818
2016-03-30 09:30:00,2.88,2.93,2.87,2.925,1599760
2016-03-31 09:30:00,2.84,2.86,2.81,2.85,944838
2016-04-01 09:30:00,2.79,2.82,2.76,2.805,1890877
2016-04-04 09:30:00,2.83,2.87,2.8,2.86,891960
2016-04-05 09:30:00,2.76,2.79,2.72,2.78,2077533
2016-04-06 09:30:00,2.75,2.78,2.73,2.735,1041467
2016-04-07 09:30:00,2.76,2.83,2.7,2.7131,2876735
2016-04-08 09:30:00,2.7,2.76,2.68,2.7525,2152170
2016-04-11 09:30:00,2.76,2.8,2.75,2.795,1054723
2016-04-12 09:30:00,2.79,2.84,2.78,2.83,2141180
2016-04-13 09:30:00,2.78,2.8,2.73,2.76,2289011
2016-04-14 09:30:00,2.77,2.79,2.75,2.78,1280027
2016-04-15 09:30:00,2.72,2.75,2.71,2.73,1148868
2016-04-18 09:30:00,2.67,2.74,2.65,2.73,1093653
2016-04-19 09:30:00,2.78,2.78,2.72,2.725,1874147
2016-04-20 09:30:00,2.62,2.72,2.61,2.705,2467494
2016-04-21 09:30:00,2.65,2.7,2.65,2.69,1393725
2016-04-22 09:30:00,3.19,3.45,3.18,3.44,33741776
2016-04-25 09:30:00,3.81,3.82,3.58,3.6701,19985604
2016-04-26 09:30:00,3.45,3.68,3.44,3.655,7528693
2016-04-27 09:30:00,3.55,3.67,3.53,3.665,4670277
2016-04-28 09:30:00,3.69,3.78,3.65,3.7262,4386232
2016-04-29 09:30:00,3.69,3.69,3.5189,3.5301,3143007
2016-05-02 09:30:00,3.58,3.67,3.57,3.64,3136057
2016-05-03 09:30:00,3.7,3.71,3.62,3.665,2456455
2016-05-04 09:30:00,3.54,3.65,3.54,3.645,1484568
2016-05-05 09:30:00,3.64,3.7,3.605,3.685,2704337
2016-05-06 09:30:00,3.65,3.75,3.64,3.67,2319890
2016-05-09 09:30:00,3.66,3.68,3.55,3.56,3085951
2016-05-10 09:30:00,3.66,3.68,3.57,3.58,1905168
2016-05-11 09:30:00,3.61,3.67,3.6,3.665,1534249
2016-05-12 09:30:00,3.65,3.68,3.62,3.62,1178990
2016-05-13 09:30:00,3.56,3.66,3.55,3.625,2620449
2016-05-16 09:30:00,3.67,3.73,3.65,3.715,1768780
2016-05-17 09:30:00,3.81,3.82,3.69,3.79,2878760
2016-05-18 09:30:00,3.79,3.91,3.77,3.905,2748263
2016-05-19 09:30:00,3.83,3.85,3.77,3.77,2933866
2016-05-20 09:30:00,3.83,3.9,3.82,3.88,3174998
2016-05-23 09:30:00,3.9,3.96,3.88,3.93,3828426
2016-05-24 09:30:00,4.09,4.1,3.96,3.98,6170218
2016-05-25 09:30:00,4.24,4.35,4.24,4.29,6067950
2016-05-26 09:30:00,4.19,4.25,4.18,4.215,2832034
2016-05-27 09:30:00,4.39,4.44,4.37,4.4369,4121530
2016-05-31 09:30:00,4.67,4.71,4.55,4.5999,5980224
2016-06-01 09:30:00,4.6,4.64,4.39,4.4,5277095
2016-06-02 09:30:00,4.37,4.4,4.12,4.1798,9542296
2016-06-03 09:30:00,4.16,4.18,4.08,4.14,3886898
2016-06-06 09:30:00,4.2,4.28,4.17,4.2625,2919422
2016-06-07 09:30:00,4.56,4.67,4.51,4.575,6821366
2016-06-08 09:30:00,4.54,4.56,4.38,4.4499,3644820
2016-06-09 09:30:00,4.41,4.42,4.315,4.39,2594729
2016-06-10 09:30:00,4.43,4.47,4.36,4.395,2784773
2016-06-13 09:30:00,4.32,4.46,4.32,4.4399,3372996
2016-06-14 09:30:00,4.4,4.51,4.4,4.4811,2257448
2016-06-15 09:30:00,4.44,4.44,4.3,4.3,2098584
2016-06-16 09:30:00,4.5,4.63,4.455,4.5901,9246774
2016-06-17 09:30:00,4.75,4.85,4.68,4.8483,9555726
