open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,84.38,84.53,83.61,84.22,61450
2016-01-05 09:30:00,84.88,85.67,84.65,84.68,64751
2016-01-06 09:30:00,83.03,83.03,81.78,82.38,134369
2016-01-07 09:30:00,79.6,80.75,79.45,80.21,160889
2016-01-08 09:30:00,79.52,80.7,79.32,79.74,113749
2016-01-11 09:30:00,78.01,78.12,76.81,76.9,160897
2016-01-12 09:30:00,78.6,78.77,77.85,78.23,83017
2016-01-13 09:30:00,78.25,78.35,77.21,77.52,134907
2016-01-14 09:30:00,75.5,75.52,74.21,74.3,151449
2016-01-15 09:30:00,76.16,76.16,73.92,75.23,248656
2016-01-19 09:30:00,76.85,76.85,75.54,75.92,68427
2016-01-20 09:30:00,73.76,73.77,72.66,73.06,122564
2016-01-21 09:30:00,74.66,75.42,74.16,74.37,154594
2016-01-22 09:30:00,74.79,75.86,74.79,75.74,245632
2016-01-25 09:30:00,75.03,75.66,73.12,75.02,85567
2016-01-26 09:30:00,73.91,74.93,73.47,74.51,204688
2016-01-27 09:30:00,74.6,75.61,74.36,75.61,121674
2016-01-28 09:30:00,73.75,75.48,68.38,68.75,722976
2016-01-29 09:30:00,70.82,72.29,70.82,72.27,187756
2016-02-01 09:30:00,72.65,73.34,71.88,72.62,132797
2016-02-02 09:30:00,70.02,70.15,68.93,68.93,134662
2016-02-03 09:30:00,68.95,69.04,68.16,68.22,226648
2016-02-04 09:30:00,69.02,69.48,68.42,69.19,142989
2016-02-05 09:30:00,69.28,69.75,68.28,68.88,118670
2016-02-08 09:30:00,66.06,66.69,64.66,64.98,195265
2016-02-09 09:30:00,64.41,65.38,64.15,65.0,262221
2016-02-10 09:30:00,65.5,66.21,65.19,66.05,136583
2016-02-11 09:30:00,63.18,63.98,63.0,63.69,178337
2016-02-12 09:30:00,64.61,64.74,63.12,63.25,246794
2016-02-16 09:30:00,66.9,67.45,66.03,66.56,187594
2016-02-17 09:30:00,68.82,69.93,68.34,69.18,148263
2016-02-18 09:30:00,69.62,70.01,69.4,69.78,184943
2016-02-19 09:30:00,68.42,68.54,67.84,67.84,187815
2016-02-22 09:30:00,69.04,69.4,68.77,69.24,116241
2016-02-23 09:30:00,68.98,69.05,68.46,68.65,127939
2016-02-24 09:30:00,67.18,67.43,66.02,66.14,83330
2016-02-25 09:30:00,68.58,69.17,68.08,68.3,54844
2016-02-26 09:30:00,69.99,70.37,69.69,69.98,93365
2016-02-29 09:30:00,70.57,70.78,69.08,69.08,183189
2016-03-01 09:30:00,69.62,70.52,69.62,70.35,170762
2016-03-02 09:30:00,72.11,72.2,71.39,71.46,99578
2016-03-03 09:30:00,72.17,72.29,71.66,72.04,117734
2016-03-04 09:30:00,73.47,74.13,72.94,73.15,85220
2016-03-07 09:30:00,73.09,73.37,72.69,72.86,85931
2016-03-08 09:30:00,72.55,73.44,72.45,72.92,204801
2016-03-09 09:30:00,73.38,73.38,72.88,72.99,107583
2016-03-10 09:30:00,73.4,73.61,72.86,73.25,110235
2016-03-11 09:30:00,73.74,74.29,73.68,74.2,88250
2016-03-14 09:30:00,75.3,75.71,74.36,74.36,177452
2016-03-15 09:30:00,74.25,74.33,72.75,73.02,219752
2016-03-16 09:30:00,73.24,74.19,73.02,73.95,54360
2016-03-17 09:30:00,74.56,75.25,74.56,75.25,39208
