open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,32.81,32.89,32.4,32.45,28461820
2016-01-05 09:30:00,32.34,32.35,31.67,31.7,21832360
2016-01-06 09:30:00,31.1,31.88,31.02,31.85,23892480
2016-01-07 09:30:00,31.12,31.39,30.83,30.89,24049200
2016-01-08 09:30:00,30.94,31.21,30.85,31.17,23073140
2016-01-11 09:30:00,30.62,30.99,30.45,30.55,15011560
2016-01-12 09:30:00,31.26,31.3,31.0,31.11,17788120
2016-01-13 09:30:00,31.04,31.04,30.44,30.48,13166880
2016-01-14 09:30:00,29.02,29.3,28.49,28.55,27608880
2016-01-15 09:30:00,28.61,29.23,28.56,28.85,33535280
2016-01-19 09:30:00,28.85,29.2,28.82,28.95,19528300
2016-01-20 09:30:00,28.22,28.35,27.51,27.53,25641640
2016-01-21 09:30:00,28.68,28.95,28.41,28.48,17163360
2016-01-22 09:30:00,29.44,29.49,29.21,29.39,13437480
2016-01-25 09:30:00,29.9,30.43,29.73,30.21,16938040
2016-01-26 09:30:00,30.11,30.23,29.54,29.56,15430040
2016-01-27 09:30:00,30.1,30.17,29.39,29.6,17204400
2016-01-28 09:30:00,30.46,30.82,30.25,30.43,37066240
2016-01-29 09:30:00,28.6,29.65,28.5,28.9,84420780
2016-02-01 09:30:00,28.91,29.09,28.52,28.95,32616420
2016-02-02 09:30:00,28.5,28.58,27.92,28.41,24757340
2016-02-03 09:30:00,27.68,27.8,26.7,26.78,37389560
2016-02-04 09:30:00,26.21,26.47,26.08,26.23,22298580
2016-02-05 09:30:00,26.46,26.47,25.62,25.81,33510560
2016-02-08 09:30:00,24.32,24.68,23.84,24.45,49587100
2016-02-09 09:30:00,23.91,24.92,23.76,24.71,28837720
2016-02-10 09:30:00,24.59,24.84,24.3,24.79,18053240
2016-02-11 09:30:00,24.56,24.75,24.2,24.7,21742000
2016-02-12 09:30:00,25.53,25.82,25.44,25.56,22016820
2016-02-16 09:30:00,25.99,26.22,25.87,26.04,25323840
2016-02-17 09:30:00,26.41,26.45,25.97,26.31,15947140
2016-02-18 09:30:00,27.04,27.06,26.78,26.81,18219800
2016-02-19 09:30:00,26.05,26.23,25.77,25.97,25380220
2016-02-22 09:30:00,27.11,27.56,27.05,27.47,21113460
2016-02-23 09:30:00,27.78,27.85,27.6,27.6,11651380
2016-02-24 09:30:00,27.29,27.29,26.66,26.8,24423960
2016-02-25 09:30:00,27.78,27.97,27.54,27.57,15046900
2016-02-26 09:30:00,28.01,28.13,27.88,28.05,17024920
2016-02-29 09:30:00,27.7,28.02,27.64,27.9,8647360
2016-03-01 09:30:00,27.81,28.11,27.8,28.04,11686920
2016-03-02 09:30:00,29.09,29.24,28.88,29.02,15740020
2016-03-03 09:30:00,28.9,28.99,28.67,28.8,7667200
2016-03-04 09:30:00,29.05,29.07,28.6,28.71,10820100
2016-03-07 09:30:00,28.68,28.68,28.08,28.08,12665400
2016-03-08 09:30:00,27.89,28.34,27.74,28.23,17360380
2016-03-09 09:30:00,27.98,28.02,27.51,27.62,18196080
2016-03-10 09:30:00,28.35,28.35,28.06,28.25,11056020
2016-03-11 09:30:00,28.35,28.38,28.18,28.23,13779520
2016-03-14 09:30:00,28.3,28.42,28.15,28.28,10872600
2016-03-15 09:30:00,28.55,28.65,28.35,28.47,8835860
2016-03-16 09:30:00,28.83,28.91,28.63,28.79,5802000
2016-03-17 09:30:00,28.48,28.57,28.19,28.21,19219480
2016-03-18 09:30:00,28.05,28.12,27.42,27.51,45797420
