open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,4.875,4.875,4.748,4.758,1959712
2016-01-05 09:30:00,4.89,4.952,4.875,4.903,1184256
2016-01-06 09:30:00,4.846,4.886,4.751,4.761,2499760
2016-01-07 09:30:00,4.512,4.529,4.459,4.459,1244016
2016-01-08 09:30:00,4.365,4.429,4.308,4.329,1086080
2016-01-11 09:30:00,4.343,4.343,4.299,4.304,660272
2016-01-12 09:30:00,4.301,4.354,4.294,4.316,1156224
2016-01-13 09:30:00,4.184,4.245,4.158,4.193,676784
2016-01-14 09:30:00,4.102,4.144,4.031,4.031,1235440
2016-01-15 09:30:00,3.978,4.037,3.954,4.016,1144288
2016-01-19 09:30:00,4.094,4.101,3.991,4.058,1785456
2016-01-20 09:30:00,3.868,3.868,3.799,3.83,2050192
2016-01-21 09:30:00,3.947,3.96,3.888,3.93,976304
2016-01-22 09:30:00,3.971,4.066,3.953,4.06,470416
2016-01-25 09:30:00,4.021,4.022,3.948,3.949,941248
2016-01-26 09:30:00,3.753,3.804,3.696,3.742,1293680
2016-01-27 09:30:00,3.836,3.881,3.825,3.85,544176
2016-01-28 09:30:00,3.834,3.852,3.75,3.75,465552
2016-01-29 09:30:00,3.75,3.761,3.731,3.749,812368
2016-02-01 09:30:00,3.723,3.723,3.563,3.596,2561488
2016-02-02 09:30:00,3.688,3.733,3.628,3.63,545536
2016-02-03 09:30:00,3.674,3.777,3.656,3.766,1087856
2016-02-04 09:30:00,3.867,3.949,3.851,3.949,674608
2016-02-05 09:30:00,3.878,3.878,3.798,3.825,772016
2016-02-08 09:30:00,3.643,3.654,3.466,3.469,1844976
2016-02-09 09:30:00,3.347,3.437,3.319,3.409,1493632
2016-02-10 09:30:00,3.346,3.386,3.303,3.374,477664
2016-02-11 09:30:00,3.321,3.427,3.298,3.394,1694496
2016-02-12 09:30:00,3.438,3.468,3.428,3.438,1081008
2016-02-16 09:30:00,3.569,3.641,3.569,3.616,577808
2016-02-17 09:30:00,3.719,3.744,3.679,3.713,1416656
2016-02-18 09:30:00,3.759,3.764,3.687,3.71,1556672
2016-02-19 09:30:00,3.868,4.028,3.848,3.973,12029856
2016-02-22 09:30:00,4.125,4.167,4.08,4.108,1839872
2016-02-23 09:30:00,4.119,4.191,4.088,4.18,1367360
2016-02-24 09:30:00,4.067,4.178,4.067,4.155,965600
2016-02-25 09:30:00,4.233,4.304,4.181,4.192,1296432
2016-02-26 09:30:00,4.219,4.284,4.202,4.273,1015968
2016-02-29 09:30:00,4.313,4.343,4.303,4.342,307536
2016-03-01 09:30:00,4.298,4.302,4.172,4.231,1142048
2016-03-02 09:30:00,4.256,4.262,4.163,4.166,2272832
2016-03-03 09:30:00,4.14,4.225,4.129,4.176,1195264
2016-03-04 09:30:00,4.196,4.231,4.112,4.125,643728
2016-03-07 09:30:00,4.01,4.026,3.941,3.993,1220240
2016-03-08 09:30:00,4.012,4.029,3.925,3.943,996016
2016-03-09 09:30:00,3.908,3.968,3.892,3.926,709360
2016-03-10 09:30:00,3.976,4.069,3.955,4.014,1077216
2016-03-11 09:30:00,3.839,3.912,3.825,3.885,511664
2016-03-14 09:30:00,3.864,3.864,3.586,3.586,5147456
2016-03-15 09:30:00,3.535,3.575,3.508,3.574,1997792
2016-03-16 09:30:00,3.47,3.521,3.438,3.503,1631664
2016-03-17 09:30:00,3.596,3.628,3.563,3.575,556752
2016-03-18 09:30:00,3.654,3.718,3.643,3.647,482128
2016-03-21 09:30:00,3.672,3.722,3.642,3.719,1123664
2016-03-22 09:30:00,3.756,3.791,3.753,3.767,803984
2016-03-23 09:30:00,3.718,3.793,3.704,3.726,983424
2016-03-24 09:30:00,3.671,3.73,3.659,3.728,579760
2016-03-28 09:30:00,3.709,3.731,3.693,3.721,746496
2016-03-29 09:30:00,3.618,3.77,3.618,3.75,1629552
2016-03-30 09:30:00,3.918,3.924,3.828,3.866,1358704
2016-03-31 09:30:00,3.896,3.918,3.861,3.873,280752
2016-04-01 09:30:00,3.898,3.938,3.806,3.819,1639136
2016-04-04 09:30:00,3.888,3.974,3.872,3.974,1605440
2016-04-05 09:30:00,3.942,3.969,3.878,3.904,1201440
2016-04-06 09:30:00,3.933,3.959,3.89,3.956,1403920
2016-04-07 09:30:00,4.043,4.075,3.953,4.012,1310896
2016-04-08 09:30:00,4.034,4.137,3.999,4.111,1460512
2016-04-11 09:30:00,4.06,4.071,4.004,4.025,1249760
2016-04-12 09:30:00,3.946,3.975,3.876,3.896,694288
2016-04-13 09:30:00,3.911,3.943,3.868,3.923,283328
2016-04-14 09:30:00,4.025,4.034,3.941,4.005,344656
2016-04-15 09:30:00,4.001,4.001,3.95,3.985,482704
2016-04-18 09:30:00,3.936,3.987,3.9,3.985,623408
2016-04-19 09:30:00,3.946,3.989,3.912,3.936,1276896
2016-04-20 09:30:00,3.93,3.933,3.864,3.932,674656
2016-04-21 09:30:00,4.005,4.005,3.935,3.936,307664
2016-04-22 09:30:00,3.981,4.04,3.938,4.018,934032
2016-04-25 09:30:00,4.059,4.1,4.035,4.078,794304
2016-04-26 09:30:00,4.117,4.141,4.088,4.137,536064
2016-04-27 09:30:00,4.103,4.126,4.003,4.016,1031840
2016-04-28 09:30:00,4.133,4.157,4.12,4.154,549088
2016-04-29 09:30:00,4.112,4.132,4.076,4.104,809360
2016-05-02 09:30:00,4.191,4.203,4.151,4.18,1125776
2016-05-03 09:30:00,4.166,4.166,4.084,4.084,447088
2016-05-04 09:30:00,3.987,4.006,3.92,3.957,1695136
2016-05-05 09:30:00,3.939,3.963,3.913,3.914,607680
2016-05-06 09:30:00,4.091,4.213,4.065,4.098,8640048
2016-05-09 09:30:00,4.176,4.199,4.079,4.139,1466768
2016-05-10 09:30:00,4.125,4.199,4.108,4.145,1588112
2016-05-11 09:30:00,4.202,4.241,4.189,4.226,732080
2016-05-12 09:30:00,4.217,4.217,4.113,4.132,923216
2016-05-13 09:30:00,4.134,4.218,4.119,4.203,938624
2016-05-16 09:30:00,4.21,4.281,4.204,4.253,597024
2016-05-17 09:30:00,4.249,4.266,4.213,4.244,777120
2016-05-18 09:30:00,4.151,4.249,4.126,4.232,907472
2016-05-19 09:30:00,4.251,4.321,4.217,4.308,4837168
2016-05-20 09:30:00,4.272,4.309,4.265,4.297,1640704
2016-05-23 09:30:00,4.355,4.458,4.339,4.458,2506288
2016-05-24 09:30:00,4.475,4.498,4.444,4.45,601376
2016-05-25 09:30:00,4.531,4.551,4.516,4.517,586736
2016-05-26 09:30:00,4.479,4.505,4.454,4.505,641856
2016-05-27 09:30:00,4.5,4.517,4.446,4.504,1335104
2016-05-31 09:30:00,4.563,4.575,4.538,4.569,975616
2016-06-01 09:30:00,4.546,4.578,4.506,4.561,432432
2016-06-02 09:30:00,4.631,4.664,4.63,4.659,563280
2016-06-03 09:30:00,4.681,4.681,4.657,4.67,570720
2016-06-06 09:30:00,4.688,4.706,4.644,4.703,683472
2016-06-07 09:30:00,4.666,4.687,4.654,4.665,1178496
2016-06-08 09:30:00,4.647,4.682,4.596,4.64,1177936
2016-06-09 09:30:00,4.668,4.687,4.636,4.658,600720
2016-06-10 09:30:00,4.662,4.679,4.598,4.631,886672
2016-06-13 09:30:00,4.534,4.556,4.489,4.509,1557120
2016-06-14 09:30:00,4.5,4.533,4.49,4.529,1248304
2016-06-15 09:30:00,4.551,4.564,4.538,4.549,896976
2016-06-16 09:30:00,4.543,4.585,4.493,4.503,546288
2016-06-17 09:30:00,4.541,4.575,4.517,4.546,881008
2016-06-20 09:30:00,4.572,4.601,4.523,4.53,727632
2016-06-21 09:30:00,4.529,4.529,4.459,4.494,704976
2016-06-22 09:30:00,4.53,4.548,4.408,4.425,1978848
2016-06-23 09:30:00,4.5,4.547,4.474,4.533,951472
2016-06-24 09:30:00,4.252,4.438,4.248,4.366,2695040
2016-06-27 09:30:00,3.949,3.969,3.813,3.843,4835600
2016-06-28 09:30:00,3.853,3.901,3.785,3.874,1358464
2016-06-29 09:30:00,3.928,3.96,3.908,3.943,478928
2016-06-30 09:30:00,3.994,4.001,3.962,3.969,398752
2016-07-01 09:30:00,4.035,4.071,3.98,3.985,1079312
2016-07-05 09:30:00,3.938,3.944,3.888,3.935,766768
2016-07-06 09:30:00,3.949,3.978,3.923,3.963,741952
2016-07-07 09:30:00,4.045,4.087,4.045,4.082,382496
2016-07-08 09:30:00,4.156,4.243,4.129,4.209,933056
2016-07-11 09:30:00,4.283,4.471,4.283,4.379,4323984
