open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,91.4,91.56,90.715,91.52,68141
2016-01-05 09:30:00,90.14,90.92,90.05,90.62,33180
2016-01-06 09:30:00,88.47,89.1,88.0,89.1,27085
2016-01-07 09:30:00,87.18,88.18,86.64,88.16,46885
2016-01-08 09:30:00,87.71,87.81,87.05,87.77,23143
2016-01-11 09:30:00,85.73,85.73,85.07,85.4,15622
2016-01-12 09:30:00,86.3,87.72,85.48,86.75,55628
2016-01-13 09:30:00,86.87,87.03,85.95,86.85,20825
2016-01-14 09:30:00,84.66,84.735,83.83,84.05,43485
2016-01-15 09:30:00,82.76,84.795,82.0001,83.1375,23433
2016-01-19 09:30:00,85.43,85.7,83.89,85.14,53938
2016-01-20 09:30:00,84.15,84.15,83.49,83.57,36381
2016-01-21 09:30:00,85.22,85.3,83.9,84.74,28337
2016-01-22 09:30:00,86.09,86.97,85.735,86.88,30555
2016-01-25 09:30:00,86.33,86.79,85.1,86.09,35473
2016-01-26 09:30:00,85.35,87.055,84.73,85.525,17322
2016-01-27 09:30:00,86.17,86.9899,85.9,86.09,15384
2016-01-28 09:30:00,85.5,85.5,84.65,84.82,14319
2016-01-29 09:30:00,85.58,86.68,84.577,86.4529,20589
2016-02-01 09:30:00,87.35,87.5999,86.94,87.04,24646
2016-02-02 09:30:00,87.64,88.995,86.65,87.39,12471
2016-02-03 09:30:00,87.79,87.79,87.08,87.1533,29732
2016-02-04 09:30:00,87.11,87.81,86.775,87.5,20069
2016-02-05 09:30:00,88.11,88.14,86.68,86.8,41332
2016-02-08 09:30:00,83.52,84.07,81.32,83.0,134107
2016-02-09 09:30:00,81.29,83.27,80.51,82.817,51328
2016-02-10 09:30:00,83.64,85.91,83.5801,85.91,29011
2016-02-11 09:30:00,82.65,84.13,82.65,84.0,27818
2016-02-12 09:30:00,84.5,85.225,83.6,83.6,20238
2016-02-16 09:30:00,84.81,85.43,83.96,84.72,31630
2016-02-17 09:30:00,84.51,85.44,84.23,84.49,43123
2016-02-18 09:30:00,86.4,87.1,85.69,85.85,42242
2016-02-19 09:30:00,85.38,86.22,85.32,86.02,44399
2016-02-22 09:30:00,88.2,89.04,87.25,88.77,30462
2016-02-23 09:30:00,88.42,88.42,87.5,87.83,27134
2016-02-24 09:30:00,85.81,86.6553,85.46,85.755,38045
2016-02-25 09:30:00,88.38,88.38,82.45,84.75,195750
2016-02-26 09:30:00,84.42,84.94,84.12,84.18,39626
2016-02-29 09:30:00,84.22,84.3,83.28,83.58,58646
2016-03-01 09:30:00,83.43,84.25,83.43,83.89,53260
2016-03-02 09:30:00,86.26,86.96,85.76,85.9,95103
2016-03-03 09:30:00,86.51,86.78,86.14,86.3,40197
2016-03-04 09:30:00,86.07,86.68,85.38,86.245,38026
2016-03-07 09:30:00,86.63,87.27,86.58,87.01,22014
2016-03-08 09:30:00,86.79,87.27,86.55,86.75,41937
2016-03-09 09:30:00,86.33,86.37,85.31,86.17,41810
2016-03-10 09:30:00,87.11,87.85,87.08,87.34,24108
2016-03-11 09:30:00,86.7,86.87,86.14,86.71,19311
2016-03-14 09:30:00,85.72,86.39,85.59,85.59,37922
2016-03-15 09:30:00,85.57,85.89,85.32,85.525,19698
2016-03-16 09:30:00,86.06,86.81,86.06,86.59,11977
2016-03-17 09:30:00,86.78,87.34,86.66,87.0,21563
2016-03-18 09:30:00,87.35,88.36,86.76,87.505,241462
2016-03-21 09:30:00,87.55,88.4,87.5,87.7,24380
2016-03-22 09:30:00,86.69,87.46,86.69,87.025,30558
2016-03-23 09:30:00,87.47,87.92,86.91,86.91,10661
2016-03-24 09:30:00,86.82,87.41,86.4359,87.21,14474
2016-03-28 09:30:00,87.38,87.43,86.84,87.14,13478
2016-03-29 09:30:00,87.03,87.86,87.03,87.46,21591
2016-03-30 09:30:00,88.9,89.37,88.6,88.86,29523
2016-03-31 09:30:00,88.57,88.81,87.91,88.69,11020
2016-04-01 09:30:00,88.55,88.97,87.87,88.81,32358
2016-04-04 09:30:00,90.03,90.04,89.01,89.45,19126
2016-04-05 09:30:00,88.59,88.95,88.42,88.67,7740
2016-04-06 09:30:00,87.9,88.59,87.645,88.53,19647
2016-04-07 09:30:00,88.62,88.84,87.99,88.11,12997
2016-04-08 09:30:00,88.0,88.3,87.56,88.2,9524
2016-04-11 09:30:00,87.94,88.21,87.66,87.99,8376
2016-04-12 09:30:00,87.49,87.49,86.4501,86.85,8639
2016-04-13 09:30:00,87.41,87.5899,87.1,87.26,30742
2016-04-14 09:30:00,89.33,89.46,88.68,88.84,12629
2016-04-15 09:30:00,88.39,89.165,87.8176,88.975,18094
2016-04-18 09:30:00,89.35,89.46,89.2,89.38,9744
2016-04-19 09:30:00,90.27,90.5,89.76,90.5,16701
2016-04-20 09:30:00,90.83,90.99,89.3475,90.79,15670
2016-04-21 09:30:00,91.14,91.45,90.675,91.0,27090
2016-04-22 09:30:00,90.46,90.79,88.91,90.755,41420
2016-04-25 09:30:00,90.55,91.413,90.11,91.07,20425
2016-04-26 09:30:00,91.29,91.6,90.85,91.51,39366
2016-04-27 09:30:00,91.24,91.74,91.14,91.56,10946
2016-04-28 09:30:00,91.44,91.44,89.95,90.97,20255
2016-04-29 09:30:00,90.49,90.49,89.5,90.0,12342
2016-05-02 09:30:00,90.74,91.56,90.36,91.24,48144
2016-05-03 09:30:00,91.59,91.81,91.33,91.72,18112
2016-05-04 09:30:00,91.14,91.14,90.4901,90.88,5819
2016-05-05 09:30:00,85.14,87.68,84.8532,85.88,238376
2016-05-06 09:30:00,81.41,84.54,81.41,84.18,179270
2016-05-09 09:30:00,84.45,86.22,84.16,86.07,40032
2016-05-10 09:30:00,85.64,86.4699,85.145,85.9,41428
2016-05-11 09:30:00,86.17,87.06,85.6001,86.6212,42423
2016-05-12 09:30:00,86.67,87.09,86.185,86.59,15540
2016-05-13 09:30:00,86.43,86.88,83.91,86.51,14209
2016-05-16 09:30:00,86.06,86.65,86.01,86.12,24358
2016-05-17 09:30:00,86.36,87.57,85.01,86.35,19293
2016-05-18 09:30:00,85.03,85.47,84.985,85.46,17696
2016-05-19 09:30:00,84.76,85.2,84.27,84.27,46091
2016-05-20 09:30:00,85.12,86.65,84.815,86.45,88150
2016-05-23 09:30:00,86.34,86.87,86.11,86.45,23261
2016-05-24 09:30:00,87.16,88.145,86.83,87.86,35199
2016-05-25 09:30:00,88.75,89.2868,87.82,87.83,46208
2016-05-26 09:30:00,87.79,88.95,87.21,88.19,31523
2016-05-27 09:30:00,88.15,88.71,87.9,88.24,20123
2016-05-31 09:30:00,89.26,90.08,89.055,89.98,64401
2016-06-01 09:30:00,88.53,89.04,87.91,87.92,96227
2016-06-02 09:30:00,88.4,88.51,87.83,88.41,22745
2016-06-03 09:30:00,88.09,88.34,87.395,87.41,46106
2016-06-06 09:30:00,88.3,88.93,88.22,88.69,15981
2016-06-07 09:30:00,88.48,88.87,88.305,88.42,15091
2016-06-08 09:30:00,88.71,88.84,88.1,88.67,25707
2016-06-09 09:30:00,88.77,88.79,88.04,88.555,34228
2016-06-10 09:30:00,87.94,88.83,86.4921,87.94,25552
2016-06-13 09:30:00,86.6,87.51,86.25,87.09,52893
2016-06-14 09:30:00,86.72,87.31,86.2,86.94,28031
2016-06-15 09:30:00,87.49,87.93,87.49,87.57,16786
2016-06-16 09:30:00,87.41,87.5,87.07,87.23,22978
2016-06-17 09:30:00,87.8,87.99,87.01,87.44,232784
2016-06-20 09:30:00,88.41,89.06,88.39,89.0,36945
2016-06-21 09:30:00,89.17,90.39,89.15,90.18,78429
2016-06-22 09:30:00,89.55,89.98,89.4301,89.91,24189
2016-06-23 09:30:00,90.11,90.93,90.0,90.91,43931
2016-06-24 09:30:00,88.53,89.78,85.05,89.285,60546
2016-06-27 09:30:00,86.58,86.58,85.8,86.0,28104
2016-06-28 09:30:00,85.64,86.36,85.32,86.295,21077
2016-06-29 09:30:00,87.34,87.9,87.2536,87.89,27053
2016-06-30 09:30:00,88.56,90.09,88.42,89.09,123677
2016-07-01 09:30:00,90.91,91.77,90.9,91.045,27770
2016-07-05 09:30:00,90.03,90.64,89.65,89.8,16546
2016-07-06 09:30:00,88.4,88.89,88.3,88.72,15830
2016-07-07 09:30:00,89.44,89.66,88.9823,89.5,13255
2016-07-08 09:30:00,90.43,90.95,90.06,90.76,18249
2016-07-11 09:30:00,91.98,91.98,91.73,91.92,15839
2016-07-12 09:30:00,91.93,91.93,91.56,91.73,11942
2016-07-13 09:30:00,91.92,92.1,91.63,91.91,40537
2016-07-14 09:30:00,91.42,91.97,91.28,91.44,34827
2016-07-15 09:30:00,91.2,91.935,90.63,90.63,15284
2016-07-18 09:30:00,91.35,91.58,91.22,91.33,22336
2016-07-19 09:30:00,90.68,91.36,90.51,90.64,45076
2016-07-20 09:30:00,90.57,90.93,90.01,90.28,41011
2016-07-21 09:30:00,90.44,90.7,89.895,89.915,72160
2016-07-22 09:30:00,89.7,89.99,89.16,89.29,34928
2016-07-25 09:30:00,90.17,90.17,89.59,90.025,55682
2016-07-26 09:30:00,89.83,90.33,89.51,89.84,30859
2016-07-27 09:30:00,90.52,90.52,89.67,89.96,32972
2016-07-28 09:30:00,89.96,90.11,89.39,90.02,48973
2016-07-29 09:30:00,90.25,90.85,89.16,89.22,19926
2016-08-01 09:30:00,89.67,89.68,89.28,89.4,76032
2016-08-02 09:30:00,90.47,90.47,89.151,89.44,60645
2016-08-03 09:30:00,89.4,89.9,89.1,89.77,24405
2016-08-04 09:30:00,94.0,94.42,92.53,93.015,236460
2016-08-05 09:30:00,93.41,94.07,90.015,93.945,54688
2016-08-08 09:30:00,94.97,95.15,94.41,95.0,58374
2016-08-09 09:30:00,94.69,94.75,94.19,94.49,25173
2016-08-10 09:30:00,94.94,95.38,93.75,95.27,23063
2016-08-11 09:30:00,96.0,96.56,96.0,96.18,60413
2016-08-12 09:30:00,96.41,96.56,96.26,96.36,27498
2016-08-15 09:30:00,96.69,98.0,96.39,97.83,73655
2016-08-16 09:30:00,97.37,97.44,96.67,97.35,45811
2016-08-17 09:30:00,96.95,97.36,96.182,97.0,27948
2016-08-18 09:30:00,97.53,97.85,97.495,97.605,26546
2016-08-19 09:30:00,97.22,97.82,97.04,97.31,13720
2016-08-22 09:30:00,97.22,97.6,97.22,97.5,13497
2016-08-23 09:30:00,97.76,98.295,97.325,98.08,19535
2016-08-24 09:30:00,98.39,98.39,97.87,98.15,11814
2016-08-25 09:30:00,97.71,98.56,97.71,98.5,20241
2016-08-26 09:30:00,98.28,98.88,98.28,98.55,9433
2016-08-29 09:30:00,98.51,98.775,98.48,98.53,39449
2016-08-30 09:30:00,95.88,97.98,95.88,97.0,467581
2016-08-31 09:30:00,95.51,95.99,94.9301,95.85,59987
2016-09-01 09:30:00,95.04,95.94,94.5,95.07,152117
2016-09-02 09:30:00,95.17,95.17,94.87,94.98,63385
2016-09-06 09:30:00,95.71,95.71,94.99,95.47,28471
