open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,83.04,83.2,82.25,82.66,81566
2016-01-05 09:30:00,83.05,83.72,82.8,83.16,53145
2016-01-06 09:30:00,82.76,82.93,82.28,82.8,94678
2016-01-07 09:30:00,80.86,81.44,80.7,81.3,190667
2016-01-08 09:30:00,81.3,81.56,80.85,81.2,70302
2016-01-11 09:30:00,80.13,80.29,79.13,79.16,56360
2016-01-12 09:30:00,79.82,79.83,79.18,79.34,82276
2016-01-13 09:30:00,80.3,80.46,79.95,80.43,122150
2016-01-14 09:30:00,78.83,79.35,78.54,78.64,81631
2016-01-15 09:30:00,80.24,80.24,77.9,78.86,335638
2016-01-19 09:30:00,79.43,79.7,78.77,79.17,63795
2016-01-20 09:30:00,77.43,78.41,76.74,77.49,97447
2016-01-21 09:30:00,78.03,78.69,77.67,77.75,44975
2016-01-22 09:30:00,78.66,79.11,78.48,79.11,65905
2016-01-25 09:30:00,78.9,79.31,78.29,78.41,59655
2016-01-26 09:30:00,78.9,79.18,78.75,79.05,114404
2016-01-27 09:30:00,78.75,78.78,78.12,78.44,49752
2016-01-28 09:30:00,80.26,80.83,79.1,79.43,130405
2016-01-29 09:30:00,79.79,79.85,79.28,79.7,59474
2016-02-01 09:30:00,80.41,80.67,80.01,80.25,94727
2016-02-02 09:30:00,79.45,79.64,79.0,79.35,64887
2016-02-03 09:30:00,80.1,80.15,79.46,79.9,141693
2016-02-04 09:30:00,80.34,81.45,80.12,81.31,106870
2016-02-05 09:30:00,81.94,84.37,81.77,83.16,192963
2016-02-08 09:30:00,84.76,85.69,84.49,85.49,188170
2016-02-09 09:30:00,84.95,85.53,84.62,85.34,174027
2016-02-10 09:30:00,85.47,86.7,85.11,86.56,117599
2016-02-11 09:30:00,83.88,84.55,83.46,84.3,166295
2016-02-12 09:30:00,86.13,86.8,86.13,86.79,146097
2016-02-16 09:30:00,86.96,87.26,86.54,87.01,128413
2016-02-17 09:30:00,87.35,87.6,87.01,87.26,141758
2016-02-18 09:30:00,87.04,87.29,86.79,86.98,243259
2016-02-19 09:30:00,86.57,86.74,86.22,86.31,142648
2016-02-22 09:30:00,86.67,86.99,86.25,86.34,118191
2016-02-23 09:30:00,85.63,86.86,85.32,86.86,535079
2016-02-24 09:30:00,85.51,85.93,85.36,85.75,126096
2016-02-25 09:30:00,87.19,87.47,86.87,87.33,96318
2016-02-26 09:30:00,87.9,88.4,87.68,88.24,183394
2016-02-29 09:30:00,87.97,88.15,87.61,87.9,113846
2016-03-01 09:30:00,88.18,88.93,88.18,88.73,105068
2016-03-02 09:30:00,88.17,88.47,87.82,88.14,79302
2016-03-03 09:30:00,89.23,89.57,89.18,89.18,76502
2016-03-04 09:30:00,90.03,90.49,89.98,90.33,135362
2016-03-07 09:30:00,90.33,90.66,90.06,90.15,85552
