open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.86,35.37,34.7,35.21,450406
2016-01-05 09:30:00,34.27,34.69,33.67,33.82,857895
2016-01-06 09:30:00,33.17,33.18,31.59,31.96,1023543
2016-01-07 09:30:00,29.45,30.12,29.03,29.79,1069157
2016-01-08 09:30:00,29.04,29.15,28.28,28.36,601457
2016-01-11 09:30:00,28.89,29.04,28.34,28.62,1309343
2016-01-12 09:30:00,28.01,28.12,27.34,27.66,897238
2016-01-13 09:30:00,28.24,29.27,28.19,28.95,851525
2016-01-14 09:30:00,28.27,28.57,27.78,27.95,506264
2016-01-15 09:30:00,27.76,28.29,27.76,27.86,1372580
2016-01-19 09:30:00,27.97,28.12,27.06,27.59,781688
2016-01-20 09:30:00,26.4,26.69,25.94,26.17,955824
2016-01-21 09:30:00,27.24,27.68,27.07,27.31,842612
2016-01-22 09:30:00,30.94,31.79,30.33,30.91,1170605
2016-01-25 09:30:00,30.43,31.54,30.4,31.42,747617
2016-01-26 09:30:00,30.43,30.79,29.48,29.55,567114
2016-01-27 09:30:00,29.89,30.86,29.68,30.24,329664
2016-01-28 09:30:00,32.34,32.52,31.63,31.84,812629
2016-01-29 09:30:00,32.52,33.53,32.47,33.42,364702
2016-02-01 09:30:00,32.75,33.13,32.35,32.79,580777
2016-02-02 09:30:00,31.34,31.38,30.72,31.08,691119
2016-02-03 09:30:00,31.52,31.52,30.63,30.87,389669
2016-02-04 09:30:00,33.37,34.08,32.96,33.17,688413
2016-02-05 09:30:00,31.98,31.98,30.52,31.18,1212451
2016-02-08 09:30:00,30.27,30.35,29.63,29.94,547076
2016-02-09 09:30:00,29.13,29.46,28.89,29.18,402513
2016-02-10 09:30:00,28.1,28.65,27.78,28.36,960063
2016-02-11 09:30:00,27.26,27.63,26.75,27.56,612434
2016-02-12 09:30:00,27.75,28.22,27.56,27.85,574714
2016-02-16 09:30:00,29.51,30.06,29.44,29.49,656690
2016-02-17 09:30:00,30.33,30.72,30.13,30.21,528532
2016-02-18 09:30:00,32.35,32.44,31.31,31.39,780345
2016-02-19 09:30:00,30.07,30.13,29.16,29.24,1031980
2016-02-22 09:30:00,30.42,30.89,30.42,30.66,623009
2016-02-23 09:30:00,30.81,31.52,30.7,31.31,335362
2016-02-24 09:30:00,29.32,29.36,28.73,29.07,858540
2016-02-25 09:30:00,30.2,30.2,28.64,29.26,1481783
2016-02-26 09:30:00,31.02,31.23,30.47,30.9,591580
2016-02-29 09:30:00,31.33,31.34,30.22,30.23,438345
2016-03-01 09:30:00,30.52,30.68,29.16,29.34,683504
2016-03-02 09:30:00,30.41,31.69,30.28,31.39,531889
2016-03-03 09:30:00,33.13,34.46,33.13,34.17,742804
2016-03-04 09:30:00,36.21,36.9,35.83,36.8,768636
2016-03-07 09:30:00,38.11,39.0,37.92,38.09,893276
2016-03-08 09:30:00,39.93,40.01,38.41,38.46,1085474
2016-03-09 09:30:00,37.49,37.84,36.13,36.59,734913
2016-03-10 09:30:00,36.42,36.5,35.51,36.02,881629
2016-03-11 09:30:00,37.59,38.46,37.57,38.19,775139
2016-03-14 09:30:00,37.86,38.29,37.63,37.93,554895
2016-03-15 09:30:00,37.54,37.83,37.16,37.59,330011
2016-03-16 09:30:00,38.49,39.26,38.39,38.96,630884
2016-03-17 09:30:00,39.63,39.99,39.26,39.71,374428
2016-03-18 09:30:00,40.68,41.11,40.4,40.45,1028875
2016-03-21 09:30:00,38.99,40.27,38.67,39.88,330410
2016-03-22 09:30:00,38.93,40.18,38.9,40.01,355765
2016-03-23 09:30:00,39.1,39.46,38.83,38.98,349065
2016-03-24 09:30:00,37.3,37.85,36.97,37.82,595183
2016-03-28 09:30:00,38.86,38.94,37.94,38.24,321623
2016-03-29 09:30:00,37.67,37.9,37.52,37.68,388282
2016-03-30 09:30:00,39.08,39.28,38.63,38.81,282849
2016-03-31 09:30:00,38.36,38.69,38.1,38.65,621569
2016-04-01 09:30:00,37.66,38.07,37.36,38.03,602006
2016-04-04 09:30:00,37.72,38.23,37.19,38.06,372365
2016-04-05 09:30:00,36.82,37.56,36.62,36.98,317111
2016-04-06 09:30:00,37.94,38.26,37.54,37.9,349361
2016-04-07 09:30:00,39.05,39.68,38.75,38.78,356579
2016-04-08 09:30:00,40.27,40.7,40.03,40.23,478246
2016-04-11 09:30:00,40.64,40.99,40.39,40.48,333199
2016-04-12 09:30:00,40.14,40.35,39.78,40.24,556918
2016-04-13 09:30:00,42.1,42.14,40.88,41.15,507334
2016-04-14 09:30:00,41.93,42.2,41.54,41.74,167635
2016-04-15 09:30:00,41.51,41.69,40.93,40.97,555618
2016-04-18 09:30:00,39.89,40.88,39.73,40.65,443052
2016-04-19 09:30:00,42.83,43.18,42.22,43.15,613116
2016-04-20 09:30:00,43.43,43.63,43.0,43.21,311887
2016-04-21 09:30:00,43.79,44.33,43.49,43.5,298265
2016-04-22 09:30:00,44.06,44.68,43.97,44.63,315702
2016-04-25 09:30:00,44.37,44.62,43.87,43.88,258772
2016-04-26 09:30:00,43.75,43.91,42.99,43.42,284623
2016-04-27 09:30:00,44.98,45.76,44.88,45.63,811975
2016-04-28 09:30:00,45.34,45.77,45.08,45.54,312359
2016-04-29 09:30:00,44.55,44.85,43.84,43.84,388537
2016-05-02 09:30:00,43.53,43.53,42.38,42.84,283067
2016-05-03 09:30:00,42.29,42.9,42.09,42.28,378920
2016-05-04 09:30:00,41.65,42.03,41.32,41.48,390995
2016-05-05 09:30:00,41.38,43.63,41.07,43.48,1022627
2016-05-06 09:30:00,43.0,44.29,42.72,43.97,956424
2016-05-09 09:30:00,42.6,42.6,41.53,41.71,465240
2016-05-10 09:30:00,41.94,42.13,41.5,41.73,529095
2016-05-11 09:30:00,42.31,42.32,41.39,41.43,264023
2016-05-12 09:30:00,43.84,44.32,43.32,43.51,580180
2016-05-13 09:30:00,42.71,43.43,42.67,42.86,216744
2016-05-16 09:30:00,43.35,44.32,43.35,43.59,519170
2016-05-17 09:30:00,43.73,44.03,43.14,43.96,392549
2016-05-18 09:30:00,45.99,46.4,44.01,45.37,3792275
2016-05-19 09:30:00,44.49,44.6,43.83,43.9,806247
2016-05-20 09:30:00,45.56,45.92,44.85,44.98,392646
2016-05-23 09:30:00,45.24,45.64,45.02,45.6,266042
2016-05-24 09:30:00,46.34,46.38,45.49,45.77,295006
2016-05-25 09:30:00,46.88,47.5,46.81,47.05,436161
2016-05-26 09:30:00,46.62,46.89,45.97,46.0,256924
2016-05-27 09:30:00,45.95,46.11,45.43,45.53,278556
2016-05-31 09:30:00,46.55,47.23,46.38,46.58,277769
2016-06-01 09:30:00,45.03,45.32,44.34,44.54,440893
2016-06-02 09:30:00,44.25,44.43,43.99,44.0,262872
2016-06-03 09:30:00,44.57,44.91,44.18,44.29,198110
2016-06-06 09:30:00,44.14,44.35,43.74,44.27,350515
2016-06-07 09:30:00,44.81,45.26,44.74,44.96,321308
2016-06-08 09:30:00,46.92,47.04,46.53,46.59,249525
2016-06-09 09:30:00,44.81,45.4,44.49,45.2,443686
2016-06-10 09:30:00,43.98,44.31,43.4,43.51,396835
2016-06-13 09:30:00,42.27,42.92,41.9,42.85,219638
2016-06-14 09:30:00,42.8,44.01,42.62,43.98,381207
2016-06-15 09:30:00,43.29,43.59,42.86,42.95,168271
2016-06-16 09:30:00,42.84,42.84,41.81,41.84,238138
2016-06-17 09:30:00,42.86,43.29,42.74,43.22,607364
2016-06-20 09:30:00,43.83,44.12,43.4,43.99,258371
2016-06-21 09:30:00,43.45,43.93,43.26,43.82,139055
2016-06-22 09:30:00,45.13,45.29,44.44,44.69,279424
2016-06-23 09:30:00,45.55,45.91,45.07,45.42,149368
2016-06-24 09:30:00,44.24,45.37,43.96,45.16,359742
2016-06-27 09:30:00,42.92,43.17,42.6,42.84,156930
2016-06-28 09:30:00,42.58,42.8,42.34,42.72,245716
2016-06-29 09:30:00,43.65,44.17,43.52,43.73,181311
2016-06-30 09:30:00,44.49,44.54,43.94,44.21,393191
2016-07-01 09:30:00,44.37,45.12,44.16,45.08,181802
2016-07-05 09:30:00,44.17,44.74,43.98,44.02,193461
2016-07-06 09:30:00,43.35,44.07,43.19,43.84,190343
2016-07-07 09:30:00,44.61,45.13,44.41,44.88,235551
2016-07-08 09:30:00,44.4,44.63,44.1,44.18,201677
2016-07-11 09:30:00,44.27,44.74,44.27,44.68,142461
2016-07-12 09:30:00,44.96,45.69,44.8,45.49,334504
2016-07-13 09:30:00,45.86,46.1,45.19,45.59,255366
2016-07-14 09:30:00,45.72,46.02,45.28,45.64,243821
2016-07-15 09:30:00,45.67,45.94,45.2,45.6,511227
2016-07-18 09:30:00,45.36,45.49,45.0,45.25,222876
2016-07-19 09:30:00,44.73,44.86,43.98,43.98,295166
2016-07-20 09:30:00,43.78,43.78,42.77,42.82,307141
2016-07-21 09:30:00,43.99,44.67,43.68,44.49,174687
2016-07-22 09:30:00,43.14,43.44,42.92,43.14,323491
2016-07-25 09:30:00,42.53,42.64,42.28,42.41,298052
2016-07-26 09:30:00,41.33,42.2,41.3,41.68,169831
2016-07-27 09:30:00,42.3,43.15,42.24,42.83,195099
2016-07-28 09:30:00,41.34,42.03,41.34,41.89,177494
2016-07-29 09:30:00,40.92,41.33,40.84,41.07,121246
2016-08-01 09:30:00,41.47,41.64,40.46,40.54,329958
2016-08-02 09:30:00,40.44,40.7,40.13,40.21,289972
2016-08-03 09:30:00,40.08,40.37,39.56,40.32,235027
2016-08-04 09:30:00,40.85,42.36,40.58,41.98,686222
2016-08-05 09:30:00,40.09,40.09,38.47,38.89,1041610
2016-08-08 09:30:00,40.16,40.91,40.09,40.91,341479
2016-08-09 09:30:00,40.57,40.71,40.05,40.09,436942
2016-08-10 09:30:00,40.36,40.37,39.96,40.0,162973
2016-08-11 09:30:00,39.51,39.64,39.19,39.41,221954
2016-08-12 09:30:00,39.8,40.16,39.73,39.77,267439
2016-08-15 09:30:00,39.48,40.0,39.31,39.36,148147
2016-08-16 09:30:00,39.77,39.86,39.13,39.72,252614
2016-08-17 09:30:00,40.76,40.84,40.46,40.6,310245
2016-08-18 09:30:00,41.63,42.38,41.45,42.32,336093
2016-08-19 09:30:00,42.75,42.9,42.46,42.62,415531
2016-08-22 09:30:00,42.1,42.57,41.89,42.57,286849
2016-08-23 09:30:00,42.5,42.82,42.18,42.23,234470
2016-08-24 09:30:00,42.42,42.7,42.22,42.54,154224
2016-08-25 09:30:00,42.1,42.21,41.61,42.21,108926
2016-08-26 09:30:00,42.27,42.3,42.0,42.02,125386
2016-08-29 09:30:00,41.68,42.16,41.52,41.88,113478
2016-08-30 09:30:00,42.52,43.1,42.44,42.94,178331
2016-08-31 09:30:00,41.65,41.65,40.79,40.79,372037
2016-09-01 09:30:00,39.52,39.53,38.93,39.02,388187
2016-09-02 09:30:00,40.31,41.13,40.29,41.13,364604
2016-09-06 09:30:00,41.14,41.64,40.84,41.1,238360
2016-09-07 09:30:00,45.62,47.24,44.49,44.54,4331344
2016-09-08 09:30:00,45.33,45.74,44.84,45.33,1915569
2016-09-09 09:30:00,46.91,47.68,46.72,46.96,1306187
2016-09-12 09:30:00,47.31,47.52,46.76,47.26,1106768
2016-09-13 09:30:00,46.92,47.72,46.85,47.12,1745981
2016-09-14 09:30:00,45.74,45.98,45.29,45.65,647345
2016-09-15 09:30:00,45.9,46.25,45.71,46.07,483351
2016-09-16 09:30:00,46.23,46.86,46.09,46.66,1192107
2016-09-19 09:30:00,47.32,47.44,46.85,47.12,257129
2016-09-20 09:30:00,46.11,46.36,45.91,46.2,252324
2016-09-21 09:30:00,46.61,47.12,46.52,46.86,468498
2016-09-22 09:30:00,49.3,49.8,48.93,49.59,980330
2016-09-23 09:30:00,48.4,49.04,48.06,48.82,804715
2016-09-26 09:30:00,48.93,49.01,48.17,48.33,641479
2016-09-27 09:30:00,47.26,47.37,46.53,47.08,446082
2016-09-28 09:30:00,48.08,48.74,48.04,48.45,479920
2016-09-29 09:30:00,51.07,52.21,50.7,51.91,901916
2016-09-30 09:30:00,51.5,51.81,51.08,51.64,565654
2016-10-03 09:30:00,51.11,51.76,50.36,50.86,627673
2016-10-04 09:30:00,51.38,51.58,50.66,50.73,267509
2016-10-05 09:30:00,52.02,52.62,51.58,51.99,475788
2016-10-06 09:30:00,51.93,52.18,51.5,52.03,258664
2016-10-07 09:30:00,51.45,51.73,50.9,50.91,235519
2016-10-10 09:30:00,51.23,51.96,51.23,51.89,331330
2016-10-11 09:30:00,51.16,51.39,50.37,50.58,252956
2016-10-12 09:30:00,50.21,50.31,49.51,49.93,345747
2016-10-13 09:30:00,49.65,49.71,48.45,48.65,764441
2016-10-14 09:30:00,50.14,50.27,49.81,50.25,206415
2016-10-17 09:30:00,49.36,49.57,48.55,48.71,595452
2016-10-18 09:30:00,50.26,51.0,49.98,50.82,539682
2016-10-19 09:30:00,51.04,51.41,50.64,50.93,345838
2016-10-20 09:30:00,51.05,51.09,50.32,50.92,453690
2016-10-21 09:30:00,50.62,50.66,50.33,50.42,391759
2016-10-24 09:30:00,50.04,50.27,49.61,50.05,216310
2016-10-25 09:30:00,49.49,49.72,49.34,49.57,171184
2016-10-26 09:30:00,48.15,48.76,48.15,48.66,212702
2016-10-27 09:30:00,49.83,50.34,49.51,49.92,213682
2016-10-28 09:30:00,49.49,49.88,49.24,49.29,197802
2016-10-31 09:30:00,48.57,48.77,48.17,48.3,245162
2016-11-01 09:30:00,48.49,48.52,47.99,48.1,179224
2016-11-02 09:30:00,47.57,48.38,47.44,48.17,290668
2016-11-03 09:30:00,46.99,46.99,45.04,45.68,1476848
2016-11-04 09:30:00,44.53,45.16,43.9,44.03,738001
2016-11-07 09:30:00,46.3,46.43,45.83,45.91,304668
2016-11-08 09:30:00,45.77,46.17,45.58,45.63,224908
2016-11-09 09:30:00,45.84,46.41,45.65,46.32,289634
2016-11-10 09:30:00,46.66,46.86,46.02,46.57,321693
2016-11-11 09:30:00,46.75,47.41,46.13,46.26,528490
2016-11-14 09:30:00,46.25,46.72,46.06,46.45,191605
2016-11-15 09:30:00,48.2,49.63,48.2,49.62,484084
2016-11-16 09:30:00,50.87,50.95,50.23,50.42,327225
2016-11-17 09:30:00,51.03,51.24,50.48,50.6,259923
2016-11-18 09:30:00,49.52,49.93,49.4,49.79,496406
2016-11-21 09:30:00,51.21,51.77,51.15,51.25,413397
2016-11-22 09:30:00,51.09,51.42,50.41,50.58,244130
2016-11-23 09:30:00,49.98,50.56,49.84,50.43,264342
2016-11-25 09:30:00,50.76,51.17,50.46,50.6,286007
2016-11-28 09:30:00,50.96,51.13,50.21,50.21,372374
2016-11-29 09:30:00,48.04,48.73,46.66,47.93,1135604
2016-11-30 09:30:00,52.16,52.49,51.18,51.97,1108237
2016-12-01 09:30:00,54.17,54.36,52.98,53.29,706578
2016-12-02 09:30:00,52.29,52.97,51.96,52.52,209500
2016-12-05 09:30:00,53.04,53.85,52.86,53.85,294738
2016-12-06 09:30:00,52.75,53.04,51.5,53.04,354600
2016-12-07 09:30:00,53.35,53.41,53.0,53.26,215244
2016-12-08 09:30:00,53.66,54.18,53.54,53.86,292384
2016-12-09 09:30:00,53.98,54.01,53.49,53.72,198745
2016-12-12 09:30:00,54.86,55.47,54.18,54.25,1010784
2016-12-13 09:30:00,53.97,54.15,53.46,53.59,316999
2016-12-14 09:30:00,53.79,54.1,53.44,53.51,230310
2016-12-15 09:30:00,52.61,52.98,52.25,52.89,317789
2016-12-16 09:30:00,53.94,53.94,52.97,53.42,954345
2016-12-19 09:30:00,53.59,53.83,53.19,53.7,157534
2016-12-20 09:30:00,53.95,54.15,53.62,53.83,211718
2016-12-21 09:30:00,54.19,54.2,53.67,53.85,225715
2016-12-22 09:30:00,53.51,53.96,53.26,53.81,171718
2016-12-23 09:30:00,53.42,53.72,53.3,53.55,123851
2016-12-27 09:30:00,53.49,53.81,53.44,53.77,113013
2016-12-28 09:30:00,53.38,53.59,53.07,53.11,107010
2016-12-29 09:30:00,51.76,51.94,51.54,51.8,122634
2016-12-30 09:30:00,51.34,51.55,51.04,51.17,191315
2017-01-03 09:30:00,52.02,52.1,51.31,51.73,531567
2017-01-04 09:30:00,51.34,51.62,50.84,51.16,368847
2017-01-05 09:30:00,51.29,51.54,51.23,51.35,190113
2017-01-06 09:30:00,51.06,51.24,50.47,50.59,369554
2017-01-09 09:30:00,50.43,50.43,50.04,50.33,346877
2017-01-10 09:30:00,50.35,50.39,50.08,50.3,117852
2017-01-11 09:30:00,50.79,50.79,50.16,50.39,215934
2017-01-12 09:30:00,51.55,51.55,50.74,50.85,293135
2017-01-13 09:30:00,50.42,50.8,50.13,50.66,204642
2017-01-17 09:30:00,50.73,51.12,50.06,50.07,322557
2017-01-18 09:30:00,50.3,50.59,50.17,50.3,355691
2017-01-19 09:30:00,50.71,50.84,50.41,50.41,272211
2017-01-20 09:30:00,50.85,50.99,50.34,50.34,641243
2017-01-23 09:30:00,49.67,50.02,49.65,49.68,210423
2017-01-24 09:30:00,49.45,49.6,48.83,49.17,337425
2017-01-25 09:30:00,49.25,49.47,49.11,49.32,617216
2017-01-26 09:30:00,49.88,49.99,49.62,49.63,140826
2017-01-27 09:30:00,50.21,50.43,49.79,49.96,179910
2017-01-30 09:30:00,49.64,49.86,48.98,49.05,402943
2017-01-31 09:30:00,48.5,48.67,47.82,47.92,365389
2017-02-01 09:30:00,48.69,48.96,47.98,48.04,327503
2017-02-02 09:30:00,46.83,46.91,46.37,46.53,290284
2017-02-03 09:30:00,47.26,47.69,47.26,47.59,312933
2017-02-06 09:30:00,48.13,48.36,47.61,47.62,166731
2017-02-07 09:30:00,46.28,46.48,45.65,45.82,596281
2017-02-08 09:30:00,45.49,45.49,45.04,45.34,423854
2017-02-09 09:30:00,46.4,46.58,46.09,46.27,244232
2017-02-10 09:30:00,46.36,46.57,46.2,46.26,341471
2017-02-13 09:30:00,46.22,46.71,46.03,46.07,250977
2017-02-14 09:30:00,45.45,45.74,44.01,44.39,1802252
2017-02-15 09:30:00,44.45,44.76,44.17,44.48,711522
2017-02-16 09:30:00,45.01,45.18,44.64,45.08,325130
2017-02-17 09:30:00,44.35,44.73,44.27,44.65,262573
2017-02-21 09:30:00,45.24,45.56,44.99,45.29,452474
2017-02-22 09:30:00,44.65,44.91,44.53,44.83,352535
2017-02-23 09:30:00,43.86,44.57,41.88,42.58,2286606
2017-02-24 09:30:00,42.47,43.41,42.38,43.18,625665
2017-02-27 09:30:00,43.11,43.24,42.38,42.94,542857
2017-02-28 09:30:00,42.6,42.68,42.04,42.07,506640
2017-03-01 09:30:00,42.81,43.03,42.57,42.87,405471
2017-03-02 09:30:00,41.89,41.98,41.5,41.89,969407
2017-03-03 09:30:00,41.98,42.18,41.93,42.12,157181
2017-03-06 09:30:00,42.02,42.27,41.89,42.18,189158
2017-03-07 09:30:00,42.27,42.34,41.58,41.68,228663
2017-03-08 09:30:00,41.16,41.3,40.93,41.02,269776
2017-03-09 09:30:00,39.75,40.1,39.59,39.86,506529
2017-03-10 09:30:00,41.09,41.15,40.35,40.82,673272
2017-03-13 09:30:00,40.53,40.98,40.51,40.63,228700
2017-03-14 09:30:00,40.05,40.43,39.8,39.87,363287
2017-03-15 09:30:00,40.96,41.04,40.47,40.54,309534
2017-03-16 09:30:00,41.37,41.44,40.87,40.95,270424
2017-03-17 09:30:00,41.35,41.64,41.35,41.57,1085869
2017-03-20 09:30:00,41.08,41.1,40.55,40.59,364720
2017-03-21 09:30:00,41.3,41.47,41.16,41.2,184494
