open_date,open,high,low,close,volume_base
2017-11-17 09:30:00,289.57,290.27,287.49,288.63,52004
2017-11-20 09:30:00,297.98,301.03,297.54,298.42,142675
2017-11-21 09:30:00,301.12,301.47,299.42,299.74,70895
2017-11-22 09:30:00,299.13,300.81,296.81,296.99,53333
2017-11-24 09:30:00,295.55,296.14,294.03,294.41,25987
2017-11-27 09:30:00,296.2,297.57,294.73,296.96,24507
2017-11-28 09:30:00,296.2,297.49,295.08,296.66,33804
2017-11-29 09:30:00,299.77,299.86,297.25,299.45,32484
2017-11-30 09:30:00,300.89,302.06,296.9,301.93,42286
2017-12-01 09:30:00,305.49,306.52,302.47,304.44,91859
2017-12-04 09:30:00,303.56,303.67,298.57,300.32,79410
2017-12-05 09:30:00,86.89,87.65,84.22,85.13,425990
2017-12-06 09:30:00,86.45,87.63,85.47,85.6,375291
2017-12-07 09:30:00,83.08,83.5,82.46,83.38,171046
2017-12-08 09:30:00,83.05,83.52,82.34,83.15,427698
2017-12-11 09:30:00,85.07,85.19,83.35,83.76,410967
2017-12-12 09:30:00,84.6,84.67,83.46,84.13,850496
2017-12-13 09:30:00,84.06,84.14,83.15,83.32,149103
2017-12-14 09:30:00,81.7,82.73,81.7,82.54,167805
2017-12-15 09:30:00,81.99,82.22,81.55,81.97,323965
2017-12-18 09:30:00,82.68,83.53,82.68,83.16,305458
2017-12-19 09:30:00,82.85,83.52,82.75,83.51,145923
2017-12-20 09:30:00,84.11,84.34,83.74,83.92,167116
2017-12-21 09:30:00,84.11,84.84,84.0,84.12,377753
2017-12-22 09:30:00,83.28,83.28,82.58,82.83,94472
2017-12-26 09:30:00,82.74,83.16,82.71,82.92,24502
2017-12-27 09:30:00,83.12,83.54,82.71,83.36,50111
2017-12-28 09:30:00,83.15,83.43,82.9,83.01,74868
2017-12-29 09:30:00,83.73,84.04,83.15,84.04,82454
2018-01-02 09:30:00,82.94,83.46,82.6,83.3,122081
2018-01-03 09:30:00,84.17,84.97,83.8,84.96,182542
2018-01-04 09:30:00,85.96,86.58,85.96,86.5,96267
2018-01-05 09:30:00,87.88,89.17,87.51,88.41,247745
2018-01-08 09:30:00,90.41,90.88,89.27,89.39,165116
2018-01-09 09:30:00,90.22,91.01,90.16,90.98,159362
2018-01-10 09:30:00,90.27,90.36,88.5,89.29,216790
2018-01-11 09:30:00,88.53,89.28,88.11,89.19,118803
2018-01-12 09:30:00,90.26,91.2,90.18,90.85,138980
2018-01-16 09:30:00,91.85,91.86,91.23,91.72,301415
2018-01-17 09:30:00,90.3,91.17,89.86,90.81,119937
2018-01-18 09:30:00,91.74,91.89,91.17,91.47,84340
2018-01-19 09:30:00,91.32,91.93,90.66,90.99,311981
2018-01-22 09:30:00,91.87,92.26,90.84,90.84,165824
2018-01-23 09:30:00,91.11,91.45,90.25,90.57,112237
2018-01-24 09:30:00,91.6,92.56,91.6,92.03,394978
2018-01-25 09:30:00,91.89,92.22,90.6,90.7,209737
2018-01-26 09:30:00,91.08,91.26,90.67,90.7,187358
2018-01-29 09:30:00,92.87,93.33,92.2,92.9,1299287
2018-01-30 09:30:00,92.29,93.13,91.88,92.11,259653
2018-01-31 09:30:00,93.12,93.58,92.7,93.49,231916
2018-02-01 09:30:00,88.79,94.33,88.76,94.11,539523
2018-02-02 09:30:00,93.87,94.05,92.7,93.26,328790
2018-02-05 09:30:00,92.2,92.81,91.92,92.7,186735
2018-02-06 09:30:00,88.0,90.56,87.12,89.75,405503
2018-02-07 09:30:00,90.66,92.0,90.38,91.83,308471
2018-02-08 09:30:00,91.81,91.91,90.5,90.69,100406
2018-02-09 09:30:00,88.48,88.86,87.45,88.05,136408
2018-02-12 09:30:00,87.45,88.69,86.85,87.75,267576
2018-02-13 09:30:00,88.93,90.13,88.83,89.25,84425
2018-02-14 09:30:00,88.34,89.08,88.2,88.26,107103
2018-02-15 09:30:00,91.63,91.76,90.39,90.73,63075
2018-02-16 09:30:00,91.36,91.98,90.7,90.88,121897
2018-02-20 09:30:00,89.89,91.44,89.89,90.73,139397
2018-02-21 09:30:00,90.45,91.23,89.91,90.92,90181
2018-02-22 09:30:00,91.35,91.65,90.53,90.78,80666
2018-02-23 09:30:00,91.33,91.89,90.95,91.09,60010
2018-02-26 09:30:00,91.93,92.25,91.67,91.86,75130
2018-02-27 09:30:00,92.82,92.99,92.22,92.89,116428
2018-02-28 09:30:00,91.11,91.14,90.14,90.39,158331
2018-03-01 09:30:00,89.28,89.63,86.94,87.42,192215
2018-03-02 09:30:00,85.3,86.44,85.16,86.3,208819
2018-03-05 09:30:00,86.25,86.46,85.8,85.8,151368
2018-03-06 09:30:00,87.62,88.85,87.26,87.99,187709
2018-03-07 09:30:00,87.22,87.84,86.59,86.9,133338
2018-03-08 09:30:00,87.88,88.18,87.75,87.83,62940
2018-03-09 09:30:00,88.94,89.83,88.69,89.77,183590
2018-03-12 09:30:00,90.48,91.19,90.48,91.19,72213
2018-03-13 09:30:00,89.61,90.5,89.6,90.1,70980
2018-03-14 09:30:00,89.85,89.85,88.55,88.84,53278
2018-03-15 09:30:00,87.73,88.05,87.29,87.68,59901
2018-03-16 09:30:00,87.33,87.92,86.96,87.17,173034
2018-03-19 09:30:00,87.42,87.87,86.91,87.28,65923
2018-03-20 09:30:00,86.62,86.93,86.23,86.44,54504
2018-03-21 09:30:00,86.22,86.49,85.92,86.14,87417
2018-03-22 09:30:00,85.77,86.24,85.46,85.47,167953
2018-03-23 09:30:00,82.42,83.64,81.9,81.96,163184
2018-03-26 09:30:00,81.04,82.98,80.92,82.28,228575
