open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,131.97,132.22,131.34,131.58,72613
2016-01-05 09:30:00,131.3,132.53,130.82,132.03,50339
2016-01-06 09:30:00,132.6,133.32,132.25,133.03,111181
2016-01-07 09:30:00,131.32,132.35,130.9,132.35,74900
2016-01-08 09:30:00,132.53,133.45,132.27,133.28,66331
2016-01-11 09:30:00,130.02,131.39,129.67,130.38,93199
2016-01-12 09:30:00,131.06,131.06,129.7,129.7,106477
2016-01-13 09:30:00,129.96,130.31,129.65,130.27,35932
2016-01-14 09:30:00,128.61,129.55,128.01,128.92,45345
2016-01-15 09:30:00,126.25,129.54,124.1,126.63,103270
2016-01-19 09:30:00,128.12,129.09,127.39,128.42,71127
2016-01-20 09:30:00,128.82,129.0,126.49,126.76,83376
2016-01-21 09:30:00,124.96,125.69,123.39,123.39,48704
2016-01-22 09:30:00,125.3,126.08,124.72,125.71,49063
2016-01-25 09:30:00,126.56,128.44,125.43,127.94,60120
2016-01-26 09:30:00,126.45,128.04,126.45,127.84,43359
2016-01-27 09:30:00,128.5,128.83,127.51,128.46,80950
2016-01-28 09:30:00,126.76,127.42,126.34,126.79,82944
2016-01-29 09:30:00,124.77,125.63,121.98,122.14,157217
2016-02-01 09:30:00,123.66,124.67,123.04,124.67,49713
2016-02-02 09:30:00,124.79,125.54,122.17,122.4,72267
2016-02-03 09:30:00,123.33,123.38,122.18,123.03,109914
2016-02-04 09:30:00,122.88,123.07,120.99,121.92,86786
2016-02-05 09:30:00,123.02,124.09,122.26,122.36,42780
2016-02-08 09:30:00,120.23,121.07,116.78,118.22,156240
2016-02-09 09:30:00,117.36,118.89,117.18,117.74,105789
2016-02-10 09:30:00,117.39,118.15,116.89,117.56,47161
2016-02-11 09:30:00,117.07,117.15,116.38,116.94,74335
2016-02-12 09:30:00,118.17,118.33,117.24,117.84,52022
2016-02-16 09:30:00,120.03,120.04,118.42,118.61,79075
2016-02-17 09:30:00,120.18,121.16,119.34,120.78,66971
2016-02-18 09:30:00,121.11,122.51,120.93,121.75,32693
2016-02-19 09:30:00,121.48,122.03,120.27,121.65,74043
2016-02-22 09:30:00,123.7,124.87,123.51,124.51,38808
2016-02-23 09:30:00,123.45,125.23,121.67,124.59,53072
2016-02-24 09:30:00,122.94,124.73,122.92,123.16,38323
2016-02-25 09:30:00,123.75,125.19,122.99,124.42,77147
2016-02-26 09:30:00,124.96,125.12,124.13,124.43,33930
2016-02-29 09:30:00,124.06,124.46,123.8,124.04,37816
2016-03-01 09:30:00,125.01,125.74,124.36,125.56,49857
2016-03-02 09:30:00,128.28,129.83,126.36,129.27,93163
2016-03-03 09:30:00,129.2,129.43,128.36,128.76,28160
2016-03-04 09:30:00,129.96,130.22,129.05,129.2,33766
2016-03-07 09:30:00,128.64,130.06,128.49,129.2,52101
2016-03-08 09:30:00,130.4,131.14,129.87,130.42,39569
2016-03-09 09:30:00,129.54,130.67,129.15,130.36,38373
2016-03-10 09:30:00,131.35,131.69,130.43,131.06,55248
2016-03-11 09:30:00,131.24,131.71,130.33,130.4,67103
2016-03-14 09:30:00,132.71,132.97,131.82,132.42,35418
2016-03-15 09:30:00,132.11,132.6,131.67,132.15,28677
2016-03-16 09:30:00,132.75,133.12,132.46,132.97,18211
2016-03-17 09:30:00,134.23,134.32,133.73,134.04,35326
2016-03-18 09:30:00,136.83,137.24,136.09,136.91,312188
2016-03-21 09:30:00,135.36,135.66,134.56,135.56,55865
2016-03-22 09:30:00,133.96,134.48,133.8,134.41,36007
2016-03-23 09:30:00,134.54,134.86,133.86,134.15,90785
2016-03-24 09:30:00,133.96,134.31,133.62,133.63,29503
2016-03-28 09:30:00,134.65,134.92,134.3,134.38,21190
2016-03-29 09:30:00,135.35,137.27,135.28,136.69,61827
2016-03-30 09:30:00,138.74,138.84,137.96,138.11,56889
2016-03-31 09:30:00,137.91,138.3,137.45,138.1,52612
2016-04-01 09:30:00,138.39,138.39,137.59,137.91,60194
2016-04-04 09:30:00,138.56,139.09,137.84,138.95,30746
2016-04-05 09:30:00,137.62,138.34,137.46,137.98,97810
2016-04-06 09:30:00,138.01,138.26,137.66,137.86,20085
