open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,51.65,51.71,50.37,51.29,165020
2016-01-05 09:30:00,51.2,51.58,51.19,51.32,43667
2016-01-06 09:30:00,50.97,51.4,50.87,51.38,64519
2016-01-07 09:30:00,50.1,50.6,50.06,50.53,55914
2016-01-08 09:30:00,49.91,50.37,49.64,50.37,87901
2016-01-11 09:30:00,50.11,50.43,49.73,49.88,79494
2016-01-12 09:30:00,50.29,50.59,50.14,50.46,59798
2016-01-13 09:30:00,50.2,50.52,50.15,50.49,49141
2016-01-14 09:30:00,49.28,49.57,49.17,49.32,70930
2016-01-15 09:30:00,48.83,49.29,48.76,49.09,115219
2016-01-19 09:30:00,49.95,49.95,49.35,49.9,61415
2016-01-20 09:30:00,48.71,49.03,48.19,48.7,46936
2016-01-21 09:30:00,49.74,49.9,49.15,49.31,62419
2016-01-22 09:30:00,50.19,50.57,49.92,50.57,55902
2016-01-25 09:30:00,50.36,50.57,49.89,49.91,148278
2016-01-26 09:30:00,48.63,49.65,48.25,49.41,87619
2016-01-27 09:30:00,49.68,49.94,49.58,49.88,62176
2016-01-28 09:30:00,50.31,50.37,50.02,50.36,43330
2016-01-29 09:30:00,49.95,50.18,49.64,50.15,46189
2016-02-01 09:30:00,50.81,50.9,50.53,50.69,70288
2016-02-02 09:30:00,50.51,50.72,50.32,50.51,67305
2016-02-03 09:30:00,53.79,55.58,52.99,53.71,439161
2016-02-04 09:30:00,53.12,54.03,53.12,53.62,152431
2016-02-05 09:30:00,53.7,54.14,53.6,53.94,56774
2016-02-08 09:30:00,52.53,52.53,51.44,51.53,71771
2016-02-09 09:30:00,50.86,51.54,50.56,51.47,96867
2016-02-10 09:30:00,53.04,53.68,52.91,53.58,113281
2016-02-11 09:30:00,51.89,52.26,51.58,52.14,56079
2016-02-12 09:30:00,52.72,52.87,52.4,52.74,45518
2016-02-16 09:30:00,54.19,54.4,53.61,53.64,54166
2016-02-17 09:30:00,54.59,54.95,54.33,54.46,40430
2016-02-18 09:30:00,53.68,53.96,53.4,53.52,47520
2016-02-19 09:30:00,53.85,53.9,53.53,53.64,85007
2016-02-22 09:30:00,54.64,55.01,54.4,54.45,74135
2016-02-23 09:30:00,54.2,54.55,54.13,54.13,75445
2016-02-24 09:30:00,53.13,53.16,52.75,52.99,37634
2016-02-25 09:30:00,54.57,54.98,54.49,54.76,49685
2016-02-26 09:30:00,55.78,55.94,55.47,55.52,36691
2016-02-29 09:30:00,55.62,55.74,55.25,55.49,52820
2016-03-01 09:30:00,55.42,55.74,55.37,55.7,98124
2016-03-02 09:30:00,56.08,56.55,55.89,56.29,101693
2016-03-03 09:30:00,56.79,56.98,56.63,56.82,69274
2016-03-04 09:30:00,57.27,57.4,56.85,57.0,71734
2016-03-07 09:30:00,56.82,57.12,56.66,56.92,110822
2016-03-08 09:30:00,57.01,57.4,56.53,57.23,92412
2016-03-09 09:30:00,57.76,58.17,57.32,58.12,66432
2016-03-10 09:30:00,58.37,59.07,58.12,58.88,102724
2016-03-11 09:30:00,59.26,59.26,58.38,58.38,68906
2016-03-14 09:30:00,58.64,58.79,58.19,58.24,99796
2016-03-15 09:30:00,57.83,58.09,57.57,57.94,75535
2016-03-16 09:30:00,58.03,58.52,57.55,58.34,56451
2016-03-17 09:30:00,58.53,58.93,58.2,58.57,144000
2016-03-18 09:30:00,58.91,58.95,58.67,58.91,209239
2016-03-21 09:30:00,59.34,59.72,59.34,59.5,71754
2016-03-22 09:30:00,59.73,60.36,59.64,60.35,126337
2016-03-23 09:30:00,59.89,60.18,59.75,60.15,60876
2016-03-24 09:30:00,59.83,60.13,59.74,60.05,38251
2016-03-28 09:30:00,60.05,60.26,59.96,60.16,25067
2016-03-29 09:30:00,60.07,60.47,59.89,60.34,56304
2016-03-30 09:30:00,61.16,61.18,60.43,60.45,32082
2016-03-31 09:30:00,60.98,61.09,60.54,60.66,21621
2016-04-01 09:30:00,60.42,61.0,60.26,61.0,75483
2016-04-04 09:30:00,61.48,61.51,61.19,61.27,55469
2016-04-05 09:30:00,61.23,61.31,60.99,61.03,86248
2016-04-06 09:30:00,60.75,60.99,60.58,60.77,31895
2016-04-07 09:30:00,61.03,61.2,60.79,61.13,35409
2016-04-08 09:30:00,60.82,60.89,60.61,60.74,30907
2016-04-11 09:30:00,60.5,60.87,60.34,60.38,58526
2016-04-12 09:30:00,60.1,60.39,60.09,60.27,29675
2016-04-13 09:30:00,60.6,60.82,60.46,60.49,68449
2016-04-14 09:30:00,60.82,61.07,60.72,60.76,26935
2016-04-15 09:30:00,60.65,61.01,60.65,60.95,60306
2016-04-18 09:30:00,60.87,61.2,60.66,61.11,31032
2016-04-19 09:30:00,62.13,62.53,62.05,62.49,62757
2016-04-20 09:30:00,61.83,62.08,61.45,61.5,35427
2016-04-21 09:30:00,61.62,61.78,61.19,61.74,43611
2016-04-22 09:30:00,61.49,61.83,61.06,61.54,58124
2016-04-25 09:30:00,61.7,61.7,61.44,61.58,16763
2016-04-26 09:30:00,61.34,61.47,61.11,61.36,44240
2016-04-27 09:30:00,61.97,63.28,61.96,62.79,239153
2016-04-28 09:30:00,62.15,62.31,61.66,61.99,83904
2016-04-29 09:30:00,61.79,61.79,61.21,61.37,78614
2016-05-02 09:30:00,61.19,61.64,60.86,61.6,76466
2016-05-03 09:30:00,62.33,62.58,61.89,61.91,57286
2016-05-04 09:30:00,62.81,63.25,62.53,62.75,40231
2016-05-05 09:30:00,62.32,62.6,62.16,62.35,31753
