open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,49.51,50.26,49.51,49.87,219311
2016-01-05 09:30:00,50.07,50.16,49.53,49.53,83814
2016-01-06 09:30:00,49.81,49.82,49.41,49.8,63247
2016-01-07 09:30:00,49.09,49.53,49.05,49.44,101046
2016-01-08 09:30:00,49.47,49.83,49.38,49.79,45044
2016-01-11 09:30:00,49.84,50.1,49.59,49.91,39696
2016-01-12 09:30:00,50.12,50.2,49.15,49.33,96244
2016-01-13 09:30:00,50.2,50.2,49.66,50.0,63038
2016-01-14 09:30:00,49.8,50.41,49.77,50.39,91522
2016-01-15 09:30:00,48.95,50.45,48.95,50.18,81157
2016-01-19 09:30:00,50.28,50.9,50.16,50.75,101386
2016-01-20 09:30:00,50.62,50.85,50.21,50.23,125467
2016-01-21 09:30:00,50.35,50.5,49.9,49.97,92496
2016-01-22 09:30:00,50.4,50.74,50.07,50.74,104359
2016-01-25 09:30:00,52.07,52.22,51.41,51.63,103870
2016-01-26 09:30:00,51.86,51.86,51.03,51.54,149396
2016-01-27 09:30:00,51.73,51.99,51.7,51.97,111971
2016-01-28 09:30:00,52.06,52.15,51.83,52.04,82551
2016-01-29 09:30:00,53.1,53.25,52.77,53.18,78642
2016-02-01 09:30:00,53.67,54.31,53.67,53.86,185258
2016-02-02 09:30:00,53.84,54.07,53.27,53.52,79872
2016-02-03 09:30:00,54.61,55.14,54.46,55.13,170313
2016-02-04 09:30:00,54.47,54.49,53.85,54.3,154634
2016-02-05 09:30:00,53.06,53.14,52.72,52.96,186658
2016-02-08 09:30:00,53.14,53.24,52.75,52.98,87644
2016-02-09 09:30:00,53.49,54.06,53.49,54.04,131070
2016-02-10 09:30:00,55.04,55.15,54.77,54.89,134653
2016-02-11 09:30:00,55.37,55.7,55.2,55.43,184178
2016-02-12 09:30:00,55.09,55.27,54.61,55.23,89990
2016-02-16 09:30:00,54.7,54.7,53.56,53.59,135651
2016-02-17 09:30:00,54.64,54.64,53.77,54.16,228554
2016-02-18 09:30:00,54.0,54.32,53.92,54.24,123706
2016-02-19 09:30:00,54.63,54.97,54.47,54.64,88616
2016-02-22 09:30:00,55.22,55.38,55.04,55.17,81512
2016-02-23 09:30:00,55.26,55.48,55.14,55.39,99193
2016-02-24 09:30:00,55.68,55.84,55.28,55.53,123019
2016-02-25 09:30:00,56.38,57.12,56.09,56.47,122183
