open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,32.08,32.1,31.73,31.88,532188
2016-01-05 09:30:00,31.66,31.88,31.45,31.77,481767
2016-01-06 09:30:00,31.33,31.5,31.31,31.41,322463
2016-01-07 09:30:00,31.42,31.54,31.19,31.33,388230
2016-01-08 09:30:00,31.4,31.48,31.22,31.26,386354
2016-01-11 09:30:00,31.0,31.09,30.87,30.89,457111
2016-01-12 09:30:00,30.44,30.85,30.32,30.73,326099
2016-01-13 09:30:00,30.44,30.83,30.39,30.64,441883
2016-01-14 09:30:00,29.78,29.89,29.66,29.72,320597
2016-01-15 09:30:00,29.42,29.95,29.42,29.79,646065
2016-01-19 09:30:00,30.19,30.24,29.74,29.99,365379
2016-01-20 09:30:00,29.66,29.8,29.55,29.64,469827
2016-01-21 09:30:00,29.64,29.73,29.44,29.61,372546
2016-01-22 09:30:00,30.45,30.75,30.41,30.71,412209
2016-01-25 09:30:00,30.66,30.89,30.6,30.8,300514
2016-01-26 09:30:00,30.78,30.83,30.64,30.75,268557
2016-01-27 09:30:00,31.03,31.33,31.03,31.26,317259
2016-01-28 09:30:00,31.59,31.71,30.76,30.76,355990
2016-01-29 09:30:00,30.42,30.69,30.35,30.49,961803
2016-02-01 09:30:00,30.94,31.16,30.9,31.06,295015
2016-02-02 09:30:00,31.94,32.05,30.98,31.54,803109
2016-02-03 09:30:00,32.56,32.63,32.32,32.36,1204375
2016-02-04 09:30:00,32.64,32.78,32.48,32.56,452993
2016-02-05 09:30:00,32.45,32.62,32.25,32.28,491386
2016-02-08 09:30:00,31.58,31.64,31.21,31.27,321007
2016-02-09 09:30:00,30.57,31.15,30.47,31.02,340189
2016-02-10 09:30:00,31.08,31.51,30.99,31.47,163505
2016-02-11 09:30:00,30.91,31.14,30.63,30.75,277372
2016-02-12 09:30:00,30.76,30.83,30.48,30.52,341111
2016-02-16 09:30:00,31.41,31.63,31.23,31.62,295448
2016-02-17 09:30:00,32.09,32.75,32.08,32.72,536396
2016-02-18 09:30:00,32.48,32.65,32.38,32.54,420129
2016-02-19 09:30:00,32.29,32.39,32.15,32.2,408845
2016-02-22 09:30:00,32.51,32.52,32.27,32.44,510511
2016-02-23 09:30:00,32.49,32.71,32.48,32.62,242217
2016-02-24 09:30:00,32.31,32.44,32.18,32.33,395377
2016-02-25 09:30:00,33.28,33.41,33.13,33.39,306449
2016-02-26 09:30:00,33.92,34.55,33.91,34.24,1022604
2016-02-29 09:30:00,33.63,34.05,33.54,33.94,567754
2016-03-01 09:30:00,33.77,33.8,33.43,33.54,251001
2016-03-02 09:30:00,33.76,33.95,33.76,33.82,338580
2016-03-03 09:30:00,33.72,33.77,33.52,33.59,318934
2016-03-04 09:30:00,33.51,33.66,33.42,33.63,388027
2016-03-07 09:30:00,33.56,33.83,33.49,33.82,261053
2016-03-08 09:30:00,33.94,33.95,33.67,33.75,268805
2016-03-09 09:30:00,33.89,34.07,33.89,34.01,250211
2016-03-10 09:30:00,33.88,34.24,33.86,34.2,363975
2016-03-11 09:30:00,34.17,34.48,34.06,34.46,230427
2016-03-14 09:30:00,34.33,34.57,34.21,34.37,324914
2016-03-15 09:30:00,34.22,34.32,34.09,34.27,219037
2016-03-16 09:30:00,34.24,34.4,34.17,34.38,160836
2016-03-17 09:30:00,34.17,34.17,33.89,33.89,254443
2016-03-18 09:30:00,33.98,34.05,33.79,34.05,1066144
2016-03-21 09:30:00,34.28,34.37,34.2,34.35,219971
2016-03-22 09:30:00,34.13,34.32,34.09,34.23,375811
2016-03-23 09:30:00,34.78,34.85,34.49,34.55,1225819
2016-03-24 09:30:00,34.47,34.56,34.27,34.36,168627
2016-03-28 09:30:00,34.3,34.41,34.19,34.3,144407
2016-03-29 09:30:00,34.58,34.6,34.4,34.49,225944
2016-03-30 09:30:00,35.27,35.35,34.97,35.04,484808
2016-03-31 09:30:00,35.3,35.44,35.08,35.11,185765
2016-04-01 09:30:00,34.78,35.05,34.61,34.94,303891
2016-04-04 09:30:00,35.66,35.85,35.54,35.78,270903
2016-04-05 09:30:00,35.77,35.83,35.54,35.82,190821
2016-04-06 09:30:00,35.23,35.61,35.19,35.54,280403
2016-04-07 09:30:00,35.91,36.13,35.84,36.07,229434
2016-04-08 09:30:00,35.81,35.85,35.7,35.84,89915
2016-04-11 09:30:00,35.84,35.98,35.72,35.79,156180
2016-04-12 09:30:00,35.81,35.88,35.72,35.73,317494
2016-04-13 09:30:00,36.05,36.23,35.97,36.15,263583
2016-04-14 09:30:00,36.57,36.71,36.35,36.42,503482
2016-04-15 09:30:00,36.42,36.46,36.28,36.32,552479
2016-04-18 09:30:00,36.26,36.56,36.26,36.45,269093
2016-04-19 09:30:00,36.7,37.07,36.7,37.05,176258
2016-04-20 09:30:00,37.05,37.16,36.86,37.06,277978
2016-04-21 09:30:00,36.98,37.12,36.83,36.85,181424
2016-04-22 09:30:00,36.81,37.23,36.73,37.01,6760339
2016-04-25 09:30:00,36.99,37.17,36.94,37.1,1313683
2016-04-26 09:30:00,37.58,38.07,37.18,38.01,2843971
2016-04-27 09:30:00,37.87,38.25,37.81,38.02,1310443
2016-04-28 09:30:00,37.63,37.99,37.54,37.87,377610
2016-04-29 09:30:00,37.69,37.93,37.63,37.8,1410191
2016-05-02 09:30:00,37.92,38.12,37.84,37.99,273277
2016-05-03 09:30:00,37.89,38.15,37.85,38.04,413233
2016-05-04 09:30:00,37.81,38.09,37.71,38.07,506600
2016-05-05 09:30:00,38.51,38.7,38.36,38.42,265200
2016-05-06 09:30:00,38.61,38.83,38.27,38.34,764078
2016-05-09 09:30:00,38.47,38.79,38.47,38.73,559706
2016-05-10 09:30:00,38.48,38.86,38.28,38.42,1241451
2016-05-11 09:30:00,38.69,39.12,38.64,39.04,3418388
2016-05-12 09:30:00,39.68,40.1,39.61,39.86,861542
2016-05-13 09:30:00,38.93,39.22,38.82,38.85,569820
2016-05-16 09:30:00,38.78,38.92,38.69,38.78,472155
2016-05-17 09:30:00,38.86,39.1,38.65,38.74,1978992
2016-05-18 09:30:00,38.09,38.16,37.69,37.72,1297422
2016-05-19 09:30:00,37.9,38.14,37.3,37.59,2452960
2016-05-20 09:30:00,37.12,37.17,36.87,36.95,890124
2016-05-23 09:30:00,36.69,36.8,36.43,36.47,384532
2016-05-24 09:30:00,36.58,37.25,36.55,37.08,1520481
2016-05-25 09:30:00,37.34,37.52,36.87,36.9,956358
2016-05-26 09:30:00,37.25,37.27,37.05,37.19,1418392
2016-05-27 09:30:00,37.13,37.2,37.04,37.04,306676
2016-05-31 09:30:00,37.08,37.11,36.81,36.82,411881
2016-06-01 09:30:00,36.84,37.03,36.7,36.87,270521
2016-06-02 09:30:00,37.11,37.35,36.93,37.17,418992
2016-06-03 09:30:00,36.97,37.27,36.9,37.05,261004
2016-06-06 09:30:00,37.27,37.44,37.2,37.36,234291
2016-06-07 09:30:00,37.64,37.7,37.5,37.59,246396
2016-06-08 09:30:00,37.58,37.76,37.53,37.73,282527
2016-06-09 09:30:00,38.15,38.29,37.88,38.22,220725
2016-06-10 09:30:00,38.05,38.13,37.75,37.94,311559
2016-06-13 09:30:00,37.8,38.14,37.8,38.03,378948
2016-06-14 09:30:00,37.96,38.18,37.75,38.06,277182
2016-06-15 09:30:00,38.18,38.24,38.07,38.13,169014
2016-06-16 09:30:00,37.82,37.82,37.7,37.75,159463
2016-06-17 09:30:00,38.21,38.27,38.06,38.07,539808
2016-06-20 09:30:00,38.41,38.55,38.19,38.26,392044
2016-06-21 09:30:00,38.56,38.6,38.39,38.43,235109
2016-06-22 09:30:00,38.63,38.69,38.47,38.48,207648
2016-06-23 09:30:00,38.71,38.82,38.69,38.78,154628
2016-06-24 09:30:00,38.42,38.42,37.89,38.23,780234
2016-06-27 09:30:00,37.22,37.31,36.85,36.9,406157
2016-06-28 09:30:00,36.42,36.58,36.25,36.28,326147
2016-06-29 09:30:00,37.51,37.74,37.51,37.72,215465
2016-06-30 09:30:00,38.54,38.6,38.37,38.4,202421
2016-07-01 09:30:00,38.71,38.76,38.58,38.74,176382
2016-07-05 09:30:00,38.77,38.96,38.74,38.92,173526
2016-07-06 09:30:00,38.75,39.05,38.54,39.01,201931
2016-07-07 09:30:00,39.34,39.45,39.29,39.41,222886
2016-07-08 09:30:00,39.68,39.71,39.56,39.64,126783
2016-07-11 09:30:00,40.18,40.18,39.97,39.98,290729
2016-07-12 09:30:00,39.84,39.92,39.74,39.88,188161
2016-07-13 09:30:00,40.38,40.46,40.22,40.24,114114
2016-07-14 09:30:00,40.34,40.44,40.04,40.15,360871
