open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,20.97,21.67,20.91,21.58,714253
2016-01-05 09:30:00,21.59,21.91,21.52,21.57,458566
2016-01-06 09:30:00,21.46,21.6,20.98,21.55,846168
2016-01-07 09:30:00,20.77,21.29,20.65,21.17,805440
2016-01-08 09:30:00,20.9,20.93,20.13,20.38,1574450
2016-01-11 09:30:00,20.44,20.8,20.38,20.57,479031
2016-01-12 09:30:00,20.81,21.1,20.65,21.1,499225
2016-01-13 09:30:00,21.22,21.31,21.08,21.11,414391
2016-01-14 09:30:00,19.01,19.14,18.1,18.1,3105245
2016-01-15 09:30:00,17.82,18.42,17.79,17.87,2456018
2016-01-19 09:30:00,19.01,19.05,18.64,19.0,1319098
2016-01-20 09:30:00,17.88,18.22,17.86,18.05,584937
2016-01-21 09:30:00,18.61,19.01,18.6,18.88,388133
2016-01-22 09:30:00,19.45,19.66,19.26,19.65,268953
2016-01-25 09:30:00,19.12,19.27,19.02,19.12,370598
2016-01-26 09:30:00,19.11,19.36,18.99,19.24,310466
2016-01-27 09:30:00,19.69,19.98,19.61,19.88,314720
2016-01-28 09:30:00,19.19,19.37,19.07,19.35,387501
2016-01-29 09:30:00,19.12,19.63,19.09,19.63,396831
2016-02-01 09:30:00,19.51,19.75,19.45,19.75,309239
2016-02-02 09:30:00,19.98,20.13,19.66,19.66,409041
2016-02-03 09:30:00,19.88,19.99,19.68,19.77,243607
2016-02-04 09:30:00,19.55,19.84,19.33,19.83,414395
2016-02-05 09:30:00,19.87,20.03,19.75,19.76,405947
2016-02-08 09:30:00,19.66,20.26,19.64,20.0,799337
2016-02-09 09:30:00,20.02,20.25,19.76,20.24,383740
2016-02-10 09:30:00,19.64,19.82,19.54,19.58,232445
2016-02-11 09:30:00,18.95,19.26,18.86,19.16,465664
2016-02-12 09:30:00,18.54,18.92,18.34,18.86,749776
2016-02-16 09:30:00,19.92,20.06,19.69,19.9,367580
2016-02-17 09:30:00,20.94,21.26,20.94,21.1,651578
2016-02-18 09:30:00,20.87,21.07,20.79,21.05,601930
2016-02-19 09:30:00,20.98,21.07,20.63,20.94,1966988
2016-02-22 09:30:00,21.11,21.91,21.11,21.82,762649
2016-02-23 09:30:00,21.77,22.04,21.55,21.98,589882
2016-02-24 09:30:00,21.27,21.34,20.65,21.24,1283623
2016-02-25 09:30:00,22.63,22.66,21.6,21.63,1880068
2016-02-26 09:30:00,22.57,22.82,22.05,22.31,1179524
2016-02-29 09:30:00,22.84,23.07,22.68,22.71,403504
2016-03-01 09:30:00,23.01,23.04,22.73,22.75,391725
2016-03-02 09:30:00,23.26,23.36,23.05,23.09,474823
2016-03-03 09:30:00,23.38,23.41,23.19,23.22,579552
2016-03-04 09:30:00,23.44,23.66,23.32,23.61,286030
2016-03-07 09:30:00,23.61,23.81,23.37,23.7,259066
2016-03-08 09:30:00,24.2,24.56,24.01,24.22,526285
2016-03-09 09:30:00,24.13,24.2,23.93,24.17,511644
2016-03-10 09:30:00,24.14,24.18,23.95,24.1,377961
2016-03-11 09:30:00,24.3,24.32,23.99,24.0,807857
2016-03-14 09:30:00,23.77,23.92,23.66,23.88,619361
2016-03-15 09:30:00,23.41,23.49,23.19,23.19,766817
2016-03-16 09:30:00,22.84,22.97,22.76,22.85,419466
2016-03-17 09:30:00,22.84,22.98,22.72,22.84,335834
2016-03-18 09:30:00,23.26,23.36,23.17,23.29,726488
2016-03-21 09:30:00,23.26,23.39,23.21,23.31,390891
2016-03-22 09:30:00,23.19,23.22,22.76,22.79,325316
2016-03-23 09:30:00,23.01,23.01,22.66,22.84,224667
2016-03-24 09:30:00,22.6,22.76,22.43,22.52,329081
2016-03-28 09:30:00,22.49,22.71,22.46,22.67,251882
2016-03-29 09:30:00,22.8,22.81,22.65,22.75,315180
2016-03-30 09:30:00,22.75,23.03,22.7,22.88,245177
2016-03-31 09:30:00,22.95,23.57,22.95,23.57,785600
2016-04-01 09:30:00,23.15,23.28,22.78,22.88,590227
2016-04-04 09:30:00,23.12,23.37,23.09,23.37,297646
2016-04-05 09:30:00,22.86,22.94,22.66,22.85,192217
2016-04-06 09:30:00,22.39,22.45,22.21,22.38,401389
2016-04-07 09:30:00,22.45,22.45,22.23,22.26,216215
2016-04-08 09:30:00,21.79,21.86,21.62,21.7,290265
2016-04-11 09:30:00,21.65,22.05,21.64,22.03,317806
2016-04-12 09:30:00,22.01,22.02,21.55,21.56,609327
2016-04-13 09:30:00,22.26,22.85,22.26,22.82,473873
2016-04-14 09:30:00,23.17,23.36,22.95,22.98,301989
2016-04-15 09:30:00,23.18,23.43,23.18,23.31,389232
2016-04-18 09:30:00,23.21,23.52,23.21,23.41,240082
2016-04-19 09:30:00,23.55,23.72,23.51,23.71,379861
2016-04-20 09:30:00,23.7,23.93,23.58,23.83,500217
2016-04-21 09:30:00,23.79,24.06,23.74,24.03,246720
2016-04-22 09:30:00,23.63,23.95,23.62,23.95,247836
2016-04-25 09:30:00,23.69,23.77,23.47,23.47,320982
2016-04-26 09:30:00,23.41,23.71,23.39,23.65,241379
2016-04-27 09:30:00,23.13,23.61,23.13,23.56,627310
2016-04-28 09:30:00,23.86,23.87,23.71,23.77,208335
2016-04-29 09:30:00,23.43,23.52,23.18,23.2,158625
2016-05-02 09:30:00,23.21,23.36,22.81,22.85,286892
2016-05-03 09:30:00,23.06,23.06,22.74,22.74,157122
2016-05-04 09:30:00,22.71,22.76,22.5,22.69,208371
2016-05-05 09:30:00,22.53,22.64,22.26,22.51,249925
2016-05-06 09:30:00,22.88,23.19,22.87,23.05,619418
2016-05-09 09:30:00,23.02,23.44,22.95,23.43,264328
2016-05-10 09:30:00,23.53,23.53,23.18,23.44,438890
2016-05-11 09:30:00,23.5,23.5,22.68,22.7,485397
2016-05-12 09:30:00,22.78,22.8,22.63,22.64,223372
2016-05-13 09:30:00,22.17,22.43,22.16,22.2,363851
2016-05-16 09:30:00,22.24,22.57,22.23,22.31,270680
2016-05-17 09:30:00,22.82,23.24,22.72,23.21,414461
2016-05-18 09:30:00,22.21,22.45,21.86,22.43,1397379
2016-05-19 09:30:00,22.14,22.5,22.12,22.42,660491
2016-05-20 09:30:00,22.65,23.01,22.65,23.0,675007
2016-05-23 09:30:00,23.43,23.86,23.37,23.45,1300454
2016-05-24 09:30:00,22.49,22.82,22.14,22.25,6389492
2016-05-25 09:30:00,21.78,22.61,21.75,22.59,1923343
2016-05-26 09:30:00,23.26,23.44,23.14,23.23,842447
2016-05-27 09:30:00,22.95,23.13,22.94,23.09,583631
2016-05-31 09:30:00,23.17,23.23,23.01,23.04,403331
2016-06-01 09:30:00,23.08,23.2,23.02,23.16,308404
2016-06-02 09:30:00,23.11,23.49,23.08,23.24,483677
2016-06-03 09:30:00,23.29,23.34,23.06,23.17,220272
2016-06-06 09:30:00,23.01,23.04,22.39,22.39,1091728
2016-06-07 09:30:00,22.6,22.78,22.53,22.62,430940
2016-06-08 09:30:00,22.85,22.86,22.65,22.73,301248
2016-06-09 09:30:00,22.52,22.53,22.06,22.13,380863
2016-06-10 09:30:00,21.51,21.52,20.96,21.04,1180806
2016-06-13 09:30:00,21.34,21.5,21.22,21.48,320414
2016-06-14 09:30:00,21.26,21.51,21.26,21.42,349746
2016-06-15 09:30:00,20.9,21.21,20.87,21.12,761948
2016-06-16 09:30:00,21.18,21.24,21.0,21.16,398879
2016-06-17 09:30:00,21.53,22.14,21.44,22.11,1162458
2016-06-20 09:30:00,22.27,22.46,22.2,22.21,460425
2016-06-21 09:30:00,22.11,22.2,21.96,22.0,565736
2016-06-22 09:30:00,21.87,21.9,21.71,21.74,334899
2016-06-23 09:30:00,22.03,22.37,21.99,22.29,415109
2016-06-24 09:30:00,21.52,21.8,21.41,21.66,455545
2016-06-27 09:30:00,21.74,21.85,21.46,21.53,545420
2016-06-28 09:30:00,21.5,21.93,21.42,21.85,384810
2016-06-29 09:30:00,22.14,22.31,21.92,22.19,350253
