open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,22.28,22.52,22.17,22.51,516764
2016-01-05 09:30:00,22.71,22.81,22.46,22.48,239399
2016-01-06 09:30:00,22.19,22.32,22.11,22.25,325987
2016-01-07 09:30:00,21.51,21.68,21.36,21.63,602821
2016-01-08 09:30:00,21.42,21.59,21.19,21.39,308007
2016-01-11 09:30:00,21.07,21.29,20.7,20.76,420765
2016-01-12 09:30:00,21.41,21.61,21.0,21.14,367961
2016-01-13 09:30:00,21.42,21.52,21.29,21.35,422718
2016-01-14 09:30:00,20.72,20.94,20.28,20.31,478294
2016-01-15 09:30:00,20.25,20.46,20.17,20.24,640049
2016-01-19 09:30:00,20.75,20.83,20.39,20.62,242810
2016-01-20 09:30:00,20.28,20.42,20.1,20.15,262912
2016-01-21 09:30:00,20.65,20.91,20.55,20.73,332321
2016-01-22 09:30:00,21.27,21.4,21.2,21.38,337306
2016-01-25 09:30:00,21.15,21.29,20.94,20.97,186012
2016-01-26 09:30:00,20.45,20.69,20.38,20.46,294439
2016-01-27 09:30:00,20.82,21.07,20.78,20.97,224216
2016-01-28 09:30:00,21.17,21.35,21.05,21.21,513612
2016-01-29 09:30:00,21.1,21.33,20.98,21.32,208738
2016-02-01 09:30:00,21.44,21.49,21.01,21.12,278762
2016-02-02 09:30:00,20.72,20.72,20.27,20.41,505521
2016-02-03 09:30:00,20.48,20.89,19.56,19.72,878848
2016-02-04 09:30:00,20.22,20.7,20.05,20.67,630236
2016-02-05 09:30:00,21.0,21.27,20.92,21.18,260376
2016-02-08 09:30:00,20.8,20.81,20.44,20.51,439611
2016-02-09 09:30:00,19.81,20.14,19.78,19.98,487856
2016-02-10 09:30:00,20.35,20.68,20.33,20.65,310656
2016-02-11 09:30:00,19.66,20.03,19.56,19.92,400279
2016-02-12 09:30:00,20.08,20.13,19.78,19.85,409242
2016-02-16 09:30:00,20.63,20.88,20.57,20.73,311357
2016-02-17 09:30:00,21.46,21.67,21.42,21.56,332825
2016-02-18 09:30:00,21.61,21.63,21.4,21.59,304228
2016-02-19 09:30:00,21.56,21.66,21.25,21.3,567837
2016-02-22 09:30:00,21.73,22.06,21.73,21.94,502586
2016-02-23 09:30:00,21.9,22.09,21.72,22.04,430308
2016-02-24 09:30:00,21.33,21.47,21.12,21.2,283331
2016-02-25 09:30:00,21.77,21.98,21.63,21.69,197128
2016-02-26 09:30:00,22.63,22.86,22.54,22.54,362378
2016-02-29 09:30:00,22.57,22.73,22.49,22.63,182712
2016-03-01 09:30:00,22.79,22.93,22.64,22.87,256380
2016-03-02 09:30:00,23.03,23.13,22.84,22.89,345510
2016-03-03 09:30:00,23.42,23.63,23.38,23.6,254442
2016-03-04 09:30:00,23.67,23.97,23.67,23.8,234899
2016-03-07 09:30:00,23.76,24.02,23.57,23.93,246522
2016-03-08 09:30:00,23.83,24.03,23.75,23.77,180955
2016-03-09 09:30:00,23.76,24.02,23.52,23.63,379233
2016-03-10 09:30:00,23.47,23.6,23.36,23.54,222581
2016-03-11 09:30:00,23.43,23.52,23.36,23.5,280550
2016-03-14 09:30:00,23.9,24.0,23.73,23.76,124580
2016-03-15 09:30:00,22.73,23.46,22.66,22.98,464500
2016-03-16 09:30:00,22.9,23.26,22.83,23.19,191046
2016-03-17 09:30:00,23.52,23.9,23.43,23.88,326434
2016-03-18 09:30:00,24.4,24.67,24.38,24.64,917163
2016-03-21 09:30:00,24.38,24.64,24.38,24.38,171079
2016-03-22 09:30:00,24.25,24.32,24.07,24.25,329401
2016-03-23 09:30:00,24.39,24.51,24.33,24.36,254655
2016-03-24 09:30:00,23.83,23.87,23.59,23.74,299989
2016-03-28 09:30:00,23.95,24.02,23.72,23.73,89759
2016-03-29 09:30:00,23.81,23.9,23.67,23.84,193860
2016-03-30 09:30:00,24.82,25.1,24.71,25.09,290354
2016-03-31 09:30:00,24.6,24.74,24.52,24.6,112707
2016-04-01 09:30:00,24.31,24.47,24.11,24.18,205909
2016-04-04 09:30:00,24.89,24.89,24.54,24.81,138171
2016-04-05 09:30:00,24.21,24.32,24.11,24.15,228324
2016-04-06 09:30:00,24.1,24.46,24.1,24.25,202101
2016-04-07 09:30:00,24.03,24.08,23.79,24.01,138594
2016-04-08 09:30:00,23.5,23.53,23.37,23.45,492267
2016-04-11 09:30:00,23.65,23.96,23.63,23.78,397049
2016-04-12 09:30:00,23.6,23.64,23.43,23.45,510750
2016-04-13 09:30:00,24.1,24.52,24.03,24.51,644659
2016-04-14 09:30:00,24.94,25.14,24.91,24.93,269441
2016-04-15 09:30:00,25.13,25.18,24.94,25.0,257322
