open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,50.01,50.03,49.52,49.82,51870
2016-01-05 09:30:00,49.35,49.67,49.03,49.05,107195
2016-01-06 09:30:00,48.91,48.95,48.8,48.92,110922
2016-01-07 09:30:00,48.93,49.35,48.56,49.14,100085
2016-01-08 09:30:00,49.33,49.66,49.26,49.44,72122
2016-01-11 09:30:00,49.28,49.42,49.06,49.38,69672
2016-01-12 09:30:00,49.47,49.72,49.42,49.66,127791
2016-01-13 09:30:00,48.62,49.18,48.3,49.07,115099
2016-01-14 09:30:00,47.96,48.06,46.83,46.88,91550
2016-01-15 09:30:00,46.7,46.81,45.96,45.96,88534
2016-01-19 09:30:00,46.14,46.31,45.78,46.14,77059
2016-01-20 09:30:00,44.73,44.9,44.22,44.54,133190
2016-01-21 09:30:00,43.91,44.45,43.63,43.8,77376
2016-01-22 09:30:00,44.49,45.11,44.45,44.65,112249
2016-01-25 09:30:00,44.31,44.56,43.68,43.94,83696
2016-01-26 09:30:00,44.02,44.08,43.52,43.9,85553
2016-01-27 09:30:00,43.6,43.77,43.15,43.15,133633
2016-01-28 09:30:00,44.08,44.17,43.77,44.1,145682
2016-01-29 09:30:00,44.45,44.99,44.45,44.88,129026
2016-02-01 09:30:00,45.86,46.0,45.15,45.28,61042
2016-02-02 09:30:00,44.81,44.81,43.98,44.01,142455
2016-02-03 09:30:00,43.7,43.92,43.57,43.71,73022
2016-02-04 09:30:00,44.07,44.51,43.91,44.45,84764
2016-02-05 09:30:00,43.99,44.17,43.77,43.94,135174
2016-02-08 09:30:00,43.93,44.01,43.7,43.95,105455
2016-02-09 09:30:00,42.97,43.21,42.62,42.62,76991
2016-02-10 09:30:00,42.34,42.48,41.94,42.43,140315
2016-02-11 09:30:00,41.65,42.05,38.18,39.13,629463
2016-02-12 09:30:00,36.15,38.56,36.1,37.82,521433
2016-02-16 09:30:00,38.77,39.12,38.47,38.66,195982
2016-02-17 09:30:00,39.19,39.24,38.36,38.36,161023
2016-02-18 09:30:00,37.55,37.83,36.93,37.5,249230
2016-02-19 09:30:00,37.43,37.44,36.76,37.06,160206
2016-02-22 09:30:00,37.28,37.52,36.94,37.33,390439
2016-02-23 09:30:00,38.3,38.42,37.79,37.79,55599
2016-02-24 09:30:00,36.88,36.93,36.38,36.63,114964
2016-02-25 09:30:00,37.2,37.29,36.89,37.0,107889
2016-02-26 09:30:00,38.26,38.26,37.73,37.92,117715
2016-02-29 09:30:00,37.74,37.97,37.46,37.46,94884
2016-03-01 09:30:00,37.28,37.65,36.99,37.03,77613
2016-03-02 09:30:00,37.39,37.56,36.98,37.54,115162
2016-03-03 09:30:00,38.74,38.8,38.49,38.6,107266
2016-03-04 09:30:00,40.52,41.66,40.51,41.32,281699
2016-03-07 09:30:00,40.74,41.33,40.69,41.3,53509
2016-03-08 09:30:00,41.59,42.07,40.91,40.92,125978
2016-03-09 09:30:00,41.13,42.1,41.0,41.64,196037
2016-03-10 09:30:00,41.54,41.66,41.15,41.38,95010
2016-03-11 09:30:00,41.93,42.61,41.71,42.39,173679
2016-03-14 09:30:00,41.72,42.08,40.99,41.03,64151
2016-03-15 09:30:00,41.06,41.45,40.71,40.77,77347
2016-03-16 09:30:00,40.84,41.11,40.77,40.98,28297
2016-03-17 09:30:00,40.94,41.54,40.79,41.51,67609
