open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,260.94,261.16,258.23,259.82,86868
2016-01-05 09:30:00,261.85,263.34,260.21,261.19,58593
2016-01-06 09:30:00,256.45,258.76,256.3,258.14,98403
2016-01-07 09:30:00,251.28,255.15,250.34,253.74,106612
2016-01-08 09:30:00,248.82,250.54,248.27,248.74,171297
2016-01-11 09:30:00,242.16,242.86,239.44,240.51,129701
2016-01-12 09:30:00,244.79,246.5,243.57,244.61,112733
2016-01-13 09:30:00,247.28,249.5,246.63,249.09,147900
2016-01-14 09:30:00,239.18,240.13,235.48,235.75,123222
2016-01-15 09:30:00,235.02,235.02,227.58,231.75,436720
2016-01-19 09:30:00,235.37,236.44,231.48,233.3,96214
2016-01-20 09:30:00,226.18,226.67,224.07,225.47,183636
2016-01-21 09:30:00,229.16,229.77,226.81,228.12,60753
2016-01-22 09:30:00,231.8,233.28,231.52,233.2,49311
2016-01-25 09:30:00,235.1,235.79,232.51,233.25,45399
2016-01-26 09:30:00,229.15,230.35,228.21,228.91,102416
2016-01-27 09:30:00,234.27,235.97,233.01,235.95,34149
2016-01-28 09:30:00,237.49,241.18,235.67,237.99,119781
2016-01-29 09:30:00,239.88,240.24,236.55,240.07,69792
2016-02-01 09:30:00,244.39,244.62,241.16,241.36,51912
2016-02-02 09:30:00,239.62,239.62,234.09,235.15,164672
2016-02-03 09:30:00,236.39,238.14,234.06,234.06,104520
2016-02-04 09:30:00,236.82,243.12,236.82,242.49,83356
2016-02-05 09:30:00,244.48,246.94,240.08,244.47,73125
2016-02-08 09:30:00,236.12,236.12,231.24,231.65,117186
2016-02-09 09:30:00,224.87,229.37,224.49,227.64,96818
2016-02-10 09:30:00,234.5,236.09,233.36,235.77,63746
2016-02-11 09:30:00,226.81,231.38,226.44,231.1,122428
2016-02-12 09:30:00,235.06,238.79,233.07,233.12,95615
2016-02-16 09:30:00,244.48,246.25,242.37,243.28,104466
2016-02-17 09:30:00,249.82,251.72,248.53,251.13,63719
2016-02-18 09:30:00,250.73,250.77,247.89,249.42,72955
2016-02-19 09:30:00,245.3,245.97,243.08,244.23,133648
2016-02-22 09:30:00,250.69,252.07,248.73,250.54,70273
2016-02-23 09:30:00,246.81,248.71,245.46,247.57,71538
2016-02-24 09:30:00,238.57,239.73,235.8,235.82,65100
2016-02-25 09:30:00,242.57,245.12,238.09,239.41,75844
2016-02-26 09:30:00,248.06,249.61,247.11,247.33,48614
2016-02-29 09:30:00,244.93,246.5,244.65,246.42,59631
2016-03-01 09:30:00,247.02,248.58,246.13,247.8,36572
2016-03-02 09:30:00,250.81,253.61,250.16,250.83,87643
2016-03-03 09:30:00,255.23,256.43,253.44,255.68,58555
2016-03-04 09:30:00,255.09,257.14,253.74,254.72,54462
2016-03-07 09:30:00,251.32,255.53,250.79,255.53,68402
2016-03-08 09:30:00,255.11,256.45,253.64,253.65,37029
2016-03-09 09:30:00,255.59,256.45,253.69,255.35,94940
2016-03-10 09:30:00,260.21,260.36,257.54,259.87,85350
2016-03-11 09:30:00,260.39,260.45,257.75,259.65,42028
2016-03-14 09:30:00,266.28,267.09,264.21,264.86,34643
2016-03-15 09:30:00,262.77,263.42,260.94,261.37,48546
2016-03-16 09:30:00,262.88,264.73,261.09,263.9,33418
2016-03-17 09:30:00,264.22,264.52,262.5,264.18,64633
2016-03-18 09:30:00,271.61,273.78,271.1,272.23,169322
2016-03-21 09:30:00,270.47,272.88,269.86,271.3,42947
2016-03-22 09:30:00,266.69,269.09,266.05,269.09,44942
2016-03-23 09:30:00,267.7,269.06,267.21,267.87,33070
2016-03-24 09:30:00,265.5,266.6,262.79,263.76,48393
2016-03-28 09:30:00,265.13,265.47,263.72,264.25,37119
2016-03-29 09:30:00,265.32,265.59,261.97,262.97,39122
2016-03-30 09:30:00,271.15,272.08,270.08,271.32,38664
2016-03-31 09:30:00,268.55,269.69,268.49,268.67,21625
2016-04-01 09:30:00,266.13,266.71,264.4,265.39,77378
2016-04-04 09:30:00,269.86,270.88,267.8,269.08,37342
2016-04-05 09:30:00,265.07,265.6,261.54,263.26,59255
2016-04-06 09:30:00,263.87,265.59,263.8,264.81,53030
2016-04-07 09:30:00,263.84,264.73,263.34,264.56,19839
2016-04-08 09:30:00,262.56,263.59,261.34,263.25,49276
2016-04-11 09:30:00,264.27,265.0,262.59,264.59,38954
2016-04-12 09:30:00,263.58,265.51,263.58,264.36,21841
2016-04-13 09:30:00,270.65,274.58,269.41,273.08,79554
2016-04-14 09:30:00,270.65,274.41,269.86,272.17,97090
2016-04-15 09:30:00,279.66,282.45,279.01,279.62,153282
2016-04-18 09:30:00,279.29,282.74,277.0,281.98,67708
2016-04-19 09:30:00,285.28,287.66,285.01,287.66,87439
2016-04-20 09:30:00,288.75,290.18,287.86,289.03,64593
2016-04-21 09:30:00,287.51,290.28,287.51,288.57,57702
2016-04-22 09:30:00,288.14,291.33,288.12,291.25,66953
2016-04-25 09:30:00,287.23,288.01,285.25,286.63,53396
2016-04-26 09:30:00,287.02,288.24,286.4,288.07,51938
2016-04-27 09:30:00,288.8,289.98,287.07,289.18,39873
2016-04-28 09:30:00,286.59,288.39,285.73,286.58,27774
2016-04-29 09:30:00,281.41,282.05,279.42,279.68,40825
2016-05-02 09:30:00,283.1,283.59,280.22,281.06,70536
2016-05-03 09:30:00,280.91,280.95,278.82,280.31,57563
2016-05-04 09:30:00,278.22,280.1,276.75,279.77,61308
2016-05-05 09:30:00,278.09,279.68,277.15,278.91,60110
2016-05-06 09:30:00,276.62,279.39,276.36,278.59,53530
2016-05-09 09:30:00,280.87,282.29,280.26,281.23,47426
2016-05-10 09:30:00,282.49,284.3,280.73,283.59,41930
2016-05-11 09:30:00,282.8,283.89,280.29,280.32,57967
2016-05-12 09:30:00,281.35,282.26,280.16,280.37,28750
2016-05-13 09:30:00,279.9,282.37,279.9,280.27,35512
2016-05-16 09:30:00,274.29,277.41,274.29,275.21,49359
2016-05-17 09:30:00,276.79,277.64,274.92,277.52,60013
2016-05-18 09:30:00,273.85,276.78,273.85,275.99,55943
2016-05-19 09:30:00,276.48,278.72,274.54,274.91,59134
2016-05-20 09:30:00,279.02,281.17,277.89,281.17,87982
2016-05-23 09:30:00,279.33,280.66,278.68,278.84,24243
2016-05-24 09:30:00,282.49,284.05,281.22,283.2,47351
2016-05-25 09:30:00,286.83,288.38,286.54,287.71,44515
2016-05-26 09:30:00,287.3,287.46,285.2,285.26,26284
2016-05-27 09:30:00,286.7,288.3,286.7,287.98,34254
2016-05-31 09:30:00,289.04,289.04,287.27,288.19,52714
2016-06-01 09:30:00,285.3,285.3,283.16,284.36,45359
