open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.44,48.77,48.13,48.33,906677
2016-01-05 09:30:00,48.47,48.85,48.41,48.82,1002598
2016-01-06 09:30:00,48.45,48.51,48.04,48.18,891405
2016-01-07 09:30:00,47.29,47.66,47.24,47.63,589327
2016-01-08 09:30:00,47.11,47.24,46.9,46.96,895952
2016-01-11 09:30:00,45.95,45.95,45.29,45.31,738684
2016-01-12 09:30:00,45.36,45.77,45.3,45.59,526279
2016-01-13 09:30:00,45.67,46.13,45.64,46.09,686520
2016-01-14 09:30:00,44.03,44.29,43.73,43.78,575004
2016-01-15 09:30:00,44.3,44.67,43.85,44.49,2479540
2016-01-19 09:30:00,45.68,46.08,45.46,45.85,1080068
2016-01-20 09:30:00,44.7,45.03,44.49,44.9,697682
2016-01-21 09:30:00,45.92,45.92,44.88,45.26,464662
2016-01-22 09:30:00,46.29,46.53,45.71,46.22,1065585
2016-01-25 09:30:00,46.12,46.26,45.87,45.88,727371
2016-01-26 09:30:00,45.26,45.28,44.47,44.63,758610
2016-01-27 09:30:00,45.2,45.21,44.88,44.91,599042
2016-01-28 09:30:00,45.93,46.14,44.76,44.93,3321612
2016-01-29 09:30:00,44.27,44.98,43.92,44.52,1049447
2016-02-01 09:30:00,44.47,44.78,44.32,44.34,756144
2016-02-02 09:30:00,43.11,43.3,43.02,43.04,767897
2016-02-03 09:30:00,42.51,42.58,42.11,42.12,680645
2016-02-04 09:30:00,42.69,43.05,42.66,42.99,846980
2016-02-05 09:30:00,42.92,42.94,42.46,42.48,513985
2016-02-08 09:30:00,42.42,42.66,42.2,42.28,757911
2016-02-09 09:30:00,43.28,43.75,43.11,43.4,710835
2016-02-10 09:30:00,43.98,44.42,43.97,44.4,710155
2016-02-11 09:30:00,43.0,43.27,42.82,43.15,683324
2016-02-12 09:30:00,43.23,43.38,42.56,42.57,579512
2016-02-16 09:30:00,45.04,45.04,44.41,44.53,1422616
2016-02-17 09:30:00,45.16,45.17,44.49,44.81,618958
2016-02-18 09:30:00,45.92,45.97,45.35,45.73,599706
2016-02-19 09:30:00,45.3,45.69,45.18,45.4,1431723
2016-02-22 09:30:00,45.96,46.26,45.89,46.01,631288
2016-02-23 09:30:00,45.44,45.49,45.21,45.37,859080
2016-02-24 09:30:00,44.41,44.7,43.95,44.03,583763
2016-02-25 09:30:00,44.98,45.19,44.85,45.04,430027
2016-02-26 09:30:00,45.49,45.66,45.33,45.34,576365
2016-02-29 09:30:00,44.7,44.92,44.55,44.64,392440
2016-03-01 09:30:00,44.75,44.9,44.47,44.64,362551
2016-03-02 09:30:00,46.09,46.3,45.93,45.97,505216
2016-03-03 09:30:00,46.35,46.48,45.94,45.99,332255
2016-03-04 09:30:00,46.68,46.89,46.17,46.25,791385
2016-03-07 09:30:00,46.28,46.74,46.28,46.64,498152
2016-03-08 09:30:00,47.47,47.65,47.31,47.36,453032
2016-03-09 09:30:00,47.87,47.89,47.12,47.19,481900
2016-03-10 09:30:00,47.52,47.55,47.24,47.52,462346
2016-03-11 09:30:00,46.81,47.1,46.67,46.75,526126
2016-03-14 09:30:00,46.46,46.46,46.04,46.1,722454
2016-03-15 09:30:00,45.92,45.97,45.61,45.81,516578
2016-03-16 09:30:00,45.51,45.84,45.43,45.77,392218
2016-03-17 09:30:00,44.89,44.96,44.54,44.6,503643
2016-03-18 09:30:00,44.19,44.28,43.8,43.95,3172986
2016-03-21 09:30:00,44.98,45.03,44.76,45.0,395707
2016-03-22 09:30:00,44.94,45.42,44.94,45.03,630761
2016-03-23 09:30:00,45.26,45.3,44.98,45.0,271214
2016-03-24 09:30:00,44.65,44.7,44.34,44.64,613061
