open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,44.74,44.85,44.25,44.49,70726
2016-01-05 09:30:00,44.42,44.54,44.23,44.47,24209
2016-01-06 09:30:00,44.24,44.45,44.14,44.45,31287
2016-01-07 09:30:00,43.65,43.84,43.48,43.84,49486
2016-01-08 09:30:00,43.84,44.12,43.44,43.53,132216
2016-01-11 09:30:00,42.73,42.82,42.16,42.26,75956
2016-01-12 09:30:00,43.15,43.32,43.02,43.15,40290
2016-01-13 09:30:00,43.43,43.43,43.14,43.22,23234
2016-01-14 09:30:00,42.06,42.24,41.51,41.61,44393
2016-01-15 09:30:00,41.75,42.25,41.75,41.84,78821
2016-01-19 09:30:00,42.97,43.06,42.63,42.64,30950
2016-01-20 09:30:00,42.39,42.45,42.08,42.08,29287
2016-01-21 09:30:00,42.5,42.59,42.08,42.24,49994
2016-01-22 09:30:00,42.95,43.54,42.91,43.49,68697
2016-01-25 09:30:00,43.79,43.95,43.67,43.86,62485
2016-01-26 09:30:00,43.67,43.84,43.33,43.48,32833
2016-01-27 09:30:00,44.03,44.14,43.78,44.03,54973
2016-01-28 09:30:00,44.47,44.73,44.15,44.38,49211
2016-01-29 09:30:00,44.39,45.03,44.14,45.03,40939
2016-02-01 09:30:00,44.96,45.05,44.77,44.95,28960
2016-02-02 09:30:00,44.97,45.13,44.69,44.88,34095
2016-02-03 09:30:00,44.75,44.75,44.52,44.63,25509
2016-02-04 09:30:00,44.9,45.89,44.48,45.0,56327
2016-02-05 09:30:00,44.39,44.74,44.16,44.25,61044
2016-02-08 09:30:00,43.0,43.14,42.69,43.07,67787
2016-02-09 09:30:00,43.39,44.19,43.37,44.14,51404
2016-02-10 09:30:00,44.57,45.12,44.35,45.07,33240
2016-02-11 09:30:00,44.61,44.93,44.52,44.9,69757
2016-02-12 09:30:00,45.58,45.72,45.36,45.37,65884
2016-02-16 09:30:00,46.47,46.75,46.39,46.46,58529
2016-02-17 09:30:00,46.87,47.03,46.41,46.41,32583
2016-02-18 09:30:00,46.87,46.99,46.51,46.86,62189
2016-02-19 09:30:00,46.82,47.09,46.81,47.03,93868
2016-02-22 09:30:00,47.5,47.75,47.37,47.46,37015
2016-02-23 09:30:00,47.35,47.93,47.23,47.91,116323
2016-02-24 09:30:00,47.27,47.38,46.98,46.99,49066
2016-02-25 09:30:00,47.23,47.35,47.04,47.15,33125
2016-02-26 09:30:00,48.01,48.24,47.88,48.18,21159
2016-02-29 09:30:00,47.73,48.17,47.67,47.78,24523
2016-03-01 09:30:00,47.81,47.97,47.61,47.7,34574
2016-03-02 09:30:00,48.59,48.71,48.47,48.59,23934
2016-03-03 09:30:00,48.58,48.63,48.31,48.46,24399
2016-03-04 09:30:00,48.57,48.61,48.33,48.44,25292
2016-03-07 09:30:00,48.37,48.52,48.11,48.26,19701
2016-03-08 09:30:00,48.08,48.19,47.83,47.98,31930
2016-03-09 09:30:00,48.0,48.18,47.88,48.12,22584
2016-03-10 09:30:00,48.18,48.31,47.97,48.22,23222
2016-03-11 09:30:00,47.75,47.92,47.55,47.84,8896
2016-03-14 09:30:00,47.53,47.9,47.52,47.59,27912
2016-03-15 09:30:00,47.55,47.87,47.52,47.87,17198
2016-03-16 09:30:00,47.68,47.73,47.57,47.66,38336
2016-03-17 09:30:00,48.18,48.34,48.08,48.23,13502
2016-03-18 09:30:00,48.75,48.95,48.61,48.79,166290
2016-03-21 09:30:00,49.22,49.31,48.94,49.31,18169
2016-03-22 09:30:00,48.96,49.06,48.72,48.82,15347
2016-03-23 09:30:00,48.9,48.9,48.69,48.81,20407
2016-03-24 09:30:00,48.5,48.64,48.37,48.43,17366
2016-03-28 09:30:00,48.43,48.5,48.26,48.42,18454
2016-03-29 09:30:00,48.95,49.63,48.73,49.59,27049
2016-03-30 09:30:00,50.34,50.54,50.21,50.22,16858
2016-03-31 09:30:00,50.25,50.36,50.02,50.2,27728
2016-04-01 09:30:00,50.16,50.38,49.47,50.36,19116
2016-04-04 09:30:00,50.48,50.66,50.23,50.66,24665
2016-04-05 09:30:00,49.86,49.9,49.72,49.88,11255
2016-04-06 09:30:00,49.9,50.11,49.66,50.03,19849
2016-04-07 09:30:00,50.23,50.23,49.87,50.05,14453
2016-04-08 09:30:00,50.1,50.43,49.72,49.83,71709
2016-04-11 09:30:00,50.18,50.28,50.1,50.19,32153
2016-04-12 09:30:00,50.02,50.18,49.86,49.92,94896
2016-04-13 09:30:00,50.05,50.14,49.82,50.14,18334
2016-04-14 09:30:00,50.68,50.73,49.79,50.51,16920
2016-04-15 09:30:00,50.54,50.89,50.51,50.88,18952
2016-04-18 09:30:00,50.5,50.88,50.5,50.82,16075
2016-04-19 09:30:00,51.42,51.67,51.34,51.46,40499
2016-04-20 09:30:00,51.83,51.83,51.3,51.58,78224
2016-04-21 09:30:00,51.38,51.48,51.16,51.16,64910
2016-04-22 09:30:00,50.71,51.05,50.71,50.88,26984
2016-04-25 09:30:00,51.12,51.52,50.98,50.99,63777
2016-04-26 09:30:00,51.09,51.57,51.0,51.38,32542
2016-04-27 09:30:00,51.33,51.73,51.13,51.51,19675
2016-04-28 09:30:00,51.41,51.47,51.12,51.22,25339
2016-04-29 09:30:00,50.71,50.9,50.28,50.35,29215
2016-05-02 09:30:00,50.95,51.37,50.91,51.3,28003
2016-05-03 09:30:00,51.6,51.84,51.36,51.41,78860
2016-05-04 09:30:00,51.18,51.45,51.0,51.08,52466
2016-05-05 09:30:00,50.75,51.52,49.24,49.31,187920
2016-05-06 09:30:00,49.98,50.53,49.88,49.93,63600
2016-05-09 09:30:00,51.29,51.69,51.29,51.67,28574
2016-05-10 09:30:00,51.34,51.7,51.34,51.6,34239
2016-05-11 09:30:00,52.18,52.34,52.02,52.3,54181
2016-05-12 09:30:00,52.17,52.36,51.99,51.99,26917
2016-05-13 09:30:00,52.18,52.18,51.69,51.74,55200
2016-05-16 09:30:00,52.55,53.12,52.53,52.78,214125
2016-05-17 09:30:00,52.93,53.08,52.73,53.08,43055
2016-05-18 09:30:00,52.75,53.2,52.65,53.17,69239
2016-05-19 09:30:00,53.43,53.66,53.16,53.16,49331
2016-05-20 09:30:00,53.45,54.28,53.26,54.28,65156
2016-05-23 09:30:00,54.26,54.39,54.06,54.08,60108
2016-05-24 09:30:00,54.34,54.98,54.02,54.85,113361
2016-05-25 09:30:00,55.89,56.15,55.32,55.49,123811
2016-05-26 09:30:00,55.13,55.47,55.04,55.31,53486
2016-05-27 09:30:00,54.74,55.13,54.66,54.86,80352
2016-05-31 09:30:00,55.16,55.25,54.79,54.91,103700
2016-06-01 09:30:00,54.37,54.51,54.26,54.39,50953
2016-06-02 09:30:00,54.5,54.56,54.2,54.32,49862
2016-06-03 09:30:00,54.54,54.54,54.06,54.17,82955
2016-06-06 09:30:00,54.67,54.91,54.65,54.72,41009
2016-06-07 09:30:00,53.73,54.21,53.71,54.12,145381
2016-06-08 09:30:00,54.15,54.38,54.11,54.31,33284
2016-06-09 09:30:00,53.9,54.15,53.69,54.15,38956
2016-06-10 09:30:00,53.85,54.05,53.66,53.72,43942
2016-06-13 09:30:00,53.27,53.88,53.22,53.85,88688
2016-06-14 09:30:00,54.22,54.39,54.05,54.21,144484
2016-06-15 09:30:00,54.49,54.75,54.3,54.75,97609
2016-06-16 09:30:00,54.25,54.74,54.25,54.55,59843
2016-06-17 09:30:00,54.89,54.89,54.39,54.41,176125
2016-06-20 09:30:00,54.86,55.07,54.69,55.0,21370
2016-06-21 09:30:00,54.69,55.2,54.69,55.17,49819
2016-06-22 09:30:00,55.08,55.08,54.87,54.93,20455
2016-06-23 09:30:00,55.38,55.48,55.19,55.38,32598
2016-06-24 09:30:00,53.75,54.44,53.72,54.36,44206
2016-06-27 09:30:00,53.1,53.3,52.87,53.09,43248
2016-06-28 09:30:00,53.17,53.22,52.95,53.11,78416
2016-06-29 09:30:00,54.23,54.43,54.16,54.27,43346
2016-06-30 09:30:00,54.57,54.92,54.53,54.88,28508
2016-07-01 09:30:00,55.6,55.95,55.6,55.81,30064
2016-07-05 09:30:00,55.58,55.86,55.48,55.68,25798
2016-07-06 09:30:00,55.76,56.03,55.68,55.69,55055
2016-07-07 09:30:00,55.65,55.8,55.56,55.73,46645
2016-07-08 09:30:00,56.52,56.65,56.32,56.38,66277
2016-07-11 09:30:00,56.97,57.13,56.97,57.09,15603
2016-07-12 09:30:00,57.58,57.81,57.5,57.61,41353
2016-07-13 09:30:00,57.1,57.46,57.1,57.21,90775
2016-07-14 09:30:00,57.6,57.65,57.32,57.55,26509
2016-07-15 09:30:00,57.32,57.35,56.98,57.11,21333
2016-07-18 09:30:00,57.05,57.25,57.03,57.12,16581
2016-07-19 09:30:00,56.89,57.17,56.85,57.05,40753
2016-07-20 09:30:00,57.65,58.17,57.5,57.56,35721
2016-07-21 09:30:00,57.65,57.88,57.56,57.66,13199
