open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,130.16,130.16,128.89,129.46,1024563
2016-01-05 09:30:00,130.75,131.53,130.44,130.83,485178
2016-01-06 09:30:00,129.99,130.33,129.725,130.21,546938
2016-01-07 09:30:00,129.25,129.99,129.0,129.88,839769
2016-01-08 09:30:00,130.11,130.4,129.64,130.06,555685
2016-01-11 09:30:00,128.92,129.23,128.33,128.52,417434
2016-01-12 09:30:00,129.11,129.43,128.91,129.15,556254
2016-01-13 09:30:00,128.97,129.3801,128.82,128.95,399568
2016-01-14 09:30:00,126.41,126.85,126.01,126.12,627857
2016-01-15 09:30:00,125.34,126.5,125.1,126.23,1868127
2016-01-19 09:30:00,126.86,127.82,126.8,127.37,904176
2016-01-20 09:30:00,125.6,126.036,125.12,125.56,820474
2016-01-21 09:30:00,125.52,125.7099,124.37,124.64,389873
2016-01-22 09:30:00,127.5,127.93,127.06,127.44,405126
2016-01-25 09:30:00,126.55,126.9,125.67,125.7966,434135
2016-01-26 09:30:00,124.57,125.86,124.57,125.5136,432999
2016-01-27 09:30:00,125.26,125.85,125.17,125.76,305627
2016-01-28 09:30:00,126.08,126.61,125.73,126.01,358704
2016-01-29 09:30:00,126.66,127.42,126.11,127.3,521123
2016-02-01 09:30:00,128.94,129.13,128.17,128.42,515701
2016-02-02 09:30:00,127.52,127.83,126.18,126.36,649466
2016-02-03 09:30:00,126.34,126.37,125.09,125.258,626031
2016-02-04 09:30:00,126.09,126.73,125.92,126.38,386057
2016-02-05 09:30:00,127.28,127.38,126.73,127.1,343812
2016-02-08 09:30:00,125.63,125.92,125.06,125.37,585146
2016-02-09 09:30:00,125.15,126.37,125.15,126.11,656436
2016-02-10 09:30:00,128.31,128.93,128.21,128.565,446981
2016-02-11 09:30:00,124.11,124.785,124.04,124.53,850982
2016-02-12 09:30:00,126.73,127.58,126.05,127.0311,723299
2016-02-16 09:30:00,129.44,129.6,128.56,128.59,829610
2016-02-17 09:30:00,129.17,129.56,129.06,129.21,462921
2016-02-18 09:30:00,130.6,131.65,130.59,131.57,510142
2016-02-19 09:30:00,130.37,131.0,130.01,130.61,1295589
2016-02-22 09:30:00,132.19,132.87,132.11,132.24,466121
2016-02-23 09:30:00,131.12,131.91,131.021,131.74,409116
2016-02-24 09:30:00,129.9,130.17,129.5901,129.72,450478
2016-02-25 09:30:00,131.5,131.77,130.86,130.89,439635
2016-02-26 09:30:00,132.94,133.0,132.5102,132.53,480113
2016-02-29 09:30:00,133.36,134.0,132.94,133.64,964648
2016-03-01 09:30:00,135.11,135.66,134.53,134.59,732356
2016-03-02 09:30:00,136.95,137.135,136.57,136.78,602058
2016-03-03 09:30:00,136.84,136.84,136.23,136.37,328704
2016-03-04 09:30:00,136.99,137.16,136.52,136.65,557375
2016-03-07 09:30:00,137.7,138.25,137.43,138.1566,518953
2016-03-08 09:30:00,138.25,138.695,137.84,137.945,430915
2016-03-09 09:30:00,138.49,138.6,138.07,138.44,329621
2016-03-10 09:30:00,139.75,139.75,139.0,139.3,459745
