open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,14.51,14.51,14.37,14.42,49282
2016-01-05 09:30:00,14.51,14.66,14.46,14.56,42000
2016-01-06 09:30:00,14.43,14.51,14.37,14.45,89866
2016-01-07 09:30:00,13.64,13.98,13.62,13.93,481266
2016-01-08 09:30:00,13.95,14.04,13.86,13.98,100530
2016-01-11 09:30:00,13.89,13.93,13.82,13.84,50544
2016-01-12 09:30:00,13.99,14.0,13.92,13.92,38286
2016-01-13 09:30:00,14.0,14.03,13.9,13.97,39052
2016-01-14 09:30:00,13.74,13.77,13.69,13.71,41830
2016-01-15 09:30:00,13.68,13.73,13.66,13.69,58670
2016-01-19 09:30:00,13.82,13.9,13.76,13.9,92002
2016-01-20 09:30:00,13.38,13.45,13.34,13.34,195488
2016-01-21 09:30:00,13.36,13.46,13.3,13.34,97512
2016-01-22 09:30:00,13.5,13.55,13.43,13.54,72894
2016-01-25 09:30:00,13.42,13.5,13.31,13.35,120364
2016-01-26 09:30:00,13.43,13.8,13.33,13.7,544630
2016-01-27 09:30:00,13.29,13.4,13.09,13.33,340006
2016-01-28 09:30:00,13.42,13.44,13.37,13.4,53416
2016-01-29 09:30:00,13.46,13.6,13.41,13.6,133054
2016-02-01 09:30:00,13.83,13.84,13.72,13.81,164600
2016-02-02 09:30:00,13.86,13.87,13.76,13.86,86148
2016-02-03 09:30:00,13.99,14.05,13.93,13.97,118574
2016-02-04 09:30:00,14.12,14.23,14.11,14.17,97698
2016-02-05 09:30:00,14.45,14.55,14.45,14.51,125422
2016-02-08 09:30:00,14.31,14.49,13.96,14.4,126042
2016-02-09 09:30:00,14.47,14.67,14.47,14.63,70030
2016-02-10 09:30:00,14.58,14.71,14.56,14.66,73126
2016-02-11 09:30:00,14.1,14.21,14.1,14.18,131424
2016-02-12 09:30:00,14.44,14.45,14.34,14.39,50352
2016-02-16 09:30:00,14.58,14.58,14.46,14.51,59222
2016-02-17 09:30:00,14.56,14.56,14.46,14.49,95480
2016-02-18 09:30:00,14.48,14.53,14.45,14.49,83120
2016-02-19 09:30:00,14.44,14.51,14.44,14.49,51548
2016-02-22 09:30:00,14.62,14.71,14.55,14.57,40384
2016-02-23 09:30:00,14.61,14.67,14.59,14.64,39046
2016-02-24 09:30:00,14.5,14.53,14.45,14.45,45080
2016-02-25 09:30:00,14.65,14.7,14.62,14.62,65188
2016-02-26 09:30:00,14.82,14.85,14.77,14.84,96718
2016-02-29 09:30:00,14.92,15.0,14.89,14.92,73138
2016-03-01 09:30:00,14.96,15.03,14.89,14.96,31466
2016-03-02 09:30:00,15.1,15.12,15.04,15.06,27126
2016-03-03 09:30:00,15.14,15.17,15.13,15.13,22830
2016-03-04 09:30:00,15.18,15.21,15.12,15.18,95050
2016-03-07 09:30:00,15.38,15.38,15.33,15.34,41030
2016-03-08 09:30:00,15.46,15.47,15.32,15.33,76720
