open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,18.16,18.16,17.97,17.97,1088561
2016-01-05 09:30:00,18.0,18.22,17.99,18.15,893794
2016-01-06 09:30:00,17.94,18.13,17.9,18.1101,642662
2016-01-07 09:30:00,17.64,17.74,17.625,17.73,626161
2016-01-08 09:30:00,17.7,17.72,17.54,17.69,569720
2016-01-11 09:30:00,17.48,17.51,17.33,17.33,816368
2016-01-12 09:30:00,17.24,17.63,17.18,17.53,1630582
2016-01-13 09:30:00,17.89,18.12,17.81,18.12,2138112
2016-01-14 09:30:00,17.63,17.88,17.551,17.62,1393101
2016-01-15 09:30:00,17.7,18.04,17.62,17.81,2410828
2016-01-19 09:30:00,18.03,18.33,17.99,18.0,1962787
2016-01-20 09:30:00,17.32,17.48,17.32,17.37,993841
2016-01-21 09:30:00,17.58,17.65,17.37,17.4,745753
2016-01-22 09:30:00,17.81,17.885,17.7,17.88,1229217
2016-01-25 09:30:00,17.81,17.97,17.78,17.89,1604314
2016-01-26 09:30:00,17.62,17.66,17.37,17.44,550152
2016-01-27 09:30:00,17.37,17.495,17.27,17.315,731814
2016-01-28 09:30:00,17.28,17.31,17.0001,17.01,474271
2016-01-29 09:30:00,17.02,17.35,17.01,17.29,570102
2016-02-01 09:30:00,17.45,17.565,17.27,17.39,1221933
2016-02-02 09:30:00,17.63,17.71,17.59,17.65,730903
2016-02-03 09:30:00,17.97,18.0,17.73,17.74,1575133
2016-02-04 09:30:00,17.25,17.5,17.01,17.04,3871345
2016-02-05 09:30:00,17.29,17.43,17.24,17.27,1523403
2016-02-08 09:30:00,16.45,16.51,16.31,16.355,1049494
2016-02-09 09:30:00,16.46,16.75,16.25,16.69,3141241
2016-02-10 09:30:00,16.96,17.26,16.96,17.22,1272127
2016-02-11 09:30:00,16.6,16.8,16.55,16.7,1250621
2016-02-12 09:30:00,16.7,16.74,16.5,16.53,472728
2016-02-16 09:30:00,16.78,16.875,16.71,16.74,646937
2016-02-17 09:30:00,17.4,17.43,17.19,17.22,906177
2016-02-18 09:30:00,17.55,17.66,17.42,17.64,586434
2016-02-19 09:30:00,17.18,17.18,16.98,17.15,873869
2016-02-22 09:30:00,17.24,17.4,17.2,17.35,624066
2016-02-23 09:30:00,17.11,17.335,17.08,17.24,915053
2016-02-24 09:30:00,17.14,17.32,17.11,17.235,1167548
2016-02-25 09:30:00,17.48,17.54,17.22,17.35,1436003
2016-02-26 09:30:00,17.35,17.48,17.35,17.435,1410165
2016-02-29 09:30:00,17.15,17.25,17.03,17.03,955786
2016-03-01 09:30:00,17.02,17.02,16.82,16.89,2377563
2016-03-02 09:30:00,17.13,17.29,17.0,17.0485,951881
2016-03-03 09:30:00,17.26,17.39,17.24,17.37,1187443
2016-03-04 09:30:00,17.42,17.465,17.32,17.3849,539225
2016-03-07 09:30:00,17.29,17.38,17.28,17.33,481866
2016-03-08 09:30:00,17.23,17.35,17.19,17.32,875839
2016-03-09 09:30:00,17.41,17.41,17.32,17.37,1025615
2016-03-10 09:30:00,17.46,17.5801,17.4,17.515,419041
2016-03-11 09:30:00,17.55,17.71,17.55,17.665,593340
2016-03-14 09:30:00,17.9,18.07,17.83,17.9415,639304
2016-03-15 09:30:00,18.02,18.18,17.98,18.015,702993
2016-03-16 09:30:00,17.88,17.94,17.8,17.88,277193
2016-03-17 09:30:00,17.9,18.0,17.69,17.69,801683
2016-03-18 09:30:00,18.0,18.03,17.935,18.01,3266294
2016-03-21 09:30:00,18.03,18.09,18.0,18.03,342235
2016-03-22 09:30:00,17.96,18.25,17.95,18.23,934551
2016-03-23 09:30:00,18.35,18.37,18.19,18.22,399630
2016-03-24 09:30:00,18.02,18.07,17.96,18.005,506586
2016-03-28 09:30:00,18.0,18.03,17.93,17.97,338967
2016-03-29 09:30:00,18.04,18.12,17.99,18.09,951499
2016-03-30 09:30:00,18.6,18.67,18.51,18.59,964509
2016-03-31 09:30:00,18.83,18.87,18.66,18.67,605209
2016-04-01 09:30:00,18.72,18.91,18.65,18.885,582723
2016-04-04 09:30:00,18.96,19.175,18.93,19.09,1267615
2016-04-05 09:30:00,19.3,19.47,19.27,19.47,1335896
