open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.56,36.7,36.09,36.17,286278
2016-01-05 09:30:00,36.65,36.74,35.75,35.76,126152
2016-01-06 09:30:00,35.05,35.06,34.69,34.92,168765
2016-01-07 09:30:00,33.79,33.81,32.92,33.32,291731
2016-01-08 09:30:00,33.03,33.19,32.47,32.66,198444
2016-01-11 09:30:00,31.77,32.05,31.56,31.87,134021
2016-01-12 09:30:00,32.29,32.42,31.51,31.57,242375
2016-01-13 09:30:00,30.54,31.8,30.14,30.22,677685
2016-01-14 09:30:00,29.19,29.19,27.63,27.69,574161
2016-01-15 09:30:00,26.9,27.09,26.52,26.64,919108
2016-01-19 09:30:00,27.12,27.14,26.03,26.28,437765
2016-01-20 09:30:00,25.74,25.81,25.19,25.29,299412
2016-01-21 09:30:00,26.01,26.12,25.46,25.67,192028
2016-01-22 09:30:00,25.8,26.06,25.65,26.0,458463
2016-01-25 09:30:00,24.89,24.96,24.29,24.53,286400
2016-01-26 09:30:00,24.81,24.83,24.49,24.63,257276
2016-01-27 09:30:00,24.78,25.63,24.78,25.09,311998
2016-01-28 09:30:00,25.37,25.49,24.85,24.91,321615
2016-01-29 09:30:00,24.6,24.81,24.51,24.7,301094
2016-02-01 09:30:00,24.99,25.16,24.8,25.04,168486
2016-02-02 09:30:00,25.34,25.42,25.17,25.27,185773
2016-02-03 09:30:00,24.95,25.08,24.39,24.49,136144
2016-02-04 09:30:00,24.41,24.92,24.12,24.9,253482
2016-02-05 09:30:00,25.61,26.0,25.49,25.83,294630
2016-02-08 09:30:00,24.97,25.2,24.73,24.94,264817
2016-02-09 09:30:00,24.67,25.66,24.65,25.2,245025
2016-02-10 09:30:00,25.62,25.78,25.38,25.72,214690
2016-02-11 09:30:00,25.0,26.85,24.64,26.54,453319
2016-02-12 09:30:00,26.36,26.67,26.09,26.31,441296
2016-02-16 09:30:00,27.72,27.81,27.45,27.63,391455
2016-02-17 09:30:00,28.3,29.22,28.3,29.1,447551
2016-02-18 09:30:00,29.08,29.12,28.48,29.05,224676
2016-02-19 09:30:00,27.94,28.03,27.42,27.65,263442
2016-02-22 09:30:00,28.34,28.72,28.31,28.38,124073
2016-02-23 09:30:00,28.17,28.65,28.09,28.43,162976
2016-02-24 09:30:00,27.33,27.46,26.82,27.11,146163
2016-02-25 09:30:00,28.03,28.49,27.76,27.81,122656
2016-02-26 09:30:00,28.42,28.61,28.2,28.51,209610
2016-02-29 09:30:00,28.57,28.89,28.45,28.86,107764
2016-03-01 09:30:00,29.25,30.78,28.62,29.05,369774
2016-03-02 09:30:00,29.56,29.83,29.27,29.69,122637
2016-03-03 09:30:00,30.02,30.59,29.84,30.39,145897
2016-03-04 09:30:00,30.31,30.5,29.42,29.47,185077
2016-03-07 09:30:00,30.06,30.42,29.95,30.21,71249
2016-03-08 09:30:00,30.24,30.57,29.84,29.86,173885
2016-03-09 09:30:00,29.98,30.22,29.78,30.16,111373
2016-03-10 09:30:00,30.4,30.52,29.95,30.02,124672
2016-03-11 09:30:00,30.34,30.76,30.16,30.65,80906
2016-03-14 09:30:00,30.84,31.09,30.63,30.73,129997
2016-03-15 09:30:00,30.61,30.62,30.4,30.59,165339
2016-03-16 09:30:00,30.71,31.49,30.68,31.33,162860
2016-03-17 09:30:00,32.05,32.11,31.58,31.6,86077
2016-03-18 09:30:00,32.56,33.32,32.51,33.04,451949
2016-03-21 09:30:00,32.77,33.05,32.54,32.54,75180
2016-03-22 09:30:00,32.29,32.49,31.92,32.48,114759
2016-03-23 09:30:00,32.3,32.43,32.1,32.34,205197
2016-03-24 09:30:00,31.25,31.53,30.94,31.53,196701
2016-03-28 09:30:00,32.05,32.23,31.82,31.86,95015
2016-03-29 09:30:00,31.52,31.64,31.13,31.45,236945
2016-03-30 09:30:00,32.69,33.22,32.62,32.68,253580
2016-03-31 09:30:00,32.67,33.12,32.62,32.7,207894
2016-04-01 09:30:00,32.82,32.82,32.19,32.42,189429
2016-04-04 09:30:00,32.44,32.55,31.64,31.64,150497
2016-04-05 09:30:00,30.08,30.87,29.87,30.81,272551
2016-04-06 09:30:00,30.28,30.46,29.61,29.84,165521
2016-04-07 09:30:00,29.95,30.59,29.85,30.21,189805
2016-04-08 09:30:00,29.83,30.25,29.77,30.15,130232
2016-04-11 09:30:00,29.82,30.29,29.74,30.29,90818
2016-04-12 09:30:00,30.2,30.46,30.13,30.28,123553
2016-04-13 09:30:00,30.52,31.51,30.5,31.49,186820
2016-04-14 09:30:00,31.95,31.97,31.31,31.49,227219
2016-04-15 09:30:00,32.05,32.44,31.89,32.06,206571
2016-04-18 09:30:00,32.18,32.62,31.97,32.61,89514
2016-04-19 09:30:00,32.62,33.38,32.61,33.36,126659
2016-04-20 09:30:00,33.26,33.5,33.13,33.26,127925
2016-04-21 09:30:00,33.44,33.79,33.29,33.35,141469
2016-04-22 09:30:00,33.1,33.51,32.8,33.51,72417
2016-04-25 09:30:00,33.09,33.4,32.95,33.01,151396
2016-04-26 09:30:00,33.36,34.2,33.19,34.17,274928
2016-04-27 09:30:00,34.46,34.73,34.06,34.13,406488
2016-04-28 09:30:00,32.46,32.61,31.33,31.88,409487
2016-04-29 09:30:00,31.54,31.68,31.08,31.1,197559
2016-05-02 09:30:00,31.24,31.41,30.62,30.62,163536
2016-05-03 09:30:00,30.54,30.57,29.79,30.07,537144
2016-05-04 09:30:00,30.62,30.69,29.89,30.46,288608
2016-05-05 09:30:00,29.95,30.27,29.28,29.84,135607
2016-05-06 09:30:00,29.19,29.51,29.14,29.39,270184
2016-05-09 09:30:00,29.25,29.53,29.09,29.33,188928
2016-05-10 09:30:00,29.44,29.63,29.13,29.46,99466
2016-05-11 09:30:00,29.4,29.7,29.31,29.38,84991
2016-05-12 09:30:00,29.6,29.87,29.34,29.35,124007
2016-05-13 09:30:00,29.03,29.44,28.94,29.07,206080
2016-05-16 09:30:00,28.62,29.06,28.51,28.73,144725
