open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,18.24,18.24,18.05,18.11,785462
2016-01-05 09:30:00,18.48,18.51,18.25,18.38,519807
2016-01-06 09:30:00,17.53,17.54,17.36,17.43,1313327
2016-01-07 09:30:00,17.0,17.0,16.79,16.93,1100398
2016-01-08 09:30:00,16.95,17.08,16.92,16.97,634048
2016-01-11 09:30:00,16.52,16.52,15.87,15.92,1081801
2016-01-12 09:30:00,15.88,16.16,15.85,16.09,1080116
2016-01-13 09:30:00,16.18,16.48,16.16,16.36,699464
2016-01-14 09:30:00,15.61,15.72,14.95,14.97,865650
2016-01-15 09:30:00,15.55,15.89,15.53,15.74,1183978
2016-01-19 09:30:00,15.85,16.01,15.44,15.57,985338
2016-01-20 09:30:00,14.67,14.83,14.42,14.53,1322260
2016-01-21 09:30:00,15.26,15.58,15.24,15.49,854594
2016-01-22 09:30:00,15.97,16.5,15.93,16.49,1157445
2016-01-25 09:30:00,16.6,16.6,16.27,16.31,483223
2016-01-26 09:30:00,15.95,16.34,15.88,15.97,560348
2016-01-27 09:30:00,16.72,16.8,16.38,16.54,355963
2016-01-28 09:30:00,15.97,16.48,15.88,16.12,1386877
2016-01-29 09:30:00,16.1,16.36,16.09,16.32,951361
2016-02-01 09:30:00,16.69,16.69,16.48,16.6,877313
2016-02-02 09:30:00,17.13,17.24,16.85,16.87,1093899
2016-02-03 09:30:00,16.96,17.11,16.65,16.69,499806
2016-02-04 09:30:00,16.86,17.44,16.77,17.38,869706
2016-02-05 09:30:00,17.11,17.3,17.0,17.24,609684
2016-02-08 09:30:00,16.77,16.78,15.66,15.82,2645589
2016-02-09 09:30:00,15.46,16.05,15.38,15.98,790901
2016-02-10 09:30:00,16.25,16.53,16.15,16.37,1140898
2016-02-11 09:30:00,15.35,15.89,15.31,15.83,1252961
2016-02-12 09:30:00,15.36,15.5,14.88,14.92,1554897
2016-02-16 09:30:00,16.64,16.68,16.0,16.03,1290891
2016-02-17 09:30:00,17.13,17.26,16.93,17.01,796870
2016-02-18 09:30:00,17.53,17.53,17.09,17.09,378053
2016-02-19 09:30:00,17.0,17.15,16.75,16.79,607369
2016-02-22 09:30:00,17.18,17.45,17.12,17.44,450628
2016-02-23 09:30:00,17.27,17.41,17.14,17.31,520809
2016-02-24 09:30:00,16.47,16.47,16.23,16.28,674403
2016-02-25 09:30:00,16.8,16.9,16.54,16.62,374894
2016-02-26 09:30:00,16.79,17.14,16.68,16.86,745756
2016-02-29 09:30:00,16.69,16.69,16.45,16.52,572194
2016-03-01 09:30:00,17.24,17.5,17.21,17.35,893083
2016-03-02 09:30:00,17.74,17.8,17.39,17.52,529966
2016-03-03 09:30:00,18.26,18.26,17.94,18.12,598743
2016-03-04 09:30:00,18.71,18.84,18.51,18.55,597537
2016-03-07 09:30:00,18.71,18.77,18.53,18.58,556952
2016-03-08 09:30:00,18.77,18.9,18.6,18.6,624822
2016-03-09 09:30:00,18.55,18.71,18.22,18.38,412295
2016-03-10 09:30:00,18.16,18.21,17.86,18.12,412851
2016-03-11 09:30:00,18.16,18.18,17.87,17.87,566482
2016-03-14 09:30:00,18.01,18.04,17.74,17.79,330800
2016-03-15 09:30:00,17.67,17.71,17.31,17.38,510290
2016-03-16 09:30:00,17.61,17.87,17.56,17.79,262363
2016-03-17 09:30:00,18.1,18.33,17.96,18.26,612485
2016-03-18 09:30:00,18.53,18.69,18.42,18.53,378339
2016-03-21 09:30:00,18.14,18.37,18.12,18.27,470247
2016-03-22 09:30:00,18.07,18.1,17.97,18.09,288302
2016-03-23 09:30:00,18.06,18.17,18.04,18.12,178310
2016-03-24 09:30:00,17.34,17.35,16.9,17.11,897507
2016-03-28 09:30:00,17.31,17.33,17.06,17.2,313016
2016-03-29 09:30:00,17.08,17.17,16.94,17.17,451683
2016-03-30 09:30:00,18.22,18.38,18.07,18.17,605705
2016-03-31 09:30:00,18.13,18.26,18.12,18.18,212069
2016-04-01 09:30:00,18.12,18.15,17.88,18.01,696729
2016-04-04 09:30:00,18.32,18.36,18.15,18.25,630285
2016-04-05 09:30:00,17.65,17.77,17.46,17.59,378955
2016-04-06 09:30:00,17.86,17.99,17.64,17.68,295973
2016-04-07 09:30:00,17.86,18.08,17.76,18.06,217484
2016-04-08 09:30:00,17.74,17.82,17.59,17.64,286392
2016-04-11 09:30:00,17.45,17.58,17.33,17.5,384447
2016-04-12 09:30:00,17.39,17.46,17.33,17.33,236280
2016-04-13 09:30:00,17.89,18.08,17.87,18.01,463961
2016-04-14 09:30:00,18.62,18.63,18.4,18.46,363142
2016-04-15 09:30:00,18.85,19.14,18.85,18.93,517669
2016-04-18 09:30:00,18.72,19.07,18.67,18.97,329595
2016-04-19 09:30:00,19.04,19.24,19.03,19.17,583219
2016-04-20 09:30:00,19.19,19.26,19.12,19.23,195697
2016-04-21 09:30:00,19.13,19.2,18.43,18.62,1206106
2016-04-22 09:30:00,18.23,18.62,18.19,18.62,616139
2016-04-25 09:30:00,18.51,18.54,18.28,18.4,485650
2016-04-26 09:30:00,18.51,18.72,18.5,18.7,270427
2016-04-27 09:30:00,18.75,18.89,18.64,18.89,388542
2016-04-28 09:30:00,18.68,18.75,18.56,18.6,252197
2016-04-29 09:30:00,18.27,18.28,17.88,17.92,547956
2016-05-02 09:30:00,18.1,18.26,18.07,18.16,312611
2016-05-03 09:30:00,17.99,18.0,17.62,17.64,578403
2016-05-04 09:30:00,17.71,17.8,17.55,17.78,287816
2016-05-05 09:30:00,17.62,17.68,17.37,17.59,222525
2016-05-06 09:30:00,17.45,17.69,17.42,17.56,247107
2016-05-09 09:30:00,17.71,17.71,17.43,17.47,376909
2016-05-10 09:30:00,17.75,17.93,17.66,17.81,262952
2016-05-11 09:30:00,17.61,17.73,17.57,17.58,190889
2016-05-12 09:30:00,17.71,17.77,17.46,17.48,328520
2016-05-13 09:30:00,17.2,17.42,17.2,17.22,290619
2016-05-16 09:30:00,16.99,17.25,16.99,17.07,258265
2016-05-17 09:30:00,17.01,17.15,16.9,17.11,228046
2016-05-18 09:30:00,17.12,17.32,17.06,17.3,214189
2016-05-19 09:30:00,16.61,16.61,15.94,16.18,1532524
2016-05-20 09:30:00,16.39,16.65,16.3,16.64,414735
2016-05-23 09:30:00,16.76,16.82,16.67,16.7,186738
2016-05-24 09:30:00,16.76,16.79,16.68,16.7,266829
2016-05-25 09:30:00,17.36,17.75,17.31,17.69,688748
2016-05-26 09:30:00,17.51,17.68,17.42,17.47,190273
2016-05-27 09:30:00,17.47,17.64,17.44,17.62,164891
2016-05-31 09:30:00,17.61,17.78,17.52,17.53,298002
2016-06-01 09:30:00,17.1,17.12,16.94,17.11,331482
2016-06-02 09:30:00,17.19,17.26,17.1,17.22,152478
2016-06-03 09:30:00,17.14,17.15,16.9,16.96,406441
2016-06-06 09:30:00,17.21,17.36,17.17,17.31,394358
2016-06-07 09:30:00,17.59,17.78,17.56,17.57,368798
2016-06-08 09:30:00,17.61,17.86,17.58,17.83,489190
2016-06-09 09:30:00,17.68,17.71,17.49,17.62,240785
2016-06-10 09:30:00,17.21,17.25,17.02,17.16,472403
2016-06-13 09:30:00,17.0,17.14,16.98,17.13,237506
2016-06-14 09:30:00,16.92,16.98,16.74,16.77,330546
2016-06-15 09:30:00,16.61,16.72,16.51,16.56,502190
2016-06-16 09:30:00,16.45,16.45,16.14,16.15,383237
2016-06-17 09:30:00,16.44,16.59,16.38,16.51,245710
2016-06-20 09:30:00,16.71,16.96,16.69,16.94,616398
2016-06-21 09:30:00,16.91,16.96,16.76,16.93,347831
2016-06-22 09:30:00,16.68,16.86,16.68,16.77,167226
2016-06-23 09:30:00,16.72,16.87,16.68,16.86,400667
2016-06-24 09:30:00,16.09,16.61,16.03,16.57,1300727
2016-06-27 09:30:00,15.82,15.92,15.56,15.66,1070390
2016-06-28 09:30:00,15.79,15.95,15.68,15.92,814225
2016-06-29 09:30:00,15.81,16.02,15.7,15.84,392815
2016-06-30 09:30:00,16.4,16.44,16.21,16.27,236555
2016-07-01 09:30:00,16.1,16.35,16.07,16.13,419550
2016-07-05 09:30:00,15.99,15.99,15.55,15.7,1014409
2016-07-06 09:30:00,15.15,15.16,14.78,15.01,1937488
2016-07-07 09:30:00,15.28,15.47,15.18,15.43,695438
2016-07-08 09:30:00,15.55,15.66,15.53,15.61,627486
2016-07-11 09:30:00,15.88,16.14,15.84,16.08,755789
2016-07-12 09:30:00,16.05,16.12,15.93,15.98,1333921
2016-07-13 09:30:00,16.2,16.22,15.92,16.02,517225
2016-07-14 09:30:00,16.49,16.67,16.47,16.53,456281
2016-07-15 09:30:00,16.59,16.6,16.42,16.56,342097
2016-07-18 09:30:00,16.46,16.54,16.44,16.52,308858
2016-07-19 09:30:00,16.48,16.55,16.44,16.49,199408
2016-07-20 09:30:00,16.71,16.71,16.47,16.64,418247
2016-07-21 09:30:00,17.19,17.61,17.15,17.52,1334214
2016-07-22 09:30:00,17.68,18.07,17.66,17.9,1289043
2016-07-25 09:30:00,18.09,18.36,18.08,18.36,729348
2016-07-26 09:30:00,18.24,18.31,18.11,18.21,635640
