open_date,open,high,low,close,volume_base
2020-04-03 09:30:00,12.82,13.28,12.48,13.16,3139642
2020-04-06 09:30:00,15.91,15.99,15.3,15.78,2750159
2020-04-07 09:30:00,14.17,14.55,13.57,14.49,2115638
2020-04-08 09:30:00,13.52,14.22,13.42,13.48,3285503
2020-04-09 09:30:00,13.06,13.8,12.96,13.77,4465760
2020-04-13 09:30:00,13.52,13.52,13.2,13.35,2288816
2020-04-14 09:30:00,13.06,13.24,13.02,13.1,1953188
2020-04-15 09:30:00,12.64,12.73,12.42,12.65,2205836
2020-04-16 09:30:00,12.26,12.36,11.82,11.96,1867703
2020-04-17 09:30:00,12.4,12.5,12.06,12.1,2359340
2020-04-20 09:30:00,12.59,13.43,12.57,13.33,3332268
2020-04-21 09:30:00,13.26,13.93,13.22,13.93,2080616
2020-04-22 09:30:00,13.94,14.14,13.72,13.74,1691014
2020-04-23 09:30:00,13.75,14.37,13.62,14.24,1362186
2020-04-24 09:30:00,14.55,14.8,14.26,14.38,1099817
2020-04-27 09:30:00,15.08,15.39,15.06,15.08,1685754
2020-04-28 09:30:00,15.76,15.95,15.74,15.81,1362748
2020-04-29 09:30:00,16.27,16.69,16.17,16.22,1111789
2020-04-30 09:30:00,16.06,16.4,15.84,16.32,1117377
2020-05-01 09:30:00,16.16,16.18,15.55,15.73,1265062
2020-05-04 09:30:00,15.06,15.07,14.63,15.04,1030009
2020-05-05 09:30:00,15.55,15.63,15.06,15.18,3744661
2020-05-06 09:30:00,14.92,14.96,14.73,14.82,445875
2020-05-07 09:30:00,15.12,15.34,14.98,15.02,676734
2020-05-08 09:30:00,15.89,16.54,15.79,16.3,2905728
2020-05-11 09:30:00,16.97,17.35,16.97,17.3,964009
2020-05-12 09:30:00,17.15,17.16,16.86,17.01,541118
2020-05-13 09:30:00,16.05,16.26,15.87,16.0,1127261
2020-05-14 09:30:00,14.94,15.05,14.7,14.92,1003202
2020-05-15 09:30:00,15.2,15.74,14.92,15.49,962244
2020-05-18 09:30:00,16.13,16.48,16.12,16.25,509396
2020-05-19 09:30:00,16.26,16.34,16.0,16.12,401967
2020-05-20 09:30:00,16.93,17.34,16.82,17.24,1312230
2020-05-21 09:30:00,17.29,17.81,17.25,17.75,555925
2020-05-22 09:30:00,18.16,18.31,17.95,18.25,462400
2020-05-26 09:30:00,18.3,19.21,18.22,19.02,986834
2020-05-27 09:30:00,18.25,18.77,18.16,18.65,871748
2020-05-28 09:30:00,18.73,18.78,18.31,18.73,785651
2020-05-29 09:30:00,17.68,18.63,17.61,18.57,674659
2020-06-01 09:30:00,19.22,19.56,19.16,19.54,843659
2020-06-02 09:30:00,20.23,20.36,19.86,20.06,767630
2020-06-03 09:30:00,20.06,20.28,19.94,20.19,380216
2020-06-04 09:30:00,20.61,21.56,20.54,21.35,804341
2020-06-05 09:30:00,21.95,22.56,21.95,21.99,618109
2020-06-08 09:30:00,22.04,22.32,21.78,21.8,864981
2020-06-09 09:30:00,22.14,22.32,21.82,21.84,908023
2020-06-10 09:30:00,20.8,21.44,20.55,21.04,1688144
2020-06-11 09:30:00,18.85,20.18,18.65,20.08,914343
2020-06-12 09:30:00,20.52,20.8,20.25,20.29,424668
2020-06-15 09:30:00,19.36,19.74,19.24,19.61,478367
2020-06-16 09:30:00,21.45,21.45,20.71,21.07,793086
2020-06-17 09:30:00,20.67,20.83,20.35,20.44,953078
2020-06-18 09:30:00,19.58,20.13,19.58,19.97,307337
2020-06-19 09:30:00,20.29,20.38,19.79,20.0,781179
2020-06-22 09:30:00,20.07,20.52,19.87,20.41,548977
2020-06-23 09:30:00,21.56,21.67,20.81,21.05,941706
2020-06-24 09:30:00,20.66,20.96,20.54,20.77,466211
2020-06-25 09:30:00,20.24,20.47,20.09,20.36,479789
2020-06-26 09:30:00,20.14,20.35,20.0,20.23,618217
2020-06-29 09:30:00,19.73,20.16,19.66,20.14,328329
2020-06-30 09:30:00,20.42,20.54,20.04,20.33,401005
2020-07-01 09:30:00,20.89,20.89,20.61,20.64,694817
2020-07-02 09:30:00,21.52,21.73,21.26,21.41,574338
2020-07-06 09:30:00,21.65,22.17,21.65,22.13,1296943
2020-07-07 09:30:00,22.31,22.58,22.21,22.53,514561
2020-07-08 09:30:00,22.35,22.53,22.3,22.46,460578
2020-07-09 09:30:00,22.45,22.67,22.4,22.48,296263
2020-07-10 09:30:00,22.31,22.66,22.2,22.46,384076
2020-07-13 09:30:00,23.53,23.6,22.98,23.02,947947
2020-07-14 09:30:00,22.74,23.2,22.68,23.0,605394
2020-07-15 09:30:00,23.94,24.41,23.91,24.23,769246
2020-07-16 09:30:00,24.44,24.75,24.26,24.71,276739
2020-07-17 09:30:00,25.18,25.18,24.9,24.96,642855
2020-07-20 09:30:00,24.54,24.84,24.45,24.53,266851
2020-07-21 09:30:00,24.59,24.99,24.59,24.89,276423
2020-07-22 09:30:00,24.65,25.16,24.64,24.98,365138
2020-07-23 09:30:00,24.95,25.21,24.82,25.19,350198
2020-07-24 09:30:00,25.51,25.52,25.06,25.14,676895
2020-07-27 09:30:00,24.84,25.07,24.77,25.03,233914
2020-07-28 09:30:00,24.4,24.71,24.37,24.5,282663
2020-07-29 09:30:00,24.44,25.65,24.44,25.52,1110181
2020-07-30 09:30:00,24.2,25.74,23.96,24.85,1537558
2020-07-31 09:30:00,25.13,25.33,24.93,25.08,296355
2020-08-03 09:30:00,25.54,25.59,25.28,25.54,451144
2020-08-04 09:30:00,25.65,25.74,25.42,25.64,484110
2020-08-05 09:30:00,25.93,26.24,25.89,26.09,342122
2020-08-06 09:30:00,26.23,26.51,26.15,26.51,252038
2020-08-07 09:30:00,26.88,27.13,26.67,26.97,400464
2020-08-10 09:30:00,27.16,27.44,27.06,27.41,278103
2020-08-11 09:30:00,28.27,28.35,27.77,27.89,660994
2020-08-12 09:30:00,27.96,28.13,27.75,27.9,198906
2020-08-13 09:30:00,27.99,28.15,27.82,28.15,252534
2020-08-14 09:30:00,27.8,27.91,27.49,27.84,414499
2020-08-17 09:30:00,27.61,27.72,27.37,27.51,590419
2020-08-18 09:30:00,27.82,28.04,27.62,27.64,516129
2020-08-19 09:30:00,27.65,27.74,27.49,27.74,300909
2020-08-20 09:30:00,27.16,27.28,26.91,27.28,228996
2020-08-21 09:30:00,27.29,27.6,27.22,27.6,295988
2020-08-24 09:30:00,27.86,28.27,27.84,28.04,316036
2020-08-25 09:30:00,28.55,28.81,28.51,28.76,408578
2020-08-26 09:30:00,28.56,28.94,28.46,28.84,297247
2020-08-27 09:30:00,29.08,29.24,28.8,28.86,274393
2020-08-28 09:30:00,28.44,28.47,28.3,28.37,208695
2020-08-31 09:30:00,28.26,28.39,28.07,28.21,309553
2020-09-01 09:30:00,27.76,27.89,27.3,27.87,392907
2020-09-02 09:30:00,28.09,28.39,27.93,28.15,347530
2020-09-03 09:30:00,28.55,28.73,28.35,28.52,206202
2020-09-04 09:30:00,27.55,27.93,27.51,27.72,216912
2020-09-08 09:30:00,27.52,27.85,27.33,27.75,574695
2020-09-09 09:30:00,28.01,28.26,27.66,27.88,858741
2020-09-10 09:30:00,28.08,28.09,27.4,27.42,664515
2020-09-11 09:30:00,27.3,27.58,27.2,27.27,256103
2020-09-14 09:30:00,27.52,27.56,26.98,27.47,400713
2020-09-15 09:30:00,27.59,28.05,27.43,27.92,336686
2020-09-16 09:30:00,28.22,28.31,27.69,27.73,272133
2020-09-17 09:30:00,27.86,27.91,27.49,27.73,266165
2020-09-18 09:30:00,28.55,28.88,28.55,28.69,833474
2020-09-21 09:30:00,28.33,28.8,28.14,28.15,337402
2020-09-22 09:30:00,27.62,28.16,27.6,28.14,269771
2020-09-23 09:30:00,28.45,28.47,28.22,28.28,178272
2020-09-24 09:30:00,27.26,27.54,26.95,27.47,331635
2020-09-25 09:30:00,27.57,27.82,27.47,27.7,177395
2020-09-28 09:30:00,28.78,28.92,28.48,28.85,232383
2020-09-29 09:30:00,28.56,28.73,28.15,28.5,417550
2020-09-30 09:30:00,28.65,29.22,28.65,29.04,296702
2020-10-01 09:30:00,28.75,29.07,28.7,28.81,345404
2020-10-02 09:30:00,28.4,28.97,28.32,28.89,202647
2020-10-05 09:30:00,29.62,30.39,29.62,30.19,501274
2020-10-06 09:30:00,30.27,30.32,29.97,30.07,191521
2020-10-07 09:30:00,29.89,30.22,29.85,30.12,190658
2020-10-08 09:30:00,30.24,30.39,29.91,30.16,143760
2020-10-09 09:30:00,29.87,30.3,29.72,29.75,245846
2020-10-12 09:30:00,30.5,30.65,30.35,30.51,248917
2020-10-13 09:30:00,31.15,31.33,30.52,30.52,364817
2020-10-14 09:30:00,30.59,30.93,30.59,30.88,188169
2020-10-15 09:30:00,30.04,30.33,29.96,30.09,202536
2020-10-16 09:30:00,30.87,31.14,30.35,30.47,519766
2020-10-19 09:30:00,30.71,30.89,30.36,30.38,414844
2020-10-20 09:30:00,30.37,30.95,30.28,30.92,254789
2020-10-21 09:30:00,30.93,31.25,30.83,31.02,167550
2020-10-22 09:30:00,31.03,31.93,31.03,31.62,469148
2020-10-23 09:30:00,31.73,31.98,31.69,31.85,422649
2020-10-26 09:30:00,32.25,32.25,31.59,32.03,487932
2020-10-27 09:30:00,31.66,31.77,31.37,31.51,281005
2020-10-28 09:30:00,30.82,31.6,30.66,31.28,450022
2020-10-29 09:30:00,31.68,32.49,31.53,32.41,1121746
2020-10-30 09:30:00,31.82,32.69,31.58,32.56,427222
2020-11-02 09:30:00,31.9,32.15,31.78,32.06,618284
2020-11-03 09:30:00,33.26,33.95,33.24,33.93,892574
2020-11-04 09:30:00,33.43,34.49,33.31,34.49,1665767
2020-11-05 09:30:00,35.19,35.91,35.07,35.57,455293
2020-11-06 09:30:00,36.15,36.15,35.79,35.89,300887
2020-11-09 09:30:00,38.22,38.75,36.55,36.59,923672
2020-11-10 09:30:00,36.62,36.78,36.23,36.64,522027
2020-11-11 09:30:00,36.11,36.34,35.7,35.87,389072
2020-11-12 09:30:00,35.65,35.9,35.45,35.77,265981
2020-11-13 09:30:00,35.87,36.09,35.78,36.01,529799
2020-11-16 09:30:00,36.81,36.87,36.1,36.81,577202
2020-11-17 09:30:00,38.89,38.92,37.4,37.48,1005190
2020-11-18 09:30:00,37.79,38.08,37.49,37.69,495862
2020-11-19 09:30:00,36.48,36.85,36.14,36.24,921965
2020-11-20 09:30:00,36.52,36.68,36.19,36.29,424339
2020-11-23 09:30:00,36.59,36.7,36.03,36.27,440920
2020-11-24 09:30:00,36.53,36.68,36.06,36.44,629531
2020-11-25 09:30:00,36.64,36.81,36.23,36.51,322720
2020-11-27 09:30:00,36.3,36.44,35.79,35.88,520980
2020-11-30 09:30:00,35.42,35.81,35.1,35.72,547825
2020-12-01 09:30:00,36.53,36.53,35.9,36.2,512820
2020-12-02 09:30:00,34.88,34.98,34.3,34.84,670664
2020-12-03 09:30:00,34.89,35.29,34.71,35.29,752820
2020-12-04 09:30:00,34.97,35.45,34.81,34.92,394287
2020-12-07 09:30:00,35.23,35.37,34.44,34.82,366604
2020-12-08 09:30:00,34.35,34.86,34.35,34.86,371586
2020-12-09 09:30:00,35.1,35.54,35.1,35.35,360419
2020-12-10 09:30:00,35.34,36.09,34.96,35.98,459232
2020-12-11 09:30:00,34.86,35.01,34.66,34.88,312236
2020-12-14 09:30:00,35.18,35.23,34.76,34.84,193535
2020-12-15 09:30:00,34.81,34.98,34.28,34.28,245874
2020-12-16 09:30:00,35.4,35.45,35.03,35.29,236853
2020-12-17 09:30:00,36.04,36.4,35.89,35.98,306819
2020-12-18 09:30:00,36.08,36.46,35.91,36.07,771983
2020-12-21 09:30:00,35.65,36.14,35.64,35.95,222894
2020-12-22 09:30:00,36.04,36.25,35.85,35.87,359981
2020-12-23 09:30:00,35.88,36.03,35.72,35.85,133569
2020-12-24 09:30:00,35.68,35.99,35.62,35.78,542399
2020-12-28 09:30:00,35.87,37.11,35.77,36.66,1062387
2020-12-29 09:30:00,35.76,35.93,34.91,34.97,412480
2020-12-30 09:30:00,35.11,35.44,35.07,35.38,236498
2020-12-31 09:30:00,35.4,35.41,34.75,34.97,166285
2021-01-04 09:30:00,36.05,36.12,35.48,35.74,480590
2021-01-05 09:30:00,34.81,35.62,34.63,35.43,235404
2021-01-06 09:30:00,36.07,37.11,36.07,36.91,860907
2021-01-07 09:30:00,38.03,38.38,37.65,38.1,406375
2021-01-08 09:30:00,38.78,38.92,38.28,38.75,309578
2021-01-11 09:30:00,37.53,38.29,37.51,38.22,274970
2021-01-12 09:30:00,39.12,39.47,38.63,39.02,374122
2021-01-13 09:30:00,38.95,39.16,38.81,38.96,202483
2021-01-14 09:30:00,38.96,39.14,38.84,39.01,217060
2021-01-15 09:30:00,38.15,38.21,37.75,37.96,705022
2021-01-19 09:30:00,38.32,38.57,38.28,38.31,188091
2021-01-20 09:30:00,38.04,38.05,37.35,37.71,282917
2021-01-21 09:30:00,37.91,38.02,37.13,37.19,351602
2021-01-22 09:30:00,36.87,37.75,36.87,37.08,374025
2021-01-25 09:30:00,36.68,36.75,35.09,35.36,1281550
2021-01-26 09:30:00,36.6,36.75,35.87,36.06,455293
2021-01-27 09:30:00,34.45,34.47,32.2,33.54,1778184
2021-01-28 09:30:00,34.67,35.19,34.28,35.03,380206
2021-01-29 09:30:00,35.66,36.32,35.55,36.22,395792
2021-02-01 09:30:00,36.89,37.13,36.4,37.12,744876
2021-02-02 09:30:00,36.82,37.08,36.61,36.91,290872
2021-02-03 09:30:00,36.05,36.39,35.92,36.17,181960
2021-02-04 09:30:00,36.11,36.26,35.88,35.98,222074
2021-02-05 09:30:00,35.75,36.92,35.75,36.6,508930
2021-02-08 09:30:00,37.2,37.76,37.03,37.36,466965
2021-02-09 09:30:00,34.92,35.85,34.78,35.35,1707763
2021-02-10 09:30:00,35.43,35.72,34.85,34.9,1103771
2021-02-11 09:30:00,35.11,35.26,34.99,35.06,399801
2021-02-12 09:30:00,34.82,35.15,34.76,35.11,425268
2021-02-16 09:30:00,35.26,35.27,34.65,34.92,391811
2021-02-17 09:30:00,35.04,35.1,34.54,34.82,317911
2021-02-18 09:30:00,34.91,35.04,34.74,34.78,296441
2021-02-19 09:30:00,34.82,35.39,34.79,35.38,373025
2021-02-22 09:30:00,35.21,35.48,35.15,35.34,233378
2021-02-23 09:30:00,34.66,34.79,33.71,34.25,532601
2021-02-24 09:30:00,34.69,34.92,34.54,34.7,199777
2021-02-25 09:30:00,34.89,35.08,34.67,34.94,448500
2021-02-26 09:30:00,34.25,34.54,33.9,34.17,200515
2021-03-01 09:30:00,34.68,35.1,34.56,34.67,519313
2021-03-02 09:30:00,35.14,35.22,34.79,35.04,247867
2021-03-03 09:30:00,34.71,34.92,34.56,34.67,292922
2021-03-04 09:30:00,34.78,35.02,34.3,34.33,467777
2021-03-05 09:30:00,33.99,34.07,33.52,33.6,425885
2021-03-08 09:30:00,34.63,34.81,34.16,34.27,453555
2021-03-09 09:30:00,35.15,35.31,34.94,35.18,185387
2021-03-10 09:30:00,35.4,35.9,35.27,35.86,523281
2021-03-11 09:30:00,36.96,37.03,36.34,36.64,280813
2021-03-12 09:30:00,36.71,36.95,36.63,36.78,206707
2021-03-15 09:30:00,36.91,37.4,36.81,36.88,254251
