open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,52.5,52.57,51.84,51.97,1276137
2016-01-05 09:30:00,53.68,53.73,52.34,52.46,1199817
2016-01-06 09:30:00,51.77,52.29,51.51,52.18,860988
2016-01-07 09:30:00,51.09,51.16,50.2,50.79,1234134
2016-01-08 09:30:00,50.5,50.66,49.8,49.98,966220
2016-01-11 09:30:00,49.99,50.01,49.15,49.24,1115830
2016-01-12 09:30:00,49.02,49.07,48.26,48.56,920662
2016-01-13 09:30:00,48.72,49.27,48.67,48.85,842106
2016-01-14 09:30:00,48.08,48.31,47.4,47.48,835977
2016-01-15 09:30:00,47.33,47.61,46.79,47.41,2796956
2016-01-19 09:30:00,47.92,48.14,47.06,47.61,1084571
2016-01-20 09:30:00,46.16,46.33,45.42,45.44,1414789
2016-01-21 09:30:00,46.91,47.15,46.32,46.4,1114002
2016-01-22 09:30:00,48.63,49.24,48.47,49.21,1255980
2016-01-25 09:30:00,46.91,47.19,46.49,46.75,2353426
2016-01-26 09:30:00,46.44,46.69,46.19,46.38,936809
2016-01-27 09:30:00,46.46,46.65,45.69,46.4,1281596
2016-01-28 09:30:00,49.31,49.66,47.2,47.69,3113359
2016-01-29 09:30:00,49.05,49.19,48.5,48.82,1043720
2016-02-01 09:30:00,49.27,49.3,48.8,49.14,786354
2016-02-02 09:30:00,48.73,48.94,48.46,48.79,976642
2016-02-03 09:30:00,48.88,48.88,48.03,48.07,804259
2016-02-04 09:30:00,50.57,51.96,50.57,51.8,2196021
2016-02-05 09:30:00,52.22,53.08,51.83,52.67,1063021
2016-02-08 09:30:00,52.02,52.19,51.66,51.9,1045208
2016-02-09 09:30:00,50.77,51.0,50.54,50.75,913851
2016-02-10 09:30:00,51.1,51.1,49.99,50.52,669679
2016-02-11 09:30:00,48.43,49.32,48.33,49.16,943533
2016-02-12 09:30:00,49.29,49.89,49.16,49.61,641932
2016-02-16 09:30:00,51.02,51.08,50.5,50.75,622208
2016-02-17 09:30:00,52.46,53.23,52.26,52.83,1264157
2016-02-18 09:30:00,53.39,53.75,52.55,53.23,1053848
2016-02-19 09:30:00,51.62,51.81,50.95,51.54,1370392
2016-02-22 09:30:00,52.81,53.61,52.76,53.25,1011541
2016-02-23 09:30:00,53.36,53.47,52.72,53.08,762380
2016-02-24 09:30:00,51.43,51.5,50.26,50.47,1040896
2016-02-25 09:30:00,52.39,52.8,51.61,51.74,699120
