open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,95.76,96.1,94.58,95.2,243355
2016-01-05 09:30:00,95.11,95.95,94.73,95.5,396332
2016-01-06 09:30:00,94.71,94.79,93.9,94.43,200255
2016-01-07 09:30:00,92.14,93.44,91.93,93.31,150499
2016-01-08 09:30:00,93.42,93.57,92.87,93.55,178986
2016-01-11 09:30:00,91.83,92.23,91.45,91.57,123446
2016-01-12 09:30:00,92.55,92.79,91.82,92.12,231540
2016-01-13 09:30:00,94.31,94.7,93.63,93.86,434176
2016-01-14 09:30:00,91.96,92.87,91.69,91.9,525648
2016-01-15 09:30:00,92.27,92.42,91.43,91.87,754306
2016-01-19 09:30:00,92.42,92.97,90.8,91.78,503862
2016-01-20 09:30:00,91.59,92.03,91.58,91.8,635411
2016-01-21 09:30:00,91.55,92.51,90.78,91.52,423356
2016-01-22 09:30:00,91.37,92.27,91.16,91.87,251942
2016-01-25 09:30:00,91.51,91.58,90.21,90.28,171463
2016-01-26 09:30:00,89.93,90.7,89.93,90.7,173448
2016-01-27 09:30:00,89.95,91.52,89.15,90.6,348171
2016-01-28 09:30:00,90.38,91.17,90.28,90.76,203404
2016-01-29 09:30:00,91.74,92.41,91.59,92.38,216693
2016-02-01 09:30:00,93.09,93.71,93.09,93.36,323096
2016-02-02 09:30:00,93.3,93.9,93.17,93.45,125061
2016-02-03 09:30:00,94.24,94.26,93.27,93.54,232222
2016-02-04 09:30:00,93.47,94.09,93.25,93.42,270308
2016-02-05 09:30:00,94.08,94.37,93.74,93.93,118373
2016-02-08 09:30:00,92.95,92.95,91.86,92.01,217841
2016-02-09 09:30:00,88.94,91.2,88.94,91.12,252933
2016-02-10 09:30:00,92.72,93.16,92.11,92.26,167520
2016-02-11 09:30:00,91.62,92.09,91.06,91.87,118418
2016-02-12 09:30:00,93.26,94.1,93.01,94.1,136249
2016-02-16 09:30:00,95.76,96.47,95.16,95.18,252121
2016-02-17 09:30:00,96.79,97.39,96.35,97.06,223460
2016-02-18 09:30:00,97.34,97.81,96.84,97.02,264625
