open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,20.0,20.57,20.0,20.49,280408
2016-01-05 09:30:00,20.53,20.578,20.41,20.45,319242
2016-01-06 09:30:00,20.24,20.38,20.11,20.275,181445
2016-01-07 09:30:00,19.83,20.06,19.76,20.02,190866
2016-01-08 09:30:00,19.85,19.94,19.76,19.93,158753
2016-01-11 09:30:00,19.25,19.56,19.16,19.19,295378
2016-01-12 09:30:00,19.42,19.51,19.32,19.35,420941
2016-01-13 09:30:00,19.27,19.3001,19.06,19.14,309931
2016-01-14 09:30:00,18.69,18.805,18.58,18.63,394559
2016-01-15 09:30:00,18.82,19.15,18.586,19.025,389972
2016-01-19 09:30:00,19.2,19.27,19.05,19.18,268696
2016-01-20 09:30:00,18.54,18.76,18.54,18.59,164495
2016-01-21 09:30:00,19.12,19.12,18.84,18.92,89834
2016-01-22 09:30:00,19.2,19.36,19.13,19.34,178514
2016-01-25 09:30:00,19.46,19.56,19.35,19.37,120057
2016-01-26 09:30:00,18.92,19.05,18.85,18.96,138509
2016-01-27 09:30:00,19.52,19.52,19.16,19.16,169913
2016-01-28 09:30:00,19.0,19.13,18.87,19.0302,98719
2016-01-29 09:30:00,19.1,19.39,19.1,19.39,147063
2016-02-01 09:30:00,19.36,19.52,18.81,19.51,176701
2016-02-02 09:30:00,19.34,19.5,18.98,19.4,136477
2016-02-03 09:30:00,19.21,19.43,19.21,19.32,207069
2016-02-04 09:30:00,20.91,21.435,20.24,20.57,1156115
2016-02-05 09:30:00,20.31,20.4,19.9,19.96,302977
2016-02-08 09:30:00,19.75,19.99,19.4921,19.62,280472
2016-02-09 09:30:00,19.35,19.75,19.35,19.74,618216
2016-02-10 09:30:00,19.97,20.37,19.94,20.36,294810
2016-02-11 09:30:00,20.05,20.335,20.04,20.27,416314
2016-02-12 09:30:00,20.4,20.49,20.12,20.17,232112
2016-02-16 09:30:00,20.48,20.67,20.32,20.54,119263
2016-02-17 09:30:00,20.56,20.95,20.56,20.925,359879
2016-02-18 09:30:00,20.95,21.09,20.41,20.98,698944
2016-02-19 09:30:00,20.73,21.0,20.595,20.68,270893
2016-02-22 09:30:00,21.08,21.17,20.87,21.0,783172
2016-02-23 09:30:00,21.13,21.24,21.07,21.095,205938
2016-02-24 09:30:00,20.43,21.15,20.43,21.04,151978
2016-02-25 09:30:00,21.3,21.51,21.25,21.32,180878
2016-02-26 09:30:00,21.67,21.93,21.59,21.8,490641
2016-02-29 09:30:00,21.54,21.75,21.4001,21.595,415812
2016-03-01 09:30:00,21.65,21.76,21.59,21.71,248064
2016-03-02 09:30:00,21.95,22.18,21.92,22.02,249545
2016-03-03 09:30:00,22.1,22.185,22.005,22.05,163376
2016-03-04 09:30:00,22.16,22.32,22.13,22.26,222737
2016-03-07 09:30:00,22.17,22.36,22.17,22.26,97496
2016-03-08 09:30:00,22.18,22.18,22.02,22.155,151293
2016-03-09 09:30:00,22.02,22.16,21.91,22.1,172264
2016-03-10 09:30:00,22.16,22.3,21.9,22.2635,142458
2016-03-11 09:30:00,21.94,22.41,21.94,22.39,115958
2016-03-14 09:30:00,22.43,22.69,22.43,22.53,353559
2016-03-15 09:30:00,22.56,22.67,22.52,22.62,498618
2016-03-16 09:30:00,22.44,22.835,22.44,22.82,146372
2016-03-17 09:30:00,22.94,23.16,22.94,23.1,146439
2016-03-18 09:30:00,23.15,23.3,23.11,23.17,1066809
2016-03-21 09:30:00,23.17,23.17,22.63,23.03,201333
2016-03-22 09:30:00,23.05,23.05,22.79,23.02,149000
2016-03-23 09:30:00,22.92,23.0,22.77,22.96,118239
2016-03-24 09:30:00,22.72,22.905,22.72,22.9,87462
2016-03-28 09:30:00,23.0,23.07,22.96,23.02,260497
2016-03-29 09:30:00,22.96,23.09,22.82,23.08,159732
2016-03-30 09:30:00,23.67,23.75,23.5,23.7,96765
2016-03-31 09:30:00,23.38,23.44,23.36,23.405,118126
2016-04-01 09:30:00,23.49,23.58,23.4,23.54,112589
2016-04-04 09:30:00,23.6,23.65,23.51,23.58,197375
2016-04-05 09:30:00,23.37,23.5,23.31,23.48,134613
2016-04-06 09:30:00,23.24,23.375,23.1,23.22,216273
2016-04-07 09:30:00,23.33,23.355,23.215,23.34,106356
2016-04-08 09:30:00,23.3,23.495,23.209,23.495,99204
2016-04-11 09:30:00,23.44,23.67,23.41,23.545,289199
2016-04-12 09:30:00,23.27,23.37,22.95,23.02,227148
2016-04-13 09:30:00,23.11,23.14,23.03,23.04,127731
2016-04-14 09:30:00,23.36,23.39,23.3,23.33,73159
2016-04-15 09:30:00,23.33,23.39,23.26,23.38,77898
2016-04-18 09:30:00,23.39,23.59,23.27,23.53,172261
2016-04-19 09:30:00,23.63,23.68,23.54,23.65,119603
2016-04-20 09:30:00,23.5,23.61,23.415,23.5,183114
2016-04-21 09:30:00,23.56,23.67,23.42,23.47,128298
2016-04-22 09:30:00,23.49,23.68,23.43,23.67,273476
2016-04-25 09:30:00,23.76,23.85,23.66,23.76,215014
2016-04-26 09:30:00,23.5,23.5,23.0,23.38,749902
2016-04-27 09:30:00,23.53,23.6801,23.3001,23.59,307451
2016-04-28 09:30:00,23.68,23.765,23.49,23.7,146551
2016-04-29 09:30:00,23.28,23.38,23.19,23.2,129547
2016-05-02 09:30:00,23.21,23.39,23.12,23.2501,208341
2016-05-03 09:30:00,23.33,23.47,23.2201,23.4,149934
2016-05-04 09:30:00,23.31,23.415,23.245,23.38,148435
2016-05-05 09:30:00,23.22,23.37,23.12,23.135,199825
2016-05-06 09:30:00,23.02,23.18,22.945,23.08,146940
2016-05-09 09:30:00,23.25,23.65,23.1911,23.61,181010
2016-05-10 09:30:00,23.66,23.68,23.39,23.52,166122
2016-05-11 09:30:00,23.63,23.7,23.58,23.66,93983
2016-05-12 09:30:00,23.63,23.72,23.6,23.65,117179
2016-05-13 09:30:00,23.49,23.815,23.45,23.76,256975
2016-05-16 09:30:00,23.8,23.98,23.76,23.95,309009
2016-05-17 09:30:00,23.92,23.97,23.72,23.84,169515
2016-05-18 09:30:00,23.52,23.73,23.51,23.73,111911
2016-05-19 09:30:00,23.76,24.03,23.75,23.85,197008
2016-05-20 09:30:00,23.95,24.25,23.68,24.25,330463
2016-05-23 09:30:00,24.62,24.64,24.29,24.3,462722
2016-05-24 09:30:00,24.54,25.07,24.49,25.03,481513
2016-05-25 09:30:00,25.27,25.49,25.07,25.075,368588
2016-05-26 09:30:00,24.93,25.04,24.85,24.98,261365
2016-05-27 09:30:00,24.86,25.04,24.451,24.9898,260675
2016-05-31 09:30:00,25.08,25.25,24.91,24.94,362639
2016-06-01 09:30:00,24.62,24.8,24.4311,24.635,381683
2016-06-02 09:30:00,24.72,24.72,24.56,24.59,234141
2016-06-03 09:30:00,24.77,24.77,24.55,24.605,199552
2016-06-06 09:30:00,24.87,25.145,24.79,25.055,404743
2016-06-07 09:30:00,25.07,25.18,24.96,24.96,352227
2016-06-08 09:30:00,24.93,24.94,24.7901,24.84,150084
2016-06-09 09:30:00,24.86,24.89,24.72,24.78,195576
2016-06-10 09:30:00,24.64,24.79,24.55,24.645,146186
2016-06-13 09:30:00,24.59,24.835,24.41,24.725,239589
2016-06-14 09:30:00,24.29,24.37,24.21,24.305,397226
2016-06-15 09:30:00,24.49,24.5,24.385,24.41,139129
2016-06-16 09:30:00,24.33,24.355,24.2,24.245,138668
2016-06-17 09:30:00,24.37,24.37,24.11,24.25,867006
2016-06-20 09:30:00,24.47,24.7,24.42,24.7,207162
2016-06-21 09:30:00,24.49,24.67,24.44,24.555,281688
2016-06-22 09:30:00,24.44,24.5,24.39,24.435,181332
2016-06-23 09:30:00,24.41,24.55,24.25,24.43,257046
2016-06-24 09:30:00,23.76,24.08,23.74,24.02,213354
2016-06-27 09:30:00,23.52,23.58,23.32,23.38,203615
2016-06-28 09:30:00,23.23,23.44,23.15,23.4197,197559
2016-06-29 09:30:00,23.83,23.94,23.6629,23.91,144908
2016-06-30 09:30:00,24.06,24.19,24.01,24.17,132758
2016-07-01 09:30:00,24.3,24.47,24.26,24.42,188236
2016-07-05 09:30:00,24.23,24.39,24.22,24.29,138114
2016-07-06 09:30:00,24.34,24.34,24.2,24.32,212011
2016-07-07 09:30:00,24.47,24.585,24.42,24.585,180667
2016-07-08 09:30:00,24.7,24.9,24.58,24.89,341134
2016-07-11 09:30:00,25.12,25.32,25.0,25.28,228036
2016-07-12 09:30:00,25.46,25.57,25.4,25.56,201303
2016-07-13 09:30:00,25.6,25.71,25.59,25.65,178341
2016-07-14 09:30:00,25.66,25.71,25.62,25.685,96558
2016-07-15 09:30:00,25.72,25.8,25.53,25.6,235994
2016-07-18 09:30:00,25.63,25.73,25.58,25.65,132823
2016-07-19 09:30:00,25.66,25.86,25.54,25.835,230930
2016-07-20 09:30:00,26.0,26.035,25.9,25.95,460661
2016-07-21 09:30:00,26.03,26.109,25.89,25.91,113576
2016-07-22 09:30:00,25.81,25.93,25.68,25.885,194729
2016-07-25 09:30:00,26.07,26.1,25.9194,26.075,126008
2016-07-26 09:30:00,25.51,25.76,25.065,25.085,696487
2016-07-27 09:30:00,24.4,24.48,24.335,24.46,458302
2016-07-28 09:30:00,24.23,24.42,24.23,24.31,137219
2016-07-29 09:30:00,24.05,24.16,23.97,23.99,174457
2016-08-01 09:30:00,24.0,24.15,24.0,24.15,163240
2016-08-02 09:30:00,24.09,24.21,24.02,24.11,197075
2016-08-03 09:30:00,23.98,24.1,23.88,24.05,113498
2016-08-04 09:30:00,24.19,24.29,24.16,24.16,138263
2016-08-05 09:30:00,24.37,24.63,24.36,24.63,126983
2016-08-08 09:30:00,24.7,24.8,24.64,24.73,127797
2016-08-09 09:30:00,24.75,24.79,24.575,24.68,70624
2016-08-10 09:30:00,24.62,24.73,24.61,24.705,100814
2016-08-11 09:30:00,24.81,24.97,24.67,24.83,164345
2016-08-12 09:30:00,24.72,24.8,24.683,24.76,79729
2016-08-15 09:30:00,24.71,24.83,24.03,24.81,298362
2016-08-16 09:30:00,24.65,24.69,24.44,24.685,160251
2016-08-17 09:30:00,24.41,24.44,24.18,24.4,167011
2016-08-18 09:30:00,24.39,24.68,24.39,24.645,103355
2016-08-19 09:30:00,24.75,24.76,24.18,24.76,259788
2016-08-22 09:30:00,24.9,25.04,24.86,24.9,186580
2016-08-23 09:30:00,25.08,25.2,24.97,25.135,125598
2016-08-24 09:30:00,25.17,25.28,25.17,25.19,119923
2016-08-25 09:30:00,25.1,25.265,25.09,25.23,150600
2016-08-26 09:30:00,25.48,25.53,25.44,25.53,129412
2016-08-29 09:30:00,25.58,25.71,25.37,25.65,306512
2016-08-30 09:30:00,25.53,25.64,25.5,25.54,100817
2016-08-31 09:30:00,25.49,25.54,25.3101,25.46,280857
2016-09-01 09:30:00,25.41,25.62,25.41,25.58,109744
2016-09-02 09:30:00,25.65,25.84,25.65,25.82,149684
2016-09-06 09:30:00,25.9,25.97,25.82,25.95,113935
2016-09-07 09:30:00,25.9,25.945,25.58,25.915,144448
2016-09-08 09:30:00,25.88,25.96,25.82,25.84,84753
2016-09-09 09:30:00,25.55,25.75,25.412,25.46,140243
2016-09-12 09:30:00,24.94,24.99,24.84,24.92,163585
2016-09-13 09:30:00,25.09,25.18,24.895,24.9,200313
2016-09-14 09:30:00,24.66,24.66,24.44,24.47,215121
2016-09-15 09:30:00,24.39,24.49,24.33,24.47,192425
2016-09-16 09:30:00,24.81,24.9,24.68,24.72,854718
2016-09-19 09:30:00,24.35,24.54,24.26,24.48,232153
2016-09-20 09:30:00,24.54,24.74,24.49,24.7301,196100
2016-09-21 09:30:00,24.64,24.72,24.42,24.72,146720
2016-09-22 09:30:00,24.86,25.28,24.76,24.87,128743
2016-09-23 09:30:00,24.97,25.12,24.95,24.99,147581
2016-09-26 09:30:00,24.72,24.76,24.61,24.76,103207
2016-09-27 09:30:00,24.78,24.87,24.61,24.87,91919
2016-09-28 09:30:00,25.16,25.26,25.08,25.25,83885
2016-09-29 09:30:00,25.29,25.39,25.29,25.37,78239
2016-09-30 09:30:00,25.37,25.48,25.2215,25.33,127021
2016-10-03 09:30:00,25.5,25.59,25.365,25.41,155949
2016-10-04 09:30:00,25.51,25.55,25.43,25.45,130751
2016-10-05 09:30:00,25.42,25.475,25.39,25.43,172515
2016-10-06 09:30:00,25.48,25.57,25.321,25.325,113147
2016-10-07 09:30:00,25.5,25.59,25.33,25.39,121883
2016-10-10 09:30:00,25.94,26.45,25.81,26.42,483524
2016-10-11 09:30:00,26.15,26.15,26.0,26.03,175235
2016-10-12 09:30:00,25.6,25.84,25.6,25.72,113079
2016-10-13 09:30:00,25.67,25.69,25.22,25.241,194285
2016-10-14 09:30:00,26.09,26.22,26.06,26.15,172940
2016-10-17 09:30:00,26.0,26.185,26.0,26.1,151158
2016-10-18 09:30:00,26.26,26.27,26.1,26.13,128409
2016-10-19 09:30:00,26.96,28.0,26.17,26.19,276683
2016-10-20 09:30:00,26.02,26.09,25.9,25.965,237287
2016-10-21 09:30:00,25.82,25.905,25.75,25.895,194846
2016-10-24 09:30:00,25.92,26.01,25.85,25.99,301395
2016-10-25 09:30:00,26.17,26.24,24.99,25.19,804318
2016-10-26 09:30:00,25.41,25.68,25.29,25.6,300193
2016-10-27 09:30:00,25.69,25.95,25.69,25.95,199954
2016-10-28 09:30:00,25.44,25.6,25.32,25.47,152281
2016-10-31 09:30:00,25.38,25.59,25.38,25.49,217578
2016-11-01 09:30:00,25.55,25.65,25.45,25.48,188452
2016-11-02 09:30:00,25.06,25.33,25.03,25.27,129429
2016-11-03 09:30:00,24.8,24.88,24.72,24.82,127777
2016-11-04 09:30:00,24.78,24.87,24.63,24.791,113443
2016-11-07 09:30:00,25.3,25.365,25.21,25.29,105702
2016-11-08 09:30:00,25.33,25.49,25.32,25.465,82482
2016-11-09 09:30:00,25.07,25.29,24.59,25.2,164268
2016-11-10 09:30:00,25.16,25.39,24.9,25.2,136824
2016-11-11 09:30:00,24.84,25.27,24.74,25.26,257271
2016-11-14 09:30:00,26.95,26.95,25.825,25.845,878812
2016-11-15 09:30:00,25.48,25.68,25.3,25.33,412175
2016-11-16 09:30:00,25.4,25.92,25.18,25.69,201722
2016-11-17 09:30:00,25.81,26.1,25.81,26.06,117077
2016-11-18 09:30:00,26.6,26.97,26.54,26.58,137961
2016-11-21 09:30:00,26.45,26.77,26.45,26.68,281729
2016-11-22 09:30:00,26.86,26.98,26.75,26.93,216281
2016-11-23 09:30:00,26.65,26.77,26.6,26.63,167520
2016-11-25 09:30:00,26.5,26.76,26.5,26.71,145442
2016-11-28 09:30:00,26.63,26.7366,26.58,26.67,150907
2016-11-29 09:30:00,26.45,26.62,26.35,26.39,183223
2016-11-30 09:30:00,26.45,26.74,26.36,26.44,107043
2016-12-01 09:30:00,26.18,26.19,25.83,25.99,266254
2016-12-02 09:30:00,25.14,25.28,24.95,25.26,165457
2016-12-05 09:30:00,25.42,25.65,25.35,25.56,134097
2016-12-06 09:30:00,25.53,25.75,25.53,25.67,88860
2016-12-07 09:30:00,25.53,25.77,25.5,25.56,100679
2016-12-08 09:30:00,25.95,26.11,25.93,26.0,122843
2016-12-09 09:30:00,26.28,26.35,26.16,26.16,121193
2016-12-12 09:30:00,25.66,25.75,25.4,25.64,260363
2016-12-13 09:30:00,25.88,26.11,25.79,25.91,178184
2016-12-14 09:30:00,24.15,25.96,24.15,25.86,109889
2016-12-15 09:30:00,25.63,25.9,25.54,25.77,263749
2016-12-16 09:30:00,25.49,25.61,25.49,25.565,880060
2016-12-19 09:30:00,25.51,25.75,25.49,25.74,84592
2016-12-20 09:30:00,25.72,25.905,25.68,25.85,118411
2016-12-21 09:30:00,25.86,25.9185,25.79,25.86,107182
2016-12-22 09:30:00,25.76,25.83,25.48,25.53,136093
2016-12-23 09:30:00,25.53,25.69,25.53,25.67,63841
2016-12-27 09:30:00,25.82,26.065,25.76,26.02,121946
2016-12-28 09:30:00,25.88,25.92,25.68,25.685,88187
2016-12-29 09:30:00,25.36,25.46,25.24,25.37,59014
2016-12-30 09:30:00,25.53,25.64,25.255,25.3,31898
2017-01-03 09:30:00,25.43,25.505,25.24,25.45,67027
2017-01-04 09:30:00,25.34,25.62,25.33,25.58,116850
2017-01-05 09:30:00,25.61,25.82,25.57,25.79,75533
2017-01-06 09:30:00,25.63,25.69,25.54,25.615,111420
2017-01-09 09:30:00,25.57,25.7,25.55,25.68,95026
2017-01-10 09:30:00,25.75,25.84,25.71,25.8,68369
2017-01-11 09:30:00,25.81,25.9,25.78,25.88,65863
2017-01-12 09:30:00,26.0,26.0,25.81,25.84,45314
2017-01-13 09:30:00,25.42,26.2,25.42,26.08,83507
2017-01-17 09:30:00,25.96,25.96,25.75,25.78,74236
2017-01-18 09:30:00,25.85,25.95,25.69,25.95,72306
2017-01-19 09:30:00,26.0,26.22,26.0,26.14,77722
2017-01-20 09:30:00,25.99,26.25,25.99,26.2,113485
2017-01-23 09:30:00,25.83,26.065,25.8,26.005,68775
2017-01-24 09:30:00,25.74,25.85,25.67,25.78,225056
2017-01-25 09:30:00,26.45,26.47,26.195,26.22,190316
2017-01-26 09:30:00,26.31,26.37,26.24,26.29,108565
2017-01-27 09:30:00,26.01,26.19,25.97,26.03,152755
2017-01-30 09:30:00,26.18,26.18,25.88,25.92,107237
2017-01-31 09:30:00,25.98,26.11,25.9,25.93,158304
2017-02-01 09:30:00,26.03,26.13,25.82,25.98,218765
2017-02-02 09:30:00,26.49,29.19,26.14,29.15,1904937
2017-02-03 09:30:00,29.05,29.56,28.87,29.56,475936
2017-02-06 09:30:00,28.98,29.16,28.92,29.1,259777
2017-02-07 09:30:00,29.35,29.67,29.32,29.645,297899
2017-02-08 09:30:00,29.29,29.31,29.01,29.22,127460
2017-02-09 09:30:00,29.31,29.59,29.29,29.54,164091
2017-02-10 09:30:00,29.7,29.75,29.49,29.5,147177
