open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.99,37.0,36.23,36.46,109032
2016-01-05 09:30:00,36.7,36.89,36.57,36.61,42992
2016-01-06 09:30:00,36.04,36.54,35.91,36.31,136857
2016-01-07 09:30:00,36.14,36.26,35.77,35.88,65471
2016-01-08 09:30:00,35.81,35.85,35.55,35.77,62641
2016-01-11 09:30:00,35.51,35.89,35.5,35.86,64182
2016-01-12 09:30:00,36.02,36.04,35.6,35.81,50568
2016-01-13 09:30:00,35.93,35.93,35.47,35.59,38887
2016-01-14 09:30:00,33.8,33.89,33.05,33.26,150903
2016-01-15 09:30:00,32.88,33.44,32.48,33.1,167587
2016-01-19 09:30:00,33.47,34.27,33.47,34.11,127653
2016-01-20 09:30:00,32.73,32.92,32.43,32.43,75113
2016-01-21 09:30:00,33.34,34.2,33.21,33.56,165067
2016-01-22 09:30:00,34.09,34.5,33.97,34.33,60490
2016-01-25 09:30:00,34.27,34.53,33.94,34.33,87860
2016-01-26 09:30:00,34.14,34.27,33.84,34.26,73901
2016-01-27 09:30:00,34.2,34.32,33.86,34.04,36794
2016-01-28 09:30:00,33.78,34.1,33.28,33.37,92255
2016-01-29 09:30:00,33.52,33.99,33.52,33.69,53909
2016-02-01 09:30:00,34.09,34.25,34.02,34.18,58447
2016-02-02 09:30:00,33.98,34.2,33.7,34.17,57213
2016-02-03 09:30:00,33.52,34.0,33.37,33.54,30985
2016-02-04 09:30:00,33.52,34.03,33.31,33.57,34652
2016-02-05 09:30:00,33.48,33.88,33.33,33.43,116136
2016-02-08 09:30:00,32.0,32.16,31.6,31.76,132661
2016-02-09 09:30:00,28.12,32.14,27.16,31.52,522589
2016-02-10 09:30:00,31.59,31.65,30.51,30.89,175305
2016-02-11 09:30:00,30.43,31.0,29.91,30.12,179463
2016-02-12 09:30:00,30.59,31.02,30.37,30.79,88174
2016-02-16 09:30:00,31.09,31.46,30.95,31.2,142084
2016-02-17 09:30:00,32.59,32.72,32.18,32.6,67491
2016-02-18 09:30:00,33.36,34.37,33.36,33.6,145864
2016-02-19 09:30:00,33.56,33.8,33.23,33.6,83146
2016-02-22 09:30:00,34.41,34.91,34.41,34.78,97086
2016-02-23 09:30:00,34.78,35.51,34.78,34.99,106342
2016-02-24 09:30:00,34.42,35.33,34.13,34.62,104573
2016-02-25 09:30:00,34.83,35.83,34.83,35.04,82777
2016-02-26 09:30:00,35.27,35.43,34.47,35.36,94326
2016-02-29 09:30:00,34.82,35.32,34.62,35.21,63663
2016-03-01 09:30:00,35.63,35.78,35.53,35.66,45444
2016-03-02 09:30:00,35.97,36.13,35.43,35.97,26606
2016-03-03 09:30:00,35.79,36.32,35.7,36.17,102632
2016-03-04 09:30:00,36.54,36.71,35.62,36.47,76298
2016-03-07 09:30:00,36.3,36.52,35.62,36.26,34819
2016-03-08 09:30:00,36.19,36.34,35.91,36.12,57797
2016-03-09 09:30:00,36.33,36.52,36.22,36.33,58977
2016-03-10 09:30:00,36.31,36.71,36.31,36.4,68193
2016-03-11 09:30:00,36.39,36.47,36.22,36.36,86416
2016-03-14 09:30:00,36.37,36.76,36.35,36.63,77397
2016-03-15 09:30:00,36.53,36.8,36.29,36.36,63949
2016-03-16 09:30:00,36.73,36.96,36.45,36.9,56308
2016-03-17 09:30:00,36.76,36.92,36.44,36.72,22673
2016-03-18 09:30:00,36.57,36.77,36.3,36.69,57698
2016-03-21 09:30:00,36.94,37.04,36.5,36.96,52404
2016-03-22 09:30:00,36.8,36.98,35.72,36.78,85940
2016-03-23 09:30:00,37.0,37.14,36.34,36.59,38092
2016-03-24 09:30:00,36.18,36.61,35.65,36.01,93646
2016-03-28 09:30:00,36.48,36.62,36.3,36.34,17394
2016-03-29 09:30:00,36.5,36.73,36.29,36.73,53050
2016-03-30 09:30:00,37.52,37.52,37.11,37.17,44392
2016-03-31 09:30:00,37.2,37.5,36.79,37.28,25705
2016-04-01 09:30:00,36.81,37.23,36.74,36.84,30738
2016-04-04 09:30:00,37.33,37.35,36.94,37.13,18273
2016-04-05 09:30:00,36.62,36.96,36.12,36.84,37123
2016-04-06 09:30:00,37.1,37.37,36.73,37.25,72596
2016-04-07 09:30:00,37.62,37.74,37.11,37.59,37729
2016-04-08 09:30:00,37.5,37.5,37.21,37.4,19476
2016-04-11 09:30:00,37.28,37.69,37.28,37.45,26124
2016-04-12 09:30:00,37.2,37.3,37.11,37.17,20266
2016-04-13 09:30:00,37.49,37.85,37.47,37.78,26924
2016-04-14 09:30:00,37.68,37.85,37.54,37.75,42102
2016-04-15 09:30:00,37.6,37.77,37.44,37.75,31210
2016-04-18 09:30:00,37.61,37.82,37.5,37.68,33369
2016-04-19 09:30:00,38.09,38.38,37.85,38.38,48688
2016-04-20 09:30:00,38.27,38.62,37.95,38.36,54370
2016-04-21 09:30:00,38.0,38.18,37.73,37.93,17498
2016-04-22 09:30:00,37.71,37.85,37.45,37.83,26064
2016-04-25 09:30:00,36.54,37.25,36.46,36.81,198851
2016-04-26 09:30:00,35.93,36.49,35.87,36.4,81130
2016-04-27 09:30:00,36.45,36.71,36.36,36.49,33945
2016-04-28 09:30:00,36.37,36.62,36.06,36.53,35072
