open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,54.64,55.34,54.3,54.58,115422
2016-01-05 09:30:00,55.16,56.08,54.72,54.72,93970
2016-01-06 09:30:00,54.23,54.55,53.63,54.44,82600
2016-01-07 09:30:00,52.66,52.66,51.3,52.41,171426
2016-01-08 09:30:00,51.72,52.27,51.58,52.14,47092
2016-01-11 09:30:00,52.05,52.14,51.19,51.4,70591
2016-01-12 09:30:00,51.97,52.71,51.77,52.54,88521
2016-01-13 09:30:00,52.38,52.95,52.17,52.66,118493
2016-01-14 09:30:00,51.98,51.98,50.57,51.01,186437
2016-01-15 09:30:00,50.31,51.27,50.31,50.79,60993
2016-01-19 09:30:00,51.58,51.8,50.56,51.24,122400
2016-01-20 09:30:00,49.18,49.53,48.78,48.99,59666
2016-01-21 09:30:00,48.85,49.59,48.81,49.31,217891
2016-01-22 09:30:00,49.7,51.34,48.3,51.27,415014
2016-01-25 09:30:00,50.16,50.23,49.53,49.87,86072
2016-01-26 09:30:00,49.47,49.7,49.1,49.37,77023
2016-01-27 09:30:00,50.64,51.17,50.26,50.94,184288
2016-01-28 09:30:00,51.52,52.01,51.37,51.86,65494
2016-01-29 09:30:00,51.2,51.52,50.54,51.02,77204
2016-02-01 09:30:00,51.43,51.5,50.69,51.14,140339
2016-02-02 09:30:00,50.29,50.62,49.93,50.08,53273
2016-02-03 09:30:00,49.93,50.2,49.1,49.19,51820
2016-02-04 09:30:00,49.86,51.15,49.86,51.14,49774
2016-02-05 09:30:00,49.94,50.44,49.92,50.31,39922
2016-02-08 09:30:00,47.86,48.24,46.66,47.01,135808
2016-02-09 09:30:00,45.99,48.11,45.83,47.86,154395
2016-02-10 09:30:00,47.72,48.66,47.39,47.9,37239
2016-02-11 09:30:00,46.55,47.95,46.48,47.21,155644
2016-02-12 09:30:00,46.72,46.97,46.28,46.45,72758
2016-02-16 09:30:00,47.61,48.93,47.61,48.18,182901
2016-02-17 09:30:00,49.16,49.71,49.06,49.09,129089
2016-02-18 09:30:00,49.47,49.72,48.79,49.09,78192
2016-02-19 09:30:00,48.89,48.89,48.14,48.34,59282
2016-02-22 09:30:00,49.52,50.21,49.21,49.73,117246
2016-02-23 09:30:00,50.39,50.67,49.81,50.01,52368
2016-02-24 09:30:00,48.2,48.28,47.7,47.74,96232
2016-02-25 09:30:00,49.41,49.42,48.78,48.87,36569
2016-02-26 09:30:00,49.94,50.53,49.92,50.38,50261
2016-02-29 09:30:00,50.74,50.95,50.34,50.58,29390
2016-03-01 09:30:00,50.58,50.63,49.82,49.91,45571
2016-03-02 09:30:00,50.61,51.33,50.48,51.26,97137
2016-03-03 09:30:00,51.19,51.6,51.12,51.6,58907
2016-03-04 09:30:00,52.36,52.78,52.01,52.09,94349
2016-03-07 09:30:00,52.58,53.17,52.3,52.57,53141
2016-03-08 09:30:00,52.6,52.65,51.84,51.87,131655
2016-03-09 09:30:00,51.94,52.28,51.32,52.28,55409
2016-03-10 09:30:00,51.93,51.98,51.38,51.97,44616
2016-03-11 09:30:00,52.23,52.77,52.18,52.77,42058
2016-03-14 09:30:00,53.4,53.67,53.09,53.28,39105
2016-03-15 09:30:00,52.66,52.91,52.38,52.43,22948
2016-03-16 09:30:00,52.48,53.31,52.37,52.96,29252
2016-03-17 09:30:00,53.83,54.25,53.67,54.1,68847
2016-03-18 09:30:00,55.3,55.58,55.05,55.58,108554
2016-03-21 09:30:00,55.58,55.83,55.35,55.44,41216
2016-03-22 09:30:00,54.98,55.42,54.63,55.04,47200
2016-03-23 09:30:00,55.05,55.33,54.76,55.33,31086
2016-03-24 09:30:00,53.57,53.57,52.87,53.0,91402
2016-03-28 09:30:00,53.92,54.33,53.81,53.89,47416
2016-03-29 09:30:00,53.48,53.69,53.17,53.56,36603
2016-03-30 09:30:00,55.07,55.51,55.07,55.39,38479
2016-03-31 09:30:00,54.67,54.76,54.33,54.38,24586
2016-04-01 09:30:00,53.9,54.46,53.58,54.35,118329
2016-04-04 09:30:00,55.11,55.11,54.56,54.95,14139
2016-04-05 09:30:00,54.78,54.85,54.2,54.85,44996
2016-04-06 09:30:00,54.56,54.9,54.42,54.55,21898
2016-04-07 09:30:00,55.21,55.7,54.95,55.17,34495
2016-04-08 09:30:00,55.33,55.66,55.13,55.39,91095
2016-04-11 09:30:00,55.9,56.46,55.7,56.26,48616
2016-04-12 09:30:00,55.84,56.12,55.51,55.67,51423
2016-04-13 09:30:00,57.16,57.18,56.66,56.92,60359
2016-04-14 09:30:00,57.39,57.53,57.26,57.37,27854
2016-04-15 09:30:00,57.52,57.96,57.3,57.88,45711
2016-04-18 09:30:00,57.21,57.62,56.82,57.45,59060
2016-04-19 09:30:00,60.2,61.82,59.1,59.52,386905
2016-04-20 09:30:00,58.06,58.3,57.54,58.11,217284
2016-04-21 09:30:00,59.21,59.69,59.08,59.43,61109
2016-04-22 09:30:00,58.95,60.1,58.95,59.85,82019
2016-04-25 09:30:00,59.58,59.86,59.16,59.18,77456
2016-04-26 09:30:00,58.77,59.84,58.77,58.99,51491
2016-04-27 09:30:00,58.8,59.48,58.63,59.21,68470
2016-04-28 09:30:00,59.03,59.69,58.83,59.69,64007
2016-04-29 09:30:00,59.41,59.68,58.44,58.47,68597
2016-05-02 09:30:00,59.25,59.3,58.52,59.07,58126
2016-05-03 09:30:00,58.51,58.67,58.16,58.49,36201
2016-05-04 09:30:00,58.78,59.37,58.56,59.24,22282
2016-05-05 09:30:00,59.15,59.62,58.76,59.53,47460
2016-05-06 09:30:00,58.36,59.1,58.16,58.87,26651
2016-05-09 09:30:00,58.47,58.73,57.78,58.71,100746
2016-05-10 09:30:00,58.51,59.01,58.35,58.9,120202
2016-05-11 09:30:00,59.18,59.23,58.79,58.93,44692
2016-05-12 09:30:00,59.38,59.64,59.08,59.13,52565
2016-05-13 09:30:00,58.75,59.53,58.47,58.96,52765
2016-05-16 09:30:00,58.52,59.24,58.41,58.83,41379
2016-05-17 09:30:00,59.12,59.43,58.69,59.32,40242
2016-05-18 09:30:00,58.85,59.06,58.74,58.83,40303
2016-05-19 09:30:00,58.17,58.63,57.81,57.98,50070
2016-05-20 09:30:00,58.33,58.84,57.91,58.72,70570
2016-05-23 09:30:00,58.5,58.66,58.13,58.26,27960
2016-05-24 09:30:00,58.44,58.62,58.25,58.53,56479
2016-05-25 09:30:00,58.94,59.87,58.84,59.7,59834
