open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,17.91,18.11,17.73,18.05,567136
2016-01-05 09:30:00,17.99,18.08,17.95,17.95,385763
2016-01-06 09:30:00,17.65,17.78,17.52,17.69,452673
2016-01-07 09:30:00,17.27,17.34,16.93,17.32,666379
2016-01-08 09:30:00,17.28,17.33,17.09,17.1,722368
2016-01-11 09:30:00,16.8,16.89,16.62,16.69,486858
2016-01-12 09:30:00,16.79,16.82,16.7,16.78,1916334
2016-01-13 09:30:00,16.78,16.82,16.69,16.72,420106
2016-01-14 09:30:00,16.26,16.27,15.74,15.82,599737
2016-01-15 09:30:00,15.46,15.65,15.22,15.31,1142601
2016-01-19 09:30:00,15.78,15.81,15.58,15.77,693135
2016-01-20 09:30:00,15.28,15.31,15.11,15.13,919502
2016-01-21 09:30:00,15.07,15.21,14.98,15.0,604981
2016-01-22 09:30:00,15.08,15.19,13.76,14.68,3037977
2016-01-25 09:30:00,14.48,14.57,14.25,14.3,1162073
2016-01-26 09:30:00,13.91,14.21,13.91,14.09,2129630
2016-01-27 09:30:00,14.62,15.05,14.49,14.98,7820795
2016-01-28 09:30:00,14.98,15.15,14.86,15.04,2495628
2016-01-29 09:30:00,15.24,15.29,15.03,15.08,2139535
2016-02-01 09:30:00,14.71,14.78,14.56,14.56,1383438
2016-02-02 09:30:00,14.36,14.36,14.06,14.13,1165384
2016-02-03 09:30:00,14.19,14.22,13.84,13.85,2026128
2016-02-04 09:30:00,14.03,14.32,13.92,14.23,1356098
2016-02-05 09:30:00,14.18,14.37,14.08,14.26,410299
2016-02-08 09:30:00,13.67,13.78,13.57,13.64,671930
2016-02-09 09:30:00,13.25,13.65,13.22,13.64,944784
2016-02-10 09:30:00,13.74,13.83,13.54,13.59,972986
2016-02-11 09:30:00,12.92,13.06,12.78,13.04,936302
2016-02-12 09:30:00,13.02,13.18,12.91,12.94,608216
2016-02-16 09:30:00,13.41,13.53,13.23,13.43,376432
2016-02-17 09:30:00,13.71,14.18,13.67,13.89,1472968
2016-02-18 09:30:00,13.77,13.87,13.59,13.71,1891569
2016-02-19 09:30:00,13.39,13.46,13.28,13.3,679825
2016-02-22 09:30:00,13.7,13.78,13.61,13.64,396897
2016-02-23 09:30:00,13.81,13.87,13.55,13.57,429041
2016-02-24 09:30:00,13.3,13.37,13.22,13.26,368904
