open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.45,48.45,47.83,48.07,240586
2016-01-05 09:30:00,48.93,49.64,48.47,49.41,519919
2016-01-06 09:30:00,49.4,50.15,49.21,50.09,352701
2016-01-07 09:30:00,50.67,50.78,49.74,49.87,345904
2016-01-08 09:30:00,50.16,50.67,50.05,50.37,119154
2016-01-11 09:30:00,50.02,50.17,49.35,49.41,271512
2016-01-12 09:30:00,49.08,49.67,49.08,49.6,89684
2016-01-13 09:30:00,50.01,50.27,49.63,50.03,195644
2016-01-14 09:30:00,49.84,49.98,49.29,49.32,83422
2016-01-15 09:30:00,49.17,49.63,49.07,49.26,267962
2016-01-19 09:30:00,51.14,51.15,50.32,50.49,144212
2016-01-20 09:30:00,49.78,50.34,49.73,49.98,125913
2016-01-21 09:30:00,51.0,51.38,50.54,50.9,219807
2016-01-22 09:30:00,51.62,51.95,51.47,51.49,187880
2016-01-25 09:30:00,49.77,50.76,49.66,49.91,245789
2016-01-26 09:30:00,50.05,50.38,49.75,50.32,187189
2016-01-27 09:30:00,50.76,51.64,50.73,51.31,100792
2016-01-28 09:30:00,50.4,50.9,50.28,50.89,72408
2016-01-29 09:30:00,50.17,50.75,50.01,50.61,46969
2016-02-01 09:30:00,50.8,51.66,50.71,51.64,177505
2016-02-02 09:30:00,51.06,51.72,50.62,50.71,178540
2016-02-03 09:30:00,51.72,52.65,50.97,52.57,716708
2016-02-04 09:30:00,52.09,52.31,51.65,52.23,117917
2016-02-05 09:30:00,53.11,53.91,52.75,53.63,505875
2016-02-08 09:30:00,53.68,54.44,53.66,54.11,186831
2016-02-09 09:30:00,54.61,55.34,54.26,55.25,116868
2016-02-10 09:30:00,55.35,56.04,55.35,55.64,266472
2016-02-11 09:30:00,53.93,54.81,53.69,54.72,216038
2016-02-12 09:30:00,54.82,55.51,54.82,55.44,223531
2016-02-16 09:30:00,55.65,56.19,55.46,55.95,194185
2016-02-17 09:30:00,56.5,56.77,56.38,56.57,135309
2016-02-18 09:30:00,56.07,56.15,55.6,56.04,230520
2016-02-19 09:30:00,55.97,56.07,55.29,55.4,200619
2016-02-22 09:30:00,56.65,57.0,55.95,56.05,202221
2016-02-23 09:30:00,55.02,55.57,54.72,54.87,359392
2016-02-24 09:30:00,54.88,55.34,54.7,55.34,167616
2016-02-25 09:30:00,55.73,55.76,54.81,55.32,154401
2016-02-26 09:30:00,55.8,55.96,55.5,55.88,122071
2016-02-29 09:30:00,55.61,55.84,55.48,55.48,132728
2016-03-01 09:30:00,56.15,56.26,55.51,55.76,323383
