open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,180.56,182.04,176.45,177.42,230575
2016-01-05 09:30:00,177.29,177.42,175.0,175.14,188920
2016-01-06 09:30:00,173.35,175.27,172.64,174.97,168180
2016-01-07 09:30:00,171.21,173.885,170.38,173.54,131908
2016-01-08 09:30:00,175.12,178.74,174.19,178.495,232502
2016-01-11 09:30:00,175.0,176.61,174.31,175.28,74671
2016-01-12 09:30:00,176.06,179.99,175.11,177.9,110569
2016-01-13 09:30:00,175.36,176.77,174.68,175.63,68858
2016-01-14 09:30:00,168.18,171.375,167.92,169.59,128678
2016-01-15 09:30:00,167.97,169.18,166.04,168.19,363025
2016-01-19 09:30:00,166.92,168.1499,164.53,165.44,90731
2016-01-20 09:30:00,166.11,166.11,162.91,164.9,265937
2016-01-21 09:30:00,170.37,172.49,168.51,169.14,69736
2016-01-22 09:30:00,171.8,173.17,170.73,172.09,69507
2016-01-25 09:30:00,174.9,176.51,172.93,173.515,66256
2016-01-26 09:30:00,172.71,175.94,171.81,172.335,31291
2016-01-27 09:30:00,172.05,172.38,170.91,171.19,110764
2016-01-28 09:30:00,167.18,169.04,164.54,166.05,75168
2016-01-29 09:30:00,169.47,172.6734,168.22,169.74,107968
2016-02-01 09:30:00,169.64,170.75,167.06,168.47,245274
2016-02-02 09:30:00,173.82,175.83,173.56,175.6,229704
2016-02-03 09:30:00,173.57,175.46,173.1,174.075,171091
2016-02-04 09:30:00,178.22,180.95,171.27,177.245,359122
2016-02-05 09:30:00,160.2,171.0,160.2,167.61,364364
2016-02-08 09:30:00,165.73,165.73,159.18,159.625,588941
2016-02-09 09:30:00,160.44,161.99,157.96,159.73,352095
2016-02-10 09:30:00,165.08,172.78,161.8,166.38,220267
2016-02-11 09:30:00,159.1,161.598,156.21,161.08,200269
2016-02-12 09:30:00,161.85,166.32,160.13,161.71,153880
2016-02-16 09:30:00,170.03,170.03,165.92,166.55,169078
2016-02-17 09:30:00,169.69,171.855,167.015,171.815,256478
2016-02-18 09:30:00,171.52,173.29,167.4,173.25,151503
2016-02-19 09:30:00,170.61,171.91,168.15,171.43,87026
2016-02-22 09:30:00,174.5,177.51,174.5,175.83,127498
2016-02-23 09:30:00,176.02,177.61,174.46,177.1,117797
2016-02-24 09:30:00,172.83,173.85,171.46,172.01,138006
2016-02-25 09:30:00,177.86,180.44,177.03,179.08,707042
2016-02-26 09:30:00,183.96,184.0,182.3733,182.96,168333
2016-02-29 09:30:00,180.55,183.17,180.55,182.35,168972
2016-03-01 09:30:00,181.08,182.21,180.15,181.24,438729
2016-03-02 09:30:00,183.0,183.83,180.41,181.65,251123
2016-03-03 09:30:00,181.59,182.8,180.77,182.52,69760
2016-03-04 09:30:00,184.54,185.32,182.46,182.74,68019
2016-03-07 09:30:00,184.22,186.0,184.22,184.85,118076
2016-03-08 09:30:00,184.66,185.26,182.98,184.01,117862
2016-03-09 09:30:00,184.04,185.99,183.45,183.86,81946
2016-03-10 09:30:00,187.32,187.62,185.33,186.5775,117225
2016-03-11 09:30:00,186.87,188.0,186.55,187.15,123779
2016-03-14 09:30:00,186.8,187.79,185.91,185.91,66189
2016-03-15 09:30:00,185.66,186.13,184.15,184.72,78278
2016-03-16 09:30:00,186.93,194.54,186.89,193.45,864449
2016-03-17 09:30:00,198.22,198.97,196.55,198.295,365955
2016-03-18 09:30:00,200.39,202.98,199.83,201.2,580093
2016-03-21 09:30:00,200.9,201.8,200.1,200.44,141110
2016-03-22 09:30:00,202.4,202.6,200.95,201.55,103295
2016-03-23 09:30:00,204.0,204.555,202.17,204.1175,64917
2016-03-24 09:30:00,202.0,202.01,199.51,200.345,152320
2016-03-28 09:30:00,199.47,200.07,197.37,198.41,99381
2016-03-29 09:30:00,200.61,202.0,199.17,201.765,223863
2016-03-30 09:30:00,204.6,204.6,201.83,201.83,173873
2016-03-31 09:30:00,203.71,204.2,201.33,203.43,70317
2016-04-01 09:30:00,203.12,204.05,200.93,202.788,185795
2016-04-04 09:30:00,205.28,206.63,203.47,204.3,98649
2016-04-05 09:30:00,202.63,203.82,202.15,202.8,72197
2016-04-06 09:30:00,204.19,204.19,202.56,203.12,46105
2016-04-07 09:30:00,202.34,204.46,202.3,204.215,74188
2016-04-08 09:30:00,204.74,206.48,202.27,204.28,71409
2016-04-11 09:30:00,203.3,203.745,201.65,202.12,67431
2016-04-12 09:30:00,200.26,202.19,199.7,201.36,72201
2016-04-13 09:30:00,202.0,204.86,199.92,204.86,267409
2016-04-14 09:30:00,202.35,202.8,200.69,201.095,77917
2016-04-15 09:30:00,202.06,202.07,199.27,200.8601,77762
2016-04-18 09:30:00,201.9,202.47,201.05,201.78,111935
2016-04-19 09:30:00,201.98,204.46,201.57,204.46,103640
2016-04-20 09:30:00,204.53,205.705,202.395,202.99,43753
2016-04-21 09:30:00,198.9,198.9,193.77,195.11,545902
2016-04-22 09:30:00,197.86,199.55,197.04,197.94,70641
2016-04-25 09:30:00,197.3,197.49,194.77,195.2,140107
2016-04-26 09:30:00,208.01,213.315,206.83,211.39,1161665
2016-04-27 09:30:00,208.99,211.23,208.99,209.44,179445
2016-04-28 09:30:00,207.0,211.31,205.63,210.14,268519
2016-04-29 09:30:00,207.64,209.16,205.67,206.16,178211
2016-05-02 09:30:00,212.25,215.08,210.25,214.235,215910
2016-05-03 09:30:00,215.56,216.5,213.89,215.32,150038
2016-05-04 09:30:00,209.71,213.34,209.49,213.155,187074
2016-05-05 09:30:00,212.5,214.62,211.8,212.62,108300
2016-05-06 09:30:00,211.03,213.62,210.91,212.38,110524
2016-05-09 09:30:00,213.42,215.2,211.77,214.94,189835
2016-05-10 09:30:00,213.1,215.4,213.1,215.19,277491
2016-05-11 09:30:00,216.01,217.91,215.51,217.7,185415
2016-05-12 09:30:00,219.23,219.58,217.46,218.235,188007
2016-05-13 09:30:00,212.7,215.28,212.32,212.68,132267
2016-05-16 09:30:00,206.65,210.25,203.92,207.64,3253701
2016-05-17 09:30:00,203.6,205.22,201.04,205.18,1226989
2016-05-18 09:30:00,224.91,227.27,224.8,225.28,519955
2016-05-19 09:30:00,225.8,230.49,225.73,227.415,372487
2016-05-20 09:30:00,227.46,230.1,227.16,229.24,352667
2016-05-23 09:30:00,232.2,233.19,231.38,232.32,331127
2016-05-24 09:30:00,224.21,227.21,223.09,223.83,437209
