open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,44.76,44.83,44.43,44.67,50120
2016-01-05 09:30:00,44.29,44.57,44.13,44.35,74865
2016-01-06 09:30:00,43.99,44.12,43.91,44.03,39567
2016-01-07 09:30:00,43.35,43.52,42.78,43.44,106837
2016-01-08 09:30:00,43.41,43.63,43.08,43.31,67777
2016-01-11 09:30:00,43.12,43.57,42.82,42.87,39292
2016-01-12 09:30:00,43.18,43.44,43.17,43.22,76691
2016-01-13 09:30:00,43.6,43.72,43.36,43.41,29264
2016-01-14 09:30:00,42.77,43.08,42.6,42.61,53864
2016-01-15 09:30:00,42.48,42.75,42.31,42.44,177991
2016-01-19 09:30:00,43.12,43.12,42.6,42.76,73107
2016-01-20 09:30:00,42.11,42.45,41.92,42.12,78183
2016-01-21 09:30:00,42.08,42.34,41.71,41.84,45572
2016-01-22 09:30:00,42.11,42.35,41.86,42.21,50897
2016-01-25 09:30:00,42.29,42.38,41.91,42.05,48761
2016-01-26 09:30:00,41.84,42.18,41.84,42.09,50586
2016-01-27 09:30:00,42.31,42.35,42.12,42.26,29703
2016-01-28 09:30:00,42.55,42.65,42.45,42.52,29869
2016-01-29 09:30:00,43.14,43.38,43.04,43.35,43593
2016-02-01 09:30:00,44.13,44.42,44.06,44.06,71998
2016-02-02 09:30:00,44.48,44.79,44.03,44.18,45587
2016-02-03 09:30:00,44.12,44.3,43.49,43.69,55494
2016-02-04 09:30:00,44.18,45.16,43.76,44.68,148878
2016-02-05 09:30:00,45.63,46.14,45.6,45.82,80793
2016-02-08 09:30:00,46.03,46.31,45.93,45.95,90389
2016-02-09 09:30:00,46.48,47.05,46.48,47.0,58960
2016-02-10 09:30:00,47.39,47.46,47.27,47.33,83460
2016-02-11 09:30:00,46.42,46.88,45.85,46.61,65009
2016-02-12 09:30:00,47.16,47.38,46.99,47.12,94869
2016-02-16 09:30:00,48.08,48.14,47.44,47.55,108922
2016-02-17 09:30:00,48.16,48.16,47.84,48.01,57810
2016-02-18 09:30:00,48.13,48.18,47.79,48.09,43824
2016-02-19 09:30:00,48.05,48.22,47.86,48.22,120298
2016-02-22 09:30:00,48.66,48.9,48.41,48.47,62031
2016-02-23 09:30:00,48.38,48.62,48.31,48.47,50350
2016-02-24 09:30:00,48.09,48.19,47.86,48.07,80475
2016-02-25 09:30:00,48.67,48.89,48.5,48.84,98266
2016-02-26 09:30:00,49.41,49.47,49.14,49.17,96199
2016-02-29 09:30:00,49.03,49.03,48.49,48.58,54981
2016-03-01 09:30:00,49.0,49.2,48.79,48.83,76717
2016-03-02 09:30:00,49.35,49.49,49.25,49.25,139403
2016-03-03 09:30:00,49.37,49.6,49.19,49.24,39856
2016-03-04 09:30:00,49.59,49.75,49.27,49.31,42020
2016-03-07 09:30:00,49.47,49.76,49.22,49.33,35756
2016-03-08 09:30:00,49.19,49.38,49.11,49.19,73319
2016-03-09 09:30:00,49.51,49.56,49.26,49.3,110899
2016-03-10 09:30:00,49.53,49.59,49.4,49.46,147303
2016-03-11 09:30:00,49.78,49.91,49.43,49.85,46813
2016-03-14 09:30:00,50.76,50.77,50.39,50.39,50063
2016-03-15 09:30:00,49.96,50.07,49.82,49.95,46913
2016-03-16 09:30:00,50.12,50.26,49.97,50.2,46403
2016-03-17 09:30:00,50.34,50.34,50.16,50.29,42769
2016-03-18 09:30:00,50.5,50.72,50.47,50.68,297870
2016-03-21 09:30:00,50.43,50.67,50.07,50.63,74243
2016-03-22 09:30:00,50.48,50.77,50.36,50.46,24637
2016-03-23 09:30:00,50.58,50.58,50.35,50.46,41055
2016-03-24 09:30:00,50.42,50.53,50.26,50.35,122836
2016-03-28 09:30:00,50.4,50.61,50.28,50.42,57882
2016-03-29 09:30:00,50.6,50.83,50.56,50.79,38924
2016-03-30 09:30:00,51.15,51.19,50.97,50.97,73362
2016-03-31 09:30:00,51.11,51.21,50.89,50.92,40807
2016-04-01 09:30:00,50.66,51.03,50.56,51.01,88465
2016-04-04 09:30:00,51.22,51.22,50.92,51.05,31852
2016-04-05 09:30:00,50.45,50.69,50.35,50.58,39473
2016-04-06 09:30:00,50.08,50.28,50.07,50.28,61808
2016-04-07 09:30:00,50.39,50.45,50.24,50.37,48801
2016-04-08 09:30:00,50.21,50.44,50.11,50.44,43074
2016-04-11 09:30:00,50.37,50.68,50.32,50.49,45709
2016-04-12 09:30:00,50.35,50.55,50.3,50.49,31228
2016-04-13 09:30:00,51.09,51.27,50.92,51.08,63989
2016-04-14 09:30:00,51.22,51.29,50.87,50.89,38693
2016-04-15 09:30:00,50.99,51.15,50.91,51.02,152193
2016-04-18 09:30:00,51.07,51.13,50.87,51.02,35087
2016-04-19 09:30:00,51.22,51.29,51.1,51.25,39774
2016-04-20 09:30:00,51.21,51.27,50.87,50.92,22817
2016-04-21 09:30:00,50.7,51.0,50.22,50.41,73772
2016-04-22 09:30:00,49.75,50.08,49.75,50.08,35536
2016-04-25 09:30:00,50.03,50.2,49.64,49.67,38526
2016-04-26 09:30:00,50.18,50.42,50.1,50.39,35706
2016-04-27 09:30:00,51.22,51.5,50.77,51.42,154742
2016-04-28 09:30:00,51.03,51.6,51.03,51.43,62838
2016-04-29 09:30:00,51.21,51.21,50.84,51.08,42429
2016-05-02 09:30:00,51.08,51.68,51.06,51.39,59635
2016-05-03 09:30:00,51.2,51.44,51.13,51.34,29077
2016-05-04 09:30:00,51.22,51.48,50.93,51.42,27243
2016-05-05 09:30:00,51.41,51.81,51.41,51.58,36551
2016-05-06 09:30:00,51.57,51.64,50.92,51.57,45416
2016-05-09 09:30:00,51.75,52.11,51.62,52.1,53707
2016-05-10 09:30:00,52.39,52.8,52.36,52.63,58037
2016-05-11 09:30:00,52.71,52.73,52.5,52.56,28350
2016-05-12 09:30:00,52.36,52.6,52.26,52.34,29874
2016-05-13 09:30:00,52.92,52.98,52.69,52.79,30270
2016-05-16 09:30:00,52.54,52.73,52.47,52.49,42143
2016-05-17 09:30:00,52.52,52.75,52.47,52.56,44034
2016-05-18 09:30:00,51.74,52.17,51.46,51.86,61866
2016-05-19 09:30:00,52.32,52.53,52.22,52.26,26360
2016-05-20 09:30:00,52.71,52.88,52.1,52.81,112075
2016-05-23 09:30:00,52.86,52.9,52.45,52.47,43599
2016-05-24 09:30:00,52.75,53.21,52.75,53.09,66419
2016-05-25 09:30:00,53.56,53.66,53.42,53.57,46102
2016-05-26 09:30:00,53.33,53.46,53.07,53.19,31569
2016-05-27 09:30:00,53.31,53.49,53.28,53.33,50083
2016-05-31 09:30:00,53.94,54.11,53.64,53.83,49221
2016-06-01 09:30:00,53.51,53.61,53.28,53.52,32370
2016-06-02 09:30:00,53.74,53.92,53.68,53.91,39173
2016-06-03 09:30:00,53.75,53.85,53.36,53.48,32966
2016-06-06 09:30:00,53.92,54.14,53.86,54.07,33834
2016-06-07 09:30:00,53.84,54.03,53.81,53.95,26091
2016-06-08 09:30:00,54.12,54.15,53.9,54.1,41134
2016-06-09 09:30:00,54.47,54.48,54.28,54.39,53553
2016-06-10 09:30:00,54.61,54.62,54.39,54.48,38771
2016-06-13 09:30:00,54.58,54.67,54.51,54.61,60446
2016-06-14 09:30:00,54.2,54.2,54.0,54.16,37665
2016-06-15 09:30:00,54.03,54.09,53.84,54.05,28493
2016-06-16 09:30:00,53.54,53.68,53.36,53.46,39113
2016-06-17 09:30:00,53.92,53.97,53.64,53.77,196924
2016-06-20 09:30:00,54.78,54.9,54.38,54.5,100166
2016-06-21 09:30:00,54.55,54.79,54.51,54.65,41212
2016-06-22 09:30:00,55.09,55.37,55.09,55.33,58976
2016-06-23 09:30:00,55.5,55.85,55.23,55.62,54560
2016-06-24 09:30:00,54.11,55.16,54.07,55.05,99519
2016-06-27 09:30:00,54.55,54.56,54.22,54.33,70397
2016-06-28 09:30:00,54.56,55.04,54.54,55.04,83492
2016-06-29 09:30:00,56.2,56.48,56.1,56.25,71642
2016-06-30 09:30:00,57.03,57.44,56.88,57.44,73307
2016-07-01 09:30:00,58.55,58.63,58.36,58.48,59421
2016-07-05 09:30:00,58.23,58.45,58.12,58.32,55474
2016-07-06 09:30:00,58.06,58.58,57.96,58.35,58088
2016-07-07 09:30:00,59.01,59.01,58.52,58.74,106327
2016-07-08 09:30:00,59.01,59.04,58.62,58.69,57431
2016-07-11 09:30:00,59.44,59.55,59.22,59.39,80524
2016-07-12 09:30:00,59.8,59.91,59.41,59.42,62025
2016-07-13 09:30:00,59.53,59.73,59.5,59.55,62539
2016-07-14 09:30:00,60.4,60.4,59.84,59.88,65017
2016-07-15 09:30:00,60.09,60.09,59.34,59.34,186055
2016-07-18 09:30:00,59.19,59.37,59.01,59.05,81872
2016-07-19 09:30:00,58.79,58.85,58.6,58.85,31982
2016-07-20 09:30:00,58.76,58.9,58.59,58.6,36342
2016-07-21 09:30:00,58.29,58.6,58.15,58.21,46104
2016-07-22 09:30:00,58.02,58.26,57.87,58.19,55338
2016-07-25 09:30:00,58.33,58.48,58.25,58.4,51366
2016-07-26 09:30:00,58.52,58.83,58.5,58.55,94560
