open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,51.73,51.74,51.18,51.41,616911
2016-01-05 09:30:00,51.2,51.55,51.1,51.49,390783
2016-01-06 09:30:00,50.79,51.0,50.7,50.86,333804
2016-01-07 09:30:00,50.16,50.55,49.84,50.32,530980
2016-01-08 09:30:00,49.91,49.98,49.67,49.95,377143
2016-01-11 09:30:00,49.72,49.99,49.56,49.61,232797
2016-01-12 09:30:00,50.05,50.17,49.9,50.13,518277
2016-01-13 09:30:00,50.31,50.41,50.1,50.29,416540
2016-01-14 09:30:00,49.86,50.22,49.82,49.95,309828
2016-01-15 09:30:00,49.3,50.56,49.3,49.78,816751
2016-01-19 09:30:00,50.46,50.89,50.39,50.86,322285
2016-01-20 09:30:00,50.2,50.37,49.91,50.19,956584
2016-01-21 09:30:00,49.59,50.09,49.27,49.48,486041
2016-01-22 09:30:00,51.18,51.45,50.83,51.4,429713
2016-01-25 09:30:00,51.19,51.33,50.74,50.86,359636
2016-01-26 09:30:00,50.94,51.52,50.91,51.39,380285
2016-01-27 09:30:00,51.16,51.35,50.98,51.29,279650
2016-01-28 09:30:00,51.37,51.66,51.18,51.55,335220
2016-01-29 09:30:00,51.96,52.28,51.22,51.6,850902
2016-02-01 09:30:00,53.26,53.38,52.58,52.63,773934
2016-02-02 09:30:00,52.23,52.58,52.16,52.27,344252
2016-02-03 09:30:00,52.39,52.45,52.07,52.19,522364
2016-02-04 09:30:00,52.44,52.6,52.15,52.44,214149
2016-02-05 09:30:00,52.52,52.66,52.39,52.45,203350
2016-02-08 09:30:00,52.24,52.48,52.08,52.1,484153
2016-02-09 09:30:00,52.11,52.45,51.88,51.88,660088
2016-02-10 09:30:00,52.83,53.18,52.66,53.01,388525
2016-02-11 09:30:00,51.49,51.96,51.47,51.67,405772
2016-02-12 09:30:00,51.55,51.89,51.36,51.85,162074
2016-02-16 09:30:00,52.93,53.08,52.3,52.4,484299
2016-02-17 09:30:00,52.62,52.88,52.49,52.77,233131
2016-02-18 09:30:00,53.24,53.38,53.05,53.11,218819
2016-02-19 09:30:00,53.48,53.52,52.81,53.17,458766
2016-02-22 09:30:00,53.94,54.34,53.77,54.34,376886
2016-02-23 09:30:00,53.63,53.88,53.59,53.6,230073
2016-02-24 09:30:00,53.27,53.31,52.69,52.74,310800
