open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,61.66,61.9,60.93,61.8,164871
2016-01-05 09:30:00,62.08,62.3,61.71,61.83,168538
2016-01-06 09:30:00,61.28,62.01,61.17,62.0,140139
2016-01-07 09:30:00,60.65,61.98,60.55,61.71,198009
2016-01-08 09:30:00,61.35,61.35,60.79,61.13,128107
2016-01-11 09:30:00,60.03,60.36,59.38,59.52,160841
2016-01-12 09:30:00,60.89,60.94,60.41,60.49,144556
2016-01-13 09:30:00,61.7,61.7,60.39,60.66,166757
2016-01-14 09:30:00,58.76,59.01,58.26,58.38,178007
2016-01-15 09:30:00,57.17,58.49,57.17,57.87,458586
2016-01-19 09:30:00,59.69,59.81,59.13,59.65,229416
2016-01-20 09:30:00,59.23,59.54,58.57,58.98,229321
2016-01-21 09:30:00,58.67,59.05,57.7,58.39,287298
2016-01-22 09:30:00,58.03,58.9,57.63,57.99,313439
2016-01-25 09:30:00,58.74,59.63,58.67,59.28,206222
2016-01-26 09:30:00,59.19,59.98,58.64,59.61,173189
2016-01-27 09:30:00,59.8,60.16,59.67,60.08,65462
2016-01-28 09:30:00,60.74,60.74,59.76,59.88,134790
2016-01-29 09:30:00,60.83,61.46,60.43,61.44,156557
2016-02-01 09:30:00,62.34,62.6,61.76,62.3,183817
2016-02-02 09:30:00,61.38,61.71,61.16,61.66,109271
2016-02-03 09:30:00,62.16,62.49,61.62,61.75,212914
2016-02-04 09:30:00,61.99,62.23,61.29,61.44,203653
2016-02-05 09:30:00,60.94,61.72,60.62,61.03,396674
2016-02-08 09:30:00,61.39,61.63,60.41,61.53,344941
2016-02-09 09:30:00,61.83,63.18,61.83,62.49,204612
2016-02-10 09:30:00,64.6,64.91,63.96,64.13,323450
2016-02-11 09:30:00,61.35,62.58,61.33,62.49,189298
2016-02-12 09:30:00,63.13,63.17,62.43,62.57,145955
2016-02-16 09:30:00,62.85,64.14,62.85,63.3,218126
2016-02-17 09:30:00,63.66,63.76,62.76,62.88,195100
2016-02-18 09:30:00,63.86,63.97,63.42,63.55,192977
2016-02-19 09:30:00,63.48,64.36,63.05,64.36,313197
2016-02-22 09:30:00,65.27,65.58,64.94,65.1,128409
2016-02-23 09:30:00,63.91,64.84,63.33,64.14,209907
2016-02-24 09:30:00,63.52,63.66,62.75,63.44,100741
2016-02-25 09:30:00,64.55,64.98,64.14,64.55,99744
2016-02-26 09:30:00,65.02,65.27,64.51,64.76,127612
2016-02-29 09:30:00,64.19,64.92,63.73,63.81,120625
2016-03-01 09:30:00,63.73,64.12,62.4,62.4,300179
2016-03-02 09:30:00,64.57,64.84,64.27,64.8,377538
2016-03-03 09:30:00,64.98,65.08,64.53,64.86,116398
2016-03-04 09:30:00,65.8,65.87,64.53,64.58,282089
2016-03-07 09:30:00,65.23,65.48,64.28,64.86,153260
2016-03-08 09:30:00,64.38,65.79,64.34,65.39,190066
2016-03-09 09:30:00,65.3,66.04,65.26,65.84,160124
2016-03-10 09:30:00,66.0,66.0,65.34,65.57,130436
2016-03-11 09:30:00,65.64,66.15,65.36,66.1,124606
2016-03-14 09:30:00,66.16,66.93,65.84,66.89,187662
2016-03-15 09:30:00,66.67,67.43,66.67,67.38,126467
2016-03-16 09:30:00,67.15,67.74,66.94,67.47,154306
2016-03-17 09:30:00,67.22,67.69,66.99,67.33,142830
2016-03-18 09:30:00,67.55,67.59,66.65,67.24,630459
2016-03-21 09:30:00,67.05,67.35,66.53,66.53,127061
2016-03-22 09:30:00,66.93,67.14,66.64,67.07,282988
2016-03-23 09:30:00,66.51,67.55,66.32,67.25,201395
2016-03-24 09:30:00,67.22,67.22,66.46,66.7,101755
2016-03-28 09:30:00,66.51,66.73,66.35,66.67,75227
2016-03-29 09:30:00,66.39,66.5,66.0,66.03,99858
2016-03-30 09:30:00,66.82,67.05,66.49,66.85,125317
2016-03-31 09:30:00,66.87,67.34,66.76,66.79,124483
2016-04-01 09:30:00,66.96,67.63,66.77,67.39,130824
2016-04-04 09:30:00,67.69,67.69,66.85,67.21,79596
2016-04-05 09:30:00,68.11,68.15,66.41,67.11,147596
2016-04-06 09:30:00,65.84,66.18,65.75,65.9,98394
2016-04-07 09:30:00,65.42,65.7,65.01,65.07,116145
2016-04-08 09:30:00,62.89,62.93,62.31,62.75,1556489
2016-04-11 09:30:00,62.66,62.96,62.59,62.85,474462
2016-04-12 09:30:00,62.89,62.96,62.61,62.85,165891
2016-04-13 09:30:00,63.47,63.51,62.86,63.03,374951
2016-04-14 09:30:00,63.3,63.4,62.89,63.17,201943
2016-04-15 09:30:00,63.7,63.81,63.31,63.32,458162
2016-04-18 09:30:00,63.87,64.08,63.59,64.01,167049
2016-04-19 09:30:00,63.84,64.39,63.59,64.26,133624
2016-04-20 09:30:00,64.76,64.88,64.54,64.75,115046
2016-04-21 09:30:00,65.04,65.06,64.71,64.83,95118
2016-04-22 09:30:00,65.03,66.03,64.79,65.93,378333
2016-04-25 09:30:00,65.63,66.02,65.45,65.65,59633
2016-04-26 09:30:00,65.78,65.78,65.28,65.56,113856
2016-04-27 09:30:00,65.59,66.13,65.3,65.76,132213
2016-04-28 09:30:00,64.77,65.56,64.12,64.75,169787
2016-04-29 09:30:00,64.12,64.22,63.38,63.85,139909
2016-05-02 09:30:00,64.71,65.06,64.42,64.75,157670
2016-05-03 09:30:00,65.14,65.45,64.64,64.87,125833
2016-05-04 09:30:00,64.54,64.95,64.42,64.76,172374
2016-05-05 09:30:00,64.82,65.22,64.58,64.62,118022
2016-05-06 09:30:00,64.53,64.98,64.39,64.89,130237
2016-05-09 09:30:00,64.93,65.49,64.77,65.41,237690
2016-05-10 09:30:00,65.63,66.14,65.59,66.13,109190
2016-05-11 09:30:00,65.95,66.17,65.16,65.98,114337
2016-05-12 09:30:00,65.68,66.04,65.67,65.67,59910
2016-05-13 09:30:00,66.39,66.78,66.35,66.61,75308
2016-05-16 09:30:00,65.79,66.21,65.69,66.12,48484
2016-05-17 09:30:00,66.35,66.6,66.26,66.55,104894
2016-05-18 09:30:00,66.04,66.24,65.81,66.15,79328
2016-05-19 09:30:00,67.44,67.94,67.08,67.08,213987
2016-05-20 09:30:00,67.02,67.51,66.79,67.45,300022
2016-05-23 09:30:00,67.58,67.73,67.17,67.17,62659
2016-05-24 09:30:00,67.75,68.38,67.32,68.23,119641
2016-05-25 09:30:00,68.55,68.83,68.31,68.31,112354
2016-05-26 09:30:00,67.39,68.41,67.39,67.79,138592
2016-05-27 09:30:00,68.46,69.01,68.39,68.69,113104
2016-05-31 09:30:00,68.92,69.18,68.81,68.83,125931
2016-06-01 09:30:00,68.34,68.41,68.14,68.29,91640
2016-06-02 09:30:00,68.53,68.64,68.03,68.15,76825
2016-06-03 09:30:00,67.93,68.08,67.02,67.42,182409
2016-06-06 09:30:00,67.65,67.77,67.15,67.52,122634
2016-06-07 09:30:00,67.8,67.8,67.48,67.52,75429
2016-06-08 09:30:00,66.98,67.29,66.98,67.21,117171
2016-06-09 09:30:00,66.92,67.05,66.69,66.83,84977
2016-06-10 09:30:00,66.45,66.86,66.45,66.78,95241
2016-06-13 09:30:00,66.77,67.17,66.52,67.07,107240
2016-06-14 09:30:00,66.77,66.95,66.62,66.88,88216
2016-06-15 09:30:00,66.75,66.86,66.48,66.83,49247
