open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,32.28,32.89,32.25,32.82,332178
2016-01-05 09:30:00,33.03,34.17,33.03,33.89,547996
2016-01-06 09:30:00,33.09,33.44,32.96,32.98,304236
2016-01-07 09:30:00,32.35,32.56,32.24,32.49,218678
2016-01-08 09:30:00,31.96,32.38,31.96,32.31,483646
2016-01-11 09:30:00,31.35,31.35,30.67,30.75,428978
2016-01-12 09:30:00,30.68,31.43,30.68,31.32,342062
2016-01-13 09:30:00,31.53,31.81,31.31,31.56,237364
2016-01-14 09:30:00,30.58,31.0,30.43,30.48,270198
2016-01-15 09:30:00,30.45,30.82,30.22,30.24,244284
2016-01-19 09:30:00,30.85,31.15,30.51,31.15,243112
2016-01-20 09:30:00,30.59,30.78,30.16,30.32,473008
2016-01-21 09:30:00,31.28,31.41,30.6,30.82,164192
2016-01-22 09:30:00,30.37,30.87,30.01,30.86,326304
2016-01-25 09:30:00,31.44,31.49,30.96,31.01,333764
2016-01-26 09:30:00,30.36,30.56,29.67,29.72,531296
2016-01-27 09:30:00,31.55,31.64,30.32,30.41,727908
2016-01-28 09:30:00,31.05,31.11,30.47,30.49,375300
2016-01-29 09:30:00,29.57,30.33,29.46,30.16,341034
2016-02-01 09:30:00,30.76,31.46,30.76,31.22,256510
2016-02-02 09:30:00,31.42,31.65,31.2,31.25,179590
2016-02-03 09:30:00,30.51,30.74,29.71,29.88,242348
2016-02-04 09:30:00,29.87,29.95,29.46,29.84,169634
2016-02-05 09:30:00,30.02,30.12,29.42,29.5,211214
2016-02-08 09:30:00,27.89,28.01,27.43,27.49,426436
2016-02-09 09:30:00,26.26,27.5,23.68,27.35,1593782
2016-02-10 09:30:00,27.82,28.45,27.61,28.45,266170
2016-02-11 09:30:00,26.87,27.24,26.48,26.94,365354
2016-02-12 09:30:00,27.25,27.27,26.45,26.55,237042
2016-02-16 09:30:00,27.11,27.47,26.87,26.94,301074
2016-02-17 09:30:00,27.89,28.21,27.52,28.06,389130
2016-02-18 09:30:00,29.03,29.05,28.34,28.71,715014
2016-02-19 09:30:00,27.85,28.13,27.27,27.27,371638
2016-02-22 09:30:00,28.26,29.25,28.23,29.06,759546
2016-02-23 09:30:00,28.84,29.23,28.78,29.1,304106
2016-02-24 09:30:00,28.2,28.21,27.97,28.08,267294
2016-02-25 09:30:00,28.93,29.19,28.37,28.79,277420
2016-02-26 09:30:00,29.0,29.05,28.79,28.9,429438
2016-02-29 09:30:00,28.88,29.0,28.51,28.75,539488
2016-03-01 09:30:00,28.85,28.96,28.41,28.89,329570
2016-03-02 09:30:00,29.09,29.52,28.99,29.4,295106
2016-03-03 09:30:00,29.51,29.6,29.26,29.57,170158
2016-03-04 09:30:00,30.07,30.23,29.89,30.0,170942
2016-03-07 09:30:00,29.22,29.3,28.88,28.92,140774
2016-03-08 09:30:00,29.09,29.19,28.81,29.05,143890
2016-03-09 09:30:00,28.75,28.93,28.55,28.63,132162
2016-03-10 09:30:00,29.16,29.57,29.12,29.51,166366
2016-03-11 09:30:00,29.22,29.5,28.99,29.42,137082
2016-03-14 09:30:00,30.21,30.35,30.01,30.01,84014
2016-03-15 09:30:00,29.86,29.89,29.63,29.65,119566
2016-03-16 09:30:00,29.28,29.77,29.14,29.58,225808
2016-03-17 09:30:00,29.01,29.01,27.85,27.89,367550
2016-03-18 09:30:00,28.06,29.03,28.02,29.02,682922
2016-03-21 09:30:00,29.12,29.49,28.86,29.21,140672
2016-03-22 09:30:00,28.78,29.07,28.77,28.96,118666
2016-03-23 09:30:00,30.78,31.6,30.68,31.0,1613142
2016-03-24 09:30:00,31.35,32.33,31.32,32.16,932340
2016-03-28 09:30:00,32.19,32.39,31.14,31.27,1651794
