open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,13.18,13.2,13.07,13.13,424622
2016-01-05 09:30:00,13.22,13.25,13.02,13.02,307641
2016-01-06 09:30:00,13.2,13.28,13.12,13.28,342536
2016-01-07 09:30:00,12.98,13.07,12.96,13.01,272173
2016-01-08 09:30:00,12.95,13.17,12.89,12.97,324258
2016-01-11 09:30:00,12.78,12.91,12.75,12.83,680776
2016-01-12 09:30:00,12.73,12.77,12.6,12.63,333547
2016-01-13 09:30:00,12.49,12.63,12.49,12.62,250182
2016-01-14 09:30:00,12.35,12.49,12.34,12.36,459763
2016-01-15 09:30:00,12.48,12.57,12.43,12.44,889934
2016-01-19 09:30:00,12.58,12.63,12.51,12.61,425687
2016-01-20 09:30:00,12.47,12.59,12.24,12.25,572235
2016-01-21 09:30:00,12.26,12.34,12.2,12.24,1498649
2016-01-22 09:30:00,12.83,12.88,12.71,12.78,689759
2016-01-25 09:30:00,12.77,12.86,12.63,12.7,338843
2016-01-26 09:30:00,12.42,12.57,12.42,12.47,216726
2016-01-27 09:30:00,12.52,12.59,12.44,12.53,184064
2016-01-28 09:30:00,12.63,12.68,12.46,12.67,296751
2016-01-29 09:30:00,12.78,12.91,12.76,12.78,302672
2016-02-01 09:30:00,13.17,13.46,13.17,13.41,1881921
2016-02-02 09:30:00,13.37,13.42,13.25,13.27,598643
2016-02-03 09:30:00,13.38,13.64,13.38,13.55,490256
2016-02-04 09:30:00,13.76,13.89,13.68,13.77,597398
2016-02-05 09:30:00,13.74,13.74,13.47,13.57,479601
2016-02-08 09:30:00,13.62,13.76,13.43,13.45,565957
2016-02-09 09:30:00,13.3,13.43,13.24,13.31,469834
2016-02-10 09:30:00,13.42,13.46,13.2,13.2,427042
2016-02-11 09:30:00,13.26,13.38,13.22,13.26,364346
2016-02-12 09:30:00,12.96,13.07,12.85,13.07,405376
2016-02-16 09:30:00,13.24,13.27,13.04,13.1,293873
2016-02-17 09:30:00,13.37,13.4,13.21,13.35,269391
2016-02-18 09:30:00,13.46,13.49,13.4,13.48,285097
2016-02-19 09:30:00,13.5,13.54,13.4,13.43,267926
2016-02-22 09:30:00,13.65,13.75,13.56,13.75,350347
2016-02-23 09:30:00,13.53,13.57,13.47,13.52,256544
2016-02-24 09:30:00,13.48,13.59,13.44,13.56,341575
2016-02-25 09:30:00,13.84,13.89,13.76,13.83,277876
2016-02-26 09:30:00,13.84,13.9,13.65,13.77,426832
2016-02-29 09:30:00,13.55,13.73,13.55,13.68,352954
2016-03-01 09:30:00,13.77,13.86,13.74,13.85,284018
2016-03-02 09:30:00,13.59,13.62,13.41,13.51,695508
2016-03-03 09:30:00,13.8,13.82,13.62,13.63,339943
2016-03-04 09:30:00,13.71,13.8,13.7,13.75,405716
2016-03-07 09:30:00,14.22,14.31,14.17,14.3,300520
2016-03-08 09:30:00,14.43,14.46,14.29,14.33,257128
2016-03-09 09:30:00,14.55,14.77,14.55,14.71,510439
2016-03-10 09:30:00,14.6,14.71,14.54,14.68,393825
2016-03-11 09:30:00,14.9,14.98,14.82,14.88,271212
2016-03-14 09:30:00,14.84,14.98,14.81,14.94,367417
2016-03-15 09:30:00,14.86,14.98,14.84,14.94,316651
2016-03-16 09:30:00,14.94,15.0,14.88,14.97,237788
2016-03-17 09:30:00,15.14,15.28,15.14,15.27,402078
2016-03-18 09:30:00,15.48,15.51,15.37,15.49,1818896
2016-03-21 09:30:00,15.15,15.23,15.06,15.23,241443
2016-03-22 09:30:00,15.37,15.42,15.27,15.33,543386
2016-03-23 09:30:00,15.32,15.39,15.23,15.25,261044
2016-03-24 09:30:00,15.26,15.31,15.21,15.21,168067
2016-03-28 09:30:00,15.42,15.44,15.29,15.29,308957
2016-03-29 09:30:00,15.23,15.29,15.19,15.28,171896
2016-03-30 09:30:00,15.61,15.67,15.52,15.53,231615
