open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.47,35.19,34.35,35.03,1003632
2016-01-05 09:30:00,34.66,34.87,34.3,34.37,771009
2016-01-06 09:30:00,34.2,34.4,34.07,34.29,1677307
2016-01-07 09:30:00,33.23,33.46,32.78,33.12,1617516
2016-01-08 09:30:00,32.81,33.12,32.2,32.24,1235479
2016-01-11 09:30:00,32.18,32.4,31.57,31.74,941843
2016-01-12 09:30:00,31.09,31.22,30.74,30.96,1893602
2016-01-13 09:30:00,30.27,30.81,30.23,30.77,2040236
2016-01-14 09:30:00,29.12,29.64,28.71,29.1,2131072
2016-01-15 09:30:00,29.23,30.04,29.03,29.57,2970375
2016-01-19 09:30:00,29.51,29.63,28.18,28.42,1823949
2016-01-20 09:30:00,26.37,26.45,25.39,25.42,3649443
2016-01-21 09:30:00,25.91,26.23,25.73,25.94,2226322
2016-01-22 09:30:00,28.38,29.39,27.67,28.22,4902679
2016-01-25 09:30:00,27.33,27.55,27.03,27.47,2011751
2016-01-26 09:30:00,26.05,26.1,24.84,24.87,2234081
2016-01-27 09:30:00,25.94,26.12,25.39,25.66,1621260
2016-01-28 09:30:00,28.16,29.29,27.7,28.69,4925401
2016-01-29 09:30:00,28.28,29.05,28.24,28.8,1979153
2016-02-01 09:30:00,28.4,28.52,27.93,28.32,1392618
2016-02-02 09:30:00,27.93,27.97,27.32,27.59,1718911
2016-02-03 09:30:00,27.92,27.93,27.18,27.37,1934540
2016-02-04 09:30:00,28.6,28.97,26.68,27.43,8822777
2016-02-05 09:30:00,25.27,25.27,23.46,25.1,12217011
2016-02-08 09:30:00,23.73,24.2,23.53,23.76,2822454
2016-02-09 09:30:00,24.67,25.32,24.46,24.66,2363922
2016-02-10 09:30:00,24.73,24.89,24.33,24.82,1859541
2016-02-11 09:30:00,23.38,23.77,23.3,23.73,3700027
2016-02-12 09:30:00,24.17,24.68,23.96,24.04,1773755
2016-02-16 09:30:00,25.07,25.23,24.77,24.92,2078892
2016-02-17 09:30:00,24.93,25.23,24.72,24.77,1797693
2016-02-18 09:30:00,25.81,25.83,25.34,25.52,2654825
2016-02-19 09:30:00,24.82,24.91,24.58,24.61,2230823
2016-02-22 09:30:00,25.22,25.53,25.08,25.38,1434000
2016-02-23 09:30:00,25.39,25.91,25.23,25.67,1276853
2016-02-24 09:30:00,24.03,24.16,23.82,24.04,1347418
2016-02-25 09:30:00,24.76,24.96,24.28,24.32,918108
2016-02-26 09:30:00,25.35,25.83,25.32,25.73,1987842
2016-02-29 09:30:00,25.83,25.89,25.38,25.43,766735
2016-03-01 09:30:00,25.5,25.74,24.96,25.28,1173188
2016-03-02 09:30:00,25.66,26.03,25.53,25.77,1384818
2016-03-03 09:30:00,27.32,27.88,27.19,27.74,2239654
2016-03-04 09:30:00,29.13,29.87,29.04,29.43,3012387
2016-03-07 09:30:00,30.84,31.6,30.79,31.26,2822309
2016-03-08 09:30:00,30.85,30.88,29.81,29.88,1572768
2016-03-09 09:30:00,29.46,29.58,28.73,29.07,1388937
2016-03-10 09:30:00,29.1,29.3,28.77,29.16,1494603
2016-03-11 09:30:00,29.79,30.15,29.79,29.99,1948317
2016-03-14 09:30:00,29.72,30.29,29.49,29.86,1275212
2016-03-15 09:30:00,29.37,29.51,29.19,29.34,1311097
2016-03-16 09:30:00,30.12,30.55,30.08,30.23,944944
2016-03-17 09:30:00,31.74,31.99,31.58,31.96,1736344
2016-03-18 09:30:00,32.63,33.23,32.49,33.06,3698939
2016-03-21 09:30:00,31.99,32.5,31.56,32.29,1352494
2016-03-22 09:30:00,31.63,31.96,31.53,31.83,1026085
2016-03-23 09:30:00,30.91,31.2,30.81,30.92,1174225
2016-03-24 09:30:00,29.14,29.4,28.84,29.29,2224418
2016-03-28 09:30:00,30.02,30.06,29.35,29.56,596967
2016-03-29 09:30:00,29.21,29.37,29.04,29.16,1123970
2016-03-30 09:30:00,30.3,30.51,30.15,30.32,1723457
2016-03-31 09:30:00,29.91,30.21,29.72,30.14,794102
2016-04-01 09:30:00,29.55,29.64,29.22,29.31,1672379
2016-04-04 09:30:00,29.77,30.17,29.34,30.07,1044808
2016-04-05 09:30:00,29.01,29.19,28.59,28.69,1042802
2016-04-06 09:30:00,29.49,29.7,29.32,29.49,941203
2016-04-07 09:30:00,30.26,30.71,30.02,30.41,1218701
2016-04-08 09:30:00,31.16,31.18,30.77,30.94,1186016
2016-04-11 09:30:00,31.01,31.33,30.96,31.21,830792
2016-04-12 09:30:00,31.12,31.61,30.96,31.6,1070448
2016-04-13 09:30:00,32.66,32.68,32.2,32.49,1467240
2016-04-14 09:30:00,32.81,32.91,32.56,32.82,889497
2016-04-15 09:30:00,32.75,32.92,32.62,32.74,2208289
2016-04-18 09:30:00,31.51,32.51,31.47,32.42,1294839
2016-04-19 09:30:00,33.84,34.43,33.66,34.41,1753273
2016-04-20 09:30:00,34.98,35.18,34.8,34.92,1447678
2016-04-21 09:30:00,35.14,35.42,34.67,34.67,1399694
2016-04-22 09:30:00,34.69,35.56,34.63,35.47,1108132
2016-04-25 09:30:00,35.3,35.35,34.85,35.06,1074100
2016-04-26 09:30:00,34.88,35.14,34.69,34.97,1162922
