open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.82,37.87,37.57,37.58,125433
2016-01-05 09:30:00,37.84,37.94,37.57,37.57,131002
2016-01-06 09:30:00,37.36,37.59,37.26,37.31,101364
2016-01-07 09:30:00,37.28,37.55,37.17,37.51,420353
2016-01-08 09:30:00,37.51,37.76,37.3,37.56,149775
2016-01-11 09:30:00,37.52,37.7,37.41,37.57,74251
2016-01-12 09:30:00,38.0,38.64,37.84,38.55,372075
2016-01-13 09:30:00,39.14,39.33,38.95,39.23,295702
2016-01-14 09:30:00,38.72,39.02,38.6,38.74,169827
2016-01-15 09:30:00,38.06,38.56,37.98,38.33,486697
2016-01-19 09:30:00,39.59,39.86,39.37,39.71,346567
2016-01-20 09:30:00,39.36,39.78,39.32,39.54,226092
2016-01-21 09:30:00,39.64,39.97,39.42,39.53,121979
2016-01-22 09:30:00,39.89,39.97,39.6,39.78,101894
2016-01-25 09:30:00,40.08,40.22,39.91,39.94,124596
2016-01-26 09:30:00,40.02,40.29,39.94,40.23,132488
2016-01-27 09:30:00,40.43,40.52,40.3,40.38,118654
2016-01-28 09:30:00,40.54,40.73,40.22,40.72,141214
2016-01-29 09:30:00,41.04,41.34,40.97,41.15,109573
2016-02-01 09:30:00,41.32,41.39,41.18,41.29,158236
2016-02-02 09:30:00,41.4,41.65,41.25,41.4,109094
2016-02-03 09:30:00,41.33,41.7,41.26,41.53,102509
2016-02-04 09:30:00,41.11,41.26,40.55,40.9,149638
2016-02-05 09:30:00,40.61,40.82,40.44,40.74,119924
2016-02-08 09:30:00,40.85,41.18,40.54,40.89,214462
2016-02-09 09:30:00,40.85,41.19,40.85,41.05,257633
2016-02-10 09:30:00,42.3,42.94,41.96,42.9,208884
2016-02-11 09:30:00,41.81,42.17,41.63,41.65,653227
2016-02-12 09:30:00,42.16,42.68,42.09,42.6,143885
2016-02-16 09:30:00,43.0,43.08,42.63,42.66,125648
2016-02-17 09:30:00,44.88,45.04,44.22,44.56,633590
2016-02-18 09:30:00,44.88,44.99,44.32,44.32,263921
2016-02-19 09:30:00,44.56,44.69,44.15,44.46,255159
2016-02-22 09:30:00,45.17,45.17,44.71,44.97,201438
2016-02-23 09:30:00,44.53,44.59,44.3,44.33,115980
2016-02-24 09:30:00,44.06,44.48,44.06,44.2,212125
2016-02-25 09:30:00,45.02,45.24,44.01,44.6,314054
2016-02-26 09:30:00,45.88,46.74,45.74,46.51,528065
2016-02-29 09:30:00,45.43,45.61,45.13,45.21,234222
2016-03-01 09:30:00,45.57,45.58,45.13,45.25,298310
2016-03-02 09:30:00,44.77,44.88,44.13,44.34,200490
2016-03-03 09:30:00,44.91,45.02,44.74,44.84,129073
2016-03-04 09:30:00,45.34,45.39,45.04,45.18,81997
2016-03-07 09:30:00,45.16,45.27,44.93,45.18,63783
2016-03-08 09:30:00,45.34,45.56,45.13,45.51,159207
2016-03-09 09:30:00,45.83,46.25,45.73,46.19,207724
2016-03-10 09:30:00,46.36,46.44,46.16,46.16,117100
2016-03-11 09:30:00,46.52,46.55,46.12,46.33,102189
2016-03-14 09:30:00,46.63,46.82,46.27,46.39,172914
2016-03-15 09:30:00,46.25,46.43,45.97,46.25,161135
2016-03-16 09:30:00,46.65,46.68,46.09,46.5,102626
2016-03-17 09:30:00,47.0,47.16,46.94,46.98,96850
2016-03-18 09:30:00,47.11,47.24,46.91,47.09,374640
2016-03-21 09:30:00,47.11,47.11,46.74,46.83,97989
2016-03-22 09:30:00,47.09,47.26,46.79,46.88,167347
2016-03-23 09:30:00,46.44,46.45,46.13,46.29,155579
2016-03-24 09:30:00,46.27,46.5,46.14,46.35,124474
2016-03-28 09:30:00,46.28,46.8,46.28,46.61,89722
2016-03-29 09:30:00,46.47,46.86,46.44,46.68,86138
2016-03-30 09:30:00,47.12,47.28,46.52,46.7,215907
2016-03-31 09:30:00,46.93,47.16,46.88,46.9,68669
2016-04-01 09:30:00,46.45,47.34,46.45,47.23,236218
2016-04-04 09:30:00,47.73,47.88,47.2,47.21,135712
2016-04-05 09:30:00,47.92,47.98,47.65,47.67,111119
2016-04-06 09:30:00,47.23,47.34,47.04,47.13,123983
2016-04-07 09:30:00,47.12,47.34,47.0,47.24,442559
2016-04-08 09:30:00,47.06,47.27,47.0,47.22,92975
2016-04-11 09:30:00,47.46,47.61,47.24,47.26,161016
2016-04-12 09:30:00,47.11,47.24,47.02,47.17,53293
2016-04-13 09:30:00,47.12,47.16,46.4,46.44,199479
2016-04-14 09:30:00,46.05,46.3,45.93,46.17,134313
2016-04-15 09:30:00,45.54,45.82,45.42,45.55,182599
2016-04-18 09:30:00,45.65,45.71,45.34,45.34,70149
2016-04-19 09:30:00,46.0,46.05,45.49,45.65,104837
2016-04-20 09:30:00,45.58,45.65,45.29,45.35,134329
2016-04-21 09:30:00,45.1,45.12,44.26,44.26,294226
2016-04-22 09:30:00,44.03,44.28,43.98,44.22,80944
2016-04-25 09:30:00,44.46,44.72,44.26,44.7,61788
2016-04-26 09:30:00,44.91,45.16,44.75,45.07,67916
2016-04-27 09:30:00,45.01,45.38,44.97,45.26,67734
2016-04-28 09:30:00,45.06,45.59,45.01,45.41,58426
2016-04-29 09:30:00,45.04,45.3,44.96,45.3,55971
2016-05-02 09:30:00,45.43,46.0,45.39,45.86,84074
2016-05-03 09:30:00,45.83,46.15,45.77,46.07,136508
2016-05-04 09:30:00,45.51,45.64,45.35,45.43,60656
2016-05-05 09:30:00,45.95,46.48,45.91,46.2,106163
2016-05-06 09:30:00,46.44,46.58,46.34,46.57,100054
2016-05-09 09:30:00,47.13,47.69,47.05,47.68,126634
2016-05-10 09:30:00,48.08,48.21,47.82,48.08,95007
2016-05-11 09:30:00,48.0,48.37,47.93,48.26,72361
2016-05-12 09:30:00,48.35,48.61,48.2,48.53,88887
2016-05-13 09:30:00,48.86,48.92,48.6,48.84,89646
2016-05-16 09:30:00,48.59,48.67,48.36,48.65,182627
2016-05-17 09:30:00,48.27,48.58,47.57,47.69,189608
2016-05-18 09:30:00,46.73,46.91,45.85,45.93,324628
2016-05-19 09:30:00,46.6,46.7,46.32,46.39,98560
2016-05-20 09:30:00,45.02,45.79,44.1,44.2,1669739
2016-05-23 09:30:00,44.25,44.71,44.0,44.64,414021
2016-05-24 09:30:00,44.29,44.73,44.16,44.65,199006
2016-05-25 09:30:00,44.84,44.91,44.4,44.45,151587
2016-05-26 09:30:00,44.77,45.22,44.65,45.15,104204
2016-05-27 09:30:00,45.15,45.39,45.14,45.31,97262
2016-05-31 09:30:00,45.12,45.23,44.57,44.61,180425
2016-06-01 09:30:00,44.65,45.13,44.61,45.02,171678
2016-06-02 09:30:00,44.96,44.96,44.58,44.75,93931
2016-06-03 09:30:00,44.76,45.12,44.68,45.11,146098
2016-06-06 09:30:00,45.51,45.54,45.29,45.42,105380
2016-06-07 09:30:00,45.4,45.68,45.25,45.62,90355
2016-06-08 09:30:00,45.29,45.4,45.08,45.23,145069
2016-06-09 09:30:00,45.46,45.79,45.25,45.61,100891
2016-06-10 09:30:00,45.93,46.44,45.88,46.23,172528
2016-06-13 09:30:00,46.13,46.41,46.0,46.16,96604
2016-06-14 09:30:00,45.81,45.84,45.58,45.6,166535
2016-06-15 09:30:00,45.93,46.01,45.74,45.77,98247
2016-06-16 09:30:00,45.57,46.02,45.38,45.71,85707
2016-06-17 09:30:00,46.2,46.2,45.63,45.72,226823
2016-06-20 09:30:00,46.11,46.4,46.06,46.22,92129
2016-06-21 09:30:00,46.13,46.41,46.01,46.3,63432
2016-06-22 09:30:00,46.44,46.44,45.87,45.92,87321
2016-06-23 09:30:00,46.15,46.32,46.12,46.16,98777
2016-06-24 09:30:00,45.24,46.0,44.98,45.97,201746
2016-06-27 09:30:00,45.9,46.44,45.56,46.44,243865
2016-06-28 09:30:00,46.86,46.9,46.11,46.18,192244
2016-06-29 09:30:00,46.52,46.91,46.35,46.46,218172
2016-06-30 09:30:00,46.35,47.24,46.27,47.06,315713
2016-07-01 09:30:00,49.06,49.06,48.74,48.97,184653
2016-07-05 09:30:00,48.64,49.18,48.58,48.84,177753
2016-07-06 09:30:00,49.38,49.94,49.36,49.74,151097
2016-07-07 09:30:00,50.14,50.14,49.43,49.83,223913
2016-07-08 09:30:00,49.34,49.39,48.83,49.11,224904
2016-07-11 09:30:00,49.6,49.6,49.12,49.12,94172
2016-07-12 09:30:00,49.3,49.38,48.97,49.0,199156
2016-07-13 09:30:00,49.11,49.22,48.94,48.98,76718
2016-07-14 09:30:00,49.26,49.5,49.11,49.41,105668
2016-07-15 09:30:00,49.29,49.45,49.16,49.21,135718
2016-07-18 09:30:00,49.43,49.55,49.3,49.39,53543
2016-07-19 09:30:00,49.32,49.32,49.09,49.18,83574
