open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,79.24,79.38,78.29,78.725,22715
2016-01-05 09:30:00,78.33,79.48,78.11,78.4,52558
2016-01-06 09:30:00,76.93,77.36,76.36,77.015,38930
2016-01-07 09:30:00,78.53,78.68,77.31,77.9999,153769
2016-01-08 09:30:00,79.85,80.62,79.71,79.99,130602
2016-01-11 09:30:00,79.85,79.96,77.13,77.13,38079
2016-01-12 09:30:00,76.68,78.14,76.43,77.27,36611
2016-01-13 09:30:00,77.11,77.59,76.68,77.06,24097
2016-01-14 09:30:00,74.48,74.86,73.38,73.38,84780
2016-01-15 09:30:00,73.7,74.77,72.43,72.45,37378
2016-01-19 09:30:00,75.14,76.21,75.02,76.21,71775
2016-01-20 09:30:00,74.67,75.47,74.03,74.346,41156
2016-01-21 09:30:00,75.26,75.305,73.88,74.48,34709
2016-01-22 09:30:00,74.755,75.33,74.2,74.55,60770
2016-01-25 09:30:00,75.34,76.8,74.64,76.55,71256
2016-01-26 09:30:00,75.8,76.16,74.73,74.78,26820
2016-01-27 09:30:00,77.0,77.59,76.37,76.55,12628
2016-01-28 09:30:00,75.42,76.34,73.58,73.755,55137
2016-01-29 09:30:00,72.77,74.08,72.66,73.33,13884
2016-02-01 09:30:00,73.97,74.425,73.51,73.66,30805
2016-02-02 09:30:00,73.97,74.342,73.45,73.88,24270
2016-02-03 09:30:00,72.65,73.02,71.045,71.72,23779
2016-02-04 09:30:00,71.81,71.84,70.8001,71.52,35917
2016-02-05 09:30:00,71.61,72.26,70.43,70.74,31917
2016-02-08 09:30:00,69.05,69.65,68.46,68.595,19713
2016-02-09 09:30:00,65.89,68.52,65.87,67.8,59286
2016-02-10 09:30:00,69.09,74.24,69.09,72.79,129795
2016-02-11 09:30:00,70.79,72.62,70.72,72.28,30862
2016-02-12 09:30:00,71.8,72.08,69.98,70.27,49245
2016-02-16 09:30:00,73.26,73.82,72.67,73.81,25243
2016-02-17 09:30:00,73.43,73.87,72.26,72.86,23370
2016-02-18 09:30:00,73.22,73.835,72.57,73.835,19889
2016-02-19 09:30:00,71.75,72.28,70.89,71.75,29625
2016-02-22 09:30:00,74.54,74.98,73.42,73.74,34906
2016-02-23 09:30:00,72.47,73.61,72.47,72.68,19026
2016-02-24 09:30:00,71.4,71.73,69.82,70.16,52397
2016-02-25 09:30:00,72.96,73.62,71.13,72.93,20810
2016-02-26 09:30:00,73.36,73.59,72.99,73.205,14843
2016-02-29 09:30:00,73.5,73.91,73.36,73.62,19977
2016-03-01 09:30:00,73.77,74.19,72.9,73.94,15705
2016-03-02 09:30:00,74.42,75.23,74.36,75.23,30267
2016-03-03 09:30:00,74.92,74.92,74.36,74.64,14232
2016-03-04 09:30:00,74.66,74.97,73.75,74.78,25165
2016-03-07 09:30:00,74.35,74.7725,73.92,74.75,28309
2016-03-08 09:30:00,75.15,75.47,74.44,74.95,12312
2016-03-09 09:30:00,75.08,75.14,73.69,74.43,27171
2016-03-10 09:30:00,74.35,74.69,74.11,74.24,19576
2016-03-11 09:30:00,74.06,74.28,73.88,74.28,6618
2016-03-14 09:30:00,74.53,74.87,73.76,73.98,49012
2016-03-15 09:30:00,73.12,73.125,72.32,72.6599,13363
2016-03-16 09:30:00,70.91,71.65,70.515,71.31,21167
2016-03-17 09:30:00,71.25,71.4681,70.46,70.5,57188
2016-03-18 09:30:00,70.59,71.49,70.515,70.89,85108
2016-03-21 09:30:00,73.52,75.14,73.41,74.48,52542
2016-03-22 09:30:00,73.45,74.31,72.965,74.27,11181
2016-03-23 09:30:00,74.78,75.27,74.32,75.17,21684
2016-03-24 09:30:00,73.85,75.02,73.39,74.64,22460
2016-03-28 09:30:00,74.57,74.57,73.51,74.18,17431
2016-03-29 09:30:00,74.14,74.34,73.61,74.07,9840
2016-03-30 09:30:00,76.08,76.35,75.59,75.62,45346
2016-03-31 09:30:00,75.27,75.82,74.72,75.82,17272
2016-04-01 09:30:00,75.4,76.77,74.1873,76.39,24253
2016-04-04 09:30:00,77.53,79.125,77.21,78.69,20946
2016-04-05 09:30:00,78.35,79.92,78.35,79.57,47481
2016-04-06 09:30:00,79.38,80.0,79.38,79.77,11070
2016-04-07 09:30:00,81.86,82.0,80.78,80.87,18208
2016-04-08 09:30:00,82.12,82.24,80.94,81.545,17226
2016-04-11 09:30:00,82.25,82.25,80.955,81.22,67686
2016-04-12 09:30:00,79.85,80.09,79.18,79.18,20711
2016-04-13 09:30:00,79.99,80.45,79.5,80.23,16380
2016-04-14 09:30:00,80.59,80.77,80.12,80.32,5583
2016-04-15 09:30:00,80.6,80.87,80.28,80.79,19019
2016-04-18 09:30:00,80.31,81.02,80.27,80.985,29676
2016-04-19 09:30:00,81.57,81.8,80.3,80.75,13626
2016-04-20 09:30:00,79.38,79.86,79.14,79.86,14173
2016-04-21 09:30:00,80.41,81.1,80.41,80.65,7027
2016-04-22 09:30:00,80.88,81.335,80.15,80.57,9687
2016-04-25 09:30:00,81.14,81.95,80.42,81.3,17788
2016-04-26 09:30:00,82.21,82.35,81.19,81.39,28495
2016-04-27 09:30:00,81.36,81.81,80.86,81.67,5607
2016-04-28 09:30:00,81.11,81.215,80.19,81.2,16254
2016-04-29 09:30:00,79.43,79.59,78.44,78.79,42366
2016-05-02 09:30:00,79.64,79.93,79.15,79.93,12485
2016-05-03 09:30:00,79.3,79.81,77.09,77.11,66156
2016-05-04 09:30:00,78.8,80.16,77.045,80.13,131832
2016-05-05 09:30:00,79.32,79.77,78.805,79.3375,22053
2016-05-06 09:30:00,80.28,81.13,79.955,80.767,23667
2016-05-09 09:30:00,81.17,81.935,80.695,81.69,21394
2016-05-10 09:30:00,83.24,83.86,82.71,83.15,72311
2016-05-11 09:30:00,84.62,84.79,83.56,84.08,51844
2016-05-12 09:30:00,82.01,82.59,81.03,81.82,19250
2016-05-13 09:30:00,81.33,82.56,81.33,82.35,19162
2016-05-16 09:30:00,83.04,83.85,82.48,83.36,27310
2016-05-17 09:30:00,83.96,83.96,83.05,83.55,35512
2016-05-18 09:30:00,83.61,84.16,82.9001,83.75,14366
2016-05-19 09:30:00,83.62,84.35,83.3,83.55,17233
2016-05-20 09:30:00,84.18,84.8799,83.72,84.67,19953
2016-05-23 09:30:00,84.6,85.49,84.5,85.49,18085
2016-05-24 09:30:00,85.0,85.038,84.6,84.9,23280
2016-05-25 09:30:00,85.48,85.9,84.98,85.3272,20433
2016-05-26 09:30:00,85.35,85.42,84.52,85.42,13535
2016-05-27 09:30:00,85.69,86.085,85.63,85.93,9923
2016-05-31 09:30:00,86.24,86.54,85.91,86.15,20056
2016-06-01 09:30:00,85.79,86.0,85.16,85.6399,21176
2016-06-02 09:30:00,87.95,87.95,86.23,86.87,54612
2016-06-03 09:30:00,87.12,87.2,85.97,86.29,36317
2016-06-06 09:30:00,85.79,86.49,84.93,85.125,17907
2016-06-07 09:30:00,86.15,86.48,85.04,85.28,16447
2016-06-08 09:30:00,85.48,85.99,84.75,85.315,10794
2016-06-09 09:30:00,85.44,86.2599,85.44,85.99,11132
2016-06-10 09:30:00,85.56,86.41,84.5272,84.98,26165
2016-06-13 09:30:00,84.18,85.32,84.01,84.67,12927
2016-06-14 09:30:00,83.82,84.13,82.991,83.365,20246
2016-06-15 09:30:00,84.72,84.72,83.88,84.0,21511
2016-06-16 09:30:00,83.51,83.9899,82.76,82.81,15664
2016-06-17 09:30:00,83.13,83.315,82.76,83.07,76712
2016-06-20 09:30:00,82.76,83.17,82.7,82.83,16986
2016-06-21 09:30:00,82.82,83.64,82.765,83.48,23226
2016-06-22 09:30:00,82.51,82.9065,82.45,82.63,17648
2016-06-23 09:30:00,84.01,84.5,83.65,83.995,18471
2016-06-24 09:30:00,81.55,82.07,81.101,81.27,35515
2016-06-27 09:30:00,80.09,80.09,78.98,79.0636,48403
2016-06-28 09:30:00,76.9,77.93,76.5,77.79,38373
