open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,7.31,7.324,7.235,7.289,2970585
2016-01-05 09:30:00,7.442,7.497,7.362,7.362,1915539
2016-01-06 09:30:00,7.229,7.275,7.183,7.209,2095527
2016-01-07 09:30:00,6.877,6.912,6.805,6.863,2353794
2016-01-08 09:30:00,6.865,6.874,6.828,6.845,2049897
2016-01-11 09:30:00,6.744,6.863,6.741,6.786,5523471
2016-01-12 09:30:00,6.796,6.963,6.79,6.912,3156264
2016-01-13 09:30:00,6.785,6.897,6.577,6.655,9361743
2016-01-14 09:30:00,6.537,6.681,6.508,6.59,8239896
2016-01-15 09:30:00,6.418,6.583,6.418,6.554,5442270
2016-01-19 09:30:00,6.672,6.721,6.508,6.581,2765799
2016-01-20 09:30:00,6.43,6.476,6.332,6.358,3229608
2016-01-21 09:30:00,6.346,6.375,6.251,6.265,4203156
2016-01-22 09:30:00,6.612,6.698,6.568,6.638,3459771
2016-01-25 09:30:00,6.447,6.464,6.361,6.404,1823118
2016-01-26 09:30:00,6.366,6.427,6.349,6.378,1920072
2016-01-27 09:30:00,6.433,6.538,6.424,6.456,2937195
2016-01-28 09:30:00,6.427,6.488,6.407,6.487,2569539
2016-01-29 09:30:00,6.496,6.581,6.496,6.554,1646178
2016-02-01 09:30:00,6.522,6.571,6.456,6.482,2848563
2016-02-02 09:30:00,6.522,6.542,6.438,6.469,2016486
2016-02-03 09:30:00,6.444,6.447,6.355,6.358,1822269
2016-02-04 09:30:00,6.447,6.658,6.447,6.652,3028662
2016-02-05 09:30:00,6.646,6.666,6.565,6.629,2539332
2016-02-08 09:30:00,6.542,6.554,6.427,6.462,2650593
2016-02-09 09:30:00,6.508,6.687,6.508,6.687,3448050
2016-02-10 09:30:00,6.929,7.018,6.877,6.946,2582310
2016-02-11 09:30:00,6.822,6.88,6.773,6.839,2461500
2016-02-12 09:30:00,6.713,6.891,6.71,6.813,3111306
2016-02-16 09:30:00,7.148,7.209,6.945,6.961,4505385
2016-02-17 09:30:00,7.03,7.102,6.851,7.015,7354878
2016-02-18 09:30:00,7.16,7.226,7.128,7.212,2233743
2016-02-19 09:30:00,7.105,7.165,7.041,7.113,3608049
2016-02-22 09:30:00,7.35,7.385,7.275,7.301,4572990
2016-02-23 09:30:00,7.214,7.327,7.168,7.212,3448683
2016-02-24 09:30:00,6.926,6.943,6.802,6.848,4211931
2016-02-25 09:30:00,7.096,7.176,7.059,7.085,1961070
2016-02-26 09:30:00,7.12,7.154,7.088,7.095,1761777
2016-02-29 09:30:00,7.05,7.114,7.027,7.034,2232033
2016-03-01 09:30:00,7.102,7.163,7.05,7.131,2688429
2016-03-02 09:30:00,7.306,7.329,7.207,7.234,12940869
2016-03-03 09:30:00,7.134,7.195,7.122,7.165,6748860
2016-03-04 09:30:00,7.282,7.326,7.224,7.291,4342110
2016-03-07 09:30:00,7.326,7.369,7.282,7.314,2629554
2016-03-08 09:30:00,7.338,7.364,7.276,7.278,2440395
2016-03-09 09:30:00,7.189,7.274,7.176,7.224,3744921
2016-03-10 09:30:00,7.343,7.46,7.32,7.441,3569103
2016-03-11 09:30:00,7.436,7.497,7.41,7.467,2631705
2016-03-14 09:30:00,7.611,7.644,7.55,7.606,3046845
2016-03-15 09:30:00,7.547,7.558,7.471,7.478,2091867
2016-03-16 09:30:00,7.521,7.553,7.483,7.541,1396626
2016-03-17 09:30:00,7.625,7.669,7.593,7.669,1645137
2016-03-18 09:30:00,7.805,7.893,7.756,7.861,12096723
2016-03-21 09:30:00,7.863,7.887,7.817,7.817,1869804
2016-03-22 09:30:00,7.68,7.727,7.646,7.675,1601694
2016-03-23 09:30:00,7.657,7.663,7.605,7.631,1197585
2016-03-24 09:30:00,7.489,7.503,7.412,7.465,1693242
2016-03-28 09:30:00,7.567,7.599,7.468,7.494,1338336
2016-03-29 09:30:00,7.381,7.407,7.274,7.323,3582936
2016-03-30 09:30:00,7.567,7.68,7.535,7.624,2676885
2016-03-31 09:30:00,7.573,7.637,7.492,7.497,3216093
2016-04-01 09:30:00,7.451,7.471,7.314,7.346,3556554
2016-04-04 09:30:00,7.422,7.445,7.329,7.364,8438859
2016-04-05 09:30:00,7.271,7.291,7.185,7.207,5423160
2016-04-06 09:30:00,7.268,7.282,7.14,7.154,2765496
2016-04-07 09:30:00,7.166,7.207,7.108,7.149,3481026
2016-04-08 09:30:00,7.227,7.346,7.201,7.343,3934734
2016-04-11 09:30:00,7.195,7.253,7.157,7.226,4257834
2016-04-12 09:30:00,7.163,7.239,7.143,7.23,3142119
2016-04-13 09:30:00,7.526,7.526,7.285,7.41,11156067
2016-04-14 09:30:00,7.68,7.68,7.492,7.496,4753662
2016-04-15 09:30:00,7.657,7.683,7.57,7.573,5513061
2016-04-18 09:30:00,7.48,7.553,7.442,7.544,1573674
2016-04-19 09:30:00,7.634,7.779,7.605,7.77,2827074
2016-04-20 09:30:00,7.683,7.718,7.648,7.689,1767231
2016-04-21 09:30:00,7.721,7.82,7.701,7.782,2018697
2016-04-22 09:30:00,7.846,7.965,7.846,7.929,4507638
2016-04-25 09:30:00,7.962,8.029,7.881,7.965,3957312
2016-04-26 09:30:00,7.875,8.009,7.875,8.006,2017218
2016-04-27 09:30:00,8.006,8.128,8.006,8.096,2159151
2016-04-28 09:30:00,8.02,8.095,7.991,8.029,2305671
2016-04-29 09:30:00,7.858,7.951,7.855,7.867,3787440
2016-05-02 09:30:00,7.925,7.948,7.829,7.866,2422719
2016-05-03 09:30:00,7.788,7.829,7.73,7.753,4493805
2016-05-04 09:30:00,7.695,7.736,7.657,7.701,2065116
2016-05-05 09:30:00,7.614,7.686,7.587,7.66,1863645
2016-05-06 09:30:00,7.532,7.616,7.509,7.587,1598157
2016-05-09 09:30:00,7.608,7.608,7.497,7.523,1801005
2016-05-10 09:30:00,7.523,7.631,7.523,7.605,2130039
2016-05-11 09:30:00,7.663,7.669,7.576,7.59,1017156
2016-05-12 09:30:00,7.547,7.573,7.483,7.483,4020912
2016-05-13 09:30:00,7.401,7.448,7.34,7.384,3248817
2016-05-16 09:30:00,7.303,7.387,7.3,7.346,1584609
2016-05-17 09:30:00,7.3,7.489,7.281,7.486,3450171
2016-05-18 09:30:00,7.34,7.454,7.338,7.454,2620650
2016-05-19 09:30:00,7.375,7.471,7.355,7.355,3045780
2016-05-20 09:30:00,7.43,7.547,7.428,7.538,4050204
2016-05-23 09:30:00,7.471,7.492,7.425,7.43,1474224
2016-05-24 09:30:00,7.433,7.442,7.338,7.383,3204339
2016-05-25 09:30:00,7.416,7.486,7.41,7.462,1586874
2016-05-26 09:30:00,7.479,7.591,7.479,7.513,1403928
2016-05-27 09:30:00,7.567,7.585,7.522,7.531,2916450
2016-05-31 09:30:00,7.608,7.719,7.585,7.684,2211723
2016-06-01 09:30:00,7.661,7.678,7.57,7.595,2474166
2016-06-02 09:30:00,7.626,7.667,7.626,7.643,1507299
2016-06-03 09:30:00,7.731,7.731,7.676,7.696,2249136
2016-06-06 09:30:00,7.81,7.842,7.795,7.815,2007984
2016-06-07 09:30:00,7.816,7.819,7.769,7.806,1824957
2016-06-08 09:30:00,7.743,7.886,7.716,7.886,2715165
2016-06-09 09:30:00,7.883,7.886,7.787,7.845,2375163
2016-06-10 09:30:00,7.807,7.877,7.804,7.821,1925367
2016-06-13 09:30:00,7.831,7.874,7.787,7.861,1533339
2016-06-14 09:30:00,7.766,7.857,7.743,7.816,2435187
2016-06-15 09:30:00,7.763,7.793,7.738,7.769,1833312
2016-06-16 09:30:00,7.655,7.722,7.567,7.57,2001522
2016-06-17 09:30:00,7.74,7.85,7.699,7.848,7842060
2016-06-20 09:30:00,7.933,8.003,7.901,7.99,2507781
2016-06-21 09:30:00,7.822,7.842,7.711,7.825,3940884
2016-06-22 09:30:00,7.813,7.838,7.766,7.8,1649916
2016-06-23 09:30:00,7.851,7.915,7.839,7.904,1589904
2016-06-24 09:30:00,7.561,7.705,7.561,7.661,4682136
2016-06-27 09:30:00,7.436,7.485,7.286,7.289,3259809
2016-06-28 09:30:00,7.242,7.289,7.222,7.28,3539919
2016-06-29 09:30:00,7.421,7.507,7.395,7.436,2874096
2016-06-30 09:30:00,7.529,7.541,7.438,7.441,2108601
2016-07-01 09:30:00,7.64,7.696,7.637,7.693,1600215
2016-07-05 09:30:00,7.62,7.646,7.545,7.547,2655162
2016-07-06 09:30:00,7.462,7.5,7.433,7.493,1842807
2016-07-07 09:30:00,7.582,7.678,7.556,7.664,1273929
2016-07-08 09:30:00,7.673,7.79,7.629,7.763,1965564
2016-07-11 09:30:00,7.763,7.869,7.763,7.817,1589922
2016-07-12 09:30:00,7.895,7.954,7.842,7.917,3591609
2016-07-13 09:30:00,7.956,7.971,7.848,7.892,2773857
2016-07-14 09:30:00,8.275,8.606,8.196,8.53,13005969
2016-07-15 09:30:00,8.501,8.509,8.387,8.417,5753976
2016-07-18 09:30:00,8.387,8.387,8.302,8.365,2164008
2016-07-19 09:30:00,8.27,8.311,8.229,8.237,3218232
2016-07-20 09:30:00,8.305,8.305,8.229,8.267,1513326
2016-07-21 09:30:00,8.311,8.378,8.258,8.337,2305833
2016-07-22 09:30:00,8.313,8.319,8.275,8.302,1389441
2016-07-25 09:30:00,8.322,8.327,8.252,8.308,1540806
2016-07-26 09:30:00,8.302,8.357,8.293,8.328,944778
2016-07-27 09:30:00,8.419,8.433,8.354,8.387,2393130
2016-07-28 09:30:00,8.231,8.346,8.202,8.322,2057121
2016-07-29 09:30:00,8.287,8.287,8.23,8.246,1203423
2016-08-01 09:30:00,8.29,8.322,8.24,8.264,1247379
2016-08-02 09:30:00,8.152,8.199,8.135,8.193,1561914
2016-08-03 09:30:00,8.12,8.173,8.1,8.167,1470051
2016-08-04 09:30:00,8.196,8.249,8.167,8.167,1310625
2016-08-05 09:30:00,8.278,8.372,8.229,8.372,2077653
2016-08-08 09:30:00,8.351,8.442,8.351,8.422,1612107
2016-08-09 09:30:00,8.357,8.378,8.302,8.337,1345002
2016-08-10 09:30:00,8.29,8.296,8.223,8.226,936951
2016-08-11 09:30:00,8.193,8.249,8.179,8.231,2127273
2016-08-12 09:30:00,8.182,8.231,8.157,8.193,1765617
2016-08-15 09:30:00,8.217,8.284,8.217,8.275,1498536
2016-08-16 09:30:00,8.191,8.223,8.183,8.205,929088
2016-08-17 09:30:00,8.179,8.205,8.161,8.192,1043925
2016-08-18 09:30:00,8.234,8.343,8.229,8.315,2569452
2016-08-19 09:30:00,8.36,8.381,8.34,8.354,3279894
2016-08-22 09:30:00,8.366,8.366,8.319,8.334,887271
2016-08-23 09:30:00,8.375,8.404,8.311,8.398,1698969
2016-08-24 09:30:00,8.337,8.363,8.328,8.34,1068369
2016-08-25 09:30:00,8.334,8.334,8.302,8.319,1110909
2016-08-26 09:30:00,8.246,8.281,8.208,8.267,2073423
2016-08-29 09:30:00,8.287,8.34,8.242,8.34,2156964
2016-08-30 09:30:00,8.36,8.407,8.348,8.381,1015290
2016-08-31 09:30:00,8.36,8.39,8.34,8.369,1538823
2016-09-01 09:30:00,8.354,8.357,8.298,8.307,1205091
2016-09-02 09:30:00,8.325,8.376,8.307,8.36,1295463
2016-09-06 09:30:00,8.284,8.325,8.269,8.298,1717272
2016-09-07 09:30:00,8.325,8.452,8.304,8.407,3118935
2016-09-08 09:30:00,8.446,8.481,8.422,8.428,1743543
2016-09-09 09:30:00,8.434,8.475,8.416,8.431,1459851
2016-09-12 09:30:00,8.245,8.331,8.219,8.331,4322424
2016-09-13 09:30:00,8.401,8.493,8.366,8.399,4268067
2016-09-14 09:30:00,8.396,8.454,8.379,8.422,1818717
2016-09-15 09:30:00,8.54,8.563,8.469,8.499,4080369
2016-09-16 09:30:00,8.578,8.614,8.502,8.572,10027098
2016-09-19 09:30:00,8.675,8.713,8.646,8.681,1695438
2016-09-20 09:30:00,8.687,8.687,8.637,8.672,2203293
2016-09-21 09:30:00,8.611,8.652,8.611,8.634,1449954
2016-09-22 09:30:00,8.82,8.867,8.786,8.789,2997645
2016-09-23 09:30:00,8.661,8.717,8.634,8.69,2455245
2016-09-26 09:30:00,8.669,8.711,8.655,8.699,1716642
2016-09-27 09:30:00,8.764,8.805,8.725,8.773,2281191
2016-09-28 09:30:00,8.764,8.796,8.753,8.775,1467300
2016-09-29 09:30:00,8.852,8.902,8.833,8.868,2972970
2016-09-30 09:30:00,8.879,8.908,8.837,8.893,1971096
2016-10-03 09:30:00,8.932,8.98,8.908,8.94,2024751
2016-10-04 09:30:00,8.964,9.029,8.946,9.014,1722594
2016-10-05 09:30:00,8.94,8.967,8.905,8.954,1534209
2016-10-06 09:30:00,9.064,9.132,9.011,9.129,9240816
2016-10-07 09:30:00,9.12,9.158,9.091,9.107,5122557
2016-10-10 09:30:00,9.158,9.22,9.138,9.164,3138750
2016-10-11 09:30:00,9.073,9.076,9.01,9.036,2918781
2016-10-12 09:30:00,8.961,8.964,8.908,8.942,3514968
2016-10-13 09:30:00,9.02,9.076,8.911,8.979,9149025
2016-10-14 09:30:00,9.244,9.344,9.202,9.264,4002666
2016-10-17 09:30:00,9.141,9.173,9.091,9.107,3259737
2016-10-18 09:30:00,9.235,9.26,9.158,9.179,2338209
2016-10-19 09:30:00,8.985,9.185,8.985,9.142,1704786
2016-10-20 09:30:00,9.079,9.088,9.02,9.063,4459515
2016-10-21 09:30:00,8.87,8.918,8.846,8.913,4940214
2016-10-24 09:30:00,8.999,9.029,8.985,9.009,2090025
2016-10-25 09:30:00,8.882,8.976,8.882,8.932,2733483
2016-10-26 09:30:00,9.058,9.079,8.989,8.989,2619420
2016-10-27 09:30:00,8.952,8.97,8.926,8.964,2188809
2016-10-28 09:30:00,8.899,8.985,8.887,8.92,2134839
2016-10-31 09:30:00,8.979,9.02,8.946,8.996,1621965
2016-11-01 09:30:00,9.023,9.058,8.949,8.949,1812729
2016-11-02 09:30:00,8.99,9.082,8.961,9.067,4837971
2016-11-03 09:30:00,9.088,9.091,9.023,9.07,1273881
2016-11-04 09:30:00,9.152,9.241,9.105,9.129,4065078
2016-11-07 09:30:00,9.217,9.317,9.217,9.314,3601473
2016-11-08 09:30:00,9.438,9.465,9.314,9.376,3691788
2016-11-09 09:30:00,9.541,10.09,9.538,9.992,16879446
2016-11-10 09:30:00,10.02,10.23,9.995,10.19,8677749
2016-11-11 09:30:00,10.08,10.15,10.05,10.08,4930023
2016-11-14 09:30:00,10.22,10.3,10.19,10.28,3137085
2016-11-15 09:30:00,10.2,10.24,10.05,10.08,3762921
2016-11-16 09:30:00,10.15,10.15,10.04,10.06,3709707
2016-11-17 09:30:00,9.986,9.998,9.95,9.977,3431175
2016-11-18 09:30:00,9.989,10.01,9.959,10.01,3721872
2016-11-21 09:30:00,10.02,10.14,10.02,10.11,2519505
2016-11-22 09:30:00,10.19,10.24,10.19,10.23,2556030
2016-11-23 09:30:00,10.32,10.37,10.28,10.29,2249895
2016-11-25 09:30:00,10.29,10.33,10.26,10.3,1029153
2016-11-28 09:30:00,10.3,10.35,10.27,10.29,2105373
2016-11-29 09:30:00,10.25,10.28,10.21,10.24,1991529
2016-11-30 09:30:00,10.48,10.68,10.46,10.64,5599770
2016-12-01 09:30:00,10.67,10.77,10.66,10.75,3243438
2016-12-02 09:30:00,10.83,10.86,10.71,10.82,5297301
2016-12-05 09:30:00,10.86,10.87,10.8,10.84,3014442
2016-12-06 09:30:00,10.73,10.77,10.62,10.62,4009635
2016-12-07 09:30:00,10.64,10.75,10.61,10.75,3629226
2016-12-08 09:30:00,11.0,11.05,10.95,10.98,2726304
2016-12-09 09:30:00,11.01,11.08,10.93,11.02,2864775
2016-12-12 09:30:00,11.04,11.04,10.84,11.01,2928969
2016-12-13 09:30:00,10.96,11.01,10.91,10.95,2663457
2016-12-14 09:30:00,10.96,10.98,10.92,10.93,2372208
2016-12-15 09:30:00,10.78,10.89,10.69,10.89,3297027
2016-12-16 09:30:00,10.81,10.86,10.72,10.77,12361974
2016-12-19 09:30:00,10.71,10.75,10.64,10.72,1520337
2016-12-20 09:30:00,10.78,10.83,10.76,10.81,1746867
2016-12-21 09:30:00,10.84,10.86,10.8,10.82,1400436
2016-12-22 09:30:00,10.77,10.82,10.72,10.81,1292049
2016-12-23 09:30:00,10.86,10.9,10.83,10.85,937554
2016-12-27 09:30:00,10.89,10.95,10.84,10.93,1114911
2016-12-28 09:30:00,10.9,10.96,10.89,10.89,1170567
2016-12-29 09:30:00,10.84,10.85,10.76,10.78,1132806
2016-12-30 09:30:00,10.76,10.77,10.67,10.67,1812621
2017-01-03 09:30:00,10.71,10.79,10.67,10.73,2292684
2017-01-04 09:30:00,10.67,10.83,10.64,10.72,2790645
2017-01-05 09:30:00,10.78,10.95,10.77,10.93,2854266
2017-01-06 09:30:00,10.64,10.96,10.64,10.94,5542125
2017-01-09 09:30:00,11.12,11.14,11.04,11.13,2500731
2017-01-10 09:30:00,10.92,11.1,10.89,11.07,5199054
2017-01-11 09:30:00,11.05,11.17,11.05,11.16,2392014
2017-01-12 09:30:00,11.26,11.28,11.19,11.23,2975991
2017-01-13 09:30:00,11.31,11.4,11.28,11.35,6011790
2017-01-17 09:30:00,11.47,11.49,11.29,11.36,8769135
2017-01-18 09:30:00,10.88,11.02,10.72,11.01,12790368
2017-01-19 09:30:00,12.8,12.95,12.63,12.76,54629145
2017-01-20 09:30:00,13.17,13.18,12.89,12.92,34839759
2017-01-23 09:30:00,13.22,13.39,13.2,13.33,11554734
2017-01-24 09:30:00,13.59,13.72,13.57,13.65,4719258
2017-01-25 09:30:00,13.97,14.03,13.88,13.95,8000517
2017-01-26 09:30:00,14.15,14.29,14.08,14.27,7431516
2017-01-27 09:30:00,14.46,14.48,14.24,14.25,3932025
2017-01-30 09:30:00,14.16,14.24,14.01,14.08,8144694
2017-01-31 09:30:00,13.89,14.06,13.85,13.89,2729358
2017-02-01 09:30:00,13.78,13.89,13.77,13.77,4903440
2017-02-02 09:30:00,13.82,13.84,13.65,13.69,3760527
2017-02-03 09:30:00,13.69,13.79,13.66,13.74,3470076
2017-02-06 09:30:00,13.78,13.97,13.78,13.94,2309151
2017-02-07 09:30:00,13.99,14.2,13.99,14.19,5022447
2017-02-08 09:30:00,14.08,14.1,13.9,13.94,2513403
2017-02-09 09:30:00,14.24,14.25,14.12,14.13,2028957
2017-02-10 09:30:00,14.36,14.4,14.13,14.19,4756446
2017-02-13 09:30:00,14.19,14.34,14.16,14.29,2164512
2017-02-14 09:30:00,14.1,14.21,14.1,14.17,2478744
2017-02-15 09:30:00,13.91,14.03,13.84,13.98,5685873
2017-02-16 09:30:00,14.02,14.1,13.99,13.99,3590583
2017-02-17 09:30:00,14.07,14.31,14.06,14.28,6610101
2017-02-21 09:30:00,14.37,14.48,14.34,14.47,2780280
2017-02-22 09:30:00,14.44,14.44,14.33,14.34,1820283
2017-02-23 09:30:00,14.38,14.42,14.27,14.28,2457417
2017-02-24 09:30:00,14.15,14.26,14.13,14.23,2758020
2017-02-27 09:30:00,14.31,14.42,14.26,14.37,2370345
2017-02-28 09:30:00,14.7,14.74,14.46,14.53,3862893
2017-03-01 09:30:00,14.62,14.79,14.61,14.7,3170208
2017-03-02 09:30:00,14.62,14.64,14.51,14.56,2736972
2017-03-03 09:30:00,14.42,14.45,14.33,14.34,1094613
2017-03-06 09:30:00,14.58,14.69,14.57,14.67,3692334
