open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,12.95,13.08,12.78,13.01,1188646
2016-01-05 09:30:00,12.94,13.09,12.89,12.89,1319739
2016-01-06 09:30:00,12.47,12.48,12.22,12.3,909428
2016-01-07 09:30:00,11.51,11.89,11.49,11.71,872895
2016-01-08 09:30:00,12.3,12.41,12.13,12.21,444562
2016-01-11 09:30:00,12.52,12.57,12.08,12.15,820908
2016-01-12 09:30:00,11.96,11.97,11.43,11.75,1347506
2016-01-13 09:30:00,11.67,11.78,11.47,11.72,774213
2016-01-14 09:30:00,11.61,11.81,11.47,11.58,837402
2016-01-15 09:30:00,11.34,11.94,11.28,11.71,918389
2016-01-19 09:30:00,12.11,12.17,11.83,11.99,918910
2016-01-20 09:30:00,11.76,12.03,11.69,11.78,905346
2016-01-21 09:30:00,12.39,13.15,12.36,13.07,1145567
2016-01-22 09:30:00,14.19,14.27,13.77,14.07,2184108
2016-01-25 09:30:00,13.88,14.36,13.67,14.29,972516
2016-01-26 09:30:00,13.78,14.09,13.61,13.61,841383
2016-01-27 09:30:00,14.13,14.78,13.94,14.66,747189
2016-01-28 09:30:00,14.96,15.01,14.63,14.78,1615508
2016-01-29 09:30:00,14.44,14.75,14.38,14.68,658710
2016-02-01 09:30:00,14.85,14.93,14.51,14.92,697669
2016-02-02 09:30:00,14.79,15.4,14.52,15.17,1620911
2016-02-03 09:30:00,15.26,15.33,14.58,14.71,834808
2016-02-04 09:30:00,15.48,15.76,14.95,14.96,1646968
2016-02-05 09:30:00,15.25,15.32,14.72,15.26,831825
2016-02-08 09:30:00,14.9,15.36,14.68,15.32,822203
2016-02-09 09:30:00,14.98,15.23,14.72,14.85,1341133
2016-02-10 09:30:00,14.47,14.47,13.94,14.2,479330
2016-02-11 09:30:00,14.13,14.41,13.99,14.36,629512
2016-02-12 09:30:00,14.79,15.01,14.06,14.08,451716
2016-02-16 09:30:00,14.74,14.74,14.19,14.2,737817
2016-02-17 09:30:00,14.24,14.35,13.96,13.97,497174
2016-02-18 09:30:00,15.06,15.06,14.16,14.29,1056364
2016-02-19 09:30:00,14.19,14.89,13.74,14.65,2314823
2016-02-22 09:30:00,15.0,15.11,14.79,14.88,945644
2016-02-23 09:30:00,14.91,14.96,14.74,14.86,14040104
2016-02-24 09:30:00,13.89,14.08,13.8,14.05,1588962
2016-02-25 09:30:00,14.46,14.71,14.24,14.52,1017852
2016-02-26 09:30:00,14.77,14.84,14.4,14.53,1238779
2016-02-29 09:30:00,14.93,14.99,14.1,14.12,1168875
2016-03-01 09:30:00,14.96,14.99,14.36,14.61,1122375
2016-03-02 09:30:00,15.3,15.7,15.25,15.51,1156085
2016-03-03 09:30:00,16.08,16.23,15.97,16.15,781415
2016-03-04 09:30:00,16.52,16.65,16.11,16.21,839219
2016-03-07 09:30:00,15.68,15.97,15.42,15.48,1692170
2016-03-08 09:30:00,16.15,16.18,15.65,15.78,989648
2016-03-09 09:30:00,16.03,16.12,15.62,15.8,1050308
2016-03-10 09:30:00,15.16,16.25,15.0,16.15,2178727
2016-03-11 09:30:00,16.44,16.5,16.13,16.29,652900
2016-03-14 09:30:00,15.82,16.22,15.75,15.9,650161
2016-03-15 09:30:00,16.04,16.47,15.95,16.47,560165
2016-03-16 09:30:00,16.57,16.74,16.5,16.59,670505
2016-03-17 09:30:00,17.05,17.1,16.58,16.86,465588
2016-03-18 09:30:00,16.79,16.8,16.53,16.56,1490465
2016-03-21 09:30:00,16.65,16.65,16.18,16.36,1168124
2016-03-22 09:30:00,15.99,16.2,15.95,16.02,543292
2016-03-23 09:30:00,15.87,16.05,15.73,15.96,472136
2016-03-24 09:30:00,15.42,15.88,15.35,15.77,731958
2016-03-28 09:30:00,16.14,16.26,15.82,15.97,475335
2016-03-29 09:30:00,15.9,16.27,15.85,16.26,472525
2016-03-30 09:30:00,16.78,16.8,16.47,16.59,395769
2016-03-31 09:30:00,16.68,16.79,16.51,16.74,332672
2016-04-01 09:30:00,16.33,16.66,16.28,16.52,464006
2016-04-04 09:30:00,16.58,16.98,16.5,16.89,694609
2016-04-05 09:30:00,16.45,16.59,16.33,16.39,801292
2016-04-06 09:30:00,16.39,16.45,16.17,16.24,395843
2016-04-07 09:30:00,16.36,16.69,16.3,16.49,294219
2016-04-08 09:30:00,17.4,17.46,16.94,17.04,980149
2016-04-11 09:30:00,17.23,17.48,16.97,17.02,554850
2016-04-12 09:30:00,16.97,17.05,16.86,16.94,721974
2016-04-13 09:30:00,17.44,17.44,16.83,16.95,549053
2016-04-14 09:30:00,16.97,17.08,16.73,16.84,368205
2016-04-15 09:30:00,16.58,16.58,16.38,16.4,611909
2016-04-18 09:30:00,16.41,16.91,16.28,16.88,776549
2016-04-19 09:30:00,17.32,17.45,17.18,17.44,234255
2016-04-20 09:30:00,17.16,17.39,17.1,17.34,291127
2016-04-21 09:30:00,17.21,17.33,16.96,16.97,432759
2016-04-22 09:30:00,16.87,17.24,16.86,17.16,600102
2016-04-25 09:30:00,16.78,17.01,16.09,16.29,2134325
2016-04-26 09:30:00,16.44,16.55,16.06,16.27,706472
2016-04-27 09:30:00,16.93,17.05,16.61,16.95,801974
2016-04-28 09:30:00,17.45,17.68,17.2,17.41,564617
2016-04-29 09:30:00,17.39,17.6,16.72,16.73,1186482
2016-05-02 09:30:00,17.11,17.49,17.08,17.24,582515
2016-05-03 09:30:00,17.63,17.9,17.45,17.6,674777
2016-05-04 09:30:00,17.82,17.99,17.66,17.69,561941
2016-05-05 09:30:00,17.88,18.15,17.68,17.85,427655
2016-05-06 09:30:00,17.45,17.91,17.43,17.76,456412
2016-05-09 09:30:00,17.36,17.38,17.11,17.16,259637
2016-05-10 09:30:00,17.71,17.87,17.64,17.68,664999
2016-05-11 09:30:00,17.88,17.99,17.73,17.84,260766
2016-05-12 09:30:00,18.21,18.38,18.09,18.15,370014
2016-05-13 09:30:00,17.76,17.99,17.76,17.81,291180
2016-05-16 09:30:00,17.7,17.77,17.3,17.33,447542
2016-05-17 09:30:00,17.55,17.58,17.33,17.52,366850
2016-05-18 09:30:00,17.41,17.56,17.27,17.44,473312
2016-05-19 09:30:00,16.69,16.96,16.66,16.74,709782
2016-05-20 09:30:00,17.16,17.19,16.85,16.86,432345
2016-05-23 09:30:00,16.8,17.04,16.8,16.96,306715
2016-05-24 09:30:00,17.25,17.25,16.84,16.88,290441
2016-05-25 09:30:00,17.3,17.49,17.25,17.34,265201
2016-05-26 09:30:00,17.76,17.79,17.62,17.65,229330
2016-05-27 09:30:00,17.39,17.74,17.34,17.55,665482
2016-05-31 09:30:00,17.63,17.76,17.41,17.57,453983
2016-06-01 09:30:00,17.49,17.96,17.49,17.81,500541
2016-06-02 09:30:00,17.88,17.99,17.82,17.82,257263
2016-06-03 09:30:00,18.2,18.24,17.89,17.94,511914
2016-06-06 09:30:00,18.1,18.15,17.83,17.98,416717
2016-06-07 09:30:00,18.06,18.13,17.98,18.1,230269
2016-06-08 09:30:00,18.87,18.98,18.68,18.84,403657
2016-06-09 09:30:00,18.19,18.6,18.19,18.52,487239
2016-06-10 09:30:00,18.76,18.98,18.61,18.71,522863
2016-06-13 09:30:00,18.29,18.46,18.28,18.39,388262
2016-06-14 09:30:00,18.37,18.57,18.35,18.42,185922
2016-06-15 09:30:00,18.08,18.18,17.95,17.97,441138
2016-06-16 09:30:00,17.82,18.02,17.77,17.83,317411
2016-06-17 09:30:00,18.1,18.25,18.02,18.24,774285
2016-06-20 09:30:00,18.38,18.44,18.18,18.37,387984
2016-06-21 09:30:00,18.39,18.76,18.34,18.7,266859
2016-06-22 09:30:00,18.73,18.73,18.31,18.42,401348
2016-06-23 09:30:00,18.64,18.72,18.49,18.56,129564
2016-06-24 09:30:00,18.01,18.28,17.99,18.24,364102
2016-06-27 09:30:00,18.01,18.38,17.92,18.38,308641
2016-06-28 09:30:00,18.04,18.41,17.93,18.35,475993
2016-06-29 09:30:00,19.29,19.41,19.0,19.02,333824
2016-06-30 09:30:00,18.57,18.62,18.43,18.51,168609
2016-07-01 09:30:00,18.95,19.07,18.9,19.01,285858
2016-07-05 09:30:00,18.76,18.76,18.11,18.13,720446
2016-07-06 09:30:00,18.56,18.95,18.45,18.84,329896
