open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,59.09,59.4,58.67,58.98,1462876
2016-01-05 09:30:00,58.71,58.83,58.01,58.1,1401848
2016-01-06 09:30:00,57.64,57.86,57.1,57.57,1909499
2016-01-07 09:30:00,55.73,55.99,55.27,55.56,2011048
2016-01-08 09:30:00,54.97,55.27,54.29,54.3,1653642
2016-01-11 09:30:00,54.58,54.69,53.95,54.26,1385910
2016-01-12 09:30:00,54.18,54.23,53.6,54.03,1604883
2016-01-13 09:30:00,54.82,55.54,54.8,55.21,1983960
2016-01-14 09:30:00,54.02,54.48,53.36,54.08,1733283
2016-01-15 09:30:00,53.82,55.1,53.31,54.38,3182759
2016-01-19 09:30:00,55.48,55.87,54.3,54.68,1869489
2016-01-20 09:30:00,52.72,52.94,51.04,51.07,3706346
2016-01-21 09:30:00,51.94,52.47,51.43,51.84,1329520
2016-01-22 09:30:00,55.68,56.16,54.87,55.24,3134588
2016-01-25 09:30:00,54.24,55.17,53.94,55.08,1600571
2016-01-26 09:30:00,54.03,54.6,53.62,54.22,1743724
2016-01-27 09:30:00,55.31,55.38,54.56,55.07,1194710
2016-01-28 09:30:00,56.52,57.14,55.87,56.75,2034862
2016-01-29 09:30:00,55.38,56.33,54.95,56.08,2755356
2016-02-01 09:30:00,56.13,56.43,55.63,55.89,1752723
2016-02-02 09:30:00,54.52,54.73,54.03,54.32,2334198
2016-02-03 09:30:00,54.33,54.41,53.57,53.78,1430799
2016-02-04 09:30:00,55.76,56.54,55.56,55.75,1577478
2016-02-05 09:30:00,55.33,55.56,54.66,55.32,1463079
2016-02-08 09:30:00,53.92,54.26,53.56,53.59,1735719
2016-02-09 09:30:00,56.12,56.55,55.84,56.0,1360753
2016-02-10 09:30:00,54.56,54.73,53.72,54.42,1559893
2016-02-11 09:30:00,53.73,54.53,53.66,54.49,1027308
2016-02-12 09:30:00,55.24,55.54,54.94,55.05,1220949
2016-02-16 09:30:00,56.89,57.0,56.2,56.32,1461876
2016-02-17 09:30:00,57.01,57.46,56.75,56.79,1234426
2016-02-18 09:30:00,59.24,59.57,58.76,58.97,1438090
2016-02-19 09:30:00,57.62,57.68,56.98,57.26,2151547
2016-02-22 09:30:00,58.65,59.17,58.41,58.89,1161783
2016-02-23 09:30:00,59.0,59.06,58.52,58.75,833680
2016-02-24 09:30:00,55.62,55.82,55.34,55.81,1844818
2016-02-25 09:30:00,57.18,57.21,56.15,56.34,1032514
2016-02-26 09:30:00,58.03,58.14,56.88,57.04,1742117
2016-02-29 09:30:00,56.73,56.87,56.4,56.59,1201468
2016-03-01 09:30:00,56.15,56.32,55.65,55.91,1048061
2016-03-02 09:30:00,57.0,57.29,56.69,56.78,1094704
2016-03-03 09:30:00,58.17,58.4,57.79,58.06,1155459
2016-03-04 09:30:00,58.35,58.57,57.87,58.13,1054209
2016-03-07 09:30:00,58.67,59.65,58.44,59.05,1406866
2016-03-08 09:30:00,60.33,60.8,59.95,59.95,1545299
2016-03-09 09:30:00,59.87,60.81,59.72,60.77,1721666
2016-03-10 09:30:00,61.92,62.7,61.51,62.38,2119672
2016-03-11 09:30:00,63.38,64.17,63.37,63.43,3299711
2016-03-14 09:30:00,62.44,62.56,62.24,62.44,963974
2016-03-15 09:30:00,62.18,62.32,61.62,61.71,1408042
2016-03-16 09:30:00,63.29,63.49,62.78,62.89,848309
2016-03-17 09:30:00,64.21,64.33,63.61,63.92,1042056
2016-03-18 09:30:00,65.31,65.35,64.75,64.77,4905832
2016-03-21 09:30:00,64.76,65.11,64.55,64.79,1012773
2016-03-22 09:30:00,63.91,64.17,63.69,64.03,1145325
2016-03-23 09:30:00,63.23,63.29,62.72,62.75,1491816
