open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,10.85,10.91,10.53,10.6,24298
2016-01-05 09:30:00,10.63,10.67,10.35,10.65,18242
2016-01-06 09:30:00,10.95,11.07,10.95,10.99,3420
2016-01-07 09:30:00,10.83,10.85,10.68,10.7401,17259
2016-01-08 09:30:00,10.69,11.03,10.69,10.8,24020
2016-01-11 09:30:00,10.61,10.92,10.61,10.65,12052
2016-01-12 09:30:00,10.78,10.82,10.66,10.82,13216
2016-01-13 09:30:00,10.56,10.705,10.56,10.685,9194
2016-01-14 09:30:00,10.65,10.65,10.28,10.39,25375
2016-01-15 09:30:00,10.14,10.35,10.1001,10.24,29007
2016-01-19 09:30:00,10.45,10.49,10.05,10.36,15600
2016-01-20 09:30:00,10.42,10.45,10.11,10.3,24539
2016-01-21 09:30:00,10.43,10.64,9.6,10.62,48464
2016-01-22 09:30:00,10.86,10.88,10.58,10.65,21845
2016-01-25 09:30:00,10.56,10.8494,10.56,10.79,24029
2016-01-26 09:30:00,10.65,10.7,10.26,10.43,22471
2016-01-27 09:30:00,10.57,10.69,10.45,10.45,4399
2016-01-28 09:30:00,10.53,10.76,10.51,10.609,38038
2016-01-29 09:30:00,10.32,10.55,10.32,10.38,10496
2016-02-01 09:30:00,10.3,10.38,10.22,10.35,10064
2016-02-02 09:30:00,10.25,10.48,10.12,10.27,46756
2016-02-03 09:30:00,10.37,10.4,10.26,10.3,12592
2016-02-04 09:30:00,10.04,10.08,9.86,10.0075,6515
2016-02-05 09:30:00,9.92,10.23,9.63,9.95,22856
2016-02-08 09:30:00,9.39,9.41,9.15,9.285,33924
2016-02-09 09:30:00,9.35,9.65,9.35,9.64,8891
2016-02-10 09:30:00,9.25,9.47,9.25,9.354,11475
2016-02-11 09:30:00,9.09,9.23,9.09,9.16,3046
2016-02-12 09:30:00,9.37,9.45,9.29,9.33,24951
2016-02-16 09:30:00,9.36,9.5,9.25,9.25,4990
2016-02-17 09:30:00,9.42,9.51,9.42,9.5,5556
2016-02-18 09:30:00,9.59,10.965,9.44,9.44,12447
2016-02-19 09:30:00,9.58,10.02,9.58,9.7,15425
2016-02-22 09:30:00,9.56,9.995,9.56,9.74,3704
2016-02-23 09:30:00,9.67,9.78,9.61,9.75,4946
2016-02-24 09:30:00,9.41,9.61,9.01,9.6,8780
2016-02-25 09:30:00,9.69,10.225,9.2884,9.77,4102
2016-02-26 09:30:00,9.86,9.89,9.55,9.72,8232
2016-02-29 09:30:00,9.89,10.02,9.89,10.02,1894
2016-03-01 09:30:00,10.06,10.25,9.64,10.02,2998
2016-03-02 09:30:00,10.27,10.5,10.23,10.49,22792
2016-03-03 09:30:00,10.6,10.66,10.32,10.46,15532
2016-03-04 09:30:00,10.47,10.51,10.31,10.47,6921
2016-03-07 09:30:00,10.56,11.0,10.49,10.56,16441
2016-03-08 09:30:00,10.5,10.6,10.49,10.53,7729
2016-03-09 09:30:00,10.59,10.59,10.43,10.55,6932
2016-03-10 09:30:00,10.79,10.87,10.79,10.84,2096
2016-03-11 09:30:00,11.06,11.06,10.75,11.0,54540
2016-03-14 09:30:00,10.97,11.09,10.9,11.0,43320
2016-03-15 09:30:00,10.84,10.965,10.42,10.965,36486
2016-03-16 09:30:00,10.81,11.12,10.81,11.095,21889
2016-03-17 09:30:00,11.03,11.25,10.96,10.96,21623
2016-03-18 09:30:00,11.12,11.22,10.84,11.0,132945
2016-03-21 09:30:00,11.0,11.25,10.99,11.16,18198
2016-03-22 09:30:00,10.9,11.02,10.8601,10.8601,11176
2016-03-23 09:30:00,10.85,10.9,10.572,10.73,18680
