open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,43.7,43.7,42.71,43.08,1995002
2016-01-05 09:30:00,43.6,43.99,42.17,42.19,2630593
2016-01-06 09:30:00,42.26,43.12,42.12,42.74,1588937
2016-01-07 09:30:00,42.79,43.04,42.29,42.35,1516071
2016-01-08 09:30:00,41.98,43.28,41.78,42.21,1435636
2016-01-11 09:30:00,41.55,41.82,41.28,41.35,919394
2016-01-12 09:30:00,41.59,41.62,40.52,40.85,2253329
2016-01-13 09:30:00,42.0,42.0,41.46,41.52,1103048
2016-01-14 09:30:00,39.82,40.06,38.99,39.18,1556914
2016-01-15 09:30:00,38.8,39.36,38.42,39.25,2251543
2016-01-19 09:30:00,40.5,40.84,39.96,40.36,2355082
2016-01-20 09:30:00,40.84,41.26,38.54,38.69,2874796
2016-01-21 09:30:00,41.25,41.31,40.12,40.5,2112525
2016-01-22 09:30:00,41.63,41.77,41.14,41.59,1502032
2016-01-25 09:30:00,42.08,42.11,41.06,41.13,1170062
2016-01-26 09:30:00,41.11,41.47,40.35,40.75,1667915
2016-01-27 09:30:00,40.99,41.55,40.94,41.28,918075
2016-01-28 09:30:00,39.6,39.79,37.96,38.91,2534266
2016-01-29 09:30:00,38.15,38.73,37.51,38.63,1574240
2016-02-01 09:30:00,39.55,39.69,38.91,39.67,1302710
2016-02-02 09:30:00,39.96,40.25,39.14,39.22,1784145
2016-02-03 09:30:00,38.88,39.04,38.13,38.22,871417
2016-02-04 09:30:00,38.71,39.11,38.34,39.02,1479412
2016-02-05 09:30:00,38.99,39.22,38.83,39.04,911525
2016-02-08 09:30:00,36.53,36.56,35.56,36.42,1881929
2016-02-09 09:30:00,35.68,36.74,35.4,36.72,1866338
2016-02-10 09:30:00,37.69,38.34,37.55,37.91,1419443
2016-02-11 09:30:00,37.69,38.38,37.52,38.23,1062997
2016-02-12 09:30:00,38.14,38.27,37.38,37.52,976559
2016-02-16 09:30:00,38.58,38.85,38.22,38.33,1093917
2016-02-17 09:30:00,39.9,40.92,39.87,40.87,1585978
2016-02-18 09:30:00,41.16,41.31,40.96,41.08,1083865
2016-02-19 09:30:00,41.21,41.65,41.02,41.51,2088602
2016-02-22 09:30:00,41.87,42.51,41.69,42.07,1589232
2016-02-23 09:30:00,42.99,43.43,42.98,43.34,1344310
2016-02-24 09:30:00,42.98,43.19,42.56,42.58,1510622
2016-02-25 09:30:00,43.53,43.77,43.34,43.52,892243
2016-02-26 09:30:00,43.77,43.86,42.7,43.03,1753261
2016-02-29 09:30:00,42.35,42.58,42.04,42.52,1040341
2016-03-01 09:30:00,43.22,43.46,42.95,43.08,797810
2016-03-02 09:30:00,42.67,42.99,42.39,42.43,1655458
2016-03-03 09:30:00,43.07,43.29,42.89,43.22,754641
2016-03-04 09:30:00,43.52,43.55,43.13,43.25,780040
2016-03-07 09:30:00,42.75,42.94,42.44,42.75,1448222
2016-03-08 09:30:00,41.43,41.73,40.98,41.04,3054275
2016-03-09 09:30:00,41.08,41.34,41.0,41.14,1054592
2016-03-10 09:30:00,41.69,42.11,41.53,42.09,1107382
2016-03-11 09:30:00,42.11,42.27,41.94,42.19,652382
2016-03-14 09:30:00,42.13,42.5,41.97,42.18,919867
2016-03-15 09:30:00,42.52,42.52,42.1,42.12,624190
2016-03-16 09:30:00,42.11,42.69,42.02,42.6,529793
2016-03-17 09:30:00,43.09,43.23,42.69,42.76,788907
2016-03-18 09:30:00,43.17,43.99,43.09,43.85,2202298
2016-03-21 09:30:00,44.39,44.79,44.38,44.7,799798
2016-03-22 09:30:00,43.21,43.51,42.75,43.4,4449051
2016-03-23 09:30:00,43.99,44.11,43.25,43.29,1238842
2016-03-24 09:30:00,43.0,43.07,42.2,42.43,1477470
2016-03-28 09:30:00,42.49,42.69,42.37,42.49,711041
2016-03-29 09:30:00,42.75,43.07,42.6,43.0,448978
2016-03-30 09:30:00,43.95,44.42,43.84,44.2,848140
2016-03-31 09:30:00,43.79,44.12,43.56,43.68,510271
2016-04-01 09:30:00,42.13,42.19,41.46,41.61,2824588
2016-04-04 09:30:00,41.79,42.19,41.48,42.16,1638190
2016-04-05 09:30:00,41.64,42.27,41.44,42.14,1101474
2016-04-06 09:30:00,41.88,41.91,41.56,41.62,730159
2016-04-07 09:30:00,41.69,41.75,41.37,41.65,747104
2016-04-08 09:30:00,40.89,41.29,40.5,41.24,1140468
2016-04-11 09:30:00,41.57,42.35,41.5,42.29,1654835
2016-04-12 09:30:00,41.54,41.92,41.51,41.61,1331733
