open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,55.49,55.65,54.98,55.05,725696
2016-01-05 09:30:00,55.34,55.34,54.2,54.21,559788
2016-01-06 09:30:00,54.0,54.02,53.37,53.67,924188
2016-01-07 09:30:00,52.48,52.9,52.23,52.76,713423
2016-01-08 09:30:00,51.9,52.49,51.82,52.47,856171
2016-01-11 09:30:00,51.12,51.29,49.86,50.09,728682
2016-01-12 09:30:00,50.67,50.68,50.36,50.52,476090
2016-01-13 09:30:00,49.87,49.91,49.22,49.24,489013
2016-01-14 09:30:00,48.15,48.15,47.58,47.64,604436
2016-01-15 09:30:00,47.26,48.1,47.23,47.81,1263831
2016-01-19 09:30:00,47.95,48.05,46.94,47.3,615556
2016-01-20 09:30:00,45.85,45.99,45.36,45.43,822315
2016-01-21 09:30:00,45.6,45.84,44.95,44.98,549153
2016-01-22 09:30:00,47.5,48.68,47.36,47.9,1211521
2016-01-25 09:30:00,47.25,47.35,46.77,47.04,540011
2016-01-26 09:30:00,46.7,46.92,45.67,46.18,645452
2016-01-27 09:30:00,46.97,47.25,46.48,46.75,307280
2016-01-28 09:30:00,46.32,46.47,45.6,45.9,518002
2016-01-29 09:30:00,46.13,46.27,45.68,45.79,719561
2016-02-01 09:30:00,45.85,46.13,45.46,46.0,567089
2016-02-02 09:30:00,48.68,49.03,47.22,47.43,1649190
2016-02-03 09:30:00,50.43,51.18,50.4,51.07,1321555
2016-02-04 09:30:00,51.75,52.38,51.53,52.11,734105
2016-02-05 09:30:00,52.36,52.38,51.68,52.01,547399
2016-02-08 09:30:00,51.23,51.76,50.9,51.29,748535
2016-02-09 09:30:00,50.44,51.68,50.41,51.61,487577
2016-02-10 09:30:00,51.9,51.9,51.42,51.7,302504
2016-02-11 09:30:00,50.13,50.85,49.96,50.79,660559
2016-02-12 09:30:00,50.26,50.56,49.83,50.53,412355
2016-02-16 09:30:00,51.27,51.62,51.05,51.09,607270
2016-02-17 09:30:00,52.25,52.74,52.11,52.57,611145
2016-02-18 09:30:00,53.2,53.31,53.05,53.29,346892
2016-02-19 09:30:00,52.63,52.68,52.35,52.39,901470
2016-02-22 09:30:00,52.8,53.36,52.78,53.06,369884
2016-02-23 09:30:00,52.84,52.84,52.46,52.6,282524
2016-02-24 09:30:00,51.5,51.77,51.3,51.44,324250
2016-02-25 09:30:00,52.55,52.64,52.13,52.33,249830
2016-02-26 09:30:00,53.79,53.91,53.64,53.85,395419
2016-02-29 09:30:00,53.99,54.78,53.85,54.75,502168
2016-03-01 09:30:00,54.6,54.82,54.45,54.62,472677
2016-03-02 09:30:00,55.0,55.5,54.86,55.01,754938
2016-03-03 09:30:00,55.15,55.38,54.65,55.03,293683
2016-03-04 09:30:00,55.06,55.31,54.65,54.68,414417
2016-03-07 09:30:00,55.46,55.99,54.93,55.46,1632110
2016-03-08 09:30:00,54.91,55.09,54.22,54.23,734762
2016-03-09 09:30:00,54.52,54.75,54.4,54.51,245233
2016-03-10 09:30:00,54.78,55.17,54.61,55.15,400880
2016-03-11 09:30:00,55.03,55.88,55.03,55.88,571538
2016-03-14 09:30:00,55.73,56.03,55.68,55.81,318410
2016-03-15 09:30:00,55.41,55.47,55.2,55.24,377089
2016-03-16 09:30:00,55.58,55.66,55.28,55.4,330314
2016-03-17 09:30:00,56.37,56.48,56.17,56.44,329262
2016-03-18 09:30:00,57.29,57.72,57.13,57.72,1830571
2016-03-21 09:30:00,57.18,57.39,56.67,56.68,374812
2016-03-22 09:30:00,56.73,56.91,56.53,56.75,552441
2016-03-23 09:30:00,56.8,56.98,56.67,56.91,409259
2016-03-24 09:30:00,56.44,56.54,56.07,56.38,400675
2016-03-28 09:30:00,57.39,57.44,57.12,57.24,444058
2016-03-29 09:30:00,56.92,57.04,56.6,56.84,454556
2016-03-30 09:30:00,57.61,57.79,57.46,57.68,443797
2016-03-31 09:30:00,57.79,57.9,57.38,57.38,199995
2016-04-01 09:30:00,56.44,56.56,56.04,56.23,525319
2016-04-04 09:30:00,56.94,57.27,56.77,57.18,246678
2016-04-05 09:30:00,56.77,57.23,56.71,57.23,344540
2016-04-06 09:30:00,56.83,56.94,56.18,56.3,323719
2016-04-07 09:30:00,56.53,56.71,56.22,56.46,292591
2016-04-08 09:30:00,57.13,57.28,57.01,57.14,377134
2016-04-11 09:30:00,57.05,57.39,57.01,57.16,221527
2016-04-12 09:30:00,57.03,57.47,56.93,57.37,222597
2016-04-13 09:30:00,58.22,58.39,58.07,58.39,750367
2016-04-14 09:30:00,58.58,58.63,58.36,58.52,739566
2016-04-15 09:30:00,58.87,58.9,58.52,58.69,921270
2016-04-18 09:30:00,58.3,58.44,58.04,58.41,282126
2016-04-19 09:30:00,59.2,59.42,59.12,59.34,704913
2016-04-20 09:30:00,59.73,59.75,58.88,59.0,640590
2016-04-21 09:30:00,58.52,58.63,58.02,58.02,734693
2016-04-22 09:30:00,58.64,58.78,58.55,58.75,486423
2016-04-25 09:30:00,58.7,58.74,58.08,58.14,517552
2016-04-26 09:30:00,59.36,60.26,59.33,60.05,1114497
2016-04-27 09:30:00,60.03,60.46,59.98,60.09,330997
2016-04-28 09:30:00,59.43,59.53,58.73,59.4,904193
2016-04-29 09:30:00,59.93,60.13,59.47,59.47,558425
2016-05-02 09:30:00,59.23,59.31,58.64,58.93,362419
2016-05-03 09:30:00,58.16,58.44,57.94,58.11,517583
2016-05-04 09:30:00,57.22,57.7,57.12,57.6,518036
2016-05-05 09:30:00,57.89,58.22,57.69,57.9,238184
2016-05-06 09:30:00,56.84,57.01,56.79,56.97,228035
2016-05-09 09:30:00,57.27,57.31,56.95,57.15,329198
2016-05-10 09:30:00,57.6,57.6,57.2,57.41,229418
2016-05-11 09:30:00,58.2,58.36,57.94,58.02,238741
2016-05-12 09:30:00,58.46,58.67,58.29,58.38,331638
2016-05-13 09:30:00,57.98,58.14,57.83,57.86,237575
2016-05-16 09:30:00,57.04,57.68,57.01,57.61,377538
2016-05-17 09:30:00,57.95,58.44,57.88,58.41,308941
2016-05-18 09:30:00,57.72,57.91,57.59,57.72,260111
2016-05-19 09:30:00,56.72,57.01,56.64,56.66,494144
2016-05-20 09:30:00,57.49,58.07,57.4,57.95,829726
2016-05-23 09:30:00,57.75,58.58,57.65,58.57,463087
2016-05-24 09:30:00,59.18,59.53,59.12,59.27,426186
2016-05-25 09:30:00,59.61,60.14,59.61,60.01,963403
2016-05-26 09:30:00,59.78,59.83,59.21,59.25,303823
2016-05-27 09:30:00,58.28,58.69,58.21,58.58,227771
2016-05-31 09:30:00,58.7,58.78,58.48,58.51,264107
2016-06-01 09:30:00,57.54,57.69,57.04,57.31,489499
2016-06-02 09:30:00,58.02,58.04,57.55,57.75,368029
